"CT School Day SAT, 2016-17"
"All Districts, All Subjects, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"New London School District","""0950011""","Science and Technology Magnet School of Southeastern Connecticut","""0951311""","Math",97,97,100.0,97,19,19.6,40,41.2,32,33.0,6,6.2,38,39.2,499
"New Milford School District","""0960011""","New Milford High School","""0966111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Milford School District","""0960011""","New Milford High School","""0966111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Newington School District","""0940011""","Newington High School","""0946111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Newington School District","""0940011""","Newington High School","""0946111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Newtown School District","""0970011""","Newtown High School","""0976111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Newtown School District","""0970011""","Newtown High School","""0976111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","""0990011""","North Branford High School","""0996111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","""0990011""","North Branford High School","""0996111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","""1010011""","North Haven High School","""1016111""","ELA",240,235,97.9,235,21,8.9,34,14.5,133,56.6,47,20.0,180,76.6,543
"North Haven School District","""1010011""","North Haven High School","""1016111""","Math",240,235,97.9,235,24,10.2,97,41.3,90,38.3,24,10.2,114,48.5,523
"North Stonington School District","""1020011""","Wheeler High School","""1026111""","ELA",43,43,100.0,43,6,14.0,6,14.0,17,39.5,14,32.6,31,72.1,558
"North Stonington School District","""1020011""","Wheeler High School","""1026111""","Math",43,43,100.0,43,"*","*",18,41.9,13,30.2,"*","*","*","*",543
"Norwalk School District","""1030011""","Brien McMahon High School","""1036211""","ELA",351,333,94.9,333,79,23.7,86,25.8,144,43.2,24,7.2,168,50.5,485
"Norwalk School District","""1030011""","Brien McMahon High School","""1036211""","Math",351,333,94.9,333,92,27.6,155,46.5,64,19.2,22,6.6,86,25.8,470
"Norwalk School District","""1030011""","Center for Global Studies","""1030511""","ELA",80,79,98.8,79,"*","*","*","*",38,48.1,32,40.5,70,88.6,600
"Norwalk School District","""1030011""","Center for Global Studies","""1030511""","Math",80,79,98.8,79,"*","*",26,32.9,"*","*",25,31.6,"*","*",572
"Norwalk School District","""1030011""","Norwalk High School","""1036111""","ELA",400,387,96.8,387,93,24.0,72,18.6,176,45.5,46,11.9,222,57.4,500
"Norwalk School District","""1030011""","Norwalk High School","""1036111""","Math",400,387,96.8,387,90,23.3,173,44.7,102,26.4,22,5.7,124,32.0,484
"Norwalk School District","""1030011""","Norwalk Pathways Academy at Briggs","""1036311""","ELA",22,16,72.7,16,"*","*","*","*","*","*","*","*","*","*","*"
"Norwalk School District","""1030011""","Norwalk Pathways Academy at Briggs","""1036311""","Math",22,16,72.7,16,"*","*","*","*","*","*","*","*","*","*","*"
"Norwich Free Academy District","""9010022""","Alternative Pathways to Success","""9010322""","ELA",9,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich Free Academy District","""9010022""","Alternative Pathways to Success","""9010322""","Math",9,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich Free Academy District","""9010022""","Night School","""9010222""","ELA",8,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich Free Academy District","""9010022""","Night School","""9010222""","Math",8,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich Free Academy District","""9010022""","Norwich Free Academy","""9016122""","ELA",544,526,96.7,525,113,21.5,102,19.4,234,44.6,76,14.5,310,59.0,508
"Norwich Free Academy District","""9010022""","Norwich Free Academy","""9016122""","Math",544,526,96.7,525,134,25.5,202,38.5,137,26.1,52,9.9,189,36.0,492
"Norwich School District","""1040011""","Virtual Learning Academy","""1049211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","""1040011""","Virtual Learning Academy","""1049211""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","""1060011""","Old Saybrook Senior High School","""1066111""","ELA",111,109,98.2,109,9,8.3,12,11.0,57,52.3,31,28.4,88,80.7,559
"Old Saybrook School District","""1060011""","Old Saybrook Senior High School","""1066111""","Math",111,109,98.2,109,14,12.8,33,30.3,44,40.4,18,16.5,62,56.9,545
"Oxford School District","""1080011""","Alternative Education","""1080411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","""1080011""","Alternative Education","""1080411""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","""1080011""","Oxford High School","""1086011""","ELA",132,131,99.2,131,"*","*","*","*",80,61.1,36,27.5,116,88.5,571
"Oxford School District","""1080011""","Oxford High School","""1086011""","Math",132,131,99.2,131,9,6.9,44,33.6,63,48.1,15,11.5,78,59.5,539
"Path Academy District","""2930013""","Path Academy","""2930113""","ELA",46,20,43.5,20,14,70.0,"*","*","*","*",0,0.0,"*","*",383
"Path Academy District","""2930013""","Path Academy","""2930113""","Math",46,20,43.5,18,"*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","""1090011""","Plainfield High School","""1096111""","ELA",161,149,92.5,149,32,21.5,44,29.5,57,38.3,16,10.7,73,49.0,490
"Plainfield School District","""1090011""","Plainfield High School","""1096111""","Math",161,149,92.5,147,40,27.2,66,44.9,"*","*","*","*",41,27.9,470
"Plainville School District","""1100011""","Plainville High School","""1106111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainville School District","""1100011""","Plainville High School","""1106111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","""1110011""","Terryville High School","""1116111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","""1110011""","Terryville High School","""1116111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","""1130011""","Portland High School","""1136111""","ELA",86,86,100.0,86,10,11.6,10,11.6,49,57.0,17,19.8,66,76.7,542
"Portland School District","""1130011""","Portland High School","""1136111""","Math",86,86,100.0,85,12,14.1,29,34.1,28,32.9,16,18.8,44,51.8,532
"Putnam School District","""1160011""","PALS - Putnam Alternative Learning System","""1160111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","""1160011""","PALS - Putnam Alternative Learning System","""1160111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","""1160011""","Putnam High School","""1166111""","ELA",66,63,95.5,63,"*","*",17,27.0,27,42.9,"*","*","*","*",479
"Putnam School District","""1160011""","Putnam High School","""1166111""","Math",66,63,95.5,63,17,27.0,34,54.0,"*","*","*","*",12,19.0,449
"Regional School District 01","""2010012""","ALPSS","""2010512""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","""2010012""","ALPSS","""2010512""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","""2010012""","Housatonic Valley Regional High School","""2016112""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","""2010012""","Housatonic Valley Regional High School","""2016112""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","""2040012""","Valley Regional High School","""2046112""","ELA",155,152,98.1,152,11,7.2,10,6.6,89,58.6,42,27.6,131,86.2,570
"Regional School District 04","""2040012""","Valley Regional High School","""2046112""","Math",155,152,98.1,152,14,9.2,60,39.5,60,39.5,18,11.8,78,51.3,527
"Regional School District 05","""2050012""","Amity Regional High School","""2056112""","ELA",354,353,99.7,353,8,2.3,40,11.3,175,49.6,130,36.8,305,86.4,588
"Regional School District 05","""2050012""","Amity Regional High School","""2056112""","Math",354,353,99.7,353,14,4.0,100,28.3,143,40.5,96,27.2,239,67.7,580
"Regional School District 06","""2060012""","Wamogo Regional High School","""2066112""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","""2060012""","Wamogo Regional High School","""2066112""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","""2070012""","AIM","""2079112""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","""2070012""","AIM","""2079112""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","""2070012""","Links","""2079212""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","""2070012""","Links","""2079212""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","""2070012""","Northwestern Regional High School","""2076112""","ELA",165,165,100.0,165,8,4.8,20,12.1,88,53.3,49,29.7,137,83.0,572
"Regional School District 07","""2070012""","Northwestern Regional High School","""2076112""","Math",165,165,100.0,165,12,7.3,44,26.7,78,47.3,31,18.8,109,66.1,557
"Regional School District 07","""2070012""","STEP","""2079312""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","""2070012""","STEP","""2079312""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 08","""2080012""","RHAM High School","""2086112""","ELA",269,267,99.3,267,7,2.6,20,7.5,138,51.7,102,38.2,240,89.9,588
"Regional School District 08","""2080012""","RHAM High School","""2086112""","Math",269,267,99.3,267,10,3.7,58,21.7,123,46.1,76,28.5,199,74.5,587
"Regional School District 09","""2090012""","Joel Barlow High School","""2096112""","ELA",234,221,94.4,221,"*","*","*","*",111,50.2,90,40.7,201,91.0,592
"Regional School District 09","""2090012""","Joel Barlow High School","""2096112""","Math",234,221,94.4,221,9,4.1,57,25.8,100,45.2,55,24.9,155,70.1,579
"Regional School District 10","""2100012""","Lewis S. Mills High School","""2106112""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","""2100012""","Lewis S. Mills High School","""2106112""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","""2110012""","Parish Hill High School","""2116112""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","""2110012""","Parish Hill High School","""2116112""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","""2120012""","Shepaug Valley School","""2120312""","ELA",58,58,100.0,58,"*","*","*","*",30,51.7,18,31.0,48,82.8,574
"Regional School District 12","""2120012""","Shepaug Valley School","""2120312""","Math",58,58,100.0,58,"*","*",22,37.9,26,44.8,"*","*","*","*",533
"Regional School District 13","""2130012""","Coginchaug Regional High School","""2136112""","ELA",128,126,98.4,126,"*","*","*","*",87,69.0,27,21.4,114,90.5,574
"Regional School District 13","""2130012""","Coginchaug Regional High School","""2136112""","Math",128,126,98.4,126,10,7.9,39,31.0,56,44.4,21,16.7,77,61.1,552
"Regional School District 14","""2140012""","Nonnewaug High School","""2146112""","ELA",192,190,99.0,190,25,13.2,27,14.2,101,53.2,37,19.5,138,72.6,537
"Regional School District 14","""2140012""","Nonnewaug High School","""2146112""","Math",192,190,99.0,190,24,12.6,69,36.3,71,37.4,26,13.7,97,51.1,529
"Regional School District 15","""2150012""","MIJ Program","""2150112""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 15","""2150012""","MIJ Program","""2150112""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 15","""2150012""","Pomperaug Regional High School","""2156212""","ELA",281,279,99.3,279,11,3.9,23,8.2,164,58.8,81,29.0,245,87.8,579
"Regional School District 15","""2150012""","Pomperaug Regional High School","""2156212""","Math",281,279,99.3,279,18,6.5,69,24.7,133,47.7,59,21.1,192,68.8,569
"Regional School District 16","""2160012""","WRHS Alternative Education Program","""2160412""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","""2160012""","WRHS Alternative Education Program","""2160412""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","""2160012""","Woodland Regional High School","""2166012""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","""2160012""","Woodland Regional High School","""2166012""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 17","""2170012""","Haddam-Killingworth High School","""2176112""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 17","""2170012""","Haddam-Killingworth High School","""2176112""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","""2180012""","Alternative Program","""2180412""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","""2180012""","Alternative Program","""2180412""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","""2180012""","Lyme-Old Lyme High School","""2186112""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","""2180012""","Lyme-Old Lyme High School","""2186112""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","""2190012""","E. O. Smith High School","""2196112""","ELA",283,279,98.6,279,25,9.0,26,9.3,145,52.0,83,29.7,228,81.7,569
"Regional School District 19","""2190012""","E. O. Smith High School","""2196112""","Math",283,279,98.6,279,19,6.8,81,29.0,107,38.4,72,25.8,179,64.2,569
"Regional School District 19","""2190012""","E.O. Smith High School at the Depot Campus","""2190112""","ELA",13,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","""2190012""","E.O. Smith High School at the Depot Campus","""2190112""","Math",13,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","""2190012""","PM Panthers","""2190212""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","""2190012""","PM Panthers","""2190212""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ridgefield School District","""1180011""","Alternative High School","""1188011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ridgefield School District","""1180011""","Alternative High School","""1188011""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ridgefield School District","""1180011""","Ridgefield High School","""1186111""","ELA",416,396,95.2,396,"*","*","*","*",173,43.7,197,49.7,370,93.4,615
"Ridgefield School District","""1180011""","Ridgefield High School","""1186111""","Math",416,396,95.2,396,12,3.0,73,18.4,173,43.7,138,34.8,311,78.5,602
"Rocky Hill School District","""1190011""","Alternative Learning Program","""1190111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","""1190011""","Alternative Learning Program","""1190111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","""1190011""","Pathways","""1190311""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","""1190011""","Pathways","""1190311""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","""1190011""","Rocky Hill High School","""1196111""","ELA",178,176,98.9,176,17,9.7,18,10.2,99,56.3,42,23.9,141,80.1,559
"Rocky Hill School District","""1190011""","Rocky Hill High School","""1196111""","Math",178,176,98.9,176,22,12.5,50,28.4,76,43.2,28,15.9,104,59.1,542
"Seymour School District","""1240011""","Seymour High School","""1246111""","ELA",151,149,98.7,149,17,11.4,22,14.8,83,55.7,27,18.1,110,73.8,539
"Seymour School District","""1240011""","Seymour High School","""1246111""","Math",151,149,98.7,149,16,10.7,54,36.2,67,45.0,12,8.1,79,53.0,522
"Shelton School District","""1260011""","Shelton High School","""1266111""","ELA",330,323,97.9,323,21,6.5,53,16.4,196,60.7,53,16.4,249,77.1,542
"Shelton School District","""1260011""","Shelton High School","""1266111""","Math",330,323,97.9,322,33,10.2,122,37.9,120,37.3,47,14.6,167,51.9,535
"Simsbury School District","""1280011""","Simsbury High School","""1286111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Simsbury School District","""1280011""","Simsbury High School","""1286111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Somers School District","""1290011""","Aspire","""1290511""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Somers School District","""1290011""","Aspire","""1290511""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Somers School District","""1290011""","Somers High School","""1296111""","ELA",113,113,100.0,113,13,11.5,10,8.8,59,52.2,31,27.4,90,79.6,551
"Somers School District","""1290011""","Somers High School","""1296111""","Math",113,113,100.0,112,14,12.5,42,37.5,28,25.0,28,25.0,56,50.0,539
"South Windsor School District","""1320011""","South Windsor High School","""1326211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"South Windsor School District","""1320011""","South Windsor High School","""1326211""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","""1310011""","Alta","""1310111""","ELA",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","""1310011""","Alta","""1310111""","Math",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","""1310011""","Southington High School","""1316211""","ELA",519,508,97.9,508,47,9.3,51,10.0,292,57.5,118,23.2,410,80.7,556
"Southington School District","""1310011""","Southington High School","""1316211""","Math",519,508,97.9,507,44,8.7,148,29.2,233,46.0,82,16.2,315,62.1,548
"Southington School District","""1310011""","Therapeutic Educational Setting (TEP)","""1311211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","""1310011""","Therapeutic Educational Setting (TEP)","""1311211""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stafford School District","""1340011""","Stafford High School","""1346111""","ELA",84,81,96.4,81,7,8.6,15,18.5,43,53.1,16,19.8,59,72.8,547
"Stafford School District","""1340011""","Stafford High School","""1346111""","Math",84,81,96.4,80,"*","*",25,31.3,42,52.5,"*","*","*","*",530
"Stafford School District","""1340011""","Stafford Tutoring Program","""1340211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stafford School District","""1340011""","Stafford Tutoring Program","""1340211""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford Academy District","""2820013""","Stamford Academy","""2826013""","ELA",36,26,72.2,26,"*","*","*","*",0,0.0,0,0.0,0,0.0,368
"Stamford Academy District","""2820013""","Stamford Academy","""2826013""","Math",36,26,72.2,24,"*","*","*","*",0,0.0,0,0.0,0,0.0,360
"Stamford School District","""1350011""","Alternate Routes To Success","""1350411""","ELA",24,10,41.7,10,"*","*","*","*","*","*","*","*","*","*","*"
"Stamford School District","""1350011""","Alternate Routes To Success","""1350411""","Math",24,10,41.7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford School District","""1350011""","Stamford High School","""1356111""","ELA",416,400,96.2,400,99,24.8,93,23.3,162,40.5,46,11.5,208,52.0,491
"Stamford School District","""1350011""","Stamford High School","""1356111""","Math",416,400,96.2,400,105,26.3,185,46.3,75,18.8,35,8.8,110,27.5,479
"Stamford School District","""1350011""","The Academy of Information Technology","""1356411""","ELA",157,153,97.5,153,17,11.1,19,12.4,78,51.0,39,25.5,117,76.5,550
"Stamford School District","""1350011""","The Academy of Information Technology","""1356411""","Math",157,153,97.5,153,26,17.0,56,36.6,45,29.4,26,17.0,71,46.4,523
"Stamford School District","""1350011""","Westhill High School","""1356311""","ELA",510,462,90.6,462,119,25.8,98,21.2,169,36.6,76,16.5,245,53.0,501
"Stamford School District","""1350011""","Westhill High School","""1356311""","Math",510,462,90.6,462,141,30.5,164,35.5,95,20.6,62,13.4,157,34.0,487
"Stonington School District","""1370011""","SAILS","""1370711""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stonington School District","""1370011""","SAILS","""1370711""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stonington School District","""1370011""","Stonington High School","""1376111""","ELA",178,172,96.6,172,9,5.2,22,12.8,91,52.9,50,29.1,141,82.0,565
"Stonington School District","""1370011""","Stonington High School","""1376111""","Math",178,172,96.6,172,18,10.5,57,33.1,68,39.5,29,16.9,97,56.4,544
"Stratford School District","""1380011""","ALPHA","""1380511""","ELA",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","""1380011""","ALPHA","""1380511""","Math",12,11,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","""1380011""","Bunnell High School","""1386211""","ELA",263,259,98.5,259,35,13.5,68,26.3,133,51.4,23,8.9,156,60.2,505
"Stratford School District","""1380011""","Bunnell High School","""1386211""","Math",263,259,98.5,259,53,20.5,118,45.6,72,27.8,16,6.2,88,34.0,492
"Stratford School District","""1380011""","High School STEPS 9-12","""1382011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","""1380011""","High School STEPS 9-12","""1382011""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","""1380011""","Stratford High School","""1386111""","ELA",245,243,99.2,243,56,23.0,63,25.9,105,43.2,19,7.8,124,51.0,489
"Stratford School District","""1380011""","Stratford High School","""1386111""","Math",245,243,99.2,243,74,30.5,109,44.9,48,19.8,12,4.9,60,24.7,464
"Suffield School District","""1390011""","Suffield High School","""1396111""","ELA",194,193,99.5,193,12,6.2,27,14.0,99,51.3,55,28.5,154,79.8,559
"Suffield School District","""1390011""","Suffield High School","""1396111""","Math",194,193,99.5,193,13,6.7,71,36.8,69,35.8,40,20.7,109,56.5,550
"The Bridge Academy District","""2690013""","The Bridge Academy","""2696113""","ELA",38,38,100.0,38,13,34.2,14,36.8,11,28.9,0,0.0,11,28.9,443
"The Bridge Academy District","""2690013""","The Bridge Academy","""2696113""","Math",38,38,100.0,38,"*","*",22,57.9,"*","*",0,0.0,"*","*",446
"The Gilbert School District","""9020022""","The Gilbert School","""9026122""","ELA",86,83,96.5,83,19,22.9,22,26.5,36,43.4,6,7.2,42,50.6,489
"The Gilbert School District","""9020022""","The Gilbert School","""9026122""","Math",86,83,96.5,83,16,19.3,31,37.3,25,30.1,11,13.3,36,43.4,511
"Thomaston School District","""1400011""","Thomaston High School","""1406211""","ELA",59,59,100.0,59,10,16.9,7,11.9,31,52.5,11,18.6,42,71.2,537
"Thomaston School District","""1400011""","Thomaston High School","""1406211""","Math",59,59,100.0,59,"*","*",26,44.1,24,40.7,"*","*","*","*",538
"Thompson School District","""1410011""","Tourtellotte Memorial High School","""1416111""","ELA",66,62,93.9,62,"*","*",15,24.2,30,48.4,"*","*","*","*",489
"Thompson School District","""1410011""","Tourtellotte Memorial High School","""1416111""","Math",66,62,93.9,62,20,32.3,25,40.3,"*","*","*","*",17,27.4,467
"Tolland School District","""1420011""","TALC","""1420311""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Tolland School District","""1420011""","TALC","""1420311""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Tolland School District","""1420011""","Tolland High School","""1426111""","ELA",206,205,99.5,205,13,6.3,16,7.8,116,56.6,60,29.3,176,85.9,568
"Tolland School District","""1420011""","Tolland High School","""1426111""","Math",206,205,99.5,205,17,8.3,49,23.9,94,45.9,45,22.0,139,67.8,565
"Torrington School District","""1430011""","Torrington Expulsion Program","""1431411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Torrington School District","""1430011""","Torrington Expulsion Program","""1431411""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Torrington School District","""1430011""","Torrington High School","""1436111""","ELA",238,220,92.4,220,49,22.3,50,22.7,105,47.7,16,7.3,121,55.0,490
"Torrington School District","""1430011""","Torrington High School","""1436111""","Math",238,220,92.4,219,62,28.3,105,47.9,44,20.1,8,3.7,52,23.7,467
"Trumbull School District","""1440011""","REACH","""1440511""","ELA",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","""1440011""","REACH","""1440511""","Math",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","""1440011""","Trumbull Alternative School","""1440211""","ELA",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","""1440011""","Trumbull Alternative School","""1440211""","Math",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","""1440011""","Trumbull High School","""1446111""","ELA",546,544,99.6,544,23,4.2,50,9.2,294,54.0,177,32.5,471,86.6,580
"Trumbull School District","""1440011""","Trumbull High School","""1446111""","Math",546,544,99.6,544,34,6.3,156,28.7,211,38.8,143,26.3,354,65.1,572
"Unified School District #1","""3360015""","Bridgeport Correctional Center","""3360115""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Bridgeport Correctional Center","""3360115""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Cheshire Correctional Institution","""3360315""","ELA",6,0,"*",0,"*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Cheshire Correctional Institution","""3360315""","Math",6,0,"*",0,"*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Corrigan/Radgowski Correctional Institution","""3362415""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Corrigan/Radgowski Correctional Institution","""3362415""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Enfield Correctional Institution","""3360415""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Enfield Correctional Institution","""3360415""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Garner Correctional Institution","""3361915""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Garner Correctional Institution","""3361915""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Hartford Correctional Center","""3360615""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Hartford Correctional Center","""3360615""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","MacDougall/Walker Correctional Institution","""3362215""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","MacDougall/Walker Correctional Institution","""3362215""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Manson Youth Institution","""3361115""","ELA",49,0,0.0,0,"*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Manson Youth Institution","""3361115""","Math",49,0,0.0,0,"*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Northern Correctional Institution","""3362615""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","Northern Correctional Institution","""3362615""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","York Correctional Institution","""3362515""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","""3360015""","York Correctional Institution","""3362515""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
