"Student Counts by School and Grade"
"All Districts, All Schools"
"2016-17"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Bridgeport School District","""0150011""","Multicultural Magnet School","""0154611""",0,48,48,50,50,50,48,54,63,55,0,0,0,0,466
"Bridgeport School District","""0150011""","Bridgeport Learning Center","""0159011""",0,0,8,"*",7,10,6,9,6,"*","*","*","*","*",64
"Bridgeport School District","""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","""0150811""",0,0,0,0,0,0,0,0,0,0,122,134,124,119,499
"Bridgeport School District","""0150011""","Bassick High School","""0156111""",0,0,0,0,0,0,0,0,0,0,338,261,207,155,961
"Bridgeport School District","""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","""0150611""",0,0,0,0,0,0,0,0,0,0,121,133,110,127,491
"Bridgeport School District","""0150011""","Bridgeport Military Academy","""0151611""",0,0,0,0,0,0,0,0,0,0,89,60,90,90,329
"Bridgeport School District","""0150011""","Career and Craftsmanship","""0152711""",0,0,0,0,0,0,0,0,0,0,"*",17,17,"*",44
"Bridgeport School District","""0150011""","Central High School","""0156211""",0,0,0,0,0,0,0,0,0,0,493,394,366,262,1515
"Bridgeport School District","""0150011""","Harding High School","""0156311""",0,0,0,0,0,0,0,0,0,0,305,284,212,172,973
"Bridgeport School District","""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","""0151511""",0,0,0,0,0,0,0,0,0,0,113,139,123,127,502
"Bridgeport School District","""0150011""","Opportunities for Self-Discovery Community Partnership","""0152811""",0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
"Bristol School District","""0170011""","Bristol Early Childhood Center-BECC","""0170411""",86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
"Bristol School District","""0170011""","Edgewood School","""0170311""",20,50,48,54,51,53,52,0,0,0,0,0,0,0,328
"Bristol School District","""0170011""","Ellen P. Hubbell School","""0171411""",47,65,66,73,54,51,59,0,0,0,0,0,0,0,415
"Bristol School District","""0170011""","Greene-Hills School","""0170511""",31,110,102,87,101,96,83,113,99,102,0,0,0,0,924
"Bristol School District","""0170011""","Ivy Drive School","""0171911""",27,63,62,43,55,67,71,0,0,0,0,0,0,0,388
"Bristol School District","""0170011""","Mountain View School","""0171711""",24,53,57,56,48,58,66,0,0,0,0,0,0,0,362
"Bristol School District","""0170011""","PreK Autism","""0172911""",8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Bristol School District","""0170011""","South Side School","""0171111""",53,58,61,72,78,80,66,0,0,0,0,0,0,0,468
"Bristol School District","""0170011""","Extended Resource Self-Contained","""0173611""",0,"*","*","*",0,0,"*",0,0,0,0,0,0,0,8
"Bristol School District","""0170011""","Hubbell/Extended Resource","""0172111""",0,"*","*","*","*","*",7,0,0,0,0,0,0,0,13
"Bristol School District","""0170011""","Stafford School","""0171211""",0,73,84,64,67,79,81,0,0,0,0,0,0,0,448
"Bristol School District","""0170011""","West Bristol School","""0172011""",0,89,104,89,100,106,108,114,92,83,0,0,0,0,885
"Bristol School District","""0170011""","Mt. View GOAL","""0172511""",0,0,"*","*",0,0,0,0,0,0,0,0,0,0,"*"
"Bristol School District","""0170011""","South Side Extended Resource","""0173011""",0,0,"*","*",0,"*",0,0,0,0,0,0,0,0,"*"
"Bristol School District","""0170011""","Stafford Autism","""0173211""",0,0,"*","*","*",0,0,0,0,0,0,0,0,0,8
"Bristol School District","""0170011""","Hubbell Autism Program","""0173711""",0,0,0,0,"*","*","*",0,0,0,0,0,0,0,10
"Bristol School District","""0170011""","Ivy Drive GOAL","""0172611""",0,0,0,0,"*",0,0,0,0,0,0,0,0,0,"*"
"Bristol School District","""0170011""","Ivy Drive Medically Fragile","""0172311""",0,0,0,0,0,"*","*",0,0,0,0,0,0,0,"*"
"Bristol School District","""0170011""","South Side GOAL","""0173111""",0,0,0,0,0,"*","*",0,0,0,0,0,0,0,9
"Bristol School District","""0170011""","Alternative Special Education Program (ASEP)","""0179011""",0,0,0,0,0,0,"*","*","*","*","*","*","*","*",21
