"Student Counts by School and Race"
"All Districts, All Schools"
"2007-08"

"",,,,"Race",,,,,,
"Fairfield School District","""0510011""","Sherman School","""0511311""","*",16,"*",15,0,411,453
"Fairfield School District","""0510011""","Stratfield School","""0511411""",0,29,9,21,0,401,460
"Fairfield School District","""0510011""","Tomlinson Middle School","""0515111""","*",41,"*",33,0,648,737
"Farmington School District","""0520011""","East Farms School","""0520411""",0,57,29,17,0,327,430
"Farmington School District","""0520011""","Farmington Collaborative PK","""0528011""",0,"*",0,"*",0,49,57
"Farmington School District","""0520011""","Farmington High School","""0526111""","*",95,63,"*",0,1186,1389
"Farmington School District","""0520011""","Irving A. Robbins Middle School","""0525111""","*",56,33,"*",0,538,652
"Farmington School District","""0520011""","Noah Wallace School","""0520211""",0,52,25,20,0,233,330
"Farmington School District","""0520011""","Union School","""0520111""","*",18,27,"*",0,235,298
"Farmington School District","""0520011""","West District School","""0520311""",0,25,13,11,0,301,350
"Farmington School District","""0520011""","West Woods Upper Elementary School","""0520511""","*",70,37,"*",0,544,687
"Franklin School District","""0530011""","Franklin Elementary School","""0530111""","*","*","*",7,0,220,233
"Glastonbury School District","""0540011""","Buttonball Lane School","""0540211""","*",49,29,"*",0,467,575
"Glastonbury School District","""0540011""","Eastbury School","""0540311""",0,33,12,17,0,295,357
"Glastonbury School District","""0540011""","Gideon Welles School","""0540811""","*",49,"*",25,0,456,551
"Glastonbury School District","""0540011""","Glastonbury High School","""0546111""","*",128,"*",92,0,1769,2065
"Glastonbury School District","""0540011""","Hebron Avenue School","""0540411""","*",44,15,"*",0,452,525
"Glastonbury School District","""0540011""","Hopewell School","""0540611""","*",47,"*",21,0,465,542
"Glastonbury School District","""0540011""","Naubuc School","""0540711""",0,63,43,52,0,323,481
"Glastonbury School District","""0540011""","Nayaug Elementary School","""0540911""",0,36,11,11,0,617,675
"Glastonbury School District","""0540011""","Smith Middle School","""0545211""","*",72,"*",47,0,918,1070
"Granby School District","""0560011""","Frank M. Kearns Primary School","""0560111""","*",9,33,"*",0,443,497
"Granby School District","""0560011""","Granby Memorial High School","""0566111""","*","*",22,13,0,703,749
"Granby School District","""0560011""","Granby Memorial Middle School","""0565111""",0,"*",14,"*",0,350,374
"Granby School District","""0560011""","Kelly Lane Primary School","""0560411""","*","*",17,10,0,332,363
"Granby School District","""0560011""","Wells Road Intermediate School","""0560311""",0,"*",14,"*",0,319,344
"Greenwich School District","""0570011""","Central Middle School","""0575111""","*",69,"*",81,0,537,713
"Greenwich School District","""0570011""","Cos Cob School","""0570211""",0,66,"*","*",0,287,407
"Greenwich School District","""0570011""","Eastern Middle School","""0575211""",0,63,7,51,0,604,725
"Greenwich School District","""0570011""","Glenville School","""0570411""",0,"*","*",37,0,269,344
"Greenwich School District","""0570011""","Greenwich High School","""0576111""","*",196,"*",397,0,2015,2693
"Greenwich School District","""0570011""","Hamilton Avenue School","""0570511""",0,28,47,129,0,173,377
"Greenwich School District","""0570011""","International School At Dundee","""0571311""",0,43,11,64,0,254,372
"Greenwich School District","""0570011""","Julian Curtiss School","""0570311""",0,35,21,79,0,192,327
"Greenwich School District","""0570011""","New Lebanon School","""0570611""","*",11,"*",105,0,103,229
"Greenwich School District","""0570011""","North Mianus School","""0570711""","*",68,"*",36,0,347,454
"Greenwich School District","""0570011""","North Street School","""0570811""","*",40,"*",33,0,432,515
"Greenwich School District","""0570011""","Old Greenwich School","""0570911""",0,"*","*",17,0,421,454
"Greenwich School District","""0570011""","Parkway School","""0571111""","*",27,0,"*",0,277,332
"Greenwich School District","""0570011""","Riverside School","""0571011""",0,36,0,41,0,422,499
"Greenwich School District","""0570011""","Western Middle School","""0575311""",0,36,20,142,0,329,527
"Griswold School District","""0580011""","Griswold Elementary School","""0580311""",9,16,21,37,0,823,906
"Griswold School District","""0580011""","Griswold High School","""0586211""",18,16,13,13,0,732,792
"Griswold School District","""0580011""","Griswold Middle School","""0585111""","*","*",13,10,0,403,439
"Groton School District","""0590011""","Carl C. Cutler Middle School","""0595311""","*",22,23,"*",0,319,376
"Groton School District","""0590011""","Charles Barnum School","""0591811""",6,14,68,32,0,247,367
"Groton School District","""0590011""","Claude Chester School","""0590311""",18,53,63,48,0,171,353
"Groton School District","""0590011""","Colonel Ledyard School","""0590411""",0,12,"*","*",0,115,139
"Groton School District","""0590011""","Eastern Point School","""0590511""",9,38,130,113,0,208,498
"Groton School District","""0590011""","Fitch Middle School","""0595111""",12,41,67,50,0,285,455
"Groton School District","""0590011""","Mary Morrisson School","""0591711""","*","*",28,29,0,214,282
"Groton School District","""0590011""","Noank School","""0590911""","*",23,12,"*",0,192,240
"Groton School District","""0590011""","Pleasant Valley School","""0591211""",9,26,48,49,0,297,429
"Groton School District","""0590011""","Robert E. Fitch High School","""0596111""",14,121,204,111,0,964,1414
"Groton School District","""0590011""","S. B. Butler School","""0590111""","*","*",16,11,0,276,317
"Groton School District","""0590011""","West Side Middle School","""0595211""",8,18,60,61,0,146,293
"Guilford School District","""0600011""","A. Baldwin Middle School","""0600711""","*",28,"*",20,0,553,608
"Guilford School District","""0600011""","A. W. Cox School","""0600611""",0,15,8,16,0,308,347
"Guilford School District","""0600011""","Calvin Leete School","""0600411""","*",17,"*",24,0,262,307
"Guilford School District","""0600011""","E. C. Adams Middle School","""0605111""","*",17,"*",34,0,540,600
"Guilford School District","""0600011""","Guilford High School","""0606111""",0,32,15,31,0,1076,1154
"Guilford School District","""0600011""","Guilford Lakes School","""0600211""",0,21,6,17,0,405,449
"Guilford School District","""0600011""","Melissa Jones School","""0600311""",0,"*","*",24,0,312,350
"Hamden School District","""0620011""","Alice Peck Learning Center","""0628011""",0,9,24,17,0,46,96
"Hamden School District","""0620011""","Bear Path School","""0621211""","*",35,98,"*",0,295,464
"Hamden School District","""0620011""","Church Street School","""0620211""",0,12,190,87,0,93,382
"Hamden School District","""0620011""","Dunbar Hill School","""0620311""","*","*",166,47,0,142,377
"Hamden School District","""0620011""","Hamden High School","""0626111""","*","*",737,251,0,1114,2192
"Hamden School District","""0620011""","Hamden Middle School","""0625211""","*","*",331,128,0,408,913
"Hamden School District","""0620011""","Hamden Transition Academy","""0629011""",0,0,"*",0,0,0,"*"
"Hamden School District","""0620011""","Helen Street School","""0620411""",0,12,162,74,0,95,343
"Hamden School District","""0620011""","Ridge Hill School","""0621111""","*","*",133,83,0,98,348
"Hamden School District","""0620011""","Shepherd Glen School","""0620111""",0,69,105,52,0,104,330
"Hamden School District","""0620011""","Spring Glen School","""0621011""",0,14,73,15,0,217,319
"Hamden School District","""0620011""","West Woods School","""0621411""",0,61,61,42,0,331,495
"Hampton School District","""0630011""","Hampton Elementary School","""0630111""","*","*",0,9,0,154,166
"Hartford School District","""0640011""","Asian Studies Academy at Bellizzi School","""0640711""",0,12,91,286,0,45,434
"Hartford School District","""0640011""","Barnard-Brown School","""0640311""",0,"*",50,277,0,"*",333
"Hartford School District","""0640011""","Batchelder School","""0640411""","*","*",139,405,0,21,578
"Hartford School District","""0640011""","Betances Early Reading Lab Magnet School","""0642811""",0,"*",75,319,0,"*",403
"Hartford School District","""0640011""","Breakthrough Magnet School","""0643311""","*","*",102,114,0,91,320
"Hartford School District","""0640011""","Bulkeley High School Lower School","""0646111""","*","*",314,1050,0,103,1484
"Hartford School District","""0640011""","Burns Latino Studies Academy","""0640611""",0,"*",82,445,0,"*",533
"Hartford School District","""0640011""","Burr School","""0642311""","*","*",106,391,0,30,537
"Hartford School District","""0640011""","Capital Preparatory Magnet School","""0646911""",0,10,145,75,0,36,266
"Hartford School District","""0640011""","Clark School","""0642411""",0,"*",298,135,0,"*",442
"Hartford School District","""0640011""","Classical Magnet School","""0646411""","*","*",342,149,0,118,620
"Hartford School District","""0640011""","Dr. Joseph Bellizzi Middle School","""0645311""",0,"*",64,360,0,"*",447
"Hartford School District","""0640011""","Environmental Sciences Magnet at Hooker School","""0640911""",0,9,100,274,0,20,403
"Hartford School District","""0640011""","Expeditionary Learning Academy at Moylan School","""0643211""",0,0,91,497,0,10,598
"Hartford School District","""0640011""","Fox Middle School","""0645111""",0,"*",359,100,0,"*",461
"Hartford School District","""0640011""","Hartford Magnet Trinity College Academy","""0645411""","*","*",200,213,0,175,602
"Hartford School District","""0640011""","Hartford Public High School","""0646211""","*","*",449,1059,0,30,1569
"Hartford School District","""0640011""","Hartford Transitional Learning Academy (Elementary)","""0649011""",0,0,29,35,0,0,64
"Hartford School District","""0640011""","Hartford Transitional Learning Academy (Secondary)","""0649111""",0,0,19,36,0,0,55
"Hartford School District","""0640011""","Kennelly School","""0641011""",6,10,205,547,0,41,809
"Hartford School District","""0640011""","Kinsella Magnet School of Performing Arts","""0641111""","*",0,138,337,"*",40,517
"Hartford School District","""0640011""","Little Owls Learning Center","""0648011""",0,"*","*","*",0,"*",12
"Hartford School District","""0640011""","M. D. Fox School","""0640811""","*","*",121,648,0,46,824
"Hartford School District","""0640011""","M. L. King, Jr. School","""0641611""","*","*",527,61,0,9,600
"Hartford School District","""0640011""","McDonough Middle School","""0641211""",0,0,39,392,0,9,440
"Hartford School District","""0640011""","Milner School","""0641911""",0,"*",217,134,0,"*",360
"Hartford School District","""0640011""","Naylor/CCSU Leadership Academy","""0641411""","*","*",104,331,0,120,564
"Hartford School District","""0640011""","Parkville Community School","""0641511""",0,24,105,418,0,49,596
"Hartford School District","""0640011""","Pathways Academy of Technology and Design","""0646611""","*","*",169,119,0,54,350
"Hartford School District","""0640011""","Quirk Middle School","""0645211""","*","*",112,449,0,7,575
"Hartford School District","""0640011""","Rawson School","""0641711""","*",0,557,22,0,"*",586
"Hartford School District","""0640011""","SAND School","""0640111""","*",0,170,194,0,"*",366
"Hartford School District","""0640011""","STEM Magnet at Fisher School","""0642511""","*","*",457,75,0,23,560
"Hartford School District","""0640011""","Sanchez School","""0643011""",0,"*",76,501,0,"*",580
"Hartford School District","""0640011""","Simpson-Waverly School","""0642611""",0,"*",311,43,0,"*",366
"Hartford School District","""0640011""","Sports and Medical Sciences Academy","""0646511""","*","*",150,145,0,92,395
"Hartford School District","""0640011""","Twain School","""0641811""",0,"*",243,37,0,"*",282
"Hartford School District","""0640011""","University High School of Science and Engineering","""0646711""","*","*",162,97,0,69,342
"Hartford School District","""0640011""","Weaver High School","""0646311""",0,"*",1120,134,0,"*",1259
"Hartford School District","""0640011""","Webster Micro Society Magnet School","""0642011""","*","*",312,217,0,77,620
"Hartford School District","""0640011""","West Middle School","""0642111""",0,20,400,328,0,20,768
"Hartford School District","""0640011""","Wish Museum School","""0642211""",0,"*",236,196,0,"*",437
"Hartland School District","""0650011""","Hartland School","""0650111""","*",8,"*","*",0,218,235
"Hebron School District","""0670011""","Gilead Hill School","""0670211""",0,9,"*","*",0,490,507
"Hebron School District","""0670011""","Hebron Elementary School","""0670111""",0,"*","*",10,0,676,697
"Highville Charter School District","""2860013""","Highville Charter School","""2860113""",0,"*",251,19,0,"*",277
"Integrated Day Charter School District","""2640013""","Integrated Day Charter School","""2640113""","*","*",53,26,0,229,330
"Interdistrict School for Arts and Comm District","""2650013""","Interdistrict School For Arts And Communication","""2655113""","*","*",34,76,0,64,181
"Jumoke Academy District","""2610013""","Jumoke Academy","""2610113""",0,0,361,8,0,0,369
"Kent School District","""0680011""","Kent Center School","""0680111""",0,12,6,18,0,221,257
"Killingly School District","""0690011""","Goodyear Early Childhood Center","""0698011""",0,"*","*","*",0,67,71
"Killingly School District","""0690011""","Killingly Central School","""0690111""",6,10,17,14,0,408,455
"Killingly School District","""0690011""","Killingly High School","""0696111""","*","*",26,29,0,759,836
"Killingly School District","""0690011""","Killingly Intermediate School","""0695211""",8,20,26,25,0,740,819
"Killingly School District","""0690011""","Killingly Memorial School","""0690311""",7,15,18,29,0,462,531
"Learn","""2450014""","Learn Special Education","""2459014""",0,0,"*","*",0,28,35
"Learn","""2450014""","Regional Multicultural Magnet School","""2450114""",11,18,94,143,0,262,528
"Learn","""2450014""","The Friendship School","""2450214""",12,30,79,137,0,256,514
"Lebanon School District","""0710011""","Lebanon Elementary School","""0710111""",7,7,10,10,0,478,512
"Lebanon School District","""0710011""","Lebanon Middle School","""0715111""","*","*",6,12,0,399,423
"Lebanon School District","""0710011""","Lyman Memorial High School","""0716211""","*","*",6,9,0,569,587
"Ledyard School District","""0720011""","Gales Ferry School","""0720211""","*",13,13,"*",0,190,230
"Ledyard School District","""0720011""","Gallup Hill School","""0720411""",15,27,25,33,0,264,364
"Ledyard School District","""0720011""","Juliet W. Long School","""0720311""","*","*",32,21,0,315,385
"Ledyard School District","""0720011""","Ledyard Center School","""0720111""",37,21,13,16,0,336,423
"Ledyard School District","""0720011""","Ledyard High School","""0726111""",38,52,54,70,0,845,1059
"Ledyard School District","""0720011""","Ledyard Middle School","""0725111""",18,24,18,14,0,346,420
"Lisbon School District","""0730011""","Lisbon Central School","""0730111""",6,23,13,12,0,521,575
"Litchfield School District","""0740011""","Center School","""0740211""","*",8,"*",19,0,306,337
"Litchfield School District","""0740011""","Litchfield High School","""0746111""","*",9,"*",9,0,597,624
"Litchfield School District","""0740011""","Litchfield Intermediate School","""0740311""","*",10,0,"*",0,233,250
"Madison School District","""0760011""","Daniel Hand High School","""0766111""","*",51,16,"*",0,1157,1237
"Madison School District","""0760011""","Dr. Robert H. Brown Middle School","""0760611""","*",23,"*","*",0,568,600
"Madison School District","""0760011""","Island Avenue Elementary School","""0760211""","*",6,"*",7,0,290,307
"Madison School District","""0760011""","J. Milton Jeffrey Elementary School","""0760111""","*",20,"*",11,0,595,632
"Madison School District","""0760011""","Kathleen H. Ryerson Elementary School","""0760311""","*",20,"*",6,0,320,348
"Madison School District","""0760011""","Walter C. Polson Upper Middle School","""0765211""","*",17,"*",7,0,613,645
"Manchester School District","""0770011""","Nathan Hale School","""0770911""","*","*",123,110,0,93,343
"Manchester School District","""0770011""","Bowers School","""0770111""","*","*",99,87,0,277,490
"Manchester School District","""0770011""","Buckley School","""0770311""",0,25,46,58,0,242,371
"Manchester School District","""0770011""","Highland Park School","""0770411""",0,15,40,35,0,206,296
"Manchester School District","""0770011""","Illing Middle School","""0775311""",6,44,196,204,0,465,915
"Manchester School District","""0770011""","Keeney School","""0770611""","*","*",57,51,0,285,417
"Manchester School District","""0770011""","Manchester High School","""0776111""","*","*",426,358,0,1196,2077
"Manchester School District","""0770011""","Manchester Preschool Center","""0778011""","*","*",14,22,0,8,46
"Manchester School District","""0770011""","Manchester Regional Academy","""0779011""",0,"*",32,"*",0,39,90
"Manchester School District","""0770011""","Martin School","""0771611""",0,14,28,29,0,156,227
"Manchester School District","""0770011""","Robertson School","""0771011""","*","*",124,94,0,121,413
"Manchester School District","""0770011""","Verplanck School","""0771211""","*","*",107,117,0,107,390
"Manchester School District","""0770011""","Waddell School","""0771311""","*","*",68,73,0,178,360
"Manchester School District","""0770011""","Washington School","""0771411""","*","*",148,93,0,132,395
"Mansfield School District","""0780011""","Annie E. Vinton School","""0780411""","*",24,"*",17,0,216,262
"Mansfield School District","""0780011""","Dorothy C. Goodwin School","""0780211""",0,31,"*","*",0,153,202
"Mansfield School District","""0780011""","Mansfield Middle School","""0785111""","*",60,"*",35,0,480,594
"Mansfield School District","""0780011""","Southeast Elementary School","""0780511""","*",26,15,"*",0,191,244
"Marlborough School District","""0790011""","Elmer Thienes-Mary Hall Elementary School","""0790111""",0,25,11,21,0,603,660
"Meriden School District","""0800011""","Nathan Hale School","""0800711""","*","*",99,253,0,253,622
"Meriden School District","""0800011""","Benjamin Franklin School","""0800111""",0,16,55,181,0,182,434
"Meriden School District","""0800011""","Casimir Pulaski School","""0801111""",0,17,114,353,0,249,733
"Meriden School District","""0800011""","Francis T. Maloney High School","""0806111""","*","*",188,459,0,640,1321
"Meriden School District","""0800011""","Hanover School","""0800311""","*","*",29,209,0,338,589
"Meriden School District","""0800011""","Israel Putnam School","""0800411""","*","*",89,281,0,232,623
"Meriden School District","""0800011""","John Barry School","""0800511""",0,"*","*",319,0,121,538
"Meriden School District","""0800011""","Lincoln Middle School","""0805211""","*","*",91,315,0,363,777
"Meriden School District","""0800011""","Orville H. Platt High School","""0806211""","*","*",167,468,0,557,1213
"Meriden School District","""0800011""","Roger Sherman School","""0800811""","*","*",78,303,0,191,590
"Meriden School District","""0800011""","Thomas Hooker School","""0801011""",0,23,10,236,0,238,507
"Meriden School District","""0800011""","Washington Middle School","""0805411""","*","*",144,376,0,331,868
"Middletown School District","""0830011""","Bielefield School","""0830211""","*","*",108,48,0,179,351
"Middletown School District","""0830011""","DEAL Program","""0839011""",0,0,"*","*",0,12,24
"Middletown School District","""0830011""","Farm Hill School","""0830511""","*","*",67,45,0,178,309
"Middletown School District","""0830011""","Keigwin Middle School","""0831511""","*","*",88,41,0,213,357
"Middletown School District","""0830011""","Lawrence School","""0831311""","*",47,66,"*",0,142,286
"Middletown School District","""0830011""","MacDonough School","""0830911""","*","*",99,43,0,72,220
"Middletown School District","""0830011""","Middletown High School","""0836211""",6,61,360,133,0,777,1337
"Middletown School District","""0830011""","Moody School","""0831211""","*","*",73,58,0,240,391
"Middletown School District","""0830011""","Snow School","""0831111""",0,25,83,51,0,191,350
"Middletown School District","""0830011""","Spencer School","""0830111""","*","*",71,53,0,233,384
"Middletown School District","""0830011""","Wesley School","""0831411""",0,13,84,39,0,200,336
"Middletown School District","""0830011""","Woodrow Wilson Middle School","""0835411""","*","*",174,85,0,400,700
"Milford School District","""0840011""","Calf Pen Meadow School","""0840111""","*",19,"*",9,0,310,345
"Milford School District","""0840011""","East Shore Middle School","""0845111""","*",32,"*",26,0,535,619
"Milford School District","""0840011""","Harborside Middle School","""0845211""",0,28,16,14,0,490,548
"Milford School District","""0840011""","J. F. Kennedy School","""0841911""","*",26,"*",26,0,325,391
"Milford School District","""0840011""","Jonathan Law High School","""0846211""","*","*",60,75,0,846,1033
"Milford School District","""0840011""","Joseph A. Foran High School","""0846311""","*",42,"*",47,0,897,1012
"Milford School District","""0840011""","Live Oaks School","""0841611""","*",28,"*",11,0,300,349
"Milford School District","""0840011""","Mathewson School","""0841711""",0,50,21,8,0,414,493
"Milford School District","""0840011""","Meadowside School","""0840711""",0,74,18,29,0,237,358
"Milford School District","""0840011""","Orange Avenue School","""0840811""","*",35,"*",22,0,421,497
"Milford School District","""0840011""","Orchard Hills School","""0841811""",0,31,24,28,0,356,439
"Milford School District","""0840011""","Pumpkin Delight School","""0841011""",0,20,20,31,0,211,282
"Milford School District","""0840011""","Simon Lake School","""0841411""","*",45,"*",34,0,269,379
"Milford School District","""0840011""","The Academy","""0846411""",0,0,"*","*",0,74,87
"Milford School District","""0840011""","West Shore Middle School","""0845311""","*","*",38,53,0,427,550
"Monroe School District","""0850011""","Chalk Hill School","""0850611""","*",18,"*",29,0,623,679
"Monroe School District","""0850011""","Fawn Hollow Elementary School","""0850511""","*",24,"*",21,0,532,598
"Monroe School District","""0850011""","Jockey Hollow School","""0855211""","*",21,"*",27,0,608,668
"Monroe School District","""0850011""","Masuk High School","""0856111""","*",43,"*",67,0,1251,1402
"Monroe School District","""0850011""","Monroe Elementary School","""0850111""","*","*",7,"*",0,343,361
"Monroe School District","""0850011""","Stepney Elementary School","""0850311""","*",20,"*",25,0,457,513
"Montville School District","""0860011""","Dr. Charles E. Murphy School","""0860711""",9,14,13,30,0,353,419
"Montville School District","""0860011""","Leonard J. Tyl Middle School","""0865111""",27,43,40,33,0,570,713
"Montville School District","""0860011""","Mohegan School","""0860111""",32,71,"*",31,"*",244,406
"Montville School District","""0860011""","Montville High School","""0866111""",9,58,40,49,0,672,828
"Montville School District","""0860011""","Oakdale School","""0860511""",17,20,26,33,0,374,470
"Montville School District","""0860011""","Palmer Academy","""0869011""","*","*",0,"*",0,26,30
"Naugatuck School District","""0880011""","Andrew Avenue School","""0880811""","*",17,"*",46,0,159,228
"Naugatuck School District","""0880011""","Central Avenue School","""0880111""",0,12,27,48,0,206,293
"Naugatuck School District","""0880011""","City Hill Middle School","""0885111""",0,17,39,47,0,404,507
"Naugatuck School District","""0880011""","Cross Street Intermediate School","""0880211""","*",8,39,32,"*",318,400
"Naugatuck School District","""0880011""","Head Start","""0888111""",0,6,14,28,0,58,106
"Naugatuck School District","""0880011""","Hillside Intermediate School","""0880411""","*","*",32,56,0,273,384
"Naugatuck School District","""0880011""","Hillside Middle School","""0885211""",0,9,23,25,0,244,301
"Naugatuck School District","""0880011""","Hop Brook Elementary School","""0880511""",8,17,22,45,0,247,339
"Naugatuck School District","""0880011""","Maple Hill School","""0880311""","*","*",48,35,0,328,435
"Naugatuck School District","""0880011""","Naugatuck High School","""0886111""",0,33,94,139,0,1144,1410
"Naugatuck School District","""0880011""","Salem School","""0880611""","*",7,33,45,"*",165,253
"Naugatuck School District","""0880011""","Western School","""0880711""",0,6,21,26,0,209,262
"New Beginnings Inc Family Academy District","""2800013""","New Beginnings Inc Family Academy","""2800113""",0,0,300,53,0,9,362
"New Britain School District","""0890011""","Chamberlain  Elementary School","""0890311""",0,13,133,350,0,84,580
"New Britain School District","""0890011""","Frank J. DiLoreto School","""0891111""","*","*",99,438,0,109,657
"New Britain School District","""0890011""","Gaffney School","""0890511""",0,21,67,205,0,141,434
"New Britain School District","""0890011""","Holmes School","""0890611""","*","*",46,246,0,117,422
"New Britain School District","""0890011""","House of Arts Letters and Science (HALS)  Academy","""0895411""",0,7,21,44,0,83,155
"New Britain School District","""0890011""","Jefferson School","""0890711""","*","*",64,206,0,100,410
"New Britain School District","""0890011""","Lincoln School","""0890811""","*","*",122,403,0,112,656
"New Britain School District","""0890011""","New Britain High School","""0896111""","*","*",549,1637,0,882,3130
"New Britain School District","""0890011""","Northend School","""0890911""",0,"*",72,176,0,"*",287
"New Britain School District","""0890011""","Pulaski Middle School","""0895311""","*","*",133,508,0,156,820
"New Britain School District","""0890011""","Roosevelt Middle School","""0895111""",0,10,123,336,0,73,542
"New Britain School District","""0890011""","Slade Middle School","""0895211""",0,9,137,434,0,117,697
"New Britain School District","""0890011""","Smalley Academy","""0891211""",0,7,139,432,0,94,672
"New Britain School District","""0890011""","Smith School","""0891311""","*","*",132,369,0,144,661
"New Britain School District","""0890011""","Vance School","""0891511""",0,12,81,242,0,159,494
"New Canaan School District","""0900011""","East School","""0900411""","*",25,"*",11,0,496,542
"New Canaan School District","""0900011""","New Canaan High School","""0906111""",0,31,10,27,0,1155,1223
"New Canaan School District","""0900011""","Saxe Middle School","""0905111""","*",39,"*",21,0,1232,1305
"New Canaan School District","""0900011""","South School","""0900211""","*",13,"*",9,0,494,520
"New Canaan School District","""0900011""","West School","""0900311""","*",7,"*",9,0,506,526
"New Fairfield School District","""0910011""","Consolidated School","""0910111""","*",12,"*",29,0,618,664
"New Fairfield School District","""0910011""","Meeting House Hill School","""0910211""",0,"*","*",17,0,674,699
"New Fairfield School District","""0910011""","New Fairfield High School","""0916111""","*",24,"*",27,0,882,938
"New Fairfield School District","""0910011""","New Fairfield Middle School","""0915211""",0,"*","*",30,0,700,743
"New Hartford School District","""0920011""","Ann Antolini School","""0920311""",0,"*",0,"*",0,342,347
"New Hartford School District","""0920011""","Bakerville Consolidated School","""0920111""",0,0,0,"*",0,"*",160
"New Hartford School District","""0920011""","Bridges I","""0929011""",0,0,0,0,0,"*","*"
"New Hartford School District","""0920011""","New Hartford Elementary School","""0920211""",0,0,"*",0,0,"*",106
"New Haven School District","""0930011""","Edgewood School","""0931211""","*","*",266,51,0,117,448
"New Haven School District","""0930011""","Nathan Hale School","""0931411""","*","*",73,167,0,309,562
"New Haven School District","""0930011""","Augusta Lewis Troup School","""0931511""","*","*",271,67,0,7,349
"New Haven School District","""0930011""","Barnard Environmental Magnet School","""0930211""","*","*",318,80,0,53,453
"New Haven School District","""0930011""","Beecher School","""0930311""",0,"*",366,28,0,"*",409
"New Haven School District","""0930011""","Benjamin Jepson Magnet School","""0931811""",0,"*",202,140,"*",109,459
"New Haven School District","""0930011""","Betsy Ross Arts Magnet School","""0935511""",0,"*",226,"*",0,130,488
"New Haven School District","""0930011""","Bishop Woods Architecture and Design Magnet School","""0934311""",0,12,143,101,0,42,298
"New Haven School District","""0930011""","Celentano BioTech, Health and Medical Magnet School","""0934811""","*","*",391,116,0,57,584
"New Haven School District","""0930011""","Clarence Rogers School","""0930511""","*",0,102,24,0,"*",135
"New Haven School District","""0930011""","Clinton Avenue School","""0930611""",0,"*",134,351,0,"*",512
"New Haven School District","""0930011""","Columbus Family Academy","""0934111""",0,0,18,267,0,0,285
"New Haven School District","""0930011""","Conte/West Hills Magnet School","""0933111""","*","*",345,239,0,56,642
"New Haven School District","""0930011""","Cooperative High School","""0936411""",0,"*",197,"*",0,114,417
"New Haven School District","""0930011""","Cortlandt V.R. Creed Health and Sport Sciences High School","""0936811""","*",0,157,32,0,"*",204
"New Haven School District","""0930011""","Davis 21st Century Magnet Elementary School","""0930911""","*","*",247,31,0,67,361
"New Haven School District","""0930011""","Dwight Early Childhood Program","""0938211""",0,0,35,"*",0,"*",40
"New Haven School District","""0930011""","Early Learning Center","""0938111""",0,"*",98,20,0,"*",125
"New Haven School District","""0930011""","East Rock Community Magnet School","""0934611""","*","*",340,205,0,51,613
"New Haven School District","""0930011""","Fair Haven School","""0931611""",0,0,101,431,0,14,546
"New Haven School District","""0930011""","Headstart","""0938011""","*","*",127,281,0,"*",414
"New Haven School District","""0930011""","Helene Grant HeadStart","""0938311""","*","*",259,118,0,14,397
"New Haven School District","""0930011""","High School In The Community","""0936611""","*","*",162,79,0,86,329
"New Haven School District","""0930011""","Hill Central Music Academy","""0930711""",0,0,"*",327,0,"*",433
"New Haven School District","""0930011""","Hill Regional Career High School","""0936311""",0,22,390,205,0,124,741
"New Haven School District","""0930011""","James Hillhouse High School","""0936211""",0,"*",935,136,0,"*",1087
"New Haven School District","""0930011""","John C. Daniels","""0931311""",0,0,102,373,0,14,489
"New Haven School District","""0930011""","John S. Martinez Sea and Sky STEM School","""0930811""","*",0,125,486,0,"*",633
"New Haven School District","""0930011""","Katherine Brennan School","""0930411""",0,0,163,"*",0,"*",206
"New Haven School District","""0930011""","King/Robinson Magnet School","""0933011""",0,10,308,30,0,41,389
"New Haven School District","""0930011""","Lincoln-Bassett School","""0932011""",0,0,349,"*",0,"*",364
"New Haven School District","""0930011""","Metropolitan Business Academy","""0936011""",0,0,120,40,0,13,173
"New Haven School District","""0930011""","New Haven Academy","""0937011""",0,0,107,46,0,30,183
"New Haven School District","""0930011""","Polly T. McCabe Center","""0936511""",0,0,20,"*",0,"*",34
"New Haven School District","""0930011""","Riverside Education Academy","""0936911""",0,0,123,"*",0,"*",180
"New Haven School District","""0930011""","Roberto Clemente Leadership Academy for Global Awareness","""0934211""",0,0,253,185,0,11,449
"New Haven School District","""0930011""","Ross/Woodward School","""0931011""","*","*",283,266,0,65,634
"New Haven School District","""0930011""","Sheridan Communications and Technology Magnet School","""0935311""","*","*",138,43,0,62,249
"New Haven School District","""0930011""","Sound School","""0936711""",0,"*","*",63,0,231,329
"New Haven School District","""0930011""","Timothy Dwight School","""0931111""",0,"*",145,149,0,"*",298
"New Haven School District","""0930011""","Truman School","""0932911""",0,"*",169,436,0,"*",620
"New Haven School District","""0930011""","Urban Youth Center Middle School","""0935111""",0,0,27,"*",0,"*",34
"New Haven School District","""0930011""","Vincent E. Mauro Elementary Math, Science and Technology Magnet School","""0932511""","*","*",169,181,0,56,410
"New Haven School District","""0930011""","West Rock Authors Academy","""0934911""",0,"*",116,59,0,"*",207
"New Haven School District","""0930011""","Wexler/Grant Community School","""0933211""",0,"*",423,18,0,"*",448
"New Haven School District","""0930011""","Wilbur Cross High School","""0936111""","*","*",793,808,0,161,1795
"New Haven School District","""0930011""","Worthington Hooker School","""0933811""",0,90,100,20,0,179,389
