"school_code","district_code","district","school","subject","free_reduced_price_meal_eligibility_3_level_","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","ELA","F","84","84","100.0","84","*","*","*","*","*","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","ELA","N","99","99","100.0","99","26","26.3","31","31.3","35","35.4","7","7.1","42","42.4"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","ELA","R","18","18","*","18","*","*","*","*","*","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Math","F","84","84","100.0","84","38","45.2","*","*","*","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Math","N","99","99","100.0","99","*","*","35","35.4","19","19.2","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Math","R","18","18","*","18","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","F","*","*","*","*","8","22.9","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","N","46","45","97.8","45","*","*","9","20.0","23","51.1","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","F","*","*","*","*","20","57.1","*","*","*","*","0","0.0","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","N","46","45","97.8","45","*","*","17","37.8","8","17.8","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","ELA","F","124","124","100.0","124","40","32.3","*","*","36","29.0","*","*","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","ELA","N","106","106","100.0","106","30","28.3","22","20.8","26","24.5","28","26.4","54","50.9"
"0110511","0110011","Bloomfield School District","Metacomet School","ELA","R","24","24","100.0","24","7","29.2","*","*","7","29.2","*","*","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","Math","F","124","124","100.0","124","46","37.1","48","38.7","*","*","*","*","30","24.2"
"0110511","0110011","Bloomfield School District","Metacomet School","Math","N","106","105","99.1","105","30","28.6","41","39.0","*","*","*","*","34","32.4"
"0110511","0110011","Bloomfield School District","Metacomet School","Math","R","24","24","100.0","24","8","33.3","8","33.3","8","33.3","0","0.0","8","33.3"
"0120111","0120011","Bolton School District","Bolton Center School","ELA","F","49","49","100.0","49","*","*","*","*","*","*","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","ELA","N","296","287","97.0","287","26","9.1","28","9.8","102","35.5","131","45.6","233","81.2"
"0120111","0120011","Bolton School District","Bolton Center School","ELA","R","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Math","F","49","49","100.0","49","*","*","*","*","*","*","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Math","N","296","287","97.0","287","27","9.4","58","20.2","92","32.1","110","38.3","202","70.4"
"0120111","0120011","Bolton School District","Bolton Center School","Math","R","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","ELA","F","22","22","100.0","22","*","*","*","*","*","*","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","ELA","N","106","105","99.1","104","23","22.1","30","28.8","33","31.7","18","17.3","51","49.0"
"0130111","0130011","Bozrah School District","Fields Memorial School","ELA","R","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Math","F","22","22","100.0","22","*","*","*","*","*","*","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Math","N","106","105","99.1","104","22","21.2","43","41.3","29","27.9","10","9.6","39","37.5"
"0130111","0130011","Bozrah School District","Fields Memorial School","Math","R","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
