"school_code","district_code","district","school","subject","high_needs_f_r_ell_or_swd_","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"0126111","0120011","Bolton School District","Bolton High School","Math","Y","10","*","*","*","*","*","*","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","Math","N","57","*","*","*","*","*","*","*","*","*","*","543"
"0146111","0140011","Branford School District","Branford High School","ELA","Y","71","21","29.6","*","*","27","38.0","*","*","*","*","466"
"0146111","0140011","Branford School District","Branford High School","ELA","N","161","*","*","29","18.0","80","49.7","*","*","*","*","550"
"0146111","0140011","Branford School District","Branford High School","Math","Y","71","27","38.0","31","43.7","*","*","*","*","13","18.3","450"
"0146111","0140011","Branford School District","Branford High School","Math","N","161","*","*","70","43.5","46","28.6","*","*","*","*","527"
"0140211","0140011","Branford School District","Branford High School Horizons Program","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","Y","26","*","*","*","*","*","*","*","*","*","*","508"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","N","8","*","*","*","*","*","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","Y","27","*","*","*","*","*","*","0","0.0","*","*","494"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","N","8","*","*","*","*","*","*","*","*","*","*","*"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","ELA","Y","130","27","20.8","38","29.2","59","45.4","6","4.6","65","50.0","478"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Math","Y","130","27","20.8","74","56.9","20","15.4","9","6.9","29","22.3","483"
"0156111","0150011","Bridgeport School District","Bassick High School","ELA","Y","119","72","60.5","35","29.4","*","*","*","*","12","10.1","402"
"0156111","0150011","Bridgeport School District","Bassick High School","Math","Y","119","79","66.4","*","*","*","*","0","0.0","*","*","391"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","ELA","Y","134","44","32.8","*","*","46","34.3","*","*","*","*","460"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Math","Y","134","49","36.6","72","53.7","*","*","*","*","13","9.7","441"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","ELA","Y","90","46","51.1","24","26.7","20","22.2","0","0.0","20","22.2","427"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","Math","Y","90","67","74.4","*","*","*","*","0","0.0","*","*","385"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
