"school_code","district_code","district","school","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total"
"0154211","0150011","Bridgeport School District","Curiale School","0","79","74","77","66","73","69","73","110","116","0","0","0","0","737"
"0154111","0150011","Bridgeport School District","Dunbar School","0","45","40","41","33","24","21","23","34","42","0","0","0","0","303"
"0150711","0150011","Bridgeport School District","Edison School","0","38","41","41","51","32","25","23","0","0","0","0","0","0","251"
"0151111","0150011","Bridgeport School District","Hall School","0","43","43","45","40","42","32","30","0","0","0","0","0","0","275"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","0","46","48","47","44","44","48","46","45","54","0","0","0","0","422"
"0151311","0150011","Bridgeport School District","Hooker School","0","31","49","48","40","41","37","36","48","57","0","0","0","0","387"
"0152011","0150011","Bridgeport School District","Madison School","0","81","72","82","89","79","60","76","0","0","0","0","0","0","539"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","0","47","44","51","50","50","48","49","54","56","0","0","0","0","449"
"0153611","0150011","Bridgeport School District","Winthrop School","0","70","78","73","73","74","79","69","85","84","0","0","0","0","685"
"0151811","0150011","Bridgeport School District","Pride Academy","0","0","0","0","0","0","0","0","11","12","25","*","*","0","57"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","0","0","0","0","0","0","0","0","0","0","163","72","0","0","235"
"0156111","0150011","Bridgeport School District","Bassick High School","0","0","0","0","0","0","0","0","0","0","387","282","239","212","1120"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","0","0","0","0","0","0","0","0","0","0","154","75","0","0","229"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","0","0","0","0","0","0","0","0","0","0","116","0","0","0","116"
"0156211","0150011","Bridgeport School District","Central High School","0","0","0","0","0","0","0","0","0","0","322","560","491","465","1838"
"0156311","0150011","Bridgeport School District","Harding High School","0","0","0","0","0","0","0","0","0","0","344","351","214","196","1105"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","0","0","0","0","0","0","0","0","0","0","163","73","0","0","236"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","44","52","75","70","63","54","66","0","0","0","0","0","0","0","424"
"0170511","0170011","Bristol School District","Greene-Hills School","31","92","99","81","106","93","100","85","98","105","0","0","0","0","890"
"0171911","0170011","Bristol School District","Ivy Drive School","15","46","66","66","69","65","70","0","0","0","0","0","0","0","397"
"0171711","0170011","Bristol School District","Mountain View School","93","49","54","66","63","54","58","0","0","0","0","0","0","0","437"
