"school_code","district_code","district","school","american_indian_or_alaska_native","asian","black_or_african_american","hispanic_latino_of_any_race","native_hawaiian_or_other_pacific_islander","two_or_more_races","white","total"
"0341711","0340011","Danbury School District","King Street Intermediate School","0","29","35","126","0","7","172","369"
"0341311","0340011","Danbury School District","King Street Primary School","*","21","17","187","0","*","176","409"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","0","24","32","121","0","15","158","350"
"0340611","0340011","Danbury School District","Morris Street School","0","12","19","256","0","13","57","357"
"0340811","0340011","Danbury School District","Park Avenue School","0","25","34","362","0","17","157","595"
"0341511","0340011","Danbury School District","Pembroke School","*","37","25","133","0","*","155","368"
"0345211","0340011","Danbury School District","Rogers Park Middle School","0","49","79","535","0","12","263","938"
"0341211","0340011","Danbury School District","Shelter Rock School","0","40","33","216","0","14","217","520"
"0341011","0340011","Danbury School District","South Street School","0","14","31","253","0","11","69","378"
"0341611","0340011","Danbury School District","Stadley Rough School","*","26","23","203","*","13","228","496"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","*","35","27","106","0","*","217","390"
"0340311","0340011","Danbury School District","Westside Middle School Academy","*","47","37","146","0","*","248","496"
"0356111","0350011","Darien School District","Darien High School","*","57","13","63","0","*","1216","1356"
"0350211","0350011","Darien School District","Hindley Elementary School","0","19","*","14","0","*","455","501"
"0350711","0350011","Darien School District","Holmes Elementary School","0","21","*","18","0","*","409","462"
"0355111","0350011","Darien School District","Middlesex Middle School","*","55","*","44","0","10","1048","1167"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","*","*","0","34","0","20","386","458"
"0350511","0350011","Darien School District","Royle Elementary School","*","20","*","31","0","8","365","433"
"0350611","0350011","Darien School District","Tokeneke Elementary School","0","18","*","11","*","15","432","479"
"0360111","0360011","Deep River School District","Deep River Elementary School","0","*","*","19","*","10","269","304"
"3370215","3370015","Department of Mental Health and Addiction Services","Connecticut Valley Hospital","0","0","*","0","0","0","*","*"
"0370611","0370011","Derby School District","Bradley School","0","*","38","69","*","17","208","347"
"0370511","0370011","Derby School District","Derby Alternative Education Center","0","0","0","*","0","0","0","*"
"0376111","0370011","Derby School District","Derby High School","0","9","55","87","*","*","186","344"
"0375011","0370011","Derby School District","Derby Middle School","0","*","43","98","*","15","169","332"
"0370411","0370011","Derby School District","Irving School","0","*","57","143","*","13","106","328"
"0370111","0370011","Derby School District","Little Raiders University","0","*","*","8","0","*","18","33"
"0400111","0400011","East Granby School District","Allgrove School","0","14","18","17","*","*","148","206"
"0406111","0400011","East Granby School District","East Granby High School","*","7","20","12","0","*","218","264"
"0405111","0400011","East Granby School District","East Granby Middle School","*","11","19","15","0","*","145","196"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","0","18","13","*","0","*","156","202"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","*","*","0","14","0","11","281","309"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","0","*","*","8","0","6","302","321"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","0","*","*","*","0","6","419","431"
"0420311","0420011","East Hampton School District","Center School","0","*","0","13","*","*","274","297"
"0426111","0420011","East Hampton School District","East Hampton High School","*","15","7","28","*","*","459","515"
"0425111","0420011","East Hampton School District","East Hampton Middle School","0","7","*","21","0","*","395","433"
"0420111","0420011","East Hampton School District","Memorial School","0","8","6","31","0","19","573","637"
"0429011","0420011","East Hampton School District","The Learning Center at East Hampton","0","0","0","0","0","0","6","6"
"0430911","0430011","East Hartford School District","Anna E. Norris School","*","13","92","177","0","*","27","312"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","*","28","69","34","0","*","58","192"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","0","*","119","177","0","*","43","356"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","*","12","123","162","*","*","22","322"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","*","18","145","194","0","*","148","509"
"0436211","0430011","East Hartford School District","East Hartford High School","*","93","620","675","0","*","255","1649"
"0435111","0430011","East Hartford School District","East Hartford Middle School","*","62","355","493","0","*","158","1074"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","*","41","90","131","0","*","76","344"
"0430511","0430011","East Hartford School District","Hockanum School","0","14","83","171","0","7","61","336"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","0","*","89","106","0","*","79","298"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","*","13","172","239","*","*","44","475"
"0431211","0430011","East Hartford School District","Silver Lane School","*","0","105","144","0","*","19","274"
"0436411","0430011","East Hartford School District","Stevens Alternate High school","0","*","34","61","0","0","*","110"
"0432411","0430011","East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","*","6","66","93","0","*","37","204"
"0438011","0430011","East Hartford School District","Willowbrook Early Childhood","0","7","58","125","0","12","27","229"
"0439011","0430011","East Hartford School District","Woodland School","0","*","61","83","0","*","36","182"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","0","16","6","33","0","7","202","264"
"0441411","0440011","East Haven School District","D. C. Moore School","0","6","*","49","0","*","146","207"
"0440111","0440011","East Haven School District","Deer Run School","*","18","9","49","0","*","223","308"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","0","12","*","42","0","*","122","189"
"0446111","0440011","East Haven School District","East Haven High School","*","36","25","158","*","6","662","889"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","0","12","6","48","0","6","100","172"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","*","30","29","146","0","*","373","589"
"0440711","0440011","East Haven School District","Momauguin School","*","*","11","55","0","*","115","186"
"0441811","0440011","East Haven School District","Overbrook Elementary School","0","*","7","53","0","*","97","166"
"0450611","0450011","East Lyme School District","Coastal Connections","0","0","*","*","0","0","17","19"
"0456111","0450011","East Lyme School District","East Lyme High School","*","103","33","40","*","11","855","1045"
"0455111","0450011","East Lyme School District","East Lyme Middle School","*","91","12","51","*","32","659","848"
"0450111","0450011","East Lyme School District","Flanders School","0","32","*","24","0","*","276","343"
"0458011","0450011","East Lyme School District","Integrated Preschool","0","*","0","*","0","0","51","58"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","*","33","10","19","0","*","217","290"
"0450711","0450011","East Lyme School District","Medically Fragile Program (WAVES)","0","0","0","0","0","0","*","*"
"0450211","0450011","East Lyme School District","Niantic Center School","0","*","*","12","0","9","140","168"
"0450511","0450011","East Lyme School District","Post High School Transition Program","0","*","*","0","0","0","13","16"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","*","29","30","73","0","*","234","381"
"0476111","0470011","East Windsor School District","East Windsor High School","0","8","39","54","0","16","207","324"
"0475411","0470011","East Windsor School District","East Windsor Middle School","0","13","49","67","0","16","243","388"
"0470411","0470011","East Windsor School District","East Windsor Transition Program","0","0","*","0","0","0","*","*"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ACT Magnet School (Arts at the Capitol Theater) - Full Time","*","*","12","23","0","6","84","129"
