"school_code","district_code","district","school","subject","free_reduced_price_meal_eligibility_2_level_","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"0176211","0170011","Bristol School District","Bristol Eastern High School","ELA","Y","83","14","16.9","24","28.9","39","47.0","6","7.2","45","54.2","489"
"0176211","0170011","Bristol School District","Bristol Eastern High School","ELA","N","202","18","8.9","29","14.4","135","66.8","20","9.9","155","76.7","525"
"0176211","0170011","Bristol School District","Bristol Eastern High School","Math","Y","83","24","28.9","42","50.6","*","*","*","*","17","20.5","464"
"0176211","0170011","Bristol School District","Bristol Eastern High School","Math","N","202","*","*","94","46.5","66","32.7","*","*","*","*","494"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0186111","0180011","Brookfield School District","Brookfield High School","ELA","Y","18","*","*","*","*","*","*","*","*","*","*","*"
"0186111","0180011","Brookfield School District","Brookfield High School","ELA","N","204","*","*","*","*","*","*","*","*","*","*","568"
"0186111","0180011","Brookfield School District","Brookfield High School","Math","Y","18","*","*","*","*","*","*","*","*","*","*","*"
