"school_code","district_code","district","school","subject","ell","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"0120111","0120011","Bolton School District","Bolton Center School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","ELA","N","85","83","97.6","83","*","*","*","*","33","39.8","37","44.6","70","84.3"
"0126111","0120011","Bolton School District","Bolton High School","Math","N","85","83","97.6","83","22","26.5","26","31.3","18","21.7","17","20.5","35","42.2"
"0130111","0130011","Bozrah School District","Fields Memorial School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0146111","0140011","Branford School District","Branford High School","ELA","N","234","219","93.6","219","*","*","*","*","*","*","*","*","*","*"
"0146111","0140011","Branford School District","Branford High School","ELA","Y","7","7","*","7","*","*","*","*","*","*","*","*","*","*"
"0146111","0140011","Branford School District","Branford High School","Math","N","234","217","92.7","217","*","*","*","*","*","*","*","*","*","*"
"0146111","0140011","Branford School District","Branford High School","Math","Y","7","7","*","7","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","ELA","N","14","13","*","13","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Math","N","14","12","*","12","*","*","*","*","*","*","*","*","*","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","ELA","N","880","864","98.2","864","*","*","*","*","*","*","*","*","*","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","ELA","Y","24","19","79.2","19","*","*","*","*","*","*","*","*","*","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Math","N","880","860","97.7","859","229","26.7","256","29.8","*","*","*","*","*","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Math","Y","24","23","95.8","23","12","52.2","*","*","*","*","0","0.0","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","ELA","N","124","124","100.0","124","*","*","*","*","*","*","*","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","ELA","Y","9","8","*","8","*","*","*","*","*","*","*","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","Math","N","124","124","100.0","124","*","*","*","*","*","*","*","*","*","*"
