"school_code","district_code","district","school","2010_11","2011_12","2012_13","2013_14","2014_15","2015_16"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","334","290","310","340","371","393"
"0150511","0150011","Bridgeport School District","Columbus School","663","523","877","886","861","852"
"0153911","0150011","Bridgeport School District","Cross School","408","431","420","413","386","397"
"0154211","0150011","Bridgeport School District","Curiale School","596","615","773","737","769","698"
"0153711","0150011","Bridgeport School District","Discovery Interdistrict Magnet School","130","0","0","0","0","0"
"0154111","0150011","Bridgeport School District","Dunbar School","315","344","313","303","377","416"
"0150711","0150011","Bridgeport School District","Edison School","255","251","244","251","274","270"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","868","857","818","843","824","794"
"0151111","0150011","Bridgeport School District","Hall School","306","310","308","275","262","240"
"0151211","0150011","Bridgeport School District","Hallen School","316","335","336","332","302","315"
"0156311","0150011","Bridgeport School District","Harding High School","1394","1309","1297","1105","1134","1060"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","431","429","433","422","414","408"
"0151311","0150011","Bridgeport School District","Hooker School","463","416","381","387","371","351"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","0","0","0","236","365","492"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","0","312","457","511","518","506"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","654","670","629","655","679","649"
"0151911","0150011","Bridgeport School District","Longfellow School","426","454","0","0","0","0"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","854","897","871","904","920","836"
"0152011","0150011","Bridgeport School District","Madison School","543","510","506","539","533","512"
"0159511","0150011","Bridgeport School District","Make The Grade","27","39","0","0","0","0"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","457","484","456","449","457","460"
"0152811","0150011","Bridgeport School District","Opportunities for Self-Discovery Community Partnership","0","0","0","0","0","7"
"0158011","0150011","Bridgeport School District","Parent-Children Program","*","0","0","0","0","0"
"0159211","0150011","Bridgeport School District","Park City Academy","10","*","6","0","0","0"
"0151711","0150011","Bridgeport School District","Park City Magnet School","511","523","526","491","465","483"
"0151811","0150011","Bridgeport School District","Pride Academy","0","0","0","57","0","0"
"0152511","0150011","Bridgeport School District","Read School","822","850","857","839","884","891"
"0152611","0150011","Bridgeport School District","Roosevelt School","462","534","524","564","562","623"
"0154411","0150011","Bridgeport School District","Skane Center","246","229","231","304","387","224"
"0153011","0150011","Bridgeport School District","Waltersville School","537","483","514","514","491","503"
"0153611","0150011","Bridgeport School District","Winthrop School","719","729","686","685","652","673"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","27","17","19","14","17","20"
"0176111","0170011","Bristol School District","Bristol Central High School","1310","1317","1262","1242","1180","1167"
"0170411","0170011","Bristol School District","Bristol Early Childhood Center-BECC","0","0","0","0","74","63"
"0176211","0170011","Bristol School District","Bristol Eastern High School","1352","1308","1305","1299","1247","1221"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","0","0","0","0","44","48"
"0173411","0170011","Bristol School District","CHMS GOAL","0","0","0","0","7","7"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","881","817","758","718","760","704"
"0171011","0170011","Bristol School District","Chippens Hill Middle School Functional Program","0","0","0","0","8","12"
