"school_code","district_code","district","school","american_indian_or_alaska_native","asian","black_or_african_american","hispanic_latino_of_any_race","native_hawaiian_or_other_pacific_islander","two_or_more_races","white","total"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","*","7","14","10","0","*","99","137"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","0","*","*","6","0","*","322","337"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","0","*","*","13","0","*","378","399"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","0","*","0","7","0","*","496","508"
"0420311","0420011","East Hampton School District","Center School","0","*","0","11","0","*","262","285"
"0426111","0420011","East Hampton School District","East Hampton High School","*","7","8","13","*","*","488","523"
"0425111","0420011","East Hampton School District","East Hampton Middle School","0","16","*","20","0","*","406","449"
"0420111","0420011","East Hampton School District","Memorial School","0","*","*","26","0","18","581","631"
"0429011","0420011","East Hampton School District","The Learning Center at East Hampton","0","0","0","0","0","0","6","6"
"0430911","0430011","East Hartford School District","Anna E. Norris School","*","*","87","155","0","0","24","280"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","*","*","59","33","0","0","73","188"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","*","14","118","190","0","*","47","371"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","*","23","151","180","*","0","28","387"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","*","16","149","182","0","*","153","504"
"0436211","0430011","East Hartford School District","East Hartford High School","*","*","576","682","0","0","299","1642"
"0435111","0430011","East Hartford School District","East Hartford Middle School","*","*","396","443","0","0","145","1044"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","*","53","90","100","*","*","76","323"
"0430511","0430011","East Hartford School District","Hockanum School","0","*","89","139","0","*","46","293"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","*","*","97","114","0","0","90","314"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","*","34","195","216","*","0","59","506"
"0431211","0430011","East Hartford School District","Silver Lane School","*","*","96","143","0","*","30","275"
"0436411","0430011","East Hartford School District","Stevens Alternate High School","*","*","66","73","0","0","31","173"
"0432411","0430011","East Hartford School District","Sunset Ridge Middle School","*","*","140","111","0","0","44","308"
"0438011","0430011","East Hartford School District","Willowbrook Early Childhood","0","*","77","123","0","*","28","237"
"0439011","0430011","East Hartford School District","Woodland School","*","*","61","87","0","0","40","191"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","*","15","*","32","0","7","220","279"
"0441411","0440011","East Haven School District","D. C. Moore School","*","14","9","69","0","*","174","269"
"0440111","0440011","East Haven School District","Deer Run School","0","22","14","61","0","7","225","329"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","*","6","15","39","0","*","163","228"
"0446111","0440011","East Haven School District","East Haven High School","0","27","22","162","0","8","704","923"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","0","10","7","44","0","6","120","187"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","0","29","21","113","*","*","425","594"
"0440711","0440011","East Haven School District","Momauguin School","0","13","*","51","0","*","105","180"
"0441811","0440011","East Haven School District","Overbrook Elementary School","0","9","*","51","0","*","119","190"
"0449011","0440011","East Haven School District","Pathways","0","0","*","7","0","*","26","39"
"0456111","0450011","East Lyme School District","East Lyme High School","6","107","25","35","0","11","945","1129"
"0455111","0450011","East Lyme School District","East Lyme Middle School","*","81","25","41","*","*","716","871"
"0450111","0450011","East Lyme School District","Flanders School","0","54","*","15","0","*","281","361"
"0458011","0450011","East Lyme School District","Integrated Preschool","0","*","0","*","0","0","33","40"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","*","22","7","25","0","*","275","335"
"0450211","0450011","East Lyme School District","Niantic Center School","0","8","*","12","0","*","168","198"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","*","48","45","75","0","*","320","514"
"0476111","0470011","East Windsor School District","East Windsor High School","0","*","51","35","*","12","252","362"
"0475411","0470011","East Windsor School District","East Windsor Middle School","*","*","37","46","0","19","260","378"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","*","0","6","22","0","*","102","136"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","0","0","*","15","0","*","60","83"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","*","*","*","17","0","*","87","111"
"0390111","0390011","Eastford School District","Eastford Elementary School","*","*","*","*","0","*","154","168"
"0465111","0460011","Easton School District","Helen Keller Middle School","*","18","*","16","*","*","348","390"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","*","36","*","30","0","15","541","629"
"2428014","2420014","EdAdvance","EdAdvance Headstart","*","7","*","50","*","0","153","216"
"2429014","2420014","EdAdvance","The ACCESS School at The Danuta M. Thibodeau Education Center","0","0","*","*","0","0","19","33"
"0480111","0480011","Ellington School District","Center School","0","8","10","22","0","10","382","432"
"0480211","0480011","Ellington School District","Crystal Lake School","0","*","*","7","0","9","187","210"
"0486111","0480011","Ellington School District","Ellington High School","*","27","*","35","0","23","680","789"
"0485111","0480011","Ellington School District","Ellington Middle School","*","17","21","18","0","*","357","428"
"0480711","0480011","Ellington School District","Windermere Intermediate School","0","29","12","13","0","9","359","422"
"0480611","0480011","Ellington School District","Windermere School","*","63","23","26","0","*","305","433"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","*","*","462","125","0","6","6","604"
"0491311","0490011","Enfield School District","Edgar H. Parkman School","*","*","24","31","*","16","284","359"
"0491611","0490011","Enfield School District","Eli Whitney School","*","*","29","54","0","20","277","396"
"0496111","0490011","Enfield School District","Enfield High School","*","6","56","63","*","17","582","727"
"0490211","0490011","Enfield School District","Enfield Street School","*","9","9","39","*","18","224","302"
"0499011","0490011","Enfield School District","Enfield Transitional Learning Academy","0","*","*","0","0","*","17","21"
"0496211","0490011","Enfield School District","Enrico Fermi High School","*","*","51","57","0","32","831","988"
"0490411","0490011","Enfield School District","Hazardville Memorial School","*","*","17","56","0","15","280","381"
