district,district_code,school,school_code,subject,gender,total_numberof_students,total_numbertested,smarter_balancedparticipationrate,total_number_with_scored_tests,level_1not_met_level_1_not_met_count,level_1not_met_pct,level_2approaching_level_2_approaching_count,level_2approaching_pct,level_3met_level_3_met_count,level_3met_pct,level_4exceeded_level_4_exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_level_3_4_met_or_exceeded_count,level_3_4met_or_exceeded_pct,year
Ansonia School District,0020011,Prendergast School,0020811,Math,F,168,167,99.4,167,53,31.7,76,45.5,30,18.0,8,4.8,38,22.8,2014-15
Ansonia School District,0020011,Prendergast School,0020811,Math,M,181,181,100.0,181,79,43.6,62,34.3,26,14.4,14,7.7,40,22.1,2014-15
Area Cooperative Educational Services,2440014,Center for Autism Spectrum and Development Disorders,2449614,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Area Cooperative Educational Services,2440014,Center for Autism Spectrum and Development Disorders,2449614,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Area Cooperative Educational Services,2440014,Mill Road School,2449414,ELA,F,18,13,*,13,*,*,*,*,*,*,*,*,*,*,2014-15
Area Cooperative Educational Services,2440014,Mill Road School,2449414,ELA,M,124,118,95.2,111,*,*,*,*,*,*,0,0.0,*,*,2014-15
Area Cooperative Educational Services,2440014,Mill Road School,2449414,Math,F,18,17,*,17,*,*,*,*,*,*,*,*,*,*,2014-15
Area Cooperative Educational Services,2440014,Mill Road School,2449414,Math,M,125,113,90.4,110,*,*,*,*,*,*,0,0.0,*,*,2014-15
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,ELA,F,345,344,99.7,342,76,22.2,124,36.3,110,32.2,32,9.4,142,41.5,2014-15
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,ELA,M,361,361,100.0,361,106,29.4,107,29.6,119,33.0,29,8.0,148,41.0,2014-15
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,Math,F,345,343,99.4,343,156,45.5,117,34.1,40,11.7,30,8.7,70,20.4,2014-15
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,Math,M,361,361,100.0,361,147,40.7,112,31.0,77,21.3,25,6.9,102,28.3,2014-15
Area Cooperative Educational Services,2440014,Village School,2449514,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Area Cooperative Educational Services,2440014,Village School,2449514,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Area Cooperative Educational Services,2440014,Whitney High School East,2449214,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Area Cooperative Educational Services,2440014,Whitney High School East,2449214,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,ELA,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,Math,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,ELA,F,214,213,99.5,213,42,19.7,70,32.9,66,31.0,35,16.4,101,47.4,2014-15
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,ELA,M,212,210,99.1,210,81,38.6,58,27.6,50,23.8,21,10.0,71,33.8,2014-15
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,Math,F,214,213,99.5,213,100,46.9,75,35.2,31,14.6,7,3.3,38,17.8,2014-15
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,Math,M,212,210,99.1,210,118,56.2,61,29.0,21,10.0,10,4.8,31,14.8,2014-15
Ashford School District,0030011,Ashford School,0030111,ELA,F,122,122,100.0,122,10,8.2,23,18.9,40,32.8,49,40.2,89,73.0,2014-15
Ashford School District,0030011,Ashford School,0030111,ELA,M,128,127,99.2,127,21,16.5,41,32.3,44,34.6,21,16.5,65,51.2,2014-15
Ashford School District,0030011,Ashford School,0030111,Math,F,122,122,100.0,121,26,21.5,35,28.9,40,33.1,20,16.5,60,49.6,2014-15
Ashford School District,0030011,Ashford School,0030111,Math,M,128,127,99.2,127,43,33.9,38,29.9,28,22.0,18,14.2,46,36.2,2014-15
Avon School District,0040011,Avon High School,0046111,ELA,F,114,106,93.0,105,10,9.5,11,10.5,22,21.0,62,59.0,84,80.0,2014-15
Avon School District,0040011,Avon High School,0046111,ELA,M,132,126,95.5,125,19,15.2,17,13.6,47,37.6,42,33.6,89,71.2,2014-15
Avon School District,0040011,Avon High School,0046111,Math,F,114,106,93.0,106,13,12.3,24,22.6,35,33.0,34,32.1,69,65.1,2014-15
Avon School District,0040011,Avon High School,0046111,Math,M,132,125,94.7,125,25,20.0,29,23.2,34,27.2,37,29.6,71,56.8,2014-15
Avon School District,0040011,Avon Middle School,0045111,ELA,F,286,286,100.0,286,6,2.1,33,11.5,117,40.9,130,45.5,247,86.4,2014-15
Avon School District,0040011,Avon Middle School,0045111,ELA,M,261,258,98.9,258,10,3.9,41,15.9,118,45.7,89,34.5,207,80.2,2014-15
Avon School District,0040011,Avon Middle School,0045111,Math,F,286,286,100.0,286,19,6.6,54,18.9,78,27.3,135,47.2,213,74.5,2014-15
Avon School District,0040011,Avon Middle School,0045111,Math,M,261,261,100.0,261,18,6.9,46,17.6,69,26.4,128,49.0,197,75.5,2014-15
