district,district_code,school,school_code,subject,gender,total_numberof_students,total_numbertested,smarter_balancedparticipationrate,total_number_with_scored_tests,level_1not_met_level_1_not_met_count,level_1not_met_pct,level_2approaching_level_2_approaching_count,level_2approaching_pct,level_3met_level_3_met_count,level_3met_pct,level_4exceeded_level_4_exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_level_3_4_met_or_exceeded_count,level_3_4met_or_exceeded_pct,year
Hartford School District,0640011,Breakthrough II Elementary School,0643511,ELA,F,60,59,98.3,59,25,42.4,17,28.8,*,*,*,*,17,28.8,2015-16
Hartford School District,0640011,Breakthrough II Elementary School,0643511,ELA,M,64,64,100.0,64,22,34.4,25,39.1,*,*,*,*,17,26.6,2015-16
Hartford School District,0640011,Breakthrough II Elementary School,0643511,Math,F,60,58,96.7,58,33,56.9,13,22.4,*,*,*,*,12,20.7,2015-16
Hartford School District,0640011,Breakthrough II Elementary School,0643511,Math,M,64,64,100.0,64,31,48.4,21,32.8,*,*,*,*,12,18.8,2015-16
Hartford School District,0640011,Breakthrough Magnet School,0643311,ELA,F,106,105,99.1,105,29,27.6,35,33.3,26,24.8,15,14.3,41,39.0,2015-16
Hartford School District,0640011,Breakthrough Magnet School,0643311,ELA,M,90,90,100.0,90,27,30.0,19,21.1,26,28.9,18,20.0,44,48.9,2015-16
Hartford School District,0640011,Breakthrough Magnet School,0643311,Math,F,106,105,99.1,105,44,41.9,33,31.4,22,21.0,6,5.7,28,26.7,2015-16
Hartford School District,0640011,Breakthrough Magnet School,0643311,Math,M,90,90,100.0,90,21,23.3,32,35.6,23,25.6,14,15.6,37,41.1,2015-16
Hartford School District,0640011,Burns Latino Studies Academy,0640611,ELA,F,147,147,100.0,147,109,74.1,25,17.0,*,*,*,*,13,8.8,2015-16
Hartford School District,0640011,Burns Latino Studies Academy,0640611,ELA,M,176,174,98.9,174,140,80.5,25,14.4,*,*,*,*,9,5.2,2015-16
Hartford School District,0640011,Burns Latino Studies Academy,0640611,Math,F,146,145,99.3,144,126,87.5,15,10.4,*,*,*,*,*,*,2015-16
Hartford School District,0640011,Burns Latino Studies Academy,0640611,Math,M,176,174,98.9,174,147,84.5,*,*,*,*,0,0.0,*,*,2015-16
Hartford School District,0640011,Burr School,0642311,ELA,F,182,182,100.0,182,121,66.5,35,19.2,*,*,*,*,26,14.3,2015-16
Hartford School District,0640011,Burr School,0642311,ELA,M,203,203,100.0,203,124,61.1,49,24.1,*,*,*,*,30,14.8,2015-16
Hartford School District,0640011,Burr School,0642311,Math,F,182,182,100.0,182,135,74.2,38,20.9,*,*,*,*,9,4.9,2015-16
Hartford School District,0640011,Burr School,0642311,Math,M,205,205,100.0,205,152,74.1,36,17.6,*,*,*,*,17,8.3,2015-16
Hartford School District,0640011,Capital Preparatory Magnet School,0646911,ELA,F,126,125,99.2,125,37,29.6,35,28.0,43,34.4,10,8.0,53,42.4,2015-16
Hartford School District,0640011,Capital Preparatory Magnet School,0646911,ELA,M,150,148,98.7,148,81,54.7,31,20.9,27,18.2,9,6.1,36,24.3,2015-16
Hartford School District,0640011,Capital Preparatory Magnet School,0646911,Math,F,126,125,99.2,125,57,45.6,46,36.8,*,*,*,*,22,17.6,2015-16
Hartford School District,0640011,Capital Preparatory Magnet School,0646911,Math,M,150,147,98.0,147,81,55.1,39,26.5,*,*,*,*,27,18.4,2015-16
Hartford School District,0640011,Clark School,0642411,ELA,F,82,82,100.0,82,51,62.2,23,28.0,*,*,*,*,*,*,2015-16
Hartford School District,0640011,Clark School,0642411,ELA,M,67,66,98.5,66,50,75.8,*,*,*,*,0,0.0,*,*,2015-16
Hartford School District,0640011,Clark School,0642411,Math,F,82,82,100.0,82,62,75.6,14,17.1,*,*,*,*,*,*,2015-16
Hartford School District,0640011,Clark School,0642411,Math,M,67,67,100.0,67,45,67.2,18,26.9,*,*,*,*,*,*,2015-16
Hartford School District,0640011,Classical Magnet School,0646411,ELA,F,143,143,100.0,143,40,28.0,57,39.9,33,23.1,13,9.1,46,32.2,2015-16
Hartford School District,0640011,Classical Magnet School,0646411,ELA,M,145,145,100.0,145,71,49.0,36,24.8,32,22.1,6,4.1,38,26.2,2015-16
Hartford School District,0640011,Classical Magnet School,0646411,Math,F,143,143,100.0,142,67,47.2,52,36.6,*,*,*,*,23,16.2,2015-16
Hartford School District,0640011,Classical Magnet School,0646411,Math,M,145,143,98.6,143,90,62.9,34,23.8,*,*,*,*,19,13.3,2015-16
Hartford School District,0640011,Dr. James H Naylor/CCSU Leadership Academy,0641411,ELA,F,189,188,99.5,188,66,35.1,49,26.1,55,29.3,18,9.6,73,38.8,2015-16
Hartford School District,0640011,Dr. James H Naylor/CCSU Leadership Academy,0641411,ELA,M,208,208,100.0,208,105,50.5,52,25.0,39,18.8,12,5.8,51,24.5,2015-16
Hartford School District,0640011,Dr. James H Naylor/CCSU Leadership Academy,0641411,Math,F,189,184,97.4,184,101,54.9,59,32.1,15,8.2,9,4.9,24,13.0,2015-16
Hartford School District,0640011,Dr. James H Naylor/CCSU Leadership Academy,0641411,Math,M,206,198,96.1,197,117,59.4,50,25.4,18,9.1,12,6.1,30,15.2,2015-16
Hartford School District,0640011,Dr. Ramon E. Betances Early Reading Lab,0642811,ELA,F,25,25,100.0,25,12,48.0,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,Dr. Ramon E. Betances Early Reading Lab,0642811,ELA,M,28,28,100.0,28,17,60.7,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,Dr. Ramon E. Betances Early Reading Lab,0642811,Math,F,25,25,100.0,25,14,56.0,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,Dr. Ramon E. Betances Early Reading Lab,0642811,Math,M,28,28,100.0,28,18,64.3,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,EDP - Betances Early Reading Lab,0645811,ELA,M,6,6,*,6,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,EDP - Betances Early Reading Lab,0645811,Math,M,6,6,*,6,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,EDP - M.D. Fox,0645911,ELA,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,EDP - M.D. Fox,0645911,ELA,M,*,*,*,*,*,*,*,*,0,0.0,0,0.0,0,0.0,2015-16
Hartford School District,0640011,EDP - M.D. Fox,0645911,Math,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,EDP - M.D. Fox,0645911,Math,M,*,*,*,*,*,*,*,*,0,0.0,0,0.0,0,0.0,2015-16
Hartford School District,0640011,EDP - McDonough Expeditionary Learning School,0648111,ELA,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,EDP - McDonough Expeditionary Learning School,0648111,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,EDP - McDonough Expeditionary Learning School,0648111,Math,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,EDP - McDonough Expeditionary Learning School,0648111,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,Environmental Sciences Magnet School at Mary M Hooker,0640911,ELA,F,147,147,100.0,147,36,24.5,34,23.1,42,28.6,35,23.8,77,52.4,2015-16
Hartford School District,0640011,Environmental Sciences Magnet School at Mary M Hooker,0640911,ELA,M,210,208,99.0,208,67,32.2,52,25.0,54,26.0,35,16.8,89,42.8,2015-16
Hartford School District,0640011,Environmental Sciences Magnet School at Mary M Hooker,0640911,Math,F,147,147,100.0,147,46,31.3,43,29.3,30,20.4,28,19.0,58,39.5,2015-16
Hartford School District,0640011,Environmental Sciences Magnet School at Mary M Hooker,0640911,Math,M,210,208,99.0,208,56,26.9,73,35.1,39,18.8,40,19.2,79,38.0,2015-16
Hartford School District,0640011,Expeditionary Learning Academy at Moylan School,0643211,ELA,F,125,125,100.0,125,71,56.8,25,20.0,23,18.4,6,4.8,29,23.2,2015-16
Hartford School District,0640011,Expeditionary Learning Academy at Moylan School,0643211,ELA,M,140,140,100.0,140,77,55.0,40,28.6,15,10.7,8,5.7,23,16.4,2015-16
Hartford School District,0640011,Expeditionary Learning Academy at Moylan School,0643211,Math,F,124,124,100.0,124,72,58.1,37,29.8,*,*,*,*,15,12.1,2015-16
Hartford School District,0640011,Expeditionary Learning Academy at Moylan School,0643211,Math,M,140,140,100.0,140,71,50.7,45,32.1,*,*,*,*,24,17.1,2015-16
Hartford School District,0640011,Fred D. Wish Museum School,0642211,ELA,F,99,99,100.0,99,60,60.6,24,24.2,*,*,*,*,15,15.2,2015-16
Hartford School District,0640011,Fred D. Wish Museum School,0642211,ELA,M,74,74,100.0,74,53,71.6,14,18.9,*,*,*,*,7,9.5,2015-16
Hartford School District,0640011,Fred D. Wish Museum School,0642211,Math,F,99,97,98.0,97,71,73.2,*,*,*,*,0,0.0,*,*,2015-16
Hartford School District,0640011,Fred D. Wish Museum School,0642211,Math,M,75,73,97.3,73,62,84.9,6,8.2,*,*,*,*,*,*,2015-16
Hartford School District,0640011,Global Communications Academy,0643611,ELA,F,170,168,98.8,168,75,44.6,52,31.0,31,18.5,10,6.0,41,24.4,2015-16
Hartford School District,0640011,Global Communications Academy,0643611,ELA,M,147,146,99.3,146,81,55.5,42,28.8,17,11.6,6,4.1,23,15.8,2015-16
Hartford School District,0640011,Global Communications Academy,0643611,Math,F,170,167,98.2,167,102,61.1,50,29.9,*,*,*,*,15,9.0,2015-16
Hartford School District,0640011,Global Communications Academy,0643611,Math,M,147,146,99.3,146,89,61.0,40,27.4,*,*,*,*,17,11.6,2015-16
Hartford School District,0640011,Hartford Magnet Trinity College Academy,0645411,ELA,F,326,325,99.7,325,101,31.1,67,20.6,116,35.7,41,12.6,157,48.3,2015-16
Hartford School District,0640011,Hartford Magnet Trinity College Academy,0645411,ELA,M,290,290,100.0,290,108,37.2,75,25.9,72,24.8,35,12.1,107,36.9,2015-16
Hartford School District,0640011,Hartford Magnet Trinity College Academy,0645411,Math,F,326,325,99.7,325,153,47.1,106,32.6,42,12.9,24,7.4,66,20.3,2015-16
Hartford School District,0640011,Hartford Magnet Trinity College Academy,0645411,Math,M,290,289,99.7,289,146,50.5,69,23.9,37,12.8,37,12.8,74,25.6,2015-16
Hartford School District,0640011,Kennelly School,0641011,ELA,F,194,193,99.5,193,96,49.7,47,24.4,*,*,*,*,50,25.9,2015-16
Hartford School District,0640011,Kennelly School,0641011,ELA,M,194,192,99.0,192,110,57.3,54,28.1,*,*,*,*,28,14.6,2015-16
Hartford School District,0640011,Kennelly School,0641011,Math,F,194,193,99.5,193,98,50.8,74,38.3,*,*,*,*,21,10.9,2015-16
Hartford School District,0640011,Kennelly School,0641011,Math,M,194,192,99.0,192,101,52.6,65,33.9,*,*,*,*,26,13.5,2015-16
Hartford School District,0640011,LC - Burns,0649611,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,LC - Burns,0649611,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,LC - Moylan,0649811,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,LC - Moylan,0649811,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,M. D. Fox Elementary School,0640811,ELA,F,177,177,100.0,177,113,63.8,32,18.1,*,*,*,*,32,18.1,2015-16
Hartford School District,0640011,M. D. Fox Elementary School,0640811,ELA,M,163,163,100.0,163,114,69.9,36,22.1,*,*,*,*,13,8.0,2015-16
Hartford School District,0640011,M. D. Fox Elementary School,0640811,Math,F,177,177,100.0,177,121,68.4,42,23.7,*,*,*,*,14,7.9,2015-16
Hartford School District,0640011,M. D. Fox Elementary School,0640811,Math,M,163,163,100.0,163,108,66.3,37,22.7,*,*,*,*,18,11.0,2015-16
Hartford School District,0640011,M. L. King School,0641611,ELA,F,95,95,100.0,95,63,66.3,20,21.1,*,*,*,*,12,12.6,2015-16
Hartford School District,0640011,M. L. King School,0641611,ELA,M,112,112,100.0,112,75,67.0,21,18.8,*,*,*,*,16,14.3,2015-16
Hartford School District,0640011,M. L. King School,0641611,Math,F,95,95,100.0,95,77,81.1,14,14.7,*,*,*,*,*,*,2015-16
Hartford School District,0640011,M. L. King School,0641611,Math,M,112,112,100.0,112,76,67.9,*,*,*,*,0,0.0,*,*,2015-16
Hartford School District,0640011,MDP - Batchelder School,0644811,ELA,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,MDP - Batchelder School,0644811,Math,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,McDonough Expeditionary Learning School,0641211,ELA,F,123,122,99.2,122,61,50.0,45,36.9,*,*,*,*,16,13.1,2015-16
Hartford School District,0640011,McDonough Expeditionary Learning School,0641211,ELA,M,122,122,100.0,122,93,76.2,22,18.0,7,5.7,0,0.0,7,5.7,2015-16
Hartford School District,0640011,McDonough Expeditionary Learning School,0641211,Math,F,123,122,99.2,122,95,77.9,*,*,*,*,0,0.0,*,*,2015-16
Hartford School District,0640011,McDonough Expeditionary Learning School,0641211,Math,M,120,120,100.0,120,98,81.7,*,*,*,*,0,0.0,*,*,2015-16
Hartford School District,0640011,Milner Elementary School,0641911,ELA,F,112,112,100.0,112,78,69.6,23,20.5,*,*,*,*,*,*,2015-16
Hartford School District,0640011,Milner Elementary School,0641911,ELA,M,98,98,100.0,98,78,79.6,*,*,*,*,0,0.0,*,*,2015-16
Hartford School District,0640011,Milner Elementary School,0641911,Math,F,112,112,100.0,112,93,83.0,*,*,*,*,0,0.0,*,*,2015-16
Hartford School District,0640011,Milner Elementary School,0641911,Math,M,97,96,99.0,96,84,87.5,*,*,*,*,0,0.0,*,*,2015-16
Hartford School District,0640011,Montessori Magnet School at Annie Fisher,0643711,ELA,F,66,66,100.0,66,17,25.8,16,24.2,23,34.8,10,15.2,33,50.0,2015-16
Hartford School District,0640011,Montessori Magnet School at Annie Fisher,0643711,ELA,M,39,39,100.0,39,11,28.2,11,28.2,10,25.6,7,17.9,17,43.6,2015-16
Hartford School District,0640011,Montessori Magnet School at Annie Fisher,0643711,Math,F,66,65,98.5,65,35,53.8,18,27.7,*,*,*,*,12,18.5,2015-16
Hartford School District,0640011,Montessori Magnet School at Annie Fisher,0643711,Math,M,39,39,100.0,38,17,44.7,7,18.4,*,*,*,*,14,36.8,2015-16
Hartford School District,0640011,Montessori Magnet at Moylan School,0640511,ELA,F,27,27,100.0,27,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,Montessori Magnet at Moylan School,0640511,ELA,M,20,20,100.0,20,*,*,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,Montessori Magnet at Moylan School,0640511,Math,F,27,27,100.0,27,10,37.0,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,Montessori Magnet at Moylan School,0640511,Math,M,20,20,100.0,20,11,55.0,*,*,*,*,*,*,*,*,2015-16
Hartford School District,0640011,Noah Webster Micro Society School,0642011,ELA,F,163,163,100.0,163,40,24.5,45,27.6,48,29.4,30,18.4,78,47.9,2015-16
Hartford School District,0640011,Noah Webster Micro Society School,0642011,ELA,M,187,186,99.5,186,80,43.0,38,20.4,42,22.6,26,14.0,68,36.6,2015-16
Hartford School District,0640011,Noah Webster Micro Society School,0642011,Math,F,163,162,99.4,162,44,27.2,65,40.1,34,21.0,19,11.7,53,32.7,2015-16
Hartford School District,0640011,Noah Webster Micro Society School,0642011,Math,M,187,185,98.9,185,71,38.4,58,31.4,35,18.9,21,11.4,56,30.3,2015-16
Hartford School District,0640011,Parkville Community School,0641511,ELA,F,118,118,100.0,118,77,65.3,22,18.6,*,*,*,*,19,16.1,2015-16
Hartford School District,0640011,Parkville Community School,0641511,ELA,M,125,124,99.2,124,76,61.3,33,26.6,*,*,*,*,15,12.1,2015-16
Hartford School District,0640011,Parkville Community School,0641511,Math,F,118,118,100.0,118,80,67.8,27,22.9,*,*,*,*,11,9.3,2015-16
Hartford School District,0640011,Parkville Community School,0641511,Math,M,125,124,99.2,124,77,62.1,37,29.8,*,*,*,*,10,8.1,2015-16
Hartford School District,0640011,R.J. Kinsella Magnet School of Performing Arts,0641111,ELA,F,292,292,100.0,292,68,23.3,87,29.8,90,30.8,47,16.1,137,46.9,2015-16
Hartford School District,0640011,R.J. Kinsella Magnet School of Performing Arts,0641111,ELA,M,155,155,100.0,155,63,40.6,36,23.2,44,28.4,12,7.7,56,36.1,2015-16
Hartford School District,0640011,R.J. Kinsella Magnet School of Performing Arts,0641111,Math,F,292,291,99.7,291,115,39.5,104,35.7,53,18.2,19,6.5,72,24.7,2015-16
Hartford School District,0640011,R.J. Kinsella Magnet School of Performing Arts,0641111,Math,M,155,155,100.0,155,77,49.7,51,32.9,18,11.6,9,5.8,27,17.4,2015-16
Hartford School District,0640011,Renzulli Academy,0644011,ELA,F,60,45,75.0,45,6,13.3,7,15.6,22,48.9,10,22.2,32,71.1,2015-16
Hartford School District,0640011,Renzulli Academy,0644011,ELA,M,52,44,84.6,44,6,13.6,9,20.5,18,40.9,11,25.0,29,65.9,2015-16
Hartford School District,0640011,Renzulli Academy,0644011,Math,F,60,45,75.0,45,*,*,18,40.0,13,28.9,*,*,*,*,2015-16
Hartford School District,0640011,Renzulli Academy,0644011,Math,M,52,45,86.5,45,*,*,17,37.8,19,42.2,*,*,*,*,2015-16
Hartford School District,0640011,SAND School,0640111,ELA,F,108,107,99.1,107,69,64.5,27,25.2,*,*,*,*,11,10.3,2015-16
Hartford School District,0640011,SAND School,0640111,ELA,M,116,113,97.4,113,74,65.5,31,27.4,8,7.1,0,0.0,8,7.1,2015-16
Hartford School District,0640011,SAND School,0640111,Math,F,108,105,97.2,105,88,83.8,*,*,*,*,0,0.0,*,*,2015-16
Hartford School District,0640011,SAND School,0640111,Math,M,116,113,97.4,113,95,84.1,*,*,*,*,0,0.0,*,*,2015-16
Hartford School District,0640011,STEM Magnet School at Annie Fisher,0642511,ELA,F,90,85,94.4,85,8,9.4,12,14.1,36,42.4,29,34.1,65,76.5,2015-16
Hartford School District,0640011,STEM Magnet School at Annie Fisher,0642511,ELA,M,149,144,96.6,144,28,19.4,22,15.3,55,38.2,39,27.1,94,65.3,2015-16
Hartford School District,0640011,STEM Magnet School at Annie Fisher,0642511,Math,F,90,85,94.4,85,14,16.5,18,21.2,20,23.5,33,38.8,53,62.4,2015-16
Hartford School District,0640011,STEM Magnet School at Annie Fisher,0642511,Math,M,149,144,96.6,144,26,18.1,40,27.8,36,25.0,42,29.2,78,54.2,2015-16
Hartford School District,0640011,STEM Magnet School at Dwight,0643811,ELA,F,113,113,100.0,113,45,39.8,31,27.4,27,23.9,10,8.8,37,32.7,2015-16
Hartford School District,0640011,STEM Magnet School at Dwight,0643811,ELA,M,182,182,100.0,182,71,39.0,45,24.7,43,23.6,23,12.6,66,36.3,2015-16
Hartford School District,0640011,STEM Magnet School at Dwight,0643811,Math,F,113,113,100.0,113,58,51.3,32,28.3,13,11.5,10,8.8,23,20.4,2015-16
Hartford School District,0640011,STEM Magnet School at Dwight,0643811,Math,M,182,182,100.0,182,80,44.0,54,29.7,21,11.5,27,14.8,48,26.4,2015-16
Hartford School District,0640011,Sanchez School,0643011,ELA,F,92,92,100.0,92,49,53.3,25,27.2,*,*,*,*,18,19.6,2015-16
Hartford School District,0640011,Sanchez School,0643011,ELA,M,95,94,98.9,94,51,54.3,*,*,20,21.3,*,*,*,*,2015-16
Hartford School District,0640011,Sanchez School,0643011,Math,F,92,92,100.0,92,50,54.3,30,32.6,*,*,*,*,12,13.0,2015-16
Hartford School District,0640011,Sanchez School,0643011,Math,M,95,94,98.9,94,49,52.1,26,27.7,*,*,*,*,19,20.2,2015-16
Hartford School District,0640011,Sarah J. Rawson Elementary School,0641711,ELA,F,133,131,98.5,131,67,51.1,38,29.0,*,*,*,*,26,19.8,2015-16
Hartford School District,0640011,Sarah J. Rawson Elementary School,0641711,ELA,M,136,134,98.5,134,82,61.2,37,27.6,15,11.2,0,0.0,15,11.2,2015-16
Hartford School District,0640011,Sarah J. Rawson Elementary School,0641711,Math,F,133,127,95.5,127,74,58.3,40,31.5,*,*,*,*,13,10.2,2015-16
Hartford School District,0640011,Sarah J. Rawson Elementary School,0641711,Math,M,136,131,96.3,131,86,65.6,35,26.7,10,7.6,0,0.0,10,7.6,2015-16
Hartford School District,0640011,Simpson-Waverly School,0642611,ELA,F,89,89,100.0,89,53,59.6,26,29.2,*,*,*,*,10,11.2,2015-16
Hartford School District,0640011,Simpson-Waverly School,0642611,ELA,M,80,80,100.0,80,48,60.0,24,30.0,*,*,*,*,8,10.0,2015-16
Hartford School District,0640011,Simpson-Waverly School,0642611,Math,F,89,89,100.0,89,67,75.3,*,*,*,*,0,0.0,*,*,2015-16
Hartford School District,0640011,Simpson-Waverly School,0642611,Math,M,79,77,97.5,77,62,80.5,*,*,*,*,0,0.0,*,*,2015-16
Hartford School District,0640011,Sports and Medical Sciences Academy,0646511,ELA,F,91,91,100.0,91,32,35.2,20,22.0,32,35.2,7,7.7,39,42.9,2015-16
Hartford School District,0640011,Sports and Medical Sciences Academy,0646511,ELA,M,174,174,100.0,174,88,50.6,44,25.3,30,17.2,12,6.9,42,24.1,2015-16
Hartford School District,0640011,Sports and Medical Sciences Academy,0646511,Math,F,91,91,100.0,91,36,39.6,30,33.0,17,18.7,8,8.8,25,27.5,2015-16
Hartford School District,0640011,Sports and Medical Sciences Academy,0646511,Math,M,174,174,100.0,174,92,52.9,47,27.0,24,13.8,11,6.3,35,20.1,2015-16
Hartford School District,0640011,West Middle School,0642111,ELA,F,114,113,99.1,113,47,41.6,33,29.2,*,*,*,*,33,29.2,2015-16
Hartford School District,0640011,West Middle School,0642111,ELA,M,131,130,99.2,130,71,54.6,36,27.7,*,*,*,*,23,17.7,2015-16
Hartford School District,0640011,West Middle School,0642111,Math,F,114,112,98.2,112,54,48.2,34,30.4,16,14.3,8,7.1,24,21.4,2015-16
Hartford School District,0640011,West Middle School,0642111,Math,M,131,130,99.2,130,74,56.9,33,25.4,16,12.3,7,5.4,23,17.7,2015-16
Hartland School District,0650011,Hartland School,0650111,ELA,F,55,55,100.0,55,6,10.9,8,14.5,21,38.2,20,36.4,41,74.5,2015-16
Hartland School District,0650011,Hartland School,0650111,ELA,M,71,71,100.0,71,8,11.3,18,25.4,30,42.3,15,21.1,45,63.4,2015-16
Hartland School District,0650011,Hartland School,0650111,Math,F,55,55,100.0,55,15,27.3,15,27.3,12,21.8,13,23.6,25,45.5,2015-16
Hartland School District,0650011,Hartland School,0650111,Math,M,71,70,98.6,70,7,10.0,23,32.9,22,31.4,18,25.7,40,57.1,2015-16
Hebron School District,0670011,Hebron Elementary School,0670111,ELA,F,203,203,100.0,203,27,13.3,36,17.7,78,38.4,62,30.5,140,69.0,2015-16
Hebron School District,0670011,Hebron Elementary School,0670111,ELA,M,232,232,100.0,232,39,16.8,54,23.3,88,37.9,51,22.0,139,59.9,2015-16
Hebron School District,0670011,Hebron Elementary School,0670111,Math,F,203,203,100.0,203,25,12.3,70,34.5,78,38.4,30,14.8,108,53.2,2015-16
Hebron School District,0670011,Hebron Elementary School,0670111,Math,M,232,232,100.0,232,29,12.5,54,23.3,99,42.7,50,21.6,149,64.2,2015-16
Highville Charter School District,2860013,Highville Charter School,2860113,ELA,F,121,121,100.0,121,35,28.9,43,35.5,29,24.0,14,11.6,43,35.5,2015-16
Highville Charter School District,2860013,Highville Charter School,2860113,ELA,M,110,110,100.0,110,46,41.8,30,27.3,28,25.5,6,5.5,34,30.9,2015-16
Highville Charter School District,2860013,Highville Charter School,2860113,Math,F,121,121,100.0,121,52,43.0,50,41.3,*,*,*,*,19,15.7,2015-16
Highville Charter School District,2860013,Highville Charter School,2860113,Math,M,110,110,100.0,110,50,45.5,33,30.0,*,*,*,*,27,24.5,2015-16
Integrated Day Charter School District,2640013,Integrated Day Charter School,2640113,ELA,F,93,93,100.0,93,23,24.7,23,24.7,36,38.7,11,11.8,47,50.5,2015-16
Integrated Day Charter School District,2640013,Integrated Day Charter School,2640113,ELA,M,106,106,100.0,103,27,26.2,26,25.2,35,34.0,15,14.6,50,48.5,2015-16
Integrated Day Charter School District,2640013,Integrated Day Charter School,2640113,Math,F,93,91,97.8,91,37,40.7,28,30.8,18,19.8,8,8.8,26,28.6,2015-16
Integrated Day Charter School District,2640013,Integrated Day Charter School,2640113,Math,M,106,102,96.2,101,32,31.7,37,36.6,20,19.8,12,11.9,32,31.7,2015-16
Interdistrict School for Arts and Comm District,2650013,Interdistrict School For Arts And Communication,2655113,ELA,F,129,127,98.4,127,31,24.4,46,36.2,41,32.3,9,7.1,50,39.4,2015-16
Interdistrict School for Arts and Comm District,2650013,Interdistrict School For Arts And Communication,2655113,ELA,M,133,132,99.2,132,58,43.9,40,30.3,27,20.5,7,5.3,34,25.8,2015-16
Interdistrict School for Arts and Comm District,2650013,Interdistrict School For Arts And Communication,2655113,Math,F,129,127,98.4,127,68,53.5,42,33.1,*,*,*,*,17,13.4,2015-16
Interdistrict School for Arts and Comm District,2650013,Interdistrict School For Arts And Communication,2655113,Math,M,133,131,98.5,131,89,67.9,34,26.0,*,*,*,*,8,6.1,2015-16
Jumoke Academy District,2610013,Jumoke Academy,2610113,ELA,F,219,219,100.0,219,59,26.9,64,29.2,69,31.5,27,12.3,96,43.8,2015-16
Jumoke Academy District,2610013,Jumoke Academy,2610113,ELA,M,200,199,99.5,199,78,39.2,56,28.1,44,22.1,21,10.6,65,32.7,2015-16
Jumoke Academy District,2610013,Jumoke Academy,2610113,Math,F,219,219,100.0,219,104,47.5,69,31.5,31,14.2,15,6.8,46,21.0,2015-16
Jumoke Academy District,2610013,Jumoke Academy,2610113,Math,M,200,200,100.0,200,89,44.5,72,36.0,32,16.0,7,3.5,39,19.5,2015-16
Kent School District,0680011,Kent Center School,0680111,ELA,F,74,69,93.2,69,*,*,*,*,23,33.3,34,49.3,57,82.6,2015-16
Kent School District,0680011,Kent Center School,0680111,ELA,M,84,82,97.6,82,*,*,*,*,34,41.5,29,35.4,63,76.8,2015-16
Kent School District,0680011,Kent Center School,0680111,Math,F,74,69,93.2,69,*,*,*,*,29,42.0,18,26.1,47,68.1,2015-16
Kent School District,0680011,Kent Center School,0680111,Math,M,84,82,97.6,82,*,*,*,*,31,37.8,27,32.9,58,70.7,2015-16
Killingly School District,0690011,Killingly Intermediate School,0695211,ELA,F,329,325,98.8,325,34,10.5,70,21.5,154,47.4,67,20.6,221,68.0,2015-16
Killingly School District,0690011,Killingly Intermediate School,0695211,ELA,M,336,331,98.5,331,44,13.3,91,27.5,137,41.4,59,17.8,196,59.2,2015-16
Killingly School District,0690011,Killingly Intermediate School,0695211,Math,F,329,324,98.5,324,101,31.2,124,38.3,73,22.5,26,8.0,99,30.6,2015-16
Killingly School District,0690011,Killingly Intermediate School,0695211,Math,M,336,331,98.5,331,104,31.4,104,31.4,89,26.9,34,10.3,123,37.2,2015-16
Killingly School District,0690011,Killingly Memorial School,0690311,ELA,F,178,178,100.0,178,36,20.2,43,24.2,51,28.7,48,27.0,99,55.6,2015-16
Killingly School District,0690011,Killingly Memorial School,0690311,ELA,M,144,144,100.0,144,43,29.9,45,31.3,32,22.2,24,16.7,56,38.9,2015-16
Killingly School District,0690011,Killingly Memorial School,0690311,Math,F,178,178,100.0,178,39,21.9,63,35.4,57,32.0,19,10.7,76,42.7,2015-16
Killingly School District,0690011,Killingly Memorial School,0690311,Math,M,144,144,100.0,144,32,22.2,64,44.4,34,23.6,14,9.7,48,33.3,2015-16
