"phys","phys4","phys6","phys8","phys10","school_code","year"
"All Tests - District ","43.1","44.9","43.2","18.4","0152211","201314"
"Sit & Reach ","94.6","92.5","98.7","N/A","0152211","201415"
"Curl Up ","41.1","79.2","84.6","N/A","0152211","201415"
"Push Up ","37.5","75.5","70.5","N/A","0152211","201415"
"Mile Run/PACER ","75","62.3","52.6","N/A","0152211","201415"
"All Tests - School ","28.6","45.3","42.3","N/A","0152211","201415"
"All Tests - District ","35.7","34.1","32.7","46.1","0152211","201415"
"Sit & Reach ","93.8","89.5","96.1","N/A","0152211","201516"
"Curl Up ","81.3","84.2","72.4","N/A","0152211","201516"
"Push Up ","75","59.6","56.6","N/A","0152211","201516"
"Mile Run/PACER ","87.5","61.4","48.7","N/A","0152211","201516"
"All Tests - School ","58.3","40.4","35.5","N/A","0152211","201516"
"All Tests - District ","42.5","36.5","39","28.6","0152211","201516"
"Sit & Reach ","95.5","73","80.9",".","0152511","201314"
"Curl Up ","85.2","97.3","88.8",".","0152511","201314"
"Push Up ","55.7","59.5","59.6",".","0152511","201314"
"Mile Run/PACER ","83","87.8","84.3",".","0152511","201314"
"All Tests - School ","40.9","41.9","52.8",".","0152511","201314"
"All Tests - District ","43.1","44.9","43.2","18.4","0152511","201314"
"Sit & Reach ","98.8","69.3","82.4","N/A","0152511","201415"
"Curl Up ","85.7","97.3","95.6","N/A","0152511","201415"
"Push Up ","51.2","69.3","50.5","N/A","0152511","201415"
"Mile Run/PACER ","58.3","65.3","63.7","N/A","0152511","201415"
"All Tests - School ","38.1","34.7","34.1","N/A","0152511","201415"
"All Tests - District ","35.7","34.1","32.7","46.1","0152511","201415"
"Sit & Reach ","97.7","79.5","83.9","N/A","0152511","201516"
"Curl Up ","85.1","79.5","95.4","N/A","0152511","201516"
"Push Up ","48.3","43.4","64.4","N/A","0152511","201516"
"Mile Run/PACER ","69","72.3","86.2","N/A","0152511","201516"
"All Tests - School ","36.8","26.5","43.7","N/A","0152511","201516"
"All Tests - District ","42.5","36.5","39","28.6","0152511","201516"
"Sit & Reach ","89.2 ","71.4 ","62.8 ",".","0152611","201314"
"Curl Up ","83.8 ","67.9 ","67.4 ",".","0152611","201314"
"Push Up ","62.2 ","42.9 ","46.5 ",".","0152611","201314"
"Mile Run/PACER ","35.1 ","32.1 ","* ",".","0152611","201314"
"All Tests - School ","* ","* ","* ",".","0152611","201314"
"All Tests - District ","43.1 ","44.9 ","43.2 ","18.4","0152611","201314"
"Sit & Reach ","34.9 ","50.0 ","51.6 ","N/A","0152611","201415"
"Curl Up ","62.8 ","57.9 ","67.7 ","N/A","0152611","201415"
"Push Up ","39.5 ","34.2 ","35.5 ","N/A","0152611","201415"
"Mile Run/PACER ","51.2 ","28.9 ","* ","N/A","0152611","201415"
"All Tests - School ","* ","* ","* ","N/A","0152611","201415"
"All Tests - District ","35.7 ","34.1 ","32.7 ","46.1","0152611","201415"
"Sit & Reach ","92.3","65.9","100.0 ","N/A","0152611","201516"
"Curl Up ","69.2","100","95.1 ","N/A","0152611","201516"
"Push Up ","76.9","43.2","39.0 ","N/A","0152611","201516"
"Mile Run/PACER ","0","0","14.6 ","N/A","0152611","201516"
"All Tests - School ","0","0","* ","N/A","0152611","201516"
"All Tests - District ","42.5","36.5","39.0 ","28.6","0152611","201516"
"Sit & Reach ","82","83.3","84.8",".","0153011","201314"
"Curl Up ","77","81.5","84.8",".","0153011","201314"
"Push Up ","57.4","63","73.9",".","0153011","201314"
"Mile Run/PACER ","65.6","77.8","78.3",".","0153011","201314"
"All Tests - School ","42.6","59.3","67.4",".","0153011","201314"
"All Tests - District ","43.1","44.9","43.2","18.4","0153011","201314"
"Sit & Reach ","56.3","97.4","94.3","N/A","0153011","201415"
"Curl Up ","83.3","82.1","82.9","N/A","0153011","201415"
"Push Up ","50","64.1","68.6","N/A","0153011","201415"
"Mile Run/PACER ","60.4","69.2","65.7","N/A","0153011","201415"
"All Tests - School ","47.9","48.7","60","N/A","0153011","201415"
"All Tests - District ","35.7","34.1","32.7","46.1","0153011","201415"
"Sit & Reach ","86.8","86","78.3","N/A","0153011","201516"
"Curl Up ","83","86","89.1","N/A","0153011","201516"
"Push Up ","62.3","72.1","63","N/A","0153011","201516"
"Mile Run/PACER ","75.5","81.4","78.3","N/A","0153011","201516"
"All Tests - School ","62.3","72.1","63","N/A","0153011","201516"
"All Tests - District ","42.5","36.5","39","28.6","0153011","201516"
"Sit & Reach ","86.1","84.3","83.7",".","0153211","201314"
"Curl Up ","86.1","92.9","89.5",".","0153211","201314"
"Push Up ","74.7","87.1","86",".","0153211","201314"
"Mile Run/PACER ","78.5","81.4","53.5",".","0153211","201314"
"All Tests - School ","57","67.1","51.2",".","0153211","201314"
"All Tests - District ","43.1","44.9","43.2","18.4","0153211","201314"
"Sit & Reach ","55.2","65.8","52.9 ","N/A","0153211","201415"
"Curl Up ","49.4","42.5","40.0 ","N/A","0153211","201415"
"Push Up ","26.4","31.5","23.5 ","N/A","0153211","201415"
"Mile Run/PACER ","58.6","53.4","47.1 ","N/A","0153211","201415"
"All Tests - School ","13.8","13.7","* ","N/A","0153211","201415"
"All Tests - District ","35.7","34.1","32.7 ","46.1","0153211","201415"
"Sit & Reach ","57.8","70.4","61.8","N/A","0153211","201516"
"Curl Up ","73.5","77.8","70.6","N/A","0153211","201516"
"Push Up ","36.1","53.1","48.5","N/A","0153211","201516"
"Mile Run/PACER ","60.2","69.1","42.6","N/A","0153211","201516"
"All Tests - School ","15.7","21","13.2","N/A","0153211","201516"
"All Tests - District ","42.5","36.5","39","28.6","0153211","201516"
"Sit & Reach ","58.9","50.8","60.2",".","0153611","201314"
"Curl Up ","87.7","77.8","79.5",".","0153611","201314"
"Push Up ","80.8","66.7","61.4",".","0153611","201314"
"Mile Run/PACER ","67.1","65.1","66.3",".","0153611","201314"
"All Tests - School ","49.3","39.7","56.6",".","0153611","201314"
"All Tests - District ","43.1","44.9","43.2","18.4","0153611","201314"
"Sit & Reach ","73.1","70.5","79.2","N/A","0153611","201415"
"Curl Up ","64.2","82","52.8","N/A","0153611","201415"
"Push Up ","61.2","78.7","51.4","N/A","0153611","201415"
"Mile Run/PACER ","59.7","67.2","59.7","N/A","0153611","201415"
"All Tests - School ","47.8","45.9","41.7","N/A","0153611","201415"
"All Tests - District ","35.7","34.1","32.7","46.1","0153611","201415"
"Sit & Reach ","75.6","60","69.6","N/A","0153611","201516"
"Curl Up ","93.3","80","89.1","N/A","0153611","201516"
"Push Up ","60","65","63","N/A","0153611","201516"
"Mile Run/PACER ","62.2","55","67.4","N/A","0153611","201516"
"All Tests - School ","60","55","54.3","N/A","0153611","201516"
"All Tests - District ","42.5","36.5","39","28.6","0153611","201516"
"Sit & Reach ","73.3","67.4","65.2",".","0153711","201314"
"Curl Up ","82.2","82.6","82.6",".","0153711","201314"
"Push Up ","88.9","82.6","78.3",".","0153711","201314"
"Mile Run/PACER ","75.6","89.1","65.2",".","0153711","201314"
"All Tests - School ","42.2","41.3","37",".","0153711","201314"
"All Tests - District ","43.1","44.9","43.2","18.4","0153711","201314"
"Sit & Reach ","65.2","77.1","72.3","N/A","0153711","201415"
"Curl Up ","91.3","95.8","76.6","N/A","0153711","201415"
"Push Up ","87","85.4","80.9","N/A","0153711","201415"
"Mile Run/PACER ","87","89.6","66","N/A","0153711","201415"
"All Tests - School ","58.7","62.5","44.7","N/A","0153711","201415"
"All Tests - District ","35.7","34.1","32.7","46.1","0153711","201415"
"Sit & Reach ","79.5","75","79.5","N/A","0153711","201516"
"Curl Up ","88.6","88.6","93.2","N/A","0153711","201516"
"Push Up ","88.6","86.4","88.6","N/A","0153711","201516"
"Mile Run/PACER ","79.5","72.7","77.3","N/A","0153711","201516"
"All Tests - School ","59.1","47.7","63.6","N/A","0153711","201516"
"All Tests - District ","42.5","36.5","39","28.6","0153711","201516"
"Sit & Reach ","64.5","48.6","79.2",".","0153911","201314"
"Curl Up ","83.9","74.3","49.1",".","0153911","201314"
"Push Up ","64.5","51.4","79.2",".","0153911","201314"
"Mile Run/PACER ","67.7","60","81.1",".","0153911","201314"
"All Tests - School ","22.6","20","32.1",".","0153911","201314"
"All Tests - District ","43.1","44.9","43.2","18.4","0153911","201314"
"Sit & Reach ","61.8","71.4 ","92.6","N/A","0153911","201415"
"Curl Up ","61.8","66.7 ","63","N/A","0153911","201415"
"Push Up ","85.3","76.2 ","77.8","N/A","0153911","201415"
"Mile Run/PACER ","67.6","47.6 ","66.7","N/A","0153911","201415"
"All Tests - School ","32.4","* ","33.3","N/A","0153911","201415"
"All Tests - District ","35.7","34.1 ","32.7","46.1","0153911","201415"
"Sit & Reach ","92.9","82.6","58.5","N/A","0153911","201516"
"Curl Up ","92.9","69.6","48.8","N/A","0153911","201516"
"Push Up ","67.9","56.5","65.9","N/A","0153911","201516"
"Mile Run/PACER ","82.1","52.2","78","N/A","0153911","201516"
"All Tests - School ","50","39.1","39","N/A","0153911","201516"
"All Tests - District ","42.5","36.5","39","28.6","0153911","201516"
"Sit & Reach ","80.7","88","80.1",".","0154011","201314"
"Curl Up ","72.8","91.6","83.4",".","0154011","201314"
"Push Up ","43.9","91.6","66.9",".","0154011","201314"
"Mile Run/PACER ","46.5","69.9","47.5",".","0154011","201314"
"All Tests - School ","39.5","57.8","37",".","0154011","201314"
"All Tests - District ","43.1","44.9","43.2","18.4","0154011","201314"
"Sit & Reach ","84","97.7","92.1","N/A","0154011","201415"
"Curl Up ","91.5","100","83.5","N/A","0154011","201415"
"Push Up ","85.1","90.7","40.9","N/A","0154011","201415"
"Mile Run/PACER ","46.8","11.6","10.2","N/A","0154011","201415"
"All Tests - School ","35.1","11.6","7.9","N/A","0154011","201415"
"All Tests - District ","35.7","34.1","32.7","46.1","0154011","201415"
"Sit & Reach ","83.5","74.1","82.1","N/A","0154011","201516"
"Curl Up ","91.7","65.7","82.8","N/A","0154011","201516"
"Push Up ","86.2","69.4","77.2","N/A","0154011","201516"
"Mile Run/PACER ","72.5","68.5","86.2","N/A","0154011","201516"
"All Tests - School ","64.2","63.9","74.5","N/A","0154011","201516"
"All Tests - District ","42.5","36.5","39","28.6","0154011","201516"
"Sit & Reach ","79.2","* ","94.6",".","0154111","201314"
"Curl Up ","87.5","* ","94.6",".","0154111","201314"
"Push Up ","66.7","* ","81.1",".","0154111","201314"
"Mile Run/PACER ","66.7","* ","73",".","0154111","201314"
"All Tests - School ","62.5","* ","73",".","0154111","201314"
"All Tests - District ","43.1","44.9 ","43.2","18.4","0154111","201314"
"Sit & Reach ","78.4","70","81.1","N/A","0154111","201415"
"Curl Up ","78.4","70","83.8","N/A","0154111","201415"
"Push Up ","54.1","70","59.5","N/A","0154111","201415"
"Mile Run/PACER ","67.6","75","64.9","N/A","0154111","201415"
"All Tests - School ","51.4","65","59.5","N/A","0154111","201415"
"All Tests - District ","35.7","34.1","32.7","46.1","0154111","201415"
"Sit & Reach ","84.4","* ","68.8","N/A","0154111","201516"
"Curl Up ","71.1","* ","72.9","N/A","0154111","201516"
"Push Up ","66.7","* ","50","N/A","0154111","201516"
"Mile Run/PACER ","86.7","* ","62.5","N/A","0154111","201516"
"All Tests - School ","62.2","* ","45.8","N/A","0154111","201516"
"All Tests - District ","42.5","36.5 ","39","28.6","0154111","201516"
"Sit & Reach ","94.5","87.1","81.1",".","0154211","201314"
"Curl Up ","93.2","91.4","93.4",".","0154211","201314"
"Push Up ","90.4","72.9","62.3",".","0154211","201314"
"Mile Run/PACER ","67.1","71.4","77.4",".","0154211","201314"
"All Tests - School ","67.1","57.1","54.7",".","0154211","201314"
"All Tests - District ","43.1","44.9","43.2","18.4","0154211","201314"
"Sit & Reach ","94.6","78.6","78.9","N/A","0154211","201415"
"Curl Up ","95.9","90","94.7","N/A","0154211","201415"
"Push Up ","91.9","52.9","66.7","N/A","0154211","201415"
"Mile Run/PACER ","82.4","75.7","78.9","N/A","0154211","201415"
"All Tests - School ","81.1","38.6","57.9","N/A","0154211","201415"
"All Tests - District ","35.7","34.1","32.7","46.1","0154211","201415"
"Sit & Reach ","84","81.4","81.1","N/A","0154211","201516"
"Curl Up ","98.7","94.3","95.8","N/A","0154211","201516"
"Push Up ","90.7","65.7","67.4","N/A","0154211","201516"
"Mile Run/PACER ","93.3","88.6","92.6","N/A","0154211","201516"
"All Tests - School ","74.7","50","55.8","N/A","0154211","201516"
"All Tests - District ","42.5","36.5","39","28.6","0154211","201516"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0154411","201314"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0154411","201314"
"Push Up ","N/A ","N/A ","N/A ","N/A","0154411","201314"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0154411","201314"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0154411","201314"
"All Tests - District ","43.1 ","44.9 ","43.2 ","18.4","0154411","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0154411","201415"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0154411","201415"
"Push Up ","N/A ","N/A ","N/A ","N/A","0154411","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0154411","201415"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0154411","201415"
"All Tests - District ","35.7 ","34.1 ","32.7 ","46.1","0154411","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0154411","201516"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0154411","201516"
"Push Up ","N/A ","N/A ","N/A ","N/A","0154411","201516"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0154411","201516"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0154411","201516"
"All Tests - District ","42.5 ","36.5 ","39.0 ","28.6","0154411","201516"
"Sit & Reach ","62.8","58.7","48.9",".","0154511","201314"
"Curl Up ","100","100","97.9",".","0154511","201314"
"Push Up ","39.5","50","42.6",".","0154511","201314"
"Mile Run/PACER ","74.4","71.7","78.7",".","0154511","201314"
"All Tests - School ","27.9","37","21.3",".","0154511","201314"
"All Tests - District ","43.1","44.9","43.2","18.4","0154511","201314"
"Sit & Reach ","61.7","53.7","65.1","N/A","0154511","201415"
"Curl Up ","100","100","100","N/A","0154511","201415"
"Push Up ","40.4","41.5","58.1","N/A","0154511","201415"
"Mile Run/PACER ","57.4","46.3","55.8","N/A","0154511","201415"
"All Tests - School ","27.7","14.6","32.6","N/A","0154511","201415"
"All Tests - District ","35.7","34.1","32.7","46.1","0154511","201415"
"Sit & Reach ","56.8","50","57.1","N/A","0154511","201516"
"Curl Up ","100","100","100","N/A","0154511","201516"
"Push Up ","61.4","57.1","42.9","N/A","0154511","201516"
"Mile Run/PACER ","61.4","71.4","88.1","N/A","0154511","201516"
"All Tests - School ","31.8","38.1","35.7","N/A","0154511","201516"
"All Tests - District ","42.5","36.5","39","28.6","0154511","201516"
"Sit & Reach ","95.7","52.3","65.3",".","0154611","201314"
"Curl Up ","100","100","98",".","0154611","201314"
"Push Up ","51.1","43.2","63.3",".","0154611","201314"
"Mile Run/PACER ","74.5","59.1","71.4",".","0154611","201314"
"All Tests - School ","40.4","18.2","34.7",".","0154611","201314"
"All Tests - District ","43.1","44.9","43.2","18.4","0154611","201314"
"Sit & Reach ","81.6","62.5","55.6","N/A","0154611","201415"
"Curl Up ","100","100","100","N/A","0154611","201415"
"Push Up ","71.4","45.8","57.8","N/A","0154611","201415"
"Mile Run/PACER ","46.9","64.6","80","N/A","0154611","201415"
"All Tests - School ","28.6","25","33.3","N/A","0154611","201415"
"All Tests - District ","35.7","34.1","32.7","46.1","0154611","201415"
"Sit & Reach ","70.8","70","58.7","N/A","0154611","201516"
"Curl Up ","100","100","100","N/A","0154611","201516"
"Push Up ","35.4","30","47.8","N/A","0154611","201516"
"Mile Run/PACER ","52.1","80","71.7","N/A","0154611","201516"
"All Tests - School ","20.8","24","30.4","N/A","0154611","201516"
"All Tests - District ","42.5","36.5","39","28.6","0154611","201516"
"Sit & Reach ",". ",". ",". ","27.6 ","0156111","201314"
"Curl Up ",". ",". ",". ","37.9 ","0156111","201314"
"Push Up ",". ",". ",". ","41.4 ","0156111","201314"
"Mile Run/PACER ",". ",". ",". ","* ","0156111","201314"
"All Tests - School ",". ",". ",". ","* ","0156111","201314"
"All Tests - District ","43.1 ","44.9 ","43.2 ","18.4 ","0156111","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","64.5","0156111","201415"
"Curl Up ","N/A ","N/A ","N/A ","51.6","0156111","201415"
"Push Up ","N/A ","N/A ","N/A ","51.6","0156111","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","*","0156111","201415"
"All Tests - School ","N/A ","N/A ","N/A ","*","0156111","201415"
"All Tests - District ","35.7 ","34.1 ","32.7 ","46.1","0156111","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","39","0156111","201516"
"Curl Up ","N/A ","N/A ","N/A ","18.8","0156111","201516"
"Push Up ","N/A ","N/A ","N/A ","23.5","0156111","201516"
"Mile Run/PACER ","N/A ","N/A ","N/A ","21.1","0156111","201516"
"All Tests - School ","N/A ","N/A ","N/A ","4.2","0156111","201516"
"All Tests - District ","42.5 ","36.5 ","39.0 ","28.6","0156111","201516"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A ","0156211","201314"
"Curl Up ","N/A ","N/A ","N/A ","N/A ","0156211","201314"
"Push Up ","N/A ","N/A ","N/A ","N/A ","0156211","201314"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A ","0156211","201314"
"All Tests - School ","N/A ","N/A ","N/A ","N/A ","0156211","201314"
"All Tests - District ","43.1 ","44.9 ","43.2 ","18.4 ","0156211","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","64.7","0156211","201415"
"Curl Up ","N/A ","N/A ","N/A ","57.8","0156211","201415"
"Push Up ","N/A ","N/A ","N/A ","58.8","0156211","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","71.6","0156211","201415"
"All Tests - School ","N/A ","N/A ","N/A ","53.9","0156211","201415"
"All Tests - District ","35.7 ","34.1 ","32.7 ","46.1","0156211","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","84.8","0156211","201516"
"Curl Up ","N/A ","N/A ","N/A ","82.5","0156211","201516"
"Push Up ","N/A ","N/A ","N/A ","64.3","0156211","201516"
"Mile Run/PACER ","N/A ","N/A ","N/A ","59.6","0156211","201516"
"All Tests - School ","N/A ","N/A ","N/A ","56.7","0156211","201516"
"All Tests - District ","42.5 ","36.5 ","39.0 ","28.6","0156211","201516"
"Sit & Reach ",". ",". ",". ","75","0156311","201314"
"Curl Up ",". ",". ",". ","85","0156311","201314"
"Push Up ",". ",". ",". ","70","0156311","201314"
"Mile Run/PACER ",". ",". ",". ","55","0156311","201314"
"All Tests - School ",". ",". ",". ","40","0156311","201314"
"All Tests - District ","43.1 ","44.9 ","43.2 ","18.4","0156311","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","48.4","0156311","201415"
"Curl Up ","N/A ","N/A ","N/A ","48.4","0156311","201415"
"Push Up ","N/A ","N/A ","N/A ","48.4","0156311","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","76.6","0156311","201415"
"All Tests - School ","N/A ","N/A ","N/A ","48.4","0156311","201415"
"All Tests - District ","35.7 ","34.1 ","32.7 ","46.1","0156311","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","73.8","0156311","201516"
"Curl Up ","N/A ","N/A ","N/A ","64.3","0156311","201516"
"Push Up ","N/A ","N/A ","N/A ","50","0156311","201516"
"Mile Run/PACER ","N/A ","N/A ","N/A ","35.7","0156311","201516"
"All Tests - School ","N/A ","N/A ","N/A ","35.7","0156311","201516"
"All Tests - District ","42.5 ","36.5 ","39.0 ","28.6","0156311","201516"
"Sit & Reach ","89.4",". ",". ",".","0170311","201314"
"Curl Up ","76.6",". ",". ",".","0170311","201314"
"Push Up ","61.7",". ",". ",".","0170311","201314"
"Mile Run/PACER ","93.6",". ",". ",".","0170311","201314"
"All Tests - School ","44.7",". ",". ",".","0170311","201314"
"All Tests - District ","53.2","61.5 ","67.4 ","65.9","0170311","201314"
"Sit & Reach ","74.2","N/A ","N/A ","N/A","0170311","201415"
"Curl Up ","78.8","N/A ","N/A ","N/A","0170311","201415"
"Push Up ","56.1","N/A ","N/A ","N/A","0170311","201415"
"Mile Run/PACER ","75.8","N/A ","N/A ","N/A","0170311","201415"
"All Tests - School ","39.4","N/A ","N/A ","N/A","0170311","201415"
"All Tests - District ","54.2","63.2 ","66.1 ","65.0","0170311","201415"
"Sit & Reach ","83.9","N/A ","N/A ","N/A","0170311","201516"
"Curl Up ","83.9","N/A ","N/A ","N/A","0170311","201516"
"Push Up ","67.9","N/A ","N/A ","N/A","0170311","201516"
"Mile Run/PACER ","75","N/A ","N/A ","N/A","0170311","201516"
"All Tests - School ","35.7","N/A ","N/A ","N/A","0170311","201516"
"All Tests - District ","50","65.4 ","65.1 ","63.2","0170311","201516"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0170411","201415"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0170411","201415"
"Push Up ","N/A ","N/A ","N/A ","N/A","0170411","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0170411","201415"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0170411","201415"
"All Tests - District ","54.2 ","63.2 ","66.1 ","65.0","0170411","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0170411","201516"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0170411","201516"
"Push Up ","N/A ","N/A ","N/A ","N/A","0170411","201516"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0170411","201516"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0170411","201516"
"All Tests - District ","50.0 ","65.4 ","65.1 ","63.2","0170411","201516"
"Sit & Reach ","82.2","97.4","97.1",".","0170511","201314"
"Curl Up ","94.4","96.2","96.1",".","0170511","201314"
"Push Up ","51.1","85.9","81.4",".","0170511","201314"
"Mile Run/PACER ","85.6","80.8","62.7",".","0170511","201314"
"All Tests - School ","44.4","75.6","60.8",".","0170511","201314"
"All Tests - District ","53.2","61.5","67.4","65.9","0170511","201314"
"Sit & Reach ","95.4","96.7","96.8","N/A","0170511","201415"
"Curl Up ","98.2","96.7","93.5","N/A","0170511","201415"
"Push Up ","50.5","84.8","84.9","N/A","0170511","201415"
"Mile Run/PACER ","89","88","82.8","N/A","0170511","201415"
"All Tests - School ","42.2","77.2","71","N/A","0170511","201415"
"All Tests - District ","54.2","63.2","66.1","65.0","0170511","201415"
"Sit & Reach ","75","95.8","93.9","N/A","0170511","201516"
"Curl Up ","85","93.8","97","N/A","0170511","201516"
"Push Up ","66.3","78.1","83.8","N/A","0170511","201516"
"Mile Run/PACER ","90","81.3","74.7","N/A","0170511","201516"
"All Tests - School ","48.8","77.1","69.7","N/A","0170511","201516"
"All Tests - District ","50","65.4","65.1","63.2","0170511","201516"
"Sit & Reach ","93",". ",". ",".","0171111","201314"
"Curl Up ","76.7",". ",". ",".","0171111","201314"
"Push Up ","77.9",". ",". ",".","0171111","201314"
"Mile Run/PACER ","94.2",". ",". ",".","0171111","201314"
"All Tests - School ","59.3",". ",". ",".","0171111","201314"
"All Tests - District ","53.2","61.5 ","67.4 ","65.9","0171111","201314"
"Sit & Reach ","93.6","N/A ","N/A ","N/A","0171111","201415"
"Curl Up ","93.6","N/A ","N/A ","N/A","0171111","201415"
"Push Up ","79.5","N/A ","N/A ","N/A","0171111","201415"
"Mile Run/PACER ","88.5","N/A ","N/A ","N/A","0171111","201415"
"All Tests - School ","65.4","N/A ","N/A ","N/A","0171111","201415"
"All Tests - District ","54.2","63.2 ","66.1 ","65.0","0171111","201415"
"Sit & Reach ","87.5","N/A ","N/A ","N/A","0171111","201516"
"Curl Up ","90.6","N/A ","N/A ","N/A","0171111","201516"
"Push Up ","53.1","N/A ","N/A ","N/A","0171111","201516"
"Mile Run/PACER ","100","N/A ","N/A ","N/A","0171111","201516"
"All Tests - School ","50","N/A ","N/A ","N/A","0171111","201516"
"All Tests - District ","50","65.4 ","65.1 ","63.2","0171111","201516"
"Sit & Reach ","91.9",". ",". ",".","0171211","201314"
"Curl Up ","86.5",". ",". ",".","0171211","201314"
"Push Up ","67.6",". ",". ",".","0171211","201314"
"Mile Run/PACER ","70.3",". ",". ",".","0171211","201314"
"All Tests - School ","44.6",". ",". ",".","0171211","201314"
"All Tests - District ","53.2","61.5 ","67.4 ","65.9","0171211","201314"
"Sit & Reach ","88.7","N/A ","N/A ","N/A","0171211","201415"
"Curl Up ","84.5","N/A ","N/A ","N/A","0171211","201415"
"Push Up ","63.4","N/A ","N/A ","N/A","0171211","201415"
"Mile Run/PACER ","69","N/A ","N/A ","N/A","0171211","201415"
"All Tests - School ","38","N/A ","N/A ","N/A","0171211","201415"
"All Tests - District ","54.2","63.2 ","66.1 ","65.0","0171211","201415"
"Sit & Reach ","67.5","N/A ","N/A ","N/A","0171211","201516"
"Curl Up ","80.7","N/A ","N/A ","N/A","0171211","201516"
"Push Up ","60.2","N/A ","N/A ","N/A","0171211","201516"
"Mile Run/PACER ","66.3","N/A ","N/A ","N/A","0171211","201516"
"All Tests - School ","34.9","N/A ","N/A ","N/A","0171211","201516"
"All Tests - District ","50","65.4 ","65.1 ","63.2","0171211","201516"
"Sit & Reach ","94.4",". ",". ",".","0171411","201314"
"Curl Up ","90.7",". ",". ",".","0171411","201314"
"Push Up ","72.2",". ",". ",".","0171411","201314"
"Mile Run/PACER ","83.3",". ",". ",".","0171411","201314"
"All Tests - School ","66.7",". ",". ",".","0171411","201314"
"All Tests - District ","53.2","61.5 ","67.4 ","65.9","0171411","201314"
"Sit & Reach ","97","N/A ","N/A ","N/A","0171411","201415"
"Curl Up ","95.5","N/A ","N/A ","N/A","0171411","201415"
"Push Up ","68.2","N/A ","N/A ","N/A","0171411","201415"
"Mile Run/PACER ","90.9","N/A ","N/A ","N/A","0171411","201415"
"All Tests - School ","65.2","N/A ","N/A ","N/A","0171411","201415"
"All Tests - District ","54.2","63.2 ","66.1 ","65.0","0171411","201415"
"Sit & Reach ","84.4","N/A ","N/A ","N/A","0171411","201516"
"Curl Up ","96.9","N/A ","N/A ","N/A","0171411","201516"
"Push Up ","59.4","N/A ","N/A ","N/A","0171411","201516"
"Mile Run/PACER ","82.8","N/A ","N/A ","N/A","0171411","201516"
"All Tests - School ","50","N/A ","N/A ","N/A","0171411","201516"
"All Tests - District ","50","65.4 ","65.1 ","63.2","0171411","201516"
"Sit & Reach ","92.5",". ",". ",".","0171711","201314"
"Curl Up ","83",". ",". ",".","0171711","201314"
"Push Up ","92.5",". ",". ",".","0171711","201314"
"Mile Run/PACER ","83",". ",". ",".","0171711","201314"
"All Tests - School ","71.7",". ",". ",".","0171711","201314"
"All Tests - District ","53.2","61.5 ","67.4 ","65.9","0171711","201314"
"Sit & Reach ","92.1","N/A ","N/A ","N/A","0171711","201415"
"Curl Up ","96.8","N/A ","N/A ","N/A","0171711","201415"
"Push Up ","82.5","N/A ","N/A ","N/A","0171711","201415"
"Mile Run/PACER ","93.7","N/A ","N/A ","N/A","0171711","201415"
"All Tests - School ","73","N/A ","N/A ","N/A","0171711","201415"
"All Tests - District ","54.2","63.2 ","66.1 ","65.0","0171711","201415"
"Sit & Reach ","87.7","N/A ","N/A ","N/A","0171711","201516"
"Curl Up ","95.4","N/A ","N/A ","N/A","0171711","201516"
"Push Up ","80","N/A ","N/A ","N/A","0171711","201516"
"Mile Run/PACER ","95.4","N/A ","N/A ","N/A","0171711","201516"
"All Tests - School ","70.8","N/A ","N/A ","N/A","0171711","201516"
"All Tests - District ","50","65.4 ","65.1 ","63.2","0171711","201516"
