"school_code","year","female","male"
"0154611","201516",264,196
"0156111","201314",490,630
"0156111","201415",441,567
"0156111","201516",418,533
"0156211","201314",922,916
"0156211","201415",849,824
"0156211","201516",765,752
"0156311","201314",562,543
"0156311","201415",535,599
"0156311","201516",513,547
"0170311","201314",171,184
"0170311","201415",168,172
"0170311","201516",164,176
"0170411","201415",34,40
"0170411","201516",26,37
"0170511","201314",425,465
"0170511","201415",432,460
"0170511","201516",467,460
"0171111","201314",237,266
"0171111","201415",257,272
"0171111","201516",250,241
"0171211","201314",252,252
"0171211","201415",223,220
"0171211","201516",222,214
"0171411","201314",206,218
"0171411","201415",207,215
"0171411","201516",233,218
"0171711","201314",227,210
"0171711","201415",201,181
"0171711","201516",190,182
"0171911","201314",178,219
"0171911","201415",193,203
"0171911","201516",194,201
"0172011","201314",460,485
"0172011","201415",446,473
"0172011","201516",457,465
"0175111","201314",342,376
"0175111","201415",351,409
"0175111","201516",324,380
"0175211","201314",223,230
"0175211","201415",219,211
"0175211","201516",203,219
"0176111","201314",592,650
"0176111","201415",567,613
"0176111","201516",560,607
"0176211","201314",627,672
"0176211","201415",614,633
"0176211","201516",597,624
"0180311","201314",185,195
"0180311","201415",165,169
"0180311","201516",175,193
"0180411","201314",301,323
"0180411","201415",291,308
"0180411","201516",280,297
"0185311","201314",440,419
"0185311","201415",430,452
"0185311","201516",417,438
"0186111","201314",458,443
"0186111","201415",467,428
"0186111","201516",445,435
"0190111","201314",265,280
"0190111","201415",261,275
"0190111","201516",239,282
"0195111","201314",170,204
"0195111","201415",185,188
"0195111","201516",199,178
"0210111","201314",41,36
"0210111","201415",41,37
"0210111","201516",38,38
"0220211","201314",110,115
"0220211","201415",120,123
"0220211","201516",119,142
"0225111","201314",94,139
"0225111","201415",99,129
"0225111","201516",95,135
"0230211","201314",245,245
"0230211","201415",230,219
"0230211","201516",237,214
"0230311","201314",224,210
"0230311","201415",202,208
"0230311","201516",195,205
"0235111","201314",140,125
"0235111","201415",143,129
"0235111","201516",151,133
"0236111","201314",225,274
"0236111","201415",231,254
"0236111","201516",247,241
"0240211","201314",91,92
"0240211","201415",78,100
"0240211","201516",79,97
"0250111","201314",158,140
"0250111","201415",180,170
"0250111","201516",170,174
"0250211","201314",129,164
"0250211","201415",69,101
"0250211","201516",53,94
"0250411","201314",367,373
"0250411","201415",372,396
"0250411","201516",358,393
"0250511","201314",224,205
"0250511","201415",230,217
"0250511","201516",222,223
"0250611","201314",269,260
"0250611","201415",266,236
"0250611","201516",251,229
"0255111","201314",361,386
"0255111","201415",387,368
"0255111","201516",378,341
"0256111","201314",737,801
"0256111","201415",701,811
"0256111","201516",696,785
"0260111","201314",127,101
"0260111","201415",129,90
"0260111","201516",122,89
"0270111","201314",129,167
"0270111","201415",139,176
"0270111","201516",158,154
"0270311","201314",310,328
"0270311","201415",276,280
"0270311","201516",256,266
"0275111","201314",235,227
"0275111","201415",224,237
"0275111","201516",214,238
"0276111","201314",283,275
"0276111","201415",281,269
"0276111","201516",271,262
"0280211","201314",281,333
"0280211","201415",278,307
"0280211","201516",259,272
"0280411","201314",266,285
"0280411","201415",262,280
"0280411","201516",278,292
"0285111","201314",334,334
"0285111","201415",305,321
"0285111","201516",293,307
"0286111","201314",481,419
"0286111","201415",467,419
"0286111","201516",429,406
"0290111","201314",45,54
"0290111","201415",39,52
"0290111","201516",37,47
"0300111","201314",231,236
"0300111","201415",224,229
"0300111","201516",212,233
"0310111","201314",42,63
"0310111","201415",35,56
"0310111","201516",33,59
"0320211","201314",190,187
"0320211","201415",169,194
"0320211","201516",157,191
"0320411","201314",195,182
"0320411","201415",192,176
"0320411","201516",195,170
"0325111","201314",186,207
"0325111","201415",203,182
"0325111","201516",202,195
"0326111","201314",270,248
"0326111","201415",246,244
"0326111","201516",232,233
"0330211","201314",215,253
"0330211","201415",225,241
"0330211","201516",229,248
"0330311","201314",225,252
"0330311","201415",222,259
"0330311","201516",229,251
"0335111","201314",228,226
"0335111","201415",217,238
"0335111","201516",214,233
"0336111","201314",272,277
"0336111","201415",276,290
"0336111","201516",282,296
"0340111","201314",57,82
"0340111","201415",53,77
"0340111","201516",60,81
"0340211","201314",237,232
"0340211","201415",209,249
"0340211","201516",218,252
"0340311","201415",177,223
"0340311","201516",236,260
"0340511","201314",207,205
"0340511","201415",169,165
"0340511","201516",177,173
"0340611","201314",208,260
"0340611","201415",184,187
"0340611","201516",184,173
"0340811","201314",220,213
"0340811","201415",274,289
"0340811","201516",276,319
"0341011","201314",172,203
"0341011","201415",184,185
"0341011","201516",194,184
"0341111","201314",178,178
"0341111","201415",173,182
"0341111","201516",162,192
"0341211","201314",195,221
"0341211","201415",235,262
"0341211","201516",249,271
"0341311","201314",209,208
"0341311","201415",192,198
"0341311","201516",202,207
"0341411","201314",201,234
"0341411","201415",196,233
"0341411","201516",201,231
"0341511","201314",169,207
"0341511","201415",175,200
"0341511","201516",164,204
"0341611","201314",218,214
"0341611","201415",231,241
"0341611","201516",233,263
"0341711","201314",192,178
"0341711","201415",181,185
"0341711","201516",184,185
"0341911","201314",222,201
"0341911","201415",234,179
"0341911","201516",222,168
"0345111","201314",542,550
"0345111","201415",558,525
"0345111","201516",512,527
"0345211","201314",603,597
"0345211","201415",472,460
"0345211","201516",476,462
"0346111","201314",NA,NA
"0346111","201415",NA,NA
"0346111","201516",NA,NA
"0346211","201314",44,39
"0346211","201415",42,56
"0346211","201516",40,54
"0350211","201314",268,297
"0350211","201415",273,283
"0350211","201516",246,255
"0350511","201314",208,244
"0350511","201415",200,242
"0350511","201516",205,228
"0350611","201314",244,248
"0350611","201415",253,240
"0350611","201516",254,225
"0350711","201314",228,226
"0350711","201415",250,223
"0350711","201516",242,220
"0351311","201314",208,250
"0351311","201415",204,245
"0351311","201516",210,248
"0355111","201314",547,581
"0355111","201415",530,595
"0355111","201516",546,621
"0356111","201314",671,683
"0356111","201415",673,692
"0356111","201516",656,700
"0360111","201314",167,163
"0360111","201415",155,157
"0360111","201516",144,160
"0370111","201516",13,20
"0370411","201314",184,194
"0370411","201415",179,191
"0370411","201516",160,168
"0370611","201314",190,186
"0370611","201415",176,189
"0370611","201516",173,174
"0375011","201314",187,177
"0375011","201415",169,170
"0375011","201516",158,174
"0376111","201314",186,195
"0376111","201415",176,196
"0376111","201516",147,197
"0390111","201314",74,78
"0390111","201415",66,73
"0390111","201516",64,70
"0400111","201314",88,106
"0400111","201415",115,107
"0400111","201516",104,102
"0400211","201314",95,112
"0400211","201415",77,108
"0400211","201516",96,106
"0405111","201314",109,99
"0405111","201415",114,97
"0405111","201516",101,95
"0406111","201314",120,139
"0406111","201415",127,130
"0406111","201516",128,136
"0410111","201314",167,159
"0410111","201415",156,163
"0410111","201516",152,157
"0415111","201314",226,262
"0415111","201415",213,242
"0415111","201516",200,231
"0416111","201314",192,180
"0416111","201415",185,166
"0416111","201516",173,148
"0420111","201314",305,321
"0420111","201415",308,297
"0420111","201516",321,316
"0420311","201314",138,157
"0420311","201415",132,151
"0420311","201516",144,153
"0425111","201314",197,226
"0425111","201415",204,228
"0425111","201516",201,232
"0426111","201314",286,234
"0426111","201415",273,229
"0426111","201516",270,245
"0430411","201314",145,156
"0430411","201415",142,156
"0430411","201516",137,161
"0430511","201314",167,155
"0430511","201415",170,167
"0430511","201516",166,170
"0430611","201314",176,188
"0430611","201415",180,184
"0430611","201516",181,175
"0430911","201314",137,159
"0430911","201415",131,153
"0430911","201516",147,165
"0431011","201314",261,272
"0431011","201415",272,285
"0431011","201516",257,252
"0431211","201314",159,145
"0431211","201415",150,134
"0431211","201516",137,137
"0431811","201314",226,272
"0431811","201415",239,255
"0431811","201516",230,245
"0432011","201314",169,174
"0432011","201415",169,173
"0432011","201516",173,171
"0432211","201314",186,216
"0432211","201415",159,216
"0432211","201516",142,180
"0432411","201314",152,101
"0432411","201415",93,53
"0432411","201516",103,101
"0435111","201314",517,584
"0435111","201415",541,617
