"",,,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","N/A","N/A","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Central Avenue Preschool","=""0888211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Naugatuck School District","=""0880011""","Central Avenue School","=""0880111""",7,3.0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""",140,19.4,87,12.4,82,12.1,63,9.2,65,9.4
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""",20,7.1,14,5.7,14,4.8,19,5.5,16,5.0
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",8,40.0
"Naugatuck School District","=""0880011""","Head Start","=""0888111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""",50,12.1,35,8.3,30,8.3,15,4.7,26,8.0
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""","*","*",7,2.1,10,3.0,11,3.2,11,3.6
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""",17,4.7,36,6.9,13,2.6,8,1.7,8,1.7
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",238,17.8,188,14.5,206,16.2,219,17.5,191,15.9
"Naugatuck School District","=""0880011""","Salem School","=""0880611""","*","*","*","*",9,3.3,8,3.2,"*","*"
"Naugatuck School District","=""0880011""","Western School","=""0880711""",6,2.1,"*","*",9,3.4,"*","*","*","*"
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""","N/A","N/A","N/A","N/A","N/A","N/A",56,12.3,73,15.2
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""",51,14.7,89,22.7,87,22.1,"N/A","N/A","N/A","N/A"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",20,29.0,19,31.7,35,54.7,20,27.8,43,55.1
"New Britain School District","=""0890011""","Behavior Support","=""0891011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"New Britain School District","=""0890011""","CLIMB","=""0899411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""",14,2.7,48,8.7,33,6.3,45,8.0,47,9.7
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""",82,9.1,93,10.9,179,23.1,74,9.7,26,3.3
"New Britain School District","=""0890011""","Gaffney School","=""0890511""",34,5.7,26,4.1,56,9.2,40,6.5,48,7.5
"New Britain School District","=""0890011""","Hartford Detention Center","=""3480315""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Holmes School","=""0890611""",18,4.3,23,5.5,19,3.8,12,2.3,"*","*"
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""",13,7.7,"*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","*","*","*","*","*","*","N/A","N/A",12,2.7
"New Britain School District","=""0890011""","KEY Elementary","=""0891611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Britain School District","=""0890011""","KEY Middle","=""0891711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Lincoln School","=""0890811""",21,3.2,55,7.3,36,5.2,29,3.9,25,3.4
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",882,35.8,922,37.5,962,39.1,727,29.2,742,30.6
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","*","*","N/A","N/A",14,23.3,"N/A","N/A",20,33.9
"New Britain School District","=""0890011""","Northend School","=""0890911""",26,7.2,12,7.1,20,7.0,"N/A","N/A","N/A","N/A"
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""",189,34.2,185,35.0,146,22.1,220,27.1,174,21.9
"New Britain School District","=""0890011""","Roosevelt Early Learning Center","=""0890111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""",163,34.3,131,29.5,204,48.3,"N/A","N/A","N/A","N/A"
"New Britain School District","=""0890011""","Satellite Careers Academy","=""0899511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""",119,16.7,145,19.8,120,19.1,203,25.2,85,11.5
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""",198,32.5,143,25.1,83,12.6,81,11.3,107,15.4
"New Britain School District","=""0890011""","Smith School","=""0891311""",44,6.5,57,7.5,44,6.1,42,6.0,31,5.3
"New Britain School District","=""0890011""","Steps","=""0891811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",16,40.0
"New Britain School District","=""0890011""","Sunrise Intermediate","=""0890411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"New Britain School District","=""0890011""","Sunrise Primary","=""0890211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Britain School District","=""0890011""","Vance School","=""0891511""",45,7.7,65,10.4,53,10.0,27,5.4,21,4.0
"New Canaan School District","=""0900011""","East School","=""0900411""","*","*","N/A","N/A","*","*","*","*","N/A","N/A"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",26,2.0,"N/A","N/A",16,1.3,15,1.2,22,1.8
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""",13,1.1,"N/A","N/A",8,0.6,"*","*","*","*"
"New Canaan School District","=""0900011""","South School","=""0900211""","*","*","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"New Canaan School District","=""0900011""","West School","=""0900311""","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""",7,1.2,9,1.6,"*","*","N/A","N/A","N/A","N/A"
"New Fairfield School District","=""0910011""","Day Alternative Learning Program","=""0910411""","N/A","N/A","N/A","N/A","N/A","N/A",8,"*","N/A","N/A"
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""",6,1.0,"*","*","*","*",6,1.1,"N/A","N/A"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",83,8.3,79,7.9,64,6.5,56,6.0,59,6.5
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""",26,3.8,22,3.4,17,2.7,15,2.4,7,1.2
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","*","*","*","*","*","*",7,2.3,"*","*"
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A"
"New Hartford School District","=""0920011""","Bridges II at Ann Antolini School","=""0920411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""",64,12.1,32,6.2,26,5.1,44,8.5,57,11.4
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""",98,18.0,29,5.3,55,9.5,76,13.7,100,18.0
"New Haven School District","=""0930011""","Beecher School","=""0930311""",58,12.5,48,10.3,41,8.5,41,8.2,48,9.3
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""",45,8.1,"*","*",11,2.1,25,4.8,14,2.6
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""",31,6.5,"*","*",14,3.1,42,9.3,35,7.8
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""",56,10.9,63,11.4,94,18.2,83,16.3,61,12.1
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""",41,8.7,41,8.9,31,7.5,32,8.8,29,7.5
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""","*","*","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""",125,21.3,53,9.9,21,3.9,84,15.4,71,13.5
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""",14,2.6,37,6.3,"*","*",33,5.5,"N/A","N/A"
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""","N/A","N/A","N/A","N/A","N/A","N/A",10,2.2,"*","*"
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""",55,9.3,31,5.0,22,3.5,24,3.7,23,3.6
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",62,9.7,36,5.8,15,2.4,28,4.6,50,7.9
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""",20,4.0,15,3.0,12,2.4,20,4.4,8,1.6
"New Haven School District","=""0930011""","Domus Academy","=""0935611""","N/A","N/A","*","*",17,41.5,27,75.0,33,73.3
"New Haven School District","=""0930011""","Dwight Early Childhood Program","=""0938211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Haven School District","=""0930011""","Early Learning Center","=""0938111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""",59,14.1,56,13.1,37,7.4,59,11.4,49,10.3
"New Haven School District","=""0930011""","Edgewood School","=""0931211""",38,8.6,37,8.3,39,8.7,65,14.7,53,12.0
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",52,16.9,33,8.6,39,8.2,41,7.4,52,8.9
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""",56,7.8,27,3.7,55,6.8,53,6.5,32,4.0
"New Haven School District","=""0930011""","Headstart","=""0938011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Haven School District","=""0930011""","Helene Grant HeadStart","=""0938311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",64,24.9,25,11.3,43,17.8,40,15.4,33,14.0
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""",44,10.3,17,3.7,49,10.5,52,10.6,62,12.0
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",39,5.7,73,10.7,9,1.4,30,4.6,76,11.7
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",77,37.6,73,39.0,10,5.1,31,18.2,47,24.6
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",226,22.8,122,11.7,139,13.8,87,8.4,86,9.1
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""",34,6.5,29,5.8,27,5.3,26,5.0,19,3.7
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""",27,5.1,"*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""",44,13.2,16,4.0,30,6.3,49,9.9,46,9.3
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""",93,16.5,78,13.8,115,19.4,95,17.2,88,16.3
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""",25,6.2,24,5.8,76,21.1,46,11.2,34,8.8
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""",62,11.3,47,8.7,50,9.1,60,11.3,82,15.3
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",17,5.2,29,7.7,12,3.1,9,2.3,32,8.1
"New Haven School District","=""0930011""","NHPS Self Contained Autism","=""0934411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Haven School District","=""0930011""","NHPS Self Contained Intellectually Disabled","=""0935011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"New Haven School District","=""0930011""","NHPS Self Contained Multi-Handicapped","=""0934511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""",28,4.9,32,5.7,32,5.7,33,5.9,28,5.2
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",38,15.3,25,9.1,34,12.5,7,2.8,"*","*"
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""","N/A","N/A","N/A","N/A","N/A","N/A",54,54.0,36,41.4
"New Haven School District","=""0930011""","New Light High School","=""0932611""","N/A","N/A","N/A","N/A","N/A","N/A","*","*",6,9.4
"New Haven School District","=""0930011""","Off-Campus Classroom Program (OCC)","=""0937311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","N/A","N/A","*","*","*","*","N/A","*","N/A","*"
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""","N/A","N/A","N/A","N/A","N/A","N/A",16,5.0,"N/A","N/A"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",47,35.9,29,25.4,"*","*",21,20.4,11,13.6
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""",64,11.4,46,7.7,51,7.8,130,19.3,124,18.5
"New Haven School District","=""0930011""","Sound School","=""0936711""",24,7.2,16,4.9,8,2.5,25,7.6,22,6.6
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""",7,1.6,18,3.9,"N/A","N/A",23,5.5,14,3.6
"New Haven School District","=""0930011""","Truman School","=""0932911""",49,9.1,25,4.8,18,3.9,8,1.6,11,2.1
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""",23,9.6,23,10.7,24,10.9,35,13.4,9,3.8
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""",63,15.0,44,10.3,77,18.1,127,29.5,94,21.0
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",246,19.2,315,24.7,270,18.6,124,9.3,129,8.6
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""",15,3.6,15,3.5,8,1.9,11,2.6,"*","*"
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",237,40.0,211,34.9,219,38.1,161,26.3,115,18.2
"New London School District","=""0950011""","Early Childhood Center at Harbor","=""0950611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New London School District","=""0950011""","Harbor School","=""0950211""",6,2.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New London School District","=""0950011""","Jennings School","=""0950311""","N/A","N/A",29,5.2,57,9.9,24,4.6,47,8.3
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""",35,12.4,84,18.3,85,16.0,102,21.0,40,8.1
"New London School District","=""0950011""","New London Clinical Day Program","=""0959111""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New London School District","=""0950011""","New London High School","=""0956111""",268,29.3,266,28.6,253,28.7,257,28.8,262,26.7
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""",15,4.5,57,10.4,"*","*",94,16.8,64,11.0
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Milford School District","=""0960011""","John Pettibone School","=""0960711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",156,10.4,189,13.0,174,12.4,184,13.2,138,10.2
"New Milford School District","=""0960011""","Northville Elementary School","=""0960811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""",18,1.7,22,2.1,24,2.3,8,0.8,"*","*"
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""",51,7.3,62,8.6,51,7.6,40,5.8,77,7.4
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""","*","*","*","*",6,1.3,11,2.3,10,2.1
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""","*","*","*","*","*","*","*","*","*","*"
"Newington School District","=""0940011""","John Paterson School","=""0940811""","*","*","*","*","*","*","*","*","*","*"
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""",48,7.0,39,5.5,55,7.8,36,5.3,38,5.7
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""",68,11.4,48,8.3,61,10.2,31,5.0,39,6.3
"Newington School District","=""0940011""","Newington High School","=""0946111""",159,11.0,154,10.8,147,10.8,126,9.6,104,8.3
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""","*","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""","*","*","*","*","*","*","*","*","*","*"
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",63,3.7,68,3.9,66,3.9,93,5.4,81,4.9
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""",31,3.6,25,2.8,26,3.1,18,2.2,23,2.8
"Newtown School District","=""0970011""","Newtown Preschool","=""0978011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""",13,1.5,21,2.6,9,1.1,7,1.0,13,1.9
"Newtown School District","=""0970011""","STARR","=""0979011""","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""","N/A","N/A","N/A","N/A","N/A","N/A",9,7.8,"*","*"
"Norfolk School District","=""0980011""","Bridges II","=""0989211""","N/A","*","N/A","*","N/A","*","N/A","N/A","N/A","N/A"
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""","*","*",8,1.8,"N/A","N/A",6,1.5,"*","*"
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",79,12.1,95,15.0,80,13.1,90,14.5,59,10.3
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""",55,9.6,38,7.1,29,5.6,32,6.3,39,8.0
"North Branford School District","=""0990011""","School to Work Program","=""0999011""","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","*"
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""",13,2.6,13,2.7,"*","*","*","*","N/A","N/A"
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""","*","*",6,1.9,8,2.7,"*","*","N/A","N/A"
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""","N/A","N/A","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",57,4.8,100,8.5,66,5.9,65,6.3,55,5.5
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""",42,5.2,41,5.3,34,4.3,46,5.9,38,4.8
"North Haven School District","=""1010011""","North Haven Transition Partnership","=""1010111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",36,16.9,23,10.8,17,7.5,24,11.9,20,10.6
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""",16,8.7,"*","*",13,8.4,6,3.6,8,4.5
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",248,14.5,230,14.0,181,10.9,171,10.1,183,10.8
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""","*","*","*","*","N/A","N/A","*","*","*","*"
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""","*","*",13,4.1,6,1.9,"N/A","N/A","*","*"
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""",7,1.4,11,2.2,13,2.6,6,1.2,7,1.4
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""","*","*","*","*","*","*","N/A","N/A","*","*"
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""",8,1.4,7,1.2,"N/A","N/A","N/A","N/A","*","*"
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""","*","*","*","*","*","*","N/A","N/A","*","*"
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""",15,3.0,6,1.2,"*","*","N/A","N/A","*","*"
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""","N/A","N/A","*","*","*","*","N/A","N/A","*","*"
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""",69,11.3,74,12.1,38,6.4,34,5.4,46,6.7
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",292,19.1,281,18.3,185,11.9,166,10.6,144,9.2
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",35,46.7,36,40.9,28,34.6,17,23.3,33,31.1
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""",114,18.4,88,14.4,56,8.9,68,10.4,62,9.2
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""",39,8.9,43,9.7,46,10.7,35,7.6,45,9.3
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""","*","*","*","*","*","*","N/A","N/A",10,2.2
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""",11,2.5,13,2.7,7,1.4,"*","*","*","*"
"Norwalk School District","=""1030011""","Tracey School","=""1031411""",16,4.1,6,1.5,"*","*","*","*","*","*"
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""",135,20.2,103,15.7,125,18.7,110,17.2,118,17.3
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""",6,1.9,"*","*",9,2.9,6,1.8,"*","*"
"Norwich Free Academy District","=""9010022""","Alternative Pathways to Success","=""9010322""","N/A","N/A","*","*","*","*","*","*",12,60.0
"Norwich Free Academy District","=""9010022""","LEAD (Life Skills, Education and Adult Development)","=""9010122""","*","*","*","*","N/A","N/A","*","*","*","*"
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""","N/A","N/A","*","*",6,"*","*","*",10,"*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",336,14.6,379,16.8,305,13.1,271,11.9,246,11.0
"Norwich School District","=""1040011""","ABA Autism Program","=""1040411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Norwich School District","=""1040011""","Case Street Early Learning Center at DTZ","=""1040211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""",25,55.6,16,44.4,21,58.3,"N/A","N/A","N/A","N/A"
"Norwich School District","=""1040011""","Hickory Street School","=""1049011""","*","*","*","*",6,28.6,"*","*","N/A","N/A"
"Norwich School District","=""1040011""","IRS Program at Moriarty","=""1040911""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Norwich School District","=""1040011""","IRS Program at Uncas","=""1040711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""",23,5.6,22,5.3,9,2.3,"*","*","*","*"
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""",128,20.2,124,18.9,78,11.7,63,9.4,111,14.7
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""",10,2.2,18,3.9,25,6.2,19,4.9,21,5.1
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""",10,2.1,9,1.9,7,1.7,7,1.8,"*","*"
"Norwich School District","=""1040011""","Special Needs Program","=""1040511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""",107,21.6,101,21.8,82,17.6,86,17.7,86,24.7
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",44,54.3,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""","*","*","N/A","N/A",6,2.1,7,2.4,"*","*"
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""",42,12.5,36,13.7,26,9.7,14,5.9,8,3.5
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""",9,2.7,6,1.9,12,3.9,19,6.1,19,5.8
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","*"
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""",15,5.6,21,7.3,13,5.3,34,14.7,10,4.2
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""",14,4.6,10,3.1,19,6.0,17,5.3,12,3.7
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""",19,3.3,18,3.2,6,1.1,9,1.7,"*","*"
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",25,4.7,45,8.6,28,5.8,38,8.1,31,7.0
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Orange School District","=""1070011""","Peck Place School","=""1070511""","*","*","*","*","*","*","*","*",6,1.6
"Orange School District","=""1070011""","Race Brook School","=""1070311""","*","*","*","*","*","*","*","*","*","*"
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""","*","*","*","*",7,2.2,9,3.1,"*","*"
"Oxford School District","=""1080011""","Alternative Education","=""1080411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Oxford School District","=""1080011""","Great Oak School","=""1085111""",29,5.5,12,2.3,15,2.9,"*","*",15,3.0
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""","N/A","N/A","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",29,4.9,33,5.6,28,4.7,32,5.6,19,3.2
