"District","reportingsdistrictcode","School","School Code","Count","%"
"Bridgeport School District",".","Bryant School","=""0150411""",7,1.7
"Bridgeport School District",".","Central High School","=""0156211""",637,29.8
"Bridgeport School District",".","Cesar Batalla School","=""0151411""",99,8.3
"Bridgeport School District",".","Classical Studies Academy","=""0152111""",7,2.2
"Bridgeport School District",".","Columbus School","=""0150511""",200,21.9
"Bridgeport School District",".","Cross School","=""0153911""",149,34.7
"Bridgeport School District",".","Curiale School","=""0154211""",144,20.3
"Bridgeport School District",".","Dunbar School","=""0154111""",116,33.4
"Bridgeport School District",".","Edison School","=""0150711""",34,13.5
"Bridgeport School District",".","Geraldine Johnson School","=""0153211""",63,7.6
"Bridgeport School District",".","Hall School","=""0151111""",11,3.5
"Bridgeport School District",".","Hallen School","=""0151211""",31,9.1
"Bridgeport School District",".","Harding High School","=""0156311""",569,43.8
"Bridgeport School District",".","High Horizons Magnet School","=""0154511""",14,3.3
"Bridgeport School District",".","Hooker School","=""0151311""",57,14.0
"Bridgeport School District",".","Interdistrict Discovery Magnet School","=""0153711""",14,3.0
"Bridgeport School District",".","Jettie S. Tisdale School","=""0152211""",167,24.9
"Bridgeport School District",".","Luis Munoz Marin School","=""0151011""",111,12.5
"Bridgeport School District",".","Madison School","=""0152011""",11,2.1
"Bridgeport School District",".","Multicultural Magnet School","=""0154611""","*","*"
"Bridgeport School District",".","Park City Academy","=""0159211""",49,71.0
"Bridgeport School District",".","Park City Magnet School","=""0151711""","*","*"
"Bridgeport School District",".","Read School","=""0152511""",174,20.0
"Bridgeport School District",".","Roosevelt School","=""0152611""",139,23.3
"Bridgeport School District",".","Skane Center","=""0154411""","N/A","N/A"
"Bridgeport School District",".","Waltersville School","=""0153011""",55,10.5
"Bridgeport School District",".","Winthrop School","=""0153611""",38,5.4
"East Hampton School District",".","Center School","=""0420311""","*","*"
"East Hampton School District",".","East Hampton High School","=""0426111""",31,6.0
"East Hampton School District",".","East Hampton Middle School","=""0425111""",18,4.0
"East Hampton School District",".","Memorial School","=""0420111""","*","*"
"East Hampton School District",".","The Learning Center at East Hampton","=""0429011""","*","*"
"East Hartford School District",".","Anna E. Norris School","=""0430911""",28,9.4
"East Hartford School District",".","Connecticut IB Academy","=""0436311""",9,4.8
"East Hartford School District",".","Dr. Franklin H. Mayberry School","=""0430611""",22,5.7
"East Hartford School District",".","Dr. John A. Langford School","=""0432211""",35,8.9
"East Hartford School District",".","Dr. Thomas S. O'Connell School","=""0431011""",29,5.8
"East Hartford School District",".","East Hartford High School","=""0436211""",548,32.8
"East Hartford School District",".","East Hartford Middle School","=""0435111""",326,30.5
"East Hartford School District",".","Governor William Pitkin School","=""0432011""",15,4.8
"East Hartford School District",".","Hockanum School","=""0430511""",22,7.3
"East Hartford School District",".","Joseph O. Goodwin School","=""0430411""",21,6.8
"East Hartford School District",".","Robert J. O'Brien School","=""0431811""",83,16.2
"East Hartford School District",".","Silver Lane School","=""0431211""",6,2.1
"East Hartford School District",".","Stevens Alternate High school","=""0436411""",74,34.9
"East Hartford School District",".","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",70,22.9
"East Hartford School District",".","Willowbrook Early Childhood","=""0438011""","N/A","N/A"
"East Hartford School District",".","Woodland School","=""0439011""","N/A","N/A"
"Guilford School District",".","A. Baldwin Middle School","=""0600711""",6,1.1
"Guilford School District",".","A. W. Cox School","=""0600611""","*","*"
"Guilford School District",".","Calvin Leete School","=""0600411""","N/A","N/A"
"Guilford School District",".","E. C. Adams Middle School","=""0605111""",23,3.9
"Guilford School District",".","Guilford High School","=""0606111""",62,5.8
"Guilford School District",".","Guilford Lakes School","=""0600211""","N/A","N/A"
"Guilford School District",".","Melissa Jones School","=""0600311""","N/A","N/A"
"Manchester School District",".","Bowers School","=""0770111""","*","*"
"Manchester School District",".","Buckley School","=""0770311""",16,4.4
"Manchester School District",".","Elisabeth M. Bennet Academy","=""0771711""",16,3.8
"Manchester School District",".","Highland Park School","=""0770411""","*","*"
"Manchester School District",".","Illing Middle School","=""0775311""",142,17.6
"Manchester School District",".","Keeney School","=""0770611""",11,3.2
