"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","ELA",128,127,99.2,127,59,46.5,48,37.8,20,15.7,0,0.0,20,15.7
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Math",128,128,100.0,128,73,57.0,43,33.6,12,9.4,0,0.0,12,9.4
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","ELA",152,151,99.3,150,68,45.3,47,31.3,"*","*","*","*",35,23.3
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Math",152,150,98.7,150,88,58.7,47,31.3,"*","*","*","*",15,10.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","ELA",305,234,76.7,230,130,56.5,62,27.0,31,13.5,7,3.0,38,16.5
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Math",303,223,73.6,222,203,91.4,13,5.9,6,2.7,0,0.0,6,2.7
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","ELA",276,276,100.0,276,47,17.0,78,28.3,109,39.5,42,15.2,151,54.7
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Math",276,276,100.0,276,100,36.2,117,42.4,47,17.0,12,4.3,59,21.4
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","ELA",260,248,95.4,248,102,41.1,81,32.7,48,19.4,17,6.9,65,26.2
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Math",261,251,96.2,251,168,66.9,64,25.5,"*","*","*","*",19,7.6
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","ELA",71,48,67.6,47,24,51.1,"*","*",11,23.4,"*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Math",71,46,64.8,46,34,73.9,6,13.0,"*","*","*","*",6,13.0
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","ELA",279,272,97.5,272,61,22.4,80,29.4,85,31.3,46,16.9,131,48.2
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Math",279,272,97.5,272,101,37.1,117,43.0,32,11.8,22,8.1,54,19.9
