district,district_code,school,school_code,female,male,total,year,group
Connecticut Technical High School System,9000016,Bullard-Havens Technical High School,9001116,449,335,784,2015,gender
Connecticut Technical High School System,9000016,E. C. Goodwin Technical High School,9001916,270,366,636,2015,gender
Connecticut Technical High School System,9000016,Eli Whitney Technical High School,9001416,252,299,551,2015,gender
Connecticut Technical High School System,9000016,Ella T. Grasso Southeastern Technical High School,9002716,208,297,505,2015,gender
Connecticut Technical High School System,9000016,Emmett O'Brien Technical High School,9002516,233,340,573,2015,gender
Connecticut Technical High School System,9000016,H. C. Wilcox Technical High School,9001716,321,439,760,2015,gender
Connecticut Technical High School System,9000016,H. H. Ellis Technical High School,9001316,194,429,623,2015,gender
Connecticut Technical High School System,9000016,Henry Abbott Technical High School,9001216,238,402,640,2015,gender
Connecticut Technical High School System,9000016,Howell Cheney Technical High School,9001616,121,532,653,2015,gender
Connecticut Technical High School System,9000016,J. M. Wright Technical High School,9002116,115,135,250,2015,gender
Connecticut Technical High School System,9000016,Norwich Technical High School,9002016,256,401,657,2015,gender
Connecticut Technical High School System,9000016,Oliver Wolcott Technical High School,9002216,269,388,657,2015,gender
Connecticut Technical High School System,9000016,Platt Technical High School,9002616,318,493,811,2015,gender
Connecticut Technical High School System,9000016,Vinal Technical High School,9001816,168,420,588,2015,gender
Connecticut Technical High School System,9000016,W. F. Kaynor Technical High School,9002316,339,419,758,2015,gender
Connecticut Technical High School System,9000016,Windham Technical High School,9002416,172,324,496,2015,gender
Cooperative Educational Services,2430014,Developmental Learning Center (DLC),2439214,24,63,87,2015,gender
Cooperative Educational Services,2430014,Preschool-Primary Learning Center (PLC),2439114,17,40,57,2015,gender
Cooperative Educational Services,2430014,RISE Transitional Program,2439314,*,*,17,2015,gender
Cooperative Educational Services,2430014,School Readiness,2438014,47,43,90,2015,gender
Cooperative Educational Services,2430014,Six-Six Magnet School,2430114,244,224,468,2015,gender
Cooperative Educational Services,2430014,Therapeutic Day Program,2439414,19,131,150,2015,gender
Cornwall School District,0310011,Cornwall Consolidated School,0310111,33,59,92,2015,gender
Coventry School District,0320011,Capt. Nathan Hale School,0325111,202,195,397,2015,gender
Coventry School District,0320011,Coventry Academy,0320111,*,*,12,2015,gender
Coventry School District,0320011,Coventry Grammar School,0320211,157,191,348,2015,gender
Coventry School District,0320011,Coventry High School,0326111,232,233,465,2015,gender
Coventry School District,0320011,Coventry Smart Start Program,0320311,12,26,38,2015,gender
Coventry School District,0320011,George Hersey Robertson School,0320411,195,170,365,2015,gender
Cromwell School District,0330011,Cromwell High School,0336111,282,296,578,2015,gender
Cromwell School District,0330011,Cromwell Middle School,0335111,214,233,447,2015,gender
Cromwell School District,0330011,Edna C. Stevens School,0330211,229,248,477,2015,gender
Cromwell School District,0330011,Woodside Intermediate School,0330311,229,251,480,2015,gender
Danbury School District,0340011,Alternative Center For Excellence,0346211,40,54,94,2015,gender
Danbury School District,0340011,Broadview Middle School,0345111,512,527,1039,2015,gender
Danbury School District,0340011,DPS Early Childhood Center,0340111,60,81,141,2015,gender
Danbury School District,0340011,Danbury High School,0346111,1407,1534,2941,2015,gender
Danbury School District,0340011,Ellsworth Avenue School,0341411,201,231,432,2015,gender
Danbury School District,0340011,Great Plain School,0341111,162,192,354,2015,gender
Danbury School District,0340011,Hayestown Avenue School,0340211,218,252,470,2015,gender
Danbury School District,0340011,King Street Intermediate School,0341711,184,185,369,2015,gender
