"school_code","district_code","district","school","english_learner_status","2011_12","2012_13","2013_14","2014_15","2015_16"
"0891711","0890011","New Britain School District","KEY Middle","Non-ELL","","","","","*"
"0890811","0890011","New Britain School District","Lincoln School","ELL","32.4","18.6","24.4","23.8","14.4"
"0890811","0890011","New Britain School District","Lincoln School","Non-ELL","12.6","12.3","12.9","13.2","12.7"
"0896111","0890011","New Britain School District","New Britain High School","ELL","56.5","53.0","48.1","48.7","44.4"
"0896111","0890011","New Britain School District","New Britain High School","Non-ELL","41.9","41.1","33.7","37.0","30.9"
"0899011","0890011","New Britain School District","New Britain Transition Center","ELL","*","*","*","*","*"
"0899011","0890011","New Britain School District","New Britain Transition Center","Non-ELL","*","*","*","*","*"
"0890911","0890011","New Britain School District","Northend School","ELL","*","*","21.2","0.0","*"
"0890911","0890011","New Britain School District","Northend School","Non-ELL","*","*","10.3","18.8","*"
"0895311","0890011","New Britain School District","Pulaski Middle School","ELL","36.4","17.5","31.3","27.6","23.1"
"0895311","0890011","New Britain School District","Pulaski Middle School","Non-ELL","24.9","17.7","20.2","24.1","16.2"
"0895111","0890011","New Britain School District","Roosevelt Middle School","ELL","32.0","69.6","32.1","",""
"0895111","0890011","New Britain School District","Roosevelt Middle School","Non-ELL","24.8","73.2","21.9","",""
"0895211","0890011","New Britain School District","Slade Middle School","ELL","18.8","14.3","32.4","32.4","24.0"
"0895211","0890011","New Britain School District","Slade Middle School","Non-ELL","18.8","16.4","16.0","20.3","20.0"
"0891211","0890011","New Britain School District","Smalley Academy","ELL","32.0","29.5","21.0","19.8","24.6"
"0891211","0890011","New Britain School District","Smalley Academy","Non-ELL","24.1","23.0","14.9","15.2","14.3"
"0891311","0890011","New Britain School District","Smith School","ELL","*","9.9","*","*","*"
"0891311","0890011","New Britain School District","Smith School","Non-ELL","16.9","13.6","6.4","10.8","4.9"
"0891811","0890011","New Britain School District","Steps","ELL","","","","","*"
"0891811","0890011","New Britain School District","Steps","Non-ELL","","","","","*"
"0890411","0890011","New Britain School District","Sunrise Intermediate","ELL","","","","","*"
"0890411","0890011","New Britain School District","Sunrise Intermediate","Non-ELL","","","","","*"
"0890211","0890011","New Britain School District","Sunrise Primary","ELL","","","","","*"
"0890211","0890011","New Britain School District","Sunrise Primary","Non-ELL","","","","","*"
"0891511","0890011","New Britain School District","Vance School","ELL","25.9","11.9","20.4","12.5","9.8"
"0891511","0890011","New Britain School District","Vance School","Non-ELL","11.7","9.8","9.0","10.6","10.3"
"0900411","0900011","New Canaan School District","East School","ELL","*","*","*","*","*"
"0900411","0900011","New Canaan School District","East School","Non-ELL","2.7","*","*","*","2.0"
"0906111","0900011","New Canaan School District","New Canaan High School","ELL","*","*","*","*","*"
"0906111","0900011","New Canaan School District","New Canaan High School","Non-ELL","*","*","*","*","*"
"0905111","0900011","New Canaan School District","Saxe Middle School","ELL","*","*","*","*","*"
"0905111","0900011","New Canaan School District","Saxe Middle School","Non-ELL","*","*","*","*","*"
"0900211","0900011","New Canaan School District","South School","ELL","*","*","*","*","*"
"0900211","0900011","New Canaan School District","South School","Non-ELL","*","*","*","*","*"
"0900311","0900011","New Canaan School District","West School","ELL","*","*","*","*","*"
"0900311","0900011","New Canaan School District","West School","Non-ELL","*","*","*","*","*"
"0910311","0910011","New Fairfield School District","Alternative Learning Center","Non-ELL","","","","*","*"
"0910111","0910011","New Fairfield School District","Consolidated School","ELL","*","*","*","*","*"
"0910111","0910011","New Fairfield School District","Consolidated School","Non-ELL","*","*","*","*","*"
"0910411","0910011","New Fairfield School District","Day Alternative Learning Program","Non-ELL","","","","*",""
"0910211","0910011","New Fairfield School District","Meeting House Hill School","ELL","*","*","*","*","*"
"0910211","0910011","New Fairfield School District","Meeting House Hill School","Non-ELL","*","*","*","*","*"
"0916111","0910011","New Fairfield School District","New Fairfield High School","ELL","*","*","*","*","*"
"0916111","0910011","New Fairfield School District","New Fairfield High School","Non-ELL","*","*","*","*","*"
"0915211","0910011","New Fairfield School District","New Fairfield Middle School","ELL","*","*","*","*","*"
"0915211","0910011","New Fairfield School District","New Fairfield Middle School","Non-ELL","*","*","*","*","*"
"0920311","0920011","New Hartford School District","Ann Antolini School","ELL","*","*","*","*",""
"0920311","0920011","New Hartford School District","Ann Antolini School","Non-ELL","*","*","*","*","3.7"
"0920111","0920011","New Hartford School District","Bakerville Consolidated School","Non-ELL","6.8","5.4","5.0","*","*"
"0920411","0920011","New Hartford School District","Bridges II at Ann Antolini School","Non-ELL","","","","*",""
"0920211","0920011","New Hartford School District","New Hartford Elementary School","ELL","","*","*","","*"
"0920211","0920011","New Hartford School District","New Hartford Elementary School","Non-ELL","*","*","*","*","*"
"0931211","0930011","New Haven School District","Edgewood School","ELL","*","*","*","*","*"
"0931211","0930011","New Haven School District","Edgewood School","Non-ELL","3.2","4.1","9.6","7.0","8.6"
"0931411","0930011","New Haven School District","Nathan Hale School","ELL","*","*","*","*","*"
"0931411","0930011","New Haven School District","Nathan Hale School","Non-ELL","10.0","11.9","13.8","15.8","9.4"
"0931511","0930011","New Haven School District","Augusta Lewis Troup School","ELL","16.4","15.1","19.2","36.1","42.3"
"0931511","0930011","New Haven School District","Augusta Lewis Troup School","Non-ELL","20.3","10.4","18.6","28.1","27.9"
"0930211","0930011","New Haven School District","Barnard Environmental Magnet School","ELL","*","*","*","*","*"
"0930211","0930011","New Haven School District","Barnard Environmental Magnet School","Non-ELL","*","*","*","*","*"
"0930311","0930011","New Haven School District","Beecher School","ELL","*","*","*","*","*"
"0930311","0930011","New Haven School District","Beecher School","Non-ELL","*","*","*","*","*"
"0931811","0930011","New Haven School District","Benjamin Jepson Magnet School","ELL","*","0.0","*","*","*"
"0931811","0930011","New Haven School District","Benjamin Jepson Magnet School","Non-ELL","*","8.4","*","*","*"
"0935511","0930011","New Haven School District","Betsy Ross Arts Magnet School","ELL","*","*","*","*","*"
"0935511","0930011","New Haven School District","Betsy Ross Arts Magnet School","Non-ELL","*","*","*","*","*"
"0934311","0930011","New Haven School District","Bishop Woods School","ELL","22.7","*","*","*","*"
"0934311","0930011","New Haven School District","Bishop Woods School","Non-ELL","17.5","*","*","*","*"
"0932411","0930011","New Haven School District","Blake Street Leadership Academy (STEP)","ELL","","","","*",""
"0932411","0930011","New Haven School District","Blake Street Leadership Academy (STEP)","Non-ELL","","","","*","*"
"0934811","0930011","New Haven School District","Celentano BioTech, Health and Medical Magnet School","ELL","30.4","*","*","30.8","20.0"
"0934811","0930011","New Haven School District","Celentano BioTech, Health and Medical Magnet School","Non-ELL","34.0","*","*","28.1","17.5"
"0934111","0930011","New Haven School District","Christopher Columbus Academy","ELL","11.7","6.1","12.3","",""
"0934111","0930011","New Haven School District","Christopher Columbus Academy","Non-ELL","12.3","9.6","15.6","",""
"0934211","0930011","New Haven School District","Clemente Leadership Academy","ELL","24.7","21.7","45.3","27.8","15.7"
"0934211","0930011","New Haven School District","Clemente Leadership Academy","Non-ELL","28.3","24.6","34.8","39.8","23.2"
"0930611","0930011","New Haven School District","Clinton Avenue School","ELL","13.5","15.0","23.4","21.2","13.2"
"0930611","0930011","New Haven School District","Clinton Avenue School","Non-ELL","23.0","15.3","31.9","24.3","21.7"
"0934111","0930011","New Haven School District","Columbus Family Academy","ELL","","","","12.1","10.4"
"0934111","0930011","New Haven School District","Columbus Family Academy","Non-ELL","","","","21.6","9.3"
"0933111","0930011","New Haven School District","Conte/West Hills Magnet School","ELL","*","*","14.8","15.2","11.7"
"0933111","0930011","New Haven School District","Conte/West Hills Magnet School","Non-ELL","*","*","14.0","17.9","14.5"
"0936411","0930011","New Haven School District","Cooperative High School","ELL","*","*","*","*","*"
"0936411","0930011","New Haven School District","Cooperative High School","Non-ELL","*","*","*","*","*"
"0930911","0930011","New Haven School District","Davis 21st Century Magnet Elementary School","ELL","*","*","*","*","*"
"0930911","0930011","New Haven School District","Davis 21st Century Magnet Elementary School","Non-ELL","*","*","*","*","*"
"0935611","0930011","New Haven School District","Domus Academy","ELL","*","*","*","*","*"
"0935611","0930011","New Haven School District","Domus Academy","Non-ELL","*","*","*","*","*"
"0934611","0930011","New Haven School District","East Rock Community Magnet School","ELL","20.0","14.3","17.2","31.4","15.2"
"0934611","0930011","New Haven School District","East Rock Community Magnet School","Non-ELL","16.5","12.7","22.5","22.7","17.4"
"0931711","0930011","New Haven School District","Engineering - Science University Magnet School","ELL","*","*","*","*","*"
"0931711","0930011","New Haven School District","Engineering - Science University Magnet School","Non-ELL","*","*","*","*","*"
"0931611","0930011","New Haven School District","Fair Haven School","ELL","15.1","13.1","23.1","26.6","18.7"
"0931611","0930011","New Haven School District","Fair Haven School","Non-ELL","18.9","15.0","20.3","25.2","18.5"
"0936611","0930011","New Haven School District","High School In The Community","ELL","*","*","*","*","*"
"0936611","0930011","New Haven School District","High School In The Community","Non-ELL","*","*","*","*","*"
"0930711","0930011","New Haven School District","Hill Central Music Academy","ELL","23.6","9.9","30.8","25.4","14.0"
"0930711","0930011","New Haven School District","Hill Central Music Academy","Non-ELL","28.1","13.3","27.0","24.5","23.4"
"0936311","0930011","New Haven School District","Hill Regional Career High School","ELL","25.0","25.0","56.7","45.7","35.1"
"0936311","0930011","New Haven School District","Hill Regional Career High School","Non-ELL","17.1","12.7","20.2","24.1","20.2"
"0936811","0930011","New Haven School District","Hyde School of Health, Science and Sports Medicine","ELL","*","*","*","*","*"
"0936811","0930011","New Haven School District","Hyde School of Health, Science and Sports Medicine","Non-ELL","*","*","*","*","*"
"0936211","0930011","New Haven School District","James Hillhouse High School","ELL","34.4","29.2","48.3","34.1","40.0"
"0936211","0930011","New Haven School District","James Hillhouse High School","Non-ELL","40.4","33.2","45.1","46.0","38.8"
"0931311","0930011","New Haven School District","John C. Daniels","ELL","16.7","6.7","16.5","19.5","16.5"
"0931311","0930011","New Haven School District","John C. Daniels","Non-ELL","5.5","9.1","13.5","11.8","10.1"
"0930811","0930011","New Haven School District","John S. Martinez School","ELL","11.0","8.6","18.3","18.9","6.1"
"0930811","0930011","New Haven School District","John S. Martinez School","Non-ELL","16.0","8.2","27.4","29.9","16.5"
"0932111","0930011","New Haven School District","Katherine Brennan/Clarence Rogers School","ELL","*","23.1","44.8","33.3","22.9"
"0932111","0930011","New Haven School District","Katherine Brennan/Clarence Rogers School","Non-ELL","*","11.0","19.6","24.3","19.0"
"0933011","0930011","New Haven School District","King/Robinson Magnet School","ELL","*","*","*","*","*"
"0933011","0930011","New Haven School District","King/Robinson Magnet School","Non-ELL","*","*","*","*","*"
"0932011","0930011","New Haven School District","Lincoln-Bassett School","ELL","27.3","*","*","35.0","*"
"0932011","0930011","New Haven School District","Lincoln-Bassett School","Non-ELL","21.9","*","*","29.7","*"
"0931911","0930011","New Haven School District","Mauro-Sheridan Magnet School","ELL","12.5","13.6","*","16.7","*"
"0931911","0930011","New Haven School District","Mauro-Sheridan Magnet School","Non-ELL","7.4","6.9","*","18.2","*"
"0936011","0930011","New Haven School District","Metropolitan Business Academy","ELL","*","*","*","*","40.0"
"0936011","0930011","New Haven School District","Metropolitan Business Academy","Non-ELL","*","*","*","*","20.4"
"0934411","0930011","New Haven School District","NHPS Self Contained Autism","Non-ELL","","","","","31.7"
"0935011","0930011","New Haven School District","NHPS Self Contained Intellectually Disabled","ELL","","","","","*"
"0935011","0930011","New Haven School District","NHPS Self Contained Intellectually Disabled","Non-ELL","","","","","*"
"0934511","0930011","New Haven School District","NHPS Self Contained Multi-Handicapped","ELL","","","","","*"
"0934511","0930011","New Haven School District","NHPS Self Contained Multi-Handicapped","Non-ELL","","","","","*"
"0937011","0930011","New Haven School District","New Haven Academy","ELL","*","*","*","*","*"
"0937011","0930011","New Haven School District","New Haven Academy","Non-ELL","*","*","*","*","*"
"0932211","0930011","New Haven School District","New Horizons High School","ELL","","","","*","*"
"0932211","0930011","New Haven School District","New Horizons High School","Non-ELL","","","","*","*"
"0932611","0930011","New Haven School District","New Light High School","ELL","","","","*","*"
"0932611","0930011","New Haven School District","New Light High School","Non-ELL","","","","*","*"
"0937311","0930011","New Haven School District","Off-Campus Classroom Program (OCC)","ELL","","","","","*"
"0937311","0930011","New Haven School District","Off-Campus Classroom Program (OCC)","Non-ELL","","","","","*"
"0939211","0930011","New Haven School District","Polly T. McCabe Center","ELL","*","*","*","","*"
"0939211","0930011","New Haven School District","Polly T. McCabe Center","Non-ELL","*","*","*","*","*"
"0933511","0930011","New Haven School District","Quinnipiac Real World Math STEM School","ELL","","*","36.3","26.5","*"
"0933511","0930011","New Haven School District","Quinnipiac Real World Math STEM School","Non-ELL","","*","26.8","21.7","*"
"0939111","0930011","New Haven School District","Riverside Education Academy","ELL","*","*","*","*","*"
"0939111","0930011","New Haven School District","Riverside Education Academy","Non-ELL","*","*","*","*","*"
"0931011","0930011","New Haven School District","Ross/Woodward School","ELL","*","*","*","13.5","12.5"
"0931011","0930011","New Haven School District","Ross/Woodward School","Non-ELL","*","*","*","17.3","12.8"
"0936711","0930011","New Haven School District","Sound School","ELL","*","*","*","*","*"
"0936711","0930011","New Haven School District","Sound School","Non-ELL","*","*","*","*","*"
"0932811","0930011","New Haven School District","Strong 21st Century Communications Magnet and SCSU Lab School","ELL","22.0","11.6","31.1","28.3","19.5"
"0932811","0930011","New Haven School District","Strong 21st Century Communications Magnet and SCSU Lab School","Non-ELL","32.5","14.3","30.6","28.5","19.0"
"0932911","0930011","New Haven School District","Truman School","ELL","21.1","13.2","22.6","21.6","19.2"
"0932911","0930011","New Haven School District","Truman School","Non-ELL","24.4","16.8","20.2","19.6","14.6"
"0934911","0930011","New Haven School District","West Rock Authors Academy","ELL","*","*","*","*","*"
"0934911","0930011","New Haven School District","West Rock Authors Academy","Non-ELL","*","*","*","*","*"
"0933211","0930011","New Haven School District","Wexler/Grant Community School","ELL","*","*","*","*","*"
"0933211","0930011","New Haven School District","Wexler/Grant Community School","Non-ELL","*","*","*","*","*"
"0936111","0930011","New Haven School District","Wilbur Cross High School","ELL","58.2","56.7","46.4","41.8","42.5"
"0936111","0930011","New Haven School District","Wilbur Cross High School","Non-ELL","54.7","51.6","47.9","52.8","41.3"
"0933811","0930011","New Haven School District","Worthington Hooker School","ELL","*","*","16.0","13.1","9.9"
"0933811","0930011","New Haven School District","Worthington Hooker School","Non-ELL","*","*","8.3","11.1","5.0"
"0950311","0950011","New London School District","Jennings School","ELL","*","*","*","16.9","*"
"0950311","0950011","New London School District","Jennings School","Non-ELL","21.7","16.7","22.1","*","19.8"
"0955111","0950011","New London School District","Bennie Dover Jackson Middle School","ELL","26.0","10.6","15.3","10.1","14.6"
"0955111","0950011","New London School District","Bennie Dover Jackson Middle School","Non-ELL","21.7","14.3","12.3","17.4","12.7"
"0950611","0950011","New London School District","Early Childhood Center at Harbor","ELL","","","","20.7","34.5"
"0950611","0950011","New London School District","Early Childhood Center at Harbor","Non-ELL","","","","28.3","24.6"
"0950211","0950011","New London School District","Harbor School","ELL","*","","","",""
"0950211","0950011","New London School District","Harbor School","Non-ELL","*","","","",""
"0950911","0950011","New London School District","Nathan Hale Arts Magnet School","ELL","20.0","17.3","*","15.5","16.7"
"0950911","0950011","New London School District","Nathan Hale Arts Magnet School","Non-ELL","20.4","20.5","*","16.2","15.5"
"0959111","0950011","New London School District","New London Clinical Day Program","ELL","*","*","","",""
"0959111","0950011","New London School District","New London Clinical Day Program","Non-ELL","*","*","","",""
"0956111","0950011","New London School District","New London High School","ELL","28.2","22.0","31.8","25.3","21.7"
"0956111","0950011","New London School District","New London High School","Non-ELL","26.8","19.7","22.8","16.0","16.5"
"0950811","0950011","New London School District","Winthrop STEM Elementary Magnet School","ELL","45.5","17.7","32.9","21.8","12.2"
"0950811","0950011","New London School District","Winthrop STEM Elementary Magnet School","Non-ELL","42.4","22.3","39.9","20.4","15.3"
"0960511","0960011","New Milford School District","Hill And Plain School","ELL","*","*","*","*","*"
"0960511","0960011","New Milford School District","Hill And Plain School","Non-ELL","*","*","*","*","*"
"0960711","0960011","New Milford School District","John Pettibone School","ELL","*","*","*","*",""
"0960711","0960011","New Milford School District","John Pettibone School","Non-ELL","*","*","*","*",""
"0969011","0960011","New Milford School District","Litchfield Hills Transition Center","Non-ELL","*","*","*","*","*"
"0966111","0960011","New Milford School District","New Milford High School","ELL","*","*","30.0","28.6","*"
"0966111","0960011","New Milford School District","New Milford High School","Non-ELL","*","*","15.3","9.9","*"
"0960811","0960011","New Milford School District","Northville Elementary School","ELL","*","*","*","*","*"
"0960811","0960011","New Milford School District","Northville Elementary School","Non-ELL","*","*","*","*","*"
"0960911","0960011","New Milford School District","Sarah Noble Intermediate School","ELL","0.0","*","*","*","0.0"
"0960911","0960011","New Milford School District","Sarah Noble Intermediate School","Non-ELL","5.6","*","*","*","3.3"
"0965211","0960011","New Milford School District","Schaghticoke Middle School","ELL","*","*","*","*","*"
"0965211","0960011","New Milford School District","Schaghticoke Middle School","Non-ELL","*","*","*","*","*"
"0940611","0940011","Newington School District","Anna Reynolds School","ELL","*","0.0","0.0","*","0.0"
"0940611","0940011","Newington School District","Anna Reynolds School","Non-ELL","*","*","2.5","*","2.9"
"0940211","0940011","Newington School District","Elizabeth Green School","ELL","*","*","*","0.0","0.0"
"0940211","0940011","Newington School District","Elizabeth Green School","Non-ELL","*","*","*","3.7","2.4"
"0940811","0940011","Newington School District","John Paterson School","ELL","0.0","*","*","*","*"
"0940811","0940011","Newington School District","John Paterson School","Non-ELL","3.2","*","*","*","*"
"0945311","0940011","Newington School District","John Wallace Middle School","ELL","*","*","*","*","*"
"0945311","0940011","Newington School District","John Wallace Middle School","Non-ELL","*","*","*","*","*"
"0945111","0940011","Newington School District","Martin Kellogg Middle School","ELL","*","*","*","*","*"
"0945111","0940011","Newington School District","Martin Kellogg Middle School","Non-ELL","*","*","*","*","*"
"0946111","0940011","Newington School District","Newington High School","ELL","0.0","*","*","17.6","*"
"0946111","0940011","Newington School District","Newington High School","Non-ELL","5.7","*","*","13.0","*"
"0940711","0940011","Newington School District","Ruth Chaffee School","ELL","*","0.0","0.0","*","0.0"
"0940711","0940011","Newington School District","Ruth Chaffee School","Non-ELL","*","*","3.6","*","2.9"
"0970111","0970011","Newtown School District","Hawley Elementary School","ELL","*","*","*","*","*"
"0970111","0970011","Newtown School District","Hawley Elementary School","Non-ELL","*","*","*","*","*"
"0970411","0970011","Newtown School District","Head O'Meadow Elementary School","ELL","*","*","","*","*"
"0970411","0970011","Newtown School District","Head O'Meadow Elementary School","Non-ELL","*","*","3.9","*","*"
"0970311","0970011","Newtown School District","Middle Gate Elementary School","ELL","*","*","*","*","*"
"0970311","0970011","Newtown School District","Middle Gate Elementary School","Non-ELL","*","*","*","*","*"
"0976111","0970011","Newtown School District","Newtown High School","ELL","*","*","*","*",""
"0976111","0970011","Newtown School District","Newtown High School","Non-ELL","*","*","*","*","5.3"
"0975111","0970011","Newtown School District","Newtown Middle School","ELL","*","","","","*"
"0975111","0970011","Newtown School District","Newtown Middle School","Non-ELL","*","8.4","7.1","6.5","*"
"0970511","0970011","Newtown School District","Reed Intermediate School","ELL","*","*","*","*","*"
"0970511","0970011","Newtown School District","Reed Intermediate School","Non-ELL","*","*","*","*","*"
"0979011","0970011","Newtown School District","STARR","Non-ELL","*","*","*","*","*"
"0970211","0970011","Newtown School District","Sandy Hook Elementary School","ELL","","","*","*","*"
"0970211","0970011","Newtown School District","Sandy Hook Elementary School","Non-ELL","2.2","4.8","*","*","*"
"0980111","0980011","Norfolk School District","Botelle Elementary School","Non-ELL","11.3","11.9","5.9","*","*"
"0989211","0980011","Norfolk School District","Bridges II","Non-ELL","*","*","*","",""
"0990411","0990011","North Branford School District","Jerome Harrison School","ELL","*","*","*","*","*"
"0990411","0990011","North Branford School District","Jerome Harrison School","Non-ELL","*","*","*","*","*"
"0996111","0990011","North Branford School District","North Branford High School","ELL","*","*","*","*","*"
"0996111","0990011","North Branford School District","North Branford High School","Non-ELL","*","*","*","*","*"
"0995111","0990011","North Branford School District","North Branford Intermediate School","ELL","*","*","","*","*"
"0995111","0990011","North Branford School District","North Branford Intermediate School","Non-ELL","*","*","5.3","*","*"
"0999011","0990011","North Branford School District","School to Work Program","Non-ELL","","*","*","*","*"
"0990611","0990011","North Branford School District","Totoket Valley Elementary School","ELL","*","*","*","*","*"
"0990611","0990011","North Branford School District","Totoket Valley Elementary School","Non-ELL","*","*","*","*","*"
"1000111","1000011","North Canaan School District","North Canaan Elementary School","ELL","*","*","*","*","*"
"1000111","1000011","North Canaan School District","North Canaan Elementary School","Non-ELL","*","*","*","*","*"
"1010811","1010011","North Haven School District","Clintonville Elementary School","ELL","*","*","*","*","*"
"1010811","1010011","North Haven School District","Clintonville Elementary School","Non-ELL","*","*","*","*","*"
"1010711","1010011","North Haven School District","Green Acres Elementary School","ELL","*","*","*","*","*"
"1010711","1010011","North Haven School District","Green Acres Elementary School","Non-ELL","*","*","*","*","*"
"1010211","1010011","North Haven School District","Montowese Elementary School","ELL","*","*","*","*","*"
"1010211","1010011","North Haven School District","Montowese Elementary School","Non-ELL","*","*","*","*","*"
"1016111","1010011","North Haven School District","North Haven High School","ELL","*","*","*","*","*"
"1016111","1010011","North Haven School District","North Haven High School","Non-ELL","*","*","*","*","*"
"1015211","1010011","North Haven School District","North Haven Middle School","ELL","*","*","*","*","*"
"1015211","1010011","North Haven School District","North Haven Middle School","Non-ELL","*","*","*","*","*"
"1010111","1010011","North Haven School District","North Haven Transition Partnership","Non-ELL","","","","*","*"
"1010311","1010011","North Haven School District","Ridge Road Elementary School","ELL","*","*","*","*","*"
"1010311","1010011","North Haven School District","Ridge Road Elementary School","Non-ELL","*","*","*","*","*"
"1020111","1020011","North Stonington School District","North Stonington Elementary School","Non-ELL","4.1","4.9","0.0","0.0","3.6"
"1026111","1020011","North Stonington School District","Wheeler High School","ELL","","","*","*","*"
"1026111","1020011","North Stonington School District","Wheeler High School","Non-ELL","16.7","20.1","*","*","*"
"1025111","1020011","North Stonington School District","Wheeler Middle School","ELL","","","","*","*"
"1025111","1020011","North Stonington School District","Wheeler Middle School","Non-ELL","10.9","13.4","7.7","*","*"
"1036211","1030011","Norwalk School District","Brien McMahon High School","ELL","19.0","16.2","15.4","11.3","14.8"
"1036211","1030011","Norwalk School District","Brien McMahon High School","Non-ELL","17.2","14.4","13.4","8.3","15.9"
"1030211","1030011","Norwalk School District","Brookside Elementary School","ELL","*","*","7.7","6.5","5.1"
"1030211","1030011","Norwalk School District","Brookside Elementary School","Non-ELL","*","*","4.0","6.8","4.2"
"1030311","1030011","Norwalk School District","Columbus Magnet School","ELL","*","*","*","*","*"
"1030311","1030011","Norwalk School District","Columbus Magnet School","Non-ELL","*","*","*","*","*"
"1030411","1030011","Norwalk School District","Cranbury Elementary School","ELL","*","*","*","0.0","17.9"
"1030411","1030011","Norwalk School District","Cranbury Elementary School","Non-ELL","*","*","*","4.6","4.4"
"1032011","1030011","Norwalk School District","Fox Run Elementary School","ELL","16.7","*","*","*","*"
"1032011","1030011","Norwalk School District","Fox Run Elementary School","Non-ELL","6.6","*","*","*","*"
"1030711","1030011","Norwalk School District","Jefferson Magnet School","ELL","8.8","13.9","9.0","15.4","7.1"
"1030711","1030011","Norwalk School District","Jefferson Magnet School","Non-ELL","6.3","7.8","6.7","11.8","7.4"
"1030811","1030011","Norwalk School District","Kendall Elementary School","ELL","7.7","8.1","6.6","6.7","7.5"
"1030811","1030011","Norwalk School District","Kendall Elementary School","Non-ELL","6.0","8.2","9.0","7.9","7.3"
"1032211","1030011","Norwalk School District","Marvin Elementary School","ELL","*","6.3","*","7.1","8.0"
"1032211","1030011","Norwalk School District","Marvin Elementary School","Non-ELL","*","5.3","*","3.7","3.1"
"1032111","1030011","Norwalk School District","Naramake Elementary School","ELL","*","*","*","*","*"
"1032111","1030011","Norwalk School District","Naramake Elementary School","Non-ELL","*","*","*","*","*"
"1035211","1030011","Norwalk School District","Nathan Hale Middle School","ELL","18.9","*","*","*","*"
"1035211","1030011","Norwalk School District","Nathan Hale Middle School","Non-ELL","11.8","*","*","*","*"
"1036111","1030011","Norwalk School District","Norwalk High School","ELL","20.2","23.7","20.5","7.8","16.9"
"1036111","1030011","Norwalk School District","Norwalk High School","Non-ELL","18.9","16.6","16.2","8.9","18.5"
"1036311","1030011","Norwalk School District","Norwalk Pathways Academy at Briggs","ELL","*","*","*","*","*"
"1036311","1030011","Norwalk School District","Norwalk Pathways Academy at Briggs","Non-ELL","*","*","*","*","*"
"1035311","1030011","Norwalk School District","Ponus Ridge Middle School","ELL","18.9","10.3","23.2","12.7","9.5"
"1035311","1030011","Norwalk School District","Ponus Ridge Middle School","Non-ELL","18.4","20.1","23.1","12.3","8.9"
"1035511","1030011","Norwalk School District","Roton Middle School","ELL","*","*","*","*","*"
"1035511","1030011","Norwalk School District","Roton Middle School","Non-ELL","*","*","*","*","*"
"1031311","1030011","Norwalk School District","Rowayton School","ELL","*","*","*","*","10.7"
"1031311","1030011","Norwalk School District","Rowayton School","Non-ELL","*","*","*","*","4.3"
"1032311","1030011","Norwalk School District","Silvermine Elementary School","ELL","8.9","10.0","10.0","11.4","7.1"
"1032311","1030011","Norwalk School District","Silvermine Elementary School","Non-ELL","8.6","9.3","7.7","9.9","6.5"
"1031411","1030011","Norwalk School District","Tracey School","ELL","*","8.8","5.7","8.0","*"
"1031411","1030011","Norwalk School District","Tracey School","Non-ELL","*","8.6","4.3","9.4","*"
"1035411","1030011","Norwalk School District","West Rocks Middle School","ELL","*","*","*","8.9","10.8"
"1035411","1030011","Norwalk School District","West Rocks Middle School","Non-ELL","*","*","*","7.9","8.3"
"1032411","1030011","Norwalk School District","Wolfpit School","ELL","*","*","*","*","12.5"
"1032411","1030011","Norwalk School District","Wolfpit School","Non-ELL","*","*","*","*","6.0"
"9010322","9010022","Norwich Free Academy District","Alternative Pathways to Success","Non-ELL","","","","","*"
"9010122","9010022","Norwich Free Academy District","LEAD (Life Skills, Education and Adult Development)","ELL","","","","","*"
"9010122","9010022","Norwich Free Academy District","LEAD (Life Skills, Education and Adult Development)","Non-ELL","","","","*","*"
"9010222","9010022","Norwich Free Academy District","Night School","ELL","","","","","*"
"9010222","9010022","Norwich Free Academy District","Night School","Non-ELL","","","","","*"
"9016122","9010022","Norwich Free Academy District","Norwich Free Academy","ELL","13.7","8.7","19.9","14.0","13.9"
"9016122","9010022","Norwich Free Academy District","Norwich Free Academy","Non-ELL","10.6","11.6","31.9","15.3","9.9"
"1049211","1040011","Norwich School District","Virtual Learning Academy","ELL","","","","","*"
"1049211","1040011","Norwich School District","Virtual Learning Academy","Non-ELL","","*","*","*","*"
"1040411","1040011","Norwich School District","ABA Autism Program","ELL","","","","","*"
"1040411","1040011","Norwich School District","ABA Autism Program","Non-ELL","","","","","*"
"1049111","1040011","Norwich School District","Deborah-Tennant Zinewicz  School","ELL","*","*","*","",""
"1049111","1040011","Norwich School District","Deborah-Tennant Zinewicz  School","Non-ELL","*","*","*","",""
"1049011","1040011","Norwich School District","Hickory Street School","ELL","*","*","*","*",""
"1049011","1040011","Norwich School District","Hickory Street School","Non-ELL","*","*","*","*",""
"1040911","1040011","Norwich School District","IRS Program at Moriarty","Non-ELL","","","","","*"
"1040711","1040011","Norwich School District","IRS Program at Uncas","Non-ELL","","","","","*"
"1041411","1040011","Norwich School District","John B. Stanton Network School","ELL","13.3","9.5","*","5.7","*"
"1041411","1040011","Norwich School District","John B. Stanton Network School","Non-ELL","10.1","11.5","*","11.0","*"
"1045111","1040011","Norwich School District","Kelly Middle School","ELL","11.4","*","11.3","9.0","*"
"1045111","1040011","Norwich School District","Kelly Middle School","Non-ELL","14.7","*","16.1","15.2","*"
"1042011","1040011","Norwich School District","Moriarty Magnet School","ELL","15.9","20.4","24.3","18.2","18.5"
