"school_code","district_code","district","school","gender","2011_12","2012_13","2013_14","2014_15","2015_16"
"0176211","0170011","Bristol School District","Bristol Eastern High School","Male","20.4","16.7","16.2","12.1","10.3"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","Female","","","","*","50.0"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","Male","","","","*","48.1"
"0173411","0170011","Bristol School District","CHMS GOAL","Female","","","","*",""
"0173411","0170011","Bristol School District","CHMS GOAL","Male","","","","*",""
"0175111","0170011","Bristol School District","Chippens Hill Middle School","Female","11.3","6.9","11.3","9.6","9.8"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","Male","10.0","7.1","10.3","9.7","8.8"
"0171011","0170011","Bristol School District","Chippens Hill Middle School Functional Program","Female","","","","*","*"
"0171011","0170011","Bristol School District","Chippens Hill Middle School Functional Program","Male","","","","*","*"
"0173411","0170011","Bristol School District","Chms Goal","Male","","","","","*"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","Female","15.1","","","",""
"0170711","0170011","Bristol School District","Clara T. O'Connell School","Male","19.2","","","",""
"0179211","0170011","Bristol School District","Community/Vocational Program","Female","*","*","*","*","*"
"0179211","0170011","Bristol School District","Community/Vocational Program","Male","*","*","*","*","*"
"0170311","0170011","Bristol School District","Edgewood School","Female","11.5","7.8","7.0","10.2","*"
"0170311","0170011","Bristol School District","Edgewood School","Male","7.8","9.0","8.6","6.0","*"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","Female","7.3","9.1","4.9","4.3","4.1"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","Male","9.1","8.0","5.9","7.4","6.2"
"0173611","0170011","Bristol School District","Extended Resource Self-Contained","Female","","","","","*"
"0173611","0170011","Bristol School District","Extended Resource Self-Contained","Male","","","","","*"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","Male","","","","*","*"
"0170511","0170011","Bristol School District","Greene-Hills School","Female","4.9","8.2","9.1","7.3","7.9"
"0170511","0170011","Bristol School District","Greene-Hills School","Male","5.8","9.0","8.3","7.6","8.0"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","Female","","","","*","*"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","Male","","","","*","*"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","Female","","","","*","*"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","Male","","","","*","*"
"0172311","0170011","Bristol School District","Ivy Drive Medically Fragile","Female","","","","*","*"
"0172311","0170011","Bristol School District","Ivy Drive Medically Fragile","Male","","","","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","Female","3.7","5.2","7.5","4.5","3.4"
"0171911","0170011","Bristol School District","Ivy Drive School","Male","9.1","7.2","7.1","5.3","5.2"
"0170611","0170011","Bristol School District","John J. Jennings School","Female","6.6","","","",""
"0170611","0170011","Bristol School District","John J. Jennings School","Male","5.0","","","",""
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","Female","6.9","","","",""
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","Male","7.6","","","",""
"0171711","0170011","Bristol School District","Mountain View School","Female","7.0","6.0","3.9","*","*"
"0171711","0170011","Bristol School District","Mountain View School","Male","5.6","6.4","4.8","*","*"
"0172511","0170011","Bristol School District","Mt. View GOAL","Female","","","","*","*"
"0172511","0170011","Bristol School District","Mt. View GOAL","Male","","","","*","*"
"0172711","0170011","Bristol School District","Northeast MS/Extended Resource","Female","","","","","*"
"0172711","0170011","Bristol School District","Northeast MS/Extended Resource","Male","","","","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","Female","","","","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","Male","","","","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","Female","4.2","6.2","6.7","5.6","3.4"
"0175211","0170011","Bristol School District","Northeast Middle School","Male","8.8","4.2","7.3","6.3","3.3"
"0173011","0170011","Bristol School District","South Side Extended Resource","Male","","","","*","*"
"0173111","0170011","Bristol School District","South Side GOAL","Male","","","","*","*"
