district,school,special_education_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,Special Education,96.7,*,*,91.3,*,9002716,Ella T. Grasso Southeastern Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Emmett O'Brien Technical High School,Non-Special Education,97.5,96.0,96.7,100.0,97.6,9002516,Emmett O'Brien Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Emmett O'Brien Technical High School,Special Education,*,*,*,*,*,9002516,Emmett O'Brien Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. C. Wilcox Technical High School,Non-Special Education,96.9,99.4,97.6,99.4,98.3,9001716,H. C. Wilcox Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. C. Wilcox Technical High School,Special Education,*,*,*,*,*,9001716,H. C. Wilcox Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. H. Ellis Technical High School,Non-Special Education,95.7,100.0,96.1,96.0,95.7,9001316,H. H. Ellis Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. H. Ellis Technical High School,Special Education,*,*,*,*,*,9001316,H. H. Ellis Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Henry Abbott Technical High School,Non-Special Education,97.0,96.7,96.7,100.0,96.0,9001216,Henry Abbott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Henry Abbott Technical High School,Special Education,96.3,96.0,90.9,95.2,100.0,9001216,Henry Abbott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Howell Cheney Technical High School,Non-Special Education,97.0,96.7,99.3,97.2,95.4,9001616,Howell Cheney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Howell Cheney Technical High School,Special Education,*,*,*,*,95.2,9001616,Howell Cheney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Norwich Technical High School,Non-Special Education,96.5,98.6,97.2,99.3,97.2,9002016,Norwich Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Norwich Technical High School,Special Education,*,*,*,*,*,9002016,Norwich Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Oliver Wolcott Technical High School,Non-Special Education,97.2,99.3,97.1,97.9,98.5,9002216,Oliver Wolcott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Oliver Wolcott Technical High School,Special Education,*,*,*,*,*,9002216,Oliver Wolcott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Platt Technical High School,Non-Special Education,97.1,99.0,97.9,100.0,100.0,9002616,Platt Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Platt Technical High School,Special Education,*,*,*,*,*,9002616,Platt Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Vinal Technical High School,Non-Special Education,96.0,94.8,95.8,97.7,95.2,9001816,Vinal Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Vinal Technical High School,Special Education,96.8,92.0,85.7,100.0,90.3,9001816,Vinal Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,W. F. Kaynor Technical High School,Non-Special Education,98.3,97.9,98.4,97.6,98.8,9002316,W. F. Kaynor Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,W. F. Kaynor Technical High School,Special Education,*,*,,*,*,9002316,W. F. Kaynor Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Windham Technical High School,Non-Special Education,97.6,98.3,98.2,97.3,98.3,9002416,Windham Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Windham Technical High School,Special Education,*,*,*,95.7,*,9002416,Windham Technical High School,Connecticut Technical High School System
Coventry School District,Coventry High School,Non-Special Education,87.5,93.2,*,*,*,0326111,Coventry High School,Coventry School District
Coventry School District,Coventry High School,Special Education,82.6,*,*,*,*,0326111,Coventry High School,Coventry School District
Cromwell School District,Cromwell High School,Non-Special Education,97.7,*,*,*,93.8,0336111,Cromwell High School,Cromwell School District
Cromwell School District,Cromwell High School,Special Education,*,*,*,*,*,0336111,Cromwell High School,Cromwell School District
Danbury School District,Alternative Center For Excellence,Non-Special Education,,*,,,36.7,0346211,Alternative Center For Excellence,Danbury School District
Danbury School District,Alternative Center For Excellence,Special Education,,*,,,*,0346211,Alternative Center For Excellence,Danbury School District
Danbury School District,Danbury High School,Non-Special Education,83.0,*,85.7,81.1,83.5,0346111,Danbury High School,Danbury School District
Danbury School District,Danbury High School,Special Education,55.7,*,53.4,66.3,*,0346111,Danbury High School,Danbury School District
Darien School District,Darien High School,Non-Special Education,*,98.6,*,*,*,0356111,Darien High School,Darien School District
Darien School District,Darien High School,Special Education,*,91.4,*,*,*,0356111,Darien High School,Darien School District
Derby School District,Derby High School,Non-Special Education,*,*,85.1,*,84.7,0376111,Derby High School,Derby School District
Derby School District,Derby High School,Special Education,*,*,*,*,*,0376111,Derby High School,Derby School District
East Granby School District,East Granby High School,Non-Special Education,*,*,*,100.0,100.0,0406111,East Granby High School,East Granby School District
East Granby School District,East Granby High School,Special Education,*,*,*,*,*,0406111,East Granby High School,East Granby School District
East Haddam School District,Nathan Hale-Ray High School,Non-Special Education,93.3,*,97.7,*,*,0416111,Nathan Hale-Ray High School,East Haddam School District
East Haddam School District,Nathan Hale-Ray High School,Special Education,*,*,*,*,*,0416111,Nathan Hale-Ray High School,East Haddam School District
East Hampton School District,East Hampton High School,Non-Special Education,*,*,*,*,*,0426111,East Hampton High School,East Hampton School District
East Hampton School District,East Hampton High School,Special Education,*,*,*,*,*,0426111,East Hampton High School,East Hampton School District
East Hartford School District,Connecticut IB Academy,Non-Special Education,92.1,94.6,97.8,100.0,97.8,0436311,Connecticut IB Academy,East Hartford School District
East Hartford School District,Connecticut IB Academy,Special Education,,*,*,,,0436311,Connecticut IB Academy,East Hartford School District
East Hartford School District,East Hartford High School,Non-Special Education,90.0,89.7,87.9,95.8,96.8,0436211,East Hartford High School,East Hartford School District
East Hartford School District,East Hartford High School,Special Education,64.6,58.3,75.6,85.7,74.0,0436211,East Hartford High School,East Hartford School District
East Hartford School District,Stevens Alternate High school,Non-Special Education,,51.0,37.5,,56.6,0436411,Stevens Alternate High School,East Hartford School District
East Hartford School District,Stevens Alternate High school,Special Education,,*,*,,57.1,0436411,Stevens Alternate High School,East Hartford School District
East Haven School District,East Haven High School,Non-Special Education,76.8,78.4,85.1,81.3,79.4,0446111,East Haven High School,East Haven School District
East Haven School District,East Haven High School,Special Education,60.9,50.0,65.5,60.0,52.9,0446111,East Haven High School,East Haven School District
East Lyme School District,East Lyme High School,Non-Special Education,96.8,98.5,98.3,*,100.0,0456111,East Lyme High School,East Lyme School District
East Lyme School District,East Lyme High School,Special Education,89.4,74.5,88.5,*,81.5,0456111,East Lyme High School,East Lyme School District
East Windsor School District,East Windsor High School,Non-Special Education,89.6,88.2,*,90.0,*,0476111,East Windsor High School,East Windsor School District
East Windsor School District,East Windsor High School,Special Education,*,*,*,*,*,0476111,East Windsor High School,East Windsor School District
Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),Non-Special Education,90.9,91.7,90.0,95.7,85.7,2536014,Arts at the Capitol Theater Magnet School (ACT),Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),Special Education,*,*,*,*,*,2536014,Arts at the Capitol Theater Magnet School (ACT),Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Quinebaug Middle College,Non-Special Education,68.8,76.5,55.6,60.0,77.4,2536114,Quinebaug Middle College,Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Quinebaug Middle College,Special Education,*,*,*,*,*,2536114,Quinebaug Middle College,Eastern Connecticut Regional Educational Service Center (EASTCONN)
Ellington School District,Ellington High School,Non-Special Education,93.9,93.3,97.1,100.0,*,0486111,Ellington High School,Ellington School District
Ellington School District,Ellington High School,Special Education,65.0,*,85.7,85.3,*,0486111,Ellington High School,Ellington School District
Elm City College Preparatory School District,Elm City College Preparatory School,Non-Special Education,*,*,*,*,*,2890113,Elm City College Preparatory School,Elm City College Preparatory School District
Elm City College Preparatory School District,Elm City College Preparatory School,Special Education,*,,*,*,*,2890113,Elm City College Preparatory School,Elm City College Preparatory School District
Enfield School District,Enfield High School,Non-Special Education,90.1,86.3,85.0,87.2,88.3,0496111,Enfield High School,Enfield School District
Enfield School District,Enfield High School,Special Education,70.0,60.0,*,*,71.9,0496111,Enfield High School,Enfield School District
Enfield School District,Enrico Fermi High School,Non-Special Education,90.5,95.1,92.7,92.1,,0496211,Enrico Fermi High School,Enfield School District
Enfield School District,Enrico Fermi High School,Special Education,74.5,77.4,78.0,70.3,,0496211,Enrico Fermi High School,Enfield School District
Explorations District,Explorations,Non-Special Education,*,*,*,*,*,2726113,Explorations,Explorations District
Explorations District,Explorations,Special Education,*,*,*,*,*,2726113,Explorations,Explorations District
Fairfield School District,Fairfield Ludlowe High School,Non-Special Education,97.7,96.8,96.9,98.5,98.4,0516011,Fairfield Ludlowe High School,Fairfield School District
Fairfield School District,Fairfield Ludlowe High School,Special Education,88.0,82.9,75.6,82.5,94.7,0516011,Fairfield Ludlowe High School,Fairfield School District
Fairfield School District,Fairfield Warde High School,Non-Special Education,94.3,94.7,96.9,98.5,98.2,0516211,Fairfield Warde High School,Fairfield School District
Fairfield School District,Fairfield Warde High School,Special Education,80.5,62.5,66.7,90.3,87.5,0516211,Fairfield Warde High School,Fairfield School District
