district,type,2010_11,2011_12,2012_13,2013_14,2014_15,district_code,check_dist_col,school_code
Bridgeport Achievement First District,Administration and Support Services,1120287.0,2178687.0,2373137.0,2622743.0,2707177.0,2850013,Bridgeport Achievement First District,2850013
Bridgeport Achievement First District,Plant Operation and Maintenance,141262.0,296653.0,349622.0,401299.0,501297.0,2850013,Bridgeport Achievement First District,2850013
Bridgeport Achievement First District,Transportation,33517.0,64047.0,105261.0,140326.0,250828.0,2850013,Bridgeport Achievement First District,2850013
Bridgeport Achievement First District,Students Tuitioned Out,,,,,,2850013,Bridgeport Achievement First District,2850013
Bridgeport Achievement First District,Other,282917.0,377949.0,439266.0,558214.0,628968.0,2850013,Bridgeport Achievement First District,2850013
Bridgeport Achievement First District,Total Expenditures,5549799.0,7519426.0,8971467.0,11108810.0,11997032.0,2850013,Bridgeport Achievement First District,2850013
Bridgeport School District,Instructional Staff and Services,177852907.0,163125030.0,169092617.0,176667378.0,162144284.0,0150011,Bridgeport School District,0150011
Bridgeport School District,Instructional Supplies and Equipment,4052950.0,3861148.0,6753796.0,11700133.0,8967320.0,0150011,Bridgeport School District,0150011
Bridgeport School District,Instruction and Educational Media Services,5080338.0,4768779.0,4697396.0,4021582.0,7058028.0,0150011,Bridgeport School District,0150011
Bridgeport School District,Student Support Services,17805632.0,19538104.0,18587192.0,18452380.0,19397789.0,0150011,Bridgeport School District,0150011
Bridgeport School District,Administration and Support Services,22877169.0,25072815.0,26857775.0,27424935.0,37009609.0,0150011,Bridgeport School District,0150011
Bridgeport School District,Plant Operation and Maintenance,24759300.0,26211979.0,27629861.0,25293527.0,26323634.0,0150011,Bridgeport School District,0150011
Bridgeport School District,Transportation,15116507.0,15237854.0,15105275.0,17488407.0,18936887.0,0150011,Bridgeport School District,0150011
Bridgeport School District,Students Tuitioned Out,21051962.0,20890354.0,18234133.0,18681764.0,22500905.0,0150011,Bridgeport School District,0150011
Bridgeport School District,Other,978365.0,925569.0,928953.0,1043995.0,902815.0,0150011,Bridgeport School District,0150011
Bridgeport School District,Total Expenditures,289575130.0,279631632.0,287886998.0,300774101.0,303241271.0,0150011,Bridgeport School District,0150011
Bristol School District,Instructional Staff and Services,65291611.0,65902039.0,62649926.0,65587827.0,68362491.0,0170011,Bristol School District,0170011
Bristol School District,Instructional Supplies and Equipment,1461476.0,1040266.0,984061.0,1357724.0,1183532.0,0170011,Bristol School District,0170011
Bristol School District,Instruction and Educational Media Services,5595849.0,4339203.0,4485590.0,4036685.0,4405968.0,0170011,Bristol School District,0170011
Bristol School District,Student Support Services,5334371.0,7171895.0,6844007.0,7375529.0,7777416.0,0170011,Bristol School District,0170011
Bristol School District,Administration and Support Services,9497162.0,7943229.0,8126011.0,8161594.0,8166191.0,0170011,Bristol School District,0170011
Bristol School District,Plant Operation and Maintenance,10311565.0,9690444.0,8912388.0,9903795.0,10264291.0,0170011,Bristol School District,0170011
Bristol School District,Transportation,5740427.0,6048724.0,6739248.0,7188103.0,7576708.0,0170011,Bristol School District,0170011
Bristol School District,Students Tuitioned Out,5818940.0,6698388.0,6882031.0,7759348.0,8171193.0,0170011,Bristol School District,0170011
Bristol School District,Other,2066621.0,2807173.0,3010647.0,2937399.0,2834104.0,0170011,Bristol School District,0170011
Bristol School District,Total Expenditures,111118022.0,111641361.0,108633909.0,114308004.0,118741894.0,0170011,Bristol School District,0170011
Brookfield School District,Instructional Staff and Services,23070966.0,22562496.0,23549530.0,24302352.0,22456681.0,0180011,Brookfield School District,0180011
Brookfield School District,Instructional Supplies and Equipment,431179.0,351933.0,435284.0,593402.0,366561.0,0180011,Brookfield School District,0180011
Brookfield School District,Instruction and Educational Media Services,1789926.0,1917901.0,1961517.0,2064501.0,1765400.0,0180011,Brookfield School District,0180011
Brookfield School District,Student Support Services,2492350.0,2634509.0,2704143.0,2681944.0,2782338.0,0180011,Brookfield School District,0180011
Brookfield School District,Administration and Support Services,4025664.0,4085851.0,3957106.0,4495614.0,5111627.0,0180011,Brookfield School District,0180011
Brookfield School District,Plant Operation and Maintenance,3274445.0,2652716.0,3695974.0,2869625.0,2953124.0,0180011,Brookfield School District,0180011
Brookfield School District,Transportation,1974339.0,2062056.0,2048270.0,2280216.0,2741352.0,0180011,Brookfield School District,0180011
Brookfield School District,Students Tuitioned Out,112310.0,808354.0,870962.0,621580.0,1532862.0,0180011,Brookfield School District,0180011
Brookfield School District,Other,661053.0,976603.0,843764.0,704182.0,893089.0,0180011,Brookfield School District,0180011
Brookfield School District,Total Expenditures,37832232.0,38052419.0,40066550.0,40613416.0,40603034.0,0180011,Brookfield School District,0180011
Brooklyn School District,Instructional Staff and Services,7453096.0,7227060.0,7314294.0,7333678.0,7167793.0,0190011,Brooklyn School District,0190011
Brooklyn School District,Instructional Supplies and Equipment,165252.0,131144.0,100785.0,157896.0,208280.0,0190011,Brooklyn School District,0190011
Brooklyn School District,Instruction and Educational Media Services,174573.0,170018.0,192091.0,226417.0,273871.0,0190011,Brooklyn School District,0190011
Brooklyn School District,Student Support Services,706329.0,726940.0,727181.0,828345.0,968217.0,0190011,Brooklyn School District,0190011
Brooklyn School District,Administration and Support Services,924513.0,910252.0,962002.0,958303.0,1006758.0,0190011,Brooklyn School District,0190011
Brooklyn School District,Plant Operation and Maintenance,1070153.0,1221526.0,1227313.0,1208156.0,1327075.0,0190011,Brooklyn School District,0190011
Brooklyn School District,Transportation,1072432.0,1131119.0,1125384.0,1156918.0,1092625.0,0190011,Brooklyn School District,0190011
Brooklyn School District,Students Tuitioned Out,685657.0,787921.0,936307.0,1087695.0,827458.0,0190011,Brooklyn School District,0190011
Brooklyn School District,Other,73829.0,823.0,150.0,0.0,38575.0,0190011,Brooklyn School District,0190011
Brooklyn School District,Total Expenditures,12325834.0,12306803.0,12585507.0,12957408.0,12910652.0,0190011,Brooklyn School District,0190011
Canaan School District,Instructional Staff and Services,1339639.0,1270203.0,1308566.0,1280526.0,1304305.0,0210011,Canaan School District,0210011
Canaan School District,Instructional Supplies and Equipment,46300.0,32502.0,40037.0,43514.0,32325.0,0210011,Canaan School District,0210011
Canaan School District,Instruction and Educational Media Services,55834.0,28834.0,41879.0,38969.0,74068.0,0210011,Canaan School District,0210011
Canaan School District,Student Support Services,116723.0,108103.0,110600.0,104947.0,108025.0,0210011,Canaan School District,0210011
Canaan School District,Administration and Support Services,271351.0,264683.0,290473.0,281735.0,301203.0,0210011,Canaan School District,0210011
Canaan School District,Plant Operation and Maintenance,179613.0,192408.0,191927.0,259451.0,230401.0,0210011,Canaan School District,0210011
Canaan School District,Transportation,132304.0,130229.0,135068.0,133412.0,147334.0,0210011,Canaan School District,0210011
Canaan School District,Students Tuitioned Out,0.0,0.0,0.0,0.0,213.0,0210011,Canaan School District,0210011
Canaan School District,Other,14655.0,17807.0,12618.0,12470.0,12044.0,0210011,Canaan School District,0210011
Canaan School District,Total Expenditures,2156419.0,2044769.0,2131168.0,2155024.0,2209918.0,0210011,Canaan School District,0210011
Canterbury School District,Instructional Staff and Services,4599938.0,4760369.0,4937043.0,4918129.0,5105965.0,0220011,Canterbury School District,0220011
Canterbury School District,Instructional Supplies and Equipment,221308.0,115287.0,109406.0,127908.0,89658.0,0220011,Canterbury School District,0220011
Canterbury School District,Instruction and Educational Media Services,73089.0,73878.0,79127.0,74424.0,111329.0,0220011,Canterbury School District,0220011
Canterbury School District,Student Support Services,440465.0,469071.0,478886.0,499530.0,475097.0,0220011,Canterbury School District,0220011
Canterbury School District,Administration and Support Services,851829.0,762578.0,827529.0,848716.0,860861.0,0220011,Canterbury School District,0220011
Canterbury School District,Plant Operation and Maintenance,1346320.0,1148546.0,2021986.0,1109296.0,1205970.0,0220011,Canterbury School District,0220011
Canterbury School District,Transportation,910777.0,957664.0,1004155.0,881614.0,693789.0,0220011,Canterbury School District,0220011
Canterbury School District,Students Tuitioned Out,548772.0,652895.0,772301.0,932481.0,934437.0,0220011,Canterbury School District,0220011
