district,district_code,school,school_code,no,yes,total,year,group
Windsor School District,1640011,Poquonock Elementary School,1640511,243,43,286,2015,special-ed
Windsor School District,1640011,Sage Park Middle School,1645311,544,129,673,2015,special-ed
Windsor School District,1640011,Spark,1640311,0,12,12,2015,special-ed
Windsor School District,1640011,Windsor High School,1646111,925,171,1096,2015,special-ed
Wolcott School District,1660011,ABC Classroom,1660311,0,*,*,2015,special-ed
Wolcott School District,1660011,Alcott School,1660611,242,43,285,2015,special-ed
Wolcott School District,1660011,Frisbie School,1660211,291,21,312,2015,special-ed
Wolcott School District,1660011,Phoenix Program,1660411,0,*,*,2015,special-ed
Wolcott School District,1660011,Tyrrell Middle School,1665111,547,57,604,2015,special-ed
Wolcott School District,1660011,Wakelee School,1660511,293,36,329,2015,special-ed
Wolcott School District,1660011,Wolcott High School,1666111,713,87,800,2015,special-ed
Woodbridge School District,1670011,Beecher Road School,1670311,707,64,771,2015,special-ed
Woodstock Academy District,9030022,Woodstock Academy,9036122,972,50,1022,2015,special-ed
Woodstock School District,1690011,Woodstock Elementary School,1690211,383,41,424,2015,special-ed
Woodstock School District,1690011,Woodstock Middle School,1695111,386,46,432,2015,special-ed
