2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,district,district_code,school,school_code,total,year
,,,,,585,,,,,Waterbury School District,1510011,Margaret M. Generali Elementary School,1511111,585,2012-13
,,,,,1220,,,,,Waterbury School District,1510011,Michael F. Wallace Middle School,1515111,1220,2012-13
,,,,,1105,,,,,Waterbury School District,1510011,North End Middle School,1515311,1105,2012-13
,,,,,329,,,,,Waterbury School District,1510011,Reed School,1513411,329,2012-13
,,,,,254,,,,,Waterbury School District,1510011,Regan School,1512811,254,2012-13
,,,,,615,,,,,Waterbury School District,1510011,Rotella Interdistrict Magnet School,1513311,615,2012-13
,,,,,200,,,,,Waterbury School District,1510011,Special Education Preschool,1518011,200,2012-13
,,,,,400,,,,,Waterbury School District,1510011,Sprague School,1512011,400,2012-13
,,,,,84,,,,,Waterbury School District,1510011,State Street School,1519011,84,2012-13
,,,,,511,,,,,Waterbury School District,1510011,Walsh School,1512211,511,2012-13
,,,,,469,,,,,Waterbury School District,1510011,Waterbury Arts Magnet School (High),1516011,469,2012-13
,,,,,333,,,,,Waterbury School District,1510011,Waterbury Arts Magnet School (Middle),1515011,333,2012-13
,,,,,352,,,,,Waterbury School District,1510011,Wendell L. Cross School,1510811,352,2012-13
,,,,,1329,,,,,Waterbury School District,1510011,Wilby High School,1516311,1329,2012-13
,,,,,425,,,,,Waterbury School District,1510011,Woodrow Wilson School,1513211,425,2012-13
,,,,,675,,,,,Waterford School District,1520011,Clark Lane Middle School,1525111,675,2012-13
,,,,,353,,,,,Waterford School District,1520011,Great Neck Elementary School,1520211,353,2012-13
,,,,,394,,,,,Waterford School District,1520011,Oswegatchie Elementary School,1520611,394,2012-13
,,,,,361,,,,,Waterford School District,1520011,Quaker Hill Elementary School,1520711,361,2012-13
,,,,,844,,,,,Waterford School District,1520011,Waterford High School,1526111,844,2012-13
,,,,,307,,,,,Watertown School District,1530011,Fletcher W. Judson School,1530311,307,2012-13
,,,,,682,,,,,Watertown School District,1530011,John Trumbull Primary School,1530211,682,2012-13
,,,,,337,,,,,Watertown School District,1530011,Polk School,1530411,337,2012-13
,,,,,770,,,,,Watertown School District,1530011,Swift Middle School,1535111,770,2012-13
,,,,,928,,,,,Watertown School District,1530011,Watertown High School,1536111,928,2012-13
,,,,,364,,,,,West Hartford School District,1550011,Smith School,1551711,364,2012-13
,,,,,9,,,,,West Hartford School District,1550011,Achieve,1559111,9,2012-13
,,,,,460,,,,,West Hartford School District,1550011,Aiken School,1551611,460,2012-13
,,,,,384,,,,,West Hartford School District,1550011,Braeburn School,1550211,384,2012-13
,,,,,420,,,,,West Hartford School District,1550011,Bristow Middle School,1555311,420,2012-13
,,,,,459,,,,,West Hartford School District,1550011,Bugbee School,1550411,459,2012-13
,,,,,308,,,,,West Hartford School District,1550011,Charter Oak International Academy,1550511,308,2012-13
,,,,,1542,,,,,West Hartford School District,1550011,Conard High School,1556111,1542,2012-13
,,,,,503,,,,,West Hartford School District,1550011,Duffy School,1550611,503,2012-13
,,,,,1475,,,,,West Hartford School District,1550011,Hall High School,1556211,1475,2012-13
,,,,,912,,,,,West Hartford School District,1550011,King Philip Middle School,1555111,912,2012-13
,,,,,334,,,,,West Hartford School District,1550011,Morley School,1550911,334,2012-13
,,,,,406,,,,,West Hartford School District,1550011,Norfeldt School,1551011,406,2012-13
,,,,,893,,,,,West Hartford School District,1550011,Sedgwick Middle School,1555211,893,2012-13
,,,,,25,,,,,West Hartford School District,1550011,Strive-West Hartford,1559211,25,2012-13
,,,,,9,,,,,West Hartford School District,1550011,WAAVE (W Hartford Applied Academic/Voc'l Experience),1559011,9,2012-13
,,,,,489,,,,,West Hartford School District,1550011,Webster Hill School,1551211,489,2012-13
,,,,,538,,,,,West Hartford School District,1550011,Whiting Lane School,1551311,538,2012-13
,,,,,500,,,,,West Hartford School District,1550011,Wolcott School,1551511,500,2012-13
,,,,,440,,,,,West Haven School District,1560011,Washington School,1561211,440,2012-13
,,,,,370,,,,,West Haven School District,1560011,Alma E. Pagels School,1560811,370,2012-13
,,,,,889,,,,,West Haven School District,1560011,Carrigan 5/6 Intermediate School,1565311,889,2012-13
,,,,,357,,,,,West Haven School District,1560011,Edith E. Mackrille School,1560611,357,2012-13
,,,,,453,,,,,West Haven School District,1560011,Forest School,1560311,453,2012-13
,,,,,907,,,,,West Haven School District,1560011,Harry M. Bailey Middle School,1565111,907,2012-13
,,,,,533,,,,,West Haven School District,1560011,Savin Rock Community School,1561411,533,2012-13
,,,,,480,,,,,West Haven School District,1560011,Seth G. Haley School,1560411,480,2012-13
,,,,,1590,,,,,West Haven School District,1560011,West Haven High School,1566111,1590,2012-13
,,,,,310,,,,,Westbrook School District,1540011,Daisy Ingraham School,1540211,310,2012-13
,,,,,286,,,,,Westbrook School District,1540011,Westbrook High School,1546111,286,2012-13
,,,,,276,,,,,Westbrook School District,1540011,Westbrook Middle School,1545111,276,2012-13
,,,,,461,,,,,Weston School District,1570011,Hurlbutt Elementary School,1570111,461,2012-13
,,,,,777,,,,,Weston School District,1570011,Weston High School,1576111,777,2012-13
,,,,,545,,,,,Weston School District,1570011,Weston Intermediate School,1570211,545,2012-13
,,,,,636,,,,,Weston School District,1570011,Weston Middle School,1575111,636,2012-13
,,,,,868,,,,,Westport School District,1580011,Bedford Middle School,1585111,868,2012-13
,,,,,447,,,,,Westport School District,1580011,Coleytown Elementary School,1580311,447,2012-13
,,,,,512,,,,,Westport School District,1580011,Coleytown Middle School,1585311,512,2012-13
,,,,,452,,,,,Westport School District,1580011,Green's Farms School,1580411,452,2012-13
,,,,,486,,,,,Westport School District,1580011,King's Highway Elementary School,1580511,486,2012-13
,,,,,583,,,,,Westport School District,1580011,Long Lots School,1580711,583,2012-13
,,,,,524,,,,,Westport School District,1580011,Saugatuck Elementary School,1580811,524,2012-13
,,,,,1879,,,,,Westport School District,1580011,Staples High School,1586111,1879,2012-13
,,,,,46,,,,,Westport School District,1580011,Stepping Stones Preschool,1588011,46,2012-13
,,,,,366,,,,,Wethersfield School District,1590011,Alfred W. Hanmer School,1590811,366,2012-13
,,,,,316,,,,,Wethersfield School District,1590011,Charles Wright School,1591011,316,2012-13
,,,,,441,,,,,Wethersfield School District,1590011,Emerson-Williams School,1590211,441,2012-13
,,,,,422,,,,,Wethersfield School District,1590011,Highcrest School,1591111,422,2012-13
,,,,,391,,,,,Wethersfield School District,1590011,Samuel B. Webb Elementary School,1591211,391,2012-13
,,,,,582,,,,,Wethersfield School District,1590011,Silas Deane Middle School,1595211,582,2012-13
,,,,,1157,,,,,Wethersfield School District,1590011,Wethersfield High School,1596111,1157,2012-13
,,,,,193,,,,,Willington School District,1600011,Center School,1600111,193,2012-13
,,,,,286,,,,,Willington School District,1600011,Hall Memorial School,1605111,286,2012-13
,,,,,1053,,,,,Wilton School District,1610011,Middlebrook School,1615211,1053,2012-13
,,,,,996,,,,,Wilton School District,1610011,Cider Mill School,1610711,996,2012-13
,,,,,937,,,,,Wilton School District,1610011,Miller-Driscoll School,1610511,937,2012-13
,,,,,1309,,,,,Wilton School District,1610011,Wilton High School,1616111,1309,2012-13
,,,,,208,,,,,Winchester School District,1620011,Batcheller Early Education Center,1620411,208,2012-13
,,,,,255,,,,,Winchester School District,1620011,Mary P. Hinsdale School,1620211,255,2012-13
,,,,,205,,,,,Winchester School District,1620011,Pearson Middle School,1625111,205,2012-13
,,,,,6,,,,,Winchester School District,1620011,WISE Academy,1620111,6,2012-13
,,,,,22,,,,,Windham School District,1630011,Early Headstart,1638011,22,2012-13
,,,,,366,,,,,Windham School District,1630011,Natchaug School,1630111,366,2012-13
,,,,,511,,,,,Windham School District,1630011,North Windham School,1630311,511,2012-13
,,,,,350,,,,,Windham School District,1630011,W. B. Sweeney School,1630611,350,2012-13
,,,,,332,,,,,Windham School District,1630011,Windham Center School,1630511,332,2012-13
,,,,,217,,,,,Windham School District,1630011,Windham Early Childhood Prospect Street,1638311,217,2012-13
,,,,,673,,,,,Windham School District,1630011,Windham High School,1636111,673,2012-13
,,,,,718,,,,,Windham School District,1630011,Windham Middle School,1635111,718,2012-13
,,,,,460,,,,,Windsor Locks School District,1650011,North Street School,1650111,460,2012-13
,,,,,362,,,,,Windsor Locks School District,1650011,South Elementary School,1650411,362,2012-13
,,,,,552,,,,,Windsor Locks School District,1650011,Windsor Locks High School,1656111,552,2012-13
,,,,,372,,,,,Windsor Locks School District,1650011,Windsor Locks Middle School,1655111,372,2012-13
,,,,,299,,,,,Windsor School District,1640011,Clover Street School,1640111,299,2012-13
,,,,,441,,,,,Windsor School District,1640011,John F. Kennedy School,1640811,441,2012-13
,,,,,444,,,,,Windsor School District,1640011,Oliver Ellsworth School,1640911,444,2012-13
,,,,,254,,,,,Windsor School District,1640011,Poquonock Elementary School,1640511,254,2012-13
,,,,,751,,,,,Windsor School District,1640011,Sage Park Middle School,1645311,751,2012-13
,,,,,1199,,,,,Windsor School District,1640011,Windsor High School,1646111,1199,2012-13
,,,,,323,,,,,Wolcott School District,1660011,Alcott School,1660611,323,2012-13
,,,,,352,,,,,Wolcott School District,1660011,Frisbie School,1660211,352,2012-13
,,,,,640,,,,,Wolcott School District,1660011,Tyrrell Middle School,1665111,640,2012-13
,,,,,392,,,,,Wolcott School District,1660011,Wakelee School,1660511,392,2012-13
,,,,,865,,,,,Wolcott School District,1660011,Wolcott High School,1666111,865,2012-13
,,,,,744,,,,,Woodbridge School District,1670011,Beecher Road School,1670311,744,2012-13
,,,,,1055,,,,,Woodstock Academy District,9030022,Woodstock Academy,9036122,1055,2012-13
,,,,,499,,,,,Woodstock School District,1690011,Woodstock Elementary School,1690211,499,2012-13
,,,,,394,,,,,Woodstock School District,1690011,Woodstock Middle School,1695111,394,2012-13
,,,,,,870,,,,Achievement First Hartford Academy Inc. District,2880013,Achievement First Hartford Academy Inc.,2880113,870,2013-14
,,,,,,937,,,,Amistad Academy District,2790013,Amistad Academy,2795113,937,2013-14
,,,,,,298,,,,Andover School District,0010011,Andover Elementary School,0010111,298,2013-14
,,,,,,602,,,,Ansonia School District,0020011,Ansonia High School,0026111,602,2013-14
,,,,,,493,,,,Ansonia School District,0020011,Ansonia Middle School,0025111,493,2013-14
,,,,,,566,,,,Ansonia School District,0020011,Mead School,0020311,566,2013-14
,,,,,,661,,,,Ansonia School District,0020011,Prendergast School,0020811,661,2013-14
,,,,,,36,,,,Area Cooperative Educational Services,2440014,Center for Autism Spectrum and Development Disorders,2449614,36,2013-14
,,,,,,151,,,,Area Cooperative Educational Services,2440014,Mill Road School,2449414,151,2013-14
,,,,,,711,,,,Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,711,2013-14
,,,,,,151,,,,Area Cooperative Educational Services,2440014,Village School,2449514,151,2013-14
,,,,,,114,,,,Area Cooperative Educational Services,2440014,Whitney High School East,2449214,114,2013-14
,,,,,,100,,,,Area Cooperative Educational Services,2440014,Whitney High School North,2449114,100,2013-14
,,,,,,39,,,,Area Cooperative Educational Services,2440014,Whitney High School West,2449314,39,2013-14
,,,,,,631,,,,Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,631,2013-14
,,,,,,423,,,,Ashford School District,0030011,Ashford School,0030111,423,2013-14
,,,,,,1057,,,,Avon School District,0040011,Avon High School,0046111,1057,2013-14
,,,,,,584,,,,Avon School District,0040011,Avon Middle School,0045111,584,2013-14
,,,,,,594,,,,Avon School District,0040011,Pine Grove School,0040411,594,2013-14
,,,,,,573,,,,Avon School District,0040011,Roaring Brook School,0040311,573,2013-14
,,,,,,563,,,,Avon School District,0040011,Thompson Brook School,0040511,563,2013-14
,,,,,,288,,,,Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,288,2013-14
,,,,,,18,,,,Barkhamsted School District,0050011,Shared Services Integrated Preschool,0058011,18,2013-14
,,,,,,933,,,,Berlin School District,0070011,Berlin High School,0076111,933,2013-14
,,,,,,691,,,,Berlin School District,0070011,Catherine M. McGee Middle School,0075111,691,2013-14
,,,,,,514,,,,Berlin School District,0070011,Emma Hart Willard School,0070411,514,2013-14
,,,,,,562,,,,Berlin School District,0070011,Mary E. Griswold School,0070511,562,2013-14
,,,,,,251,,,,Berlin School District,0070011,Richard D. Hubbard School,0070111,251,2013-14
,,,,,,436,,,,Bethany School District,0080011,Bethany Community School,0080111,436,2013-14
,,,,,,411,,,,Bethel School District,0090011,Anna H. Rockwell School,0090411,411,2013-14
,,,,,,933,,,,Bethel School District,0090011,Bethel High School,0096111,933,2013-14
,,,,,,672,,,,Bethel School District,0090011,Bethel Middle School,0095111,672,2013-14
,,,,,,556,,,,Bethel School District,0090011,Frank A. Berry School,0090111,556,2013-14
,,,,,,417,,,,Bethel School District,0090011,Ralph M. T. Johnson School,0090511,417,2013-14
,,,,,,555,,,,Bloomfield School District,0110011,Bloomfield High School,0116111,555,2013-14
,,,,,,216,,,,Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,216,2013-14
,,,,,,213,,,,Bloomfield School District,0110011,Carmen Arace Middle School,0115211,213,2013-14
,,,,,,220,,,,Bloomfield School District,0110011,Global Experience Magnet School,0116311,220,2013-14
,,,,,,318,,,,Bloomfield School District,0110011,Laurel School,0110611,318,2013-14
,,,,,,13,,,,Bloomfield School District,0110011,Learning Academy at Bloomfield,0116411,13,2013-14
,,,,,,231,,,,Bloomfield School District,0110011,Metacomet School,0110511,231,2013-14
,,,,,,321,,,,Bloomfield School District,0110011,Wintonbury Early Childhood Magnet School,0110811,321,2013-14
,,,,,,528,,,,Bolton School District,0120011,Bolton Center School,0120111,528,2013-14
,,,,,,334,,,,Bolton School District,0120011,Bolton High School,0126111,334,2013-14
,,,,,,243,,,,Bozrah School District,0130011,Fields Memorial School,0130111,243,2013-14
,,,,,,1050,,,,Branford School District,0140011,Branford High School,0146111,1050,2013-14
,,,,,,942,,,,Branford School District,0140011,Francis Walsh Intermediate School,0145111,942,2013-14
,,,,,,36,,,,Branford School District,0140011,Indian Neck School,0148011,36,2013-14
,,,,,,374,,,,Branford School District,0140011,John B. Sliney School,0141611,374,2013-14
,,,,,,400,,,,Branford School District,0140011,Mary R. Tisko School,0141511,400,2013-14
,,,,,,420,,,,Branford School District,0140011,Mary T. Murphy School,0141411,420,2013-14
,,,,,,115,,,,Brass City Charter School District,2900013,Brass City Charter School,2900113,115,2013-14
,,,,,,835,,,,Bridgeport Achievement First District,2850013,Achievement First Bridgeport Academy,2850113,835,2013-14
,,,,,,235,,,,Bridgeport School District,0150011,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",0150811,235,2013-14
,,,,,,626,,,,Bridgeport School District,0150011,Barnum School,0150111,626,2013-14
,,,,,,1120,,,,Bridgeport School District,0150011,Bassick High School,0156111,1120,2013-14
,,,,,,376,,,,Bridgeport School District,0150011,Beardsley School,0150211,376,2013-14
,,,,,,229,,,,Bridgeport School District,0150011,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",0150611,229,2013-14
,,,,,,406,,,,Bridgeport School District,0150011,Black Rock School,0150311,406,2013-14
,,,,,,1127,,,,Bridgeport School District,0150011,Blackham School,0154011,1127,2013-14
,,,,,,57,,,,Bridgeport School District,0150011,Bridgeport Learning Center,0159011,57,2013-14
,,,,,,116,,,,Bridgeport School District,0150011,Bridgeport Military Academy,0151611,116,2013-14
,,,,,,413,,,,Bridgeport School District,0150011,Bryant School,0150411,413,2013-14
,,,,,,1838,,,,Bridgeport School District,0150011,Central High School,0156211,1838,2013-14
,,,,,,1173,,,,Bridgeport School District,0150011,Cesar Batalla School,0151411,1173,2013-14
,,,,,,340,,,,Bridgeport School District,0150011,Classical Studies Academy,0152111,340,2013-14
,,,,,,886,,,,Bridgeport School District,0150011,Columbus School,0150511,886,2013-14
,,,,,,413,,,,Bridgeport School District,0150011,Cross School,0153911,413,2013-14
,,,,,,737,,,,Bridgeport School District,0150011,Curiale School,0154211,737,2013-14
,,,,,,303,,,,Bridgeport School District,0150011,Dunbar School,0154111,303,2013-14
,,,,,,251,,,,Bridgeport School District,0150011,Edison School,0150711,251,2013-14
,,,,,,843,,,,Bridgeport School District,0150011,Geraldine Johnson School,0153211,843,2013-14
,,,,,,275,,,,Bridgeport School District,0150011,Hall School,0151111,275,2013-14
,,,,,,332,,,,Bridgeport School District,0150011,Hallen School,0151211,332,2013-14
,,,,,,1105,,,,Bridgeport School District,0150011,Harding High School,0156311,1105,2013-14
,,,,,,422,,,,Bridgeport School District,0150011,High Horizons Magnet School,0154511,422,2013-14
,,,,,,387,,,,Bridgeport School District,0150011,Hooker School,0151311,387,2013-14
,,,,,,236,,,,Bridgeport School District,0150011,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,0151511,236,2013-14
,,,,,,511,,,,Bridgeport School District,0150011,Interdistrict Discovery Magnet School,0153711,511,2013-14
,,,,,,655,,,,Bridgeport School District,0150011,Jettie S. Tisdale School,0152211,655,2013-14
,,,,,,904,,,,Bridgeport School District,0150011,Luis Munoz Marin School,0151011,904,2013-14
,,,,,,539,,,,Bridgeport School District,0150011,Madison School,0152011,539,2013-14
,,,,,,449,,,,Bridgeport School District,0150011,Multicultural Magnet School,0154611,449,2013-14
,,,,,,491,,,,Bridgeport School District,0150011,Park City Magnet School,0151711,491,2013-14
,,,,,,57,,,,Bridgeport School District,0150011,Pride Academy,0151811,57,2013-14
,,,,,,839,,,,Bridgeport School District,0150011,Read School,0152511,839,2013-14
,,,,,,564,,,,Bridgeport School District,0150011,Roosevelt School,0152611,564,2013-14
,,,,,,304,,,,Bridgeport School District,0150011,Skane Center,0154411,304,2013-14
,,,,,,514,,,,Bridgeport School District,0150011,Waltersville School,0153011,514,2013-14
,,,,,,685,,,,Bridgeport School District,0150011,Winthrop School,0153611,685,2013-14
,,,,,,14,,,,Bristol School District,0170011,Alternative Special Education Program (ASEP),0179011,14,2013-14
,,,,,,1242,,,,Bristol School District,0170011,Bristol Central High School,0176111,1242,2013-14
,,,,,,1299,,,,Bristol School District,0170011,Bristol Eastern High School,0176211,1299,2013-14
,,,,,,718,,,,Bristol School District,0170011,Chippens Hill Middle School,0175111,718,2013-14
,,,,,,13,,,,Bristol School District,0170011,Community/Vocational Program,0179211,13,2013-14
,,,,,,355,,,,Bristol School District,0170011,Edgewood School,0170311,355,2013-14
,,,,,,424,,,,Bristol School District,0170011,Ellen P. Hubbell School,0171411,424,2013-14
,,,,,,890,,,,Bristol School District,0170011,Greene-Hills School,0170511,890,2013-14
,,,,,,397,,,,Bristol School District,0170011,Ivy Drive School,0171911,397,2013-14
,,,,,,437,,,,Bristol School District,0170011,Mountain View School,0171711,437,2013-14
,,,,,,453,,,,Bristol School District,0170011,Northeast Middle School,0175211,453,2013-14
,,,,,,503,,,,Bristol School District,0170011,South Side School,0171111,503,2013-14
,,,,,,504,,,,Bristol School District,0170011,Stafford School,0171211,504,2013-14
,,,,,,945,,,,Bristol School District,0170011,West Bristol School,0172011,945,2013-14
,,,,,,901,,,,Brookfield School District,0180011,Brookfield High School,0186111,901,2013-14
,,,,,,380,,,,Brookfield School District,0180011,Center Elementary School,0180311,380,2013-14
,,,,,,624,,,,Brookfield School District,0180011,Huckleberry Hill Elementary School,0180411,624,2013-14
,,,,,,859,,,,Brookfield School District,0180011,Whisconier Middle School,0185311,859,2013-14
,,,,,,545,,,,Brooklyn School District,0190011,Brooklyn Elementary School,0190111,545,2013-14
,,,,,,374,,,,Brooklyn School District,0190011,Brooklyn Middle School,0195111,374,2013-14
,,,,,,77,,,,Canaan School District,0210011,Lee H. Kellogg School,0210111,77,2013-14
,,,,,,225,,,,Canterbury School District,0220011,Canterbury Elementary School,0220211,225,2013-14
,,,,,,233,,,,Canterbury School District,0220011,Dr. Helen Baldwin Middle School,0225111,233,2013-14
,,,,,,499,,,,Canton School District,0230011,Canton High School,0236111,499,2013-14
,,,,,,434,,,,Canton School District,0230011,Canton Intermediate School,0230311,434,2013-14
,,,,,,265,,,,Canton School District,0230011,Canton Middle School,0235111,265,2013-14
,,,,,,490,,,,Canton School District,0230011,Cherry Brook Primary School,0230211,490,2013-14
,,,,,,562,,,,Capitol Region Education Council,2410014,Academy of Aerospace and Engineering,2415114,562,2013-14
,,,,,,222,,,,Capitol Region Education Council,2410014,Academy of Aerospace and Engineering Elementary,2410714,222,2013-14
,,,,,,361,,,,Capitol Region Education Council,2410014,Academy of Science and Innovation,2416514,361,2013-14
,,,,,,217,,,,Capitol Region Education Council,2410014,Ana Grace Academy of the Arts Elementary School,2410614,217,2013-14
,,,,,,282,,,,Capitol Region Education Council,2410014,Discovery Academy,2418114,282,2013-14
,,,,,,22,,,,Capitol Region Education Council,2410014,Farmington Valley Regional Diagnostic Center,2419214,22,2013-14
,,,,,,410,,,,Capitol Region Education Council,2410014,Glastonbury/East Hartford Magnet School,2410114,410,2013-14
,,,,,,438,,,,Capitol Region Education Council,2410014,Greater Hartford Academy of  the Arts High School - Full Time,2416414,438,2013-14
,,,,,,327,,,,Capitol Region Education Council,2410014,Greater Hartford Academy of the Arts Magnet Middle,2415314,327,2013-14
,,,,,,*,,,,Capitol Region Education Council,2410014,Integrated Program Models,2419414,*,2013-14
,,,,,,415,,,,Capitol Region Education Council,2410014,International Magnet School for Global Citizenship,2410414,415,2013-14
,,,,,,53,,,,Capitol Region Education Council,2410014,John J. Allison Polaris Center,2419014,53,2013-14
,,,,,,8,,,,Capitol Region Education Council,2410014,Lincoln Academy Regional Interdistrict Collaborative,2419614,8,2013-14
,,,,,,722,,,,Capitol Region Education Council,2410014,Metropolitan Learning Center for Global and International Studies,2416114,722,2013-14
,,,,,,342,,,,Capitol Region Education Council,2410014,Montessori Magnet School,2413114,342,2013-14
,,,,,,405,,,,Capitol Region Education Council,2410014,Museum Academy,2410514,405,2013-14
,,,,,,404,,,,Capitol Region Education Council,2410014,Public Safety Academy,2415214,404,2013-14
,,,,,,392,,,,Capitol Region Education Council,2410014,Reggio Magnet School of the Arts,2410314,392,2013-14
,,,,,,64,,,,Capitol Region Education Council,2410014,River Street Early Learning Center (Site 2),2419514,64,2013-14
,,,,,,145,,,,Capitol Region Education Council,2410014,River Street School,2419314,145,2013-14
,,,,,,83,,,,Capitol Region Education Council,2410014,Soundbridge,2419114,83,2013-14
,,,,,,8,,,,Capitol Region Education Council,2410014,Strive (Southern Transition Real-World and Independent Vocational Education Program,2419714,8,2013-14
,,,,,,189,,,,Capitol Region Education Council,2410014,Two Rivers Magnet High School,2416714,189,2013-14
,,,,,,660,,,,Capitol Region Education Council,2410014,Two Rivers Magnet Middle School,2415014,660,2013-14
,,,,,,441,,,,Capitol Region Education Council,2410014,University of Hartford Magnet School,2410214,441,2013-14
,,,,,,183,,,,Chaplin School District,0240011,Chaplin Elementary School,0240211,183,2013-14
,,,,,,298,,,,Cheshire School District,0250011,Chapman School,0250111,298,2013-14
,,,,,,1538,,,,Cheshire School District,0250011,Cheshire High School,0256111,1538,2013-14
,,,,,,293,,,,Cheshire School District,0250011,Darcey School,0250211,293,2013-14
,,,,,,747,,,,Cheshire School District,0250011,Dodd Middle School,0255111,747,2013-14
,,,,,,529,,,,Cheshire School District,0250011,Doolittle School,0250611,529,2013-14
,,,,,,740,,,,Cheshire School District,0250011,Highland School,0250411,740,2013-14
,,,,,,20,,,,Cheshire School District,0250011,Humiston School,0259011,20,2013-14
,,,,,,429,,,,Cheshire School District,0250011,Norton School,0250511,429,2013-14
,,,,,,228,,,,Chester School District,0260011,Chester Elementary School,0260111,228,2013-14
,,,,,,296,,,,Clinton School District,0270011,Abraham Pierson School,0270111,296,2013-14
,,,,,,462,,,,Clinton School District,0270011,Jared Eliot School,0275111,462,2013-14
,,,,,,638,,,,Clinton School District,0270011,Lewin G. Joel Jr. School,0270311,638,2013-14
,,,,,,558,,,,Clinton School District,0270011,The Morgan School,0276111,558,2013-14
,,,,,,900,,,,Colchester School District,0280011,Bacon Academy,0286111,900,2013-14
,,,,,,551,,,,Colchester School District,0280011,Colchester Elementary School,0280411,551,2013-14
,,,,,,614,,,,Colchester School District,0280011,Jack Jackter Intermediate School,0280211,614,2013-14
,,,,,,668,,,,Colchester School District,0280011,William J. Johnston Middle School,0285111,668,2013-14
,,,,,,99,,,,Colebrook School District,0290011,Colebrook Consolidated School,0290111,99,2013-14
,,,,,,467,,,,Columbia School District,0300011,Horace W. Porter School,0300111,467,2013-14
,,,,,,180,,,,Common Ground High School District,2680013,Common Ground High School,2686113,180,2013-14
,,,,,,801,,,,Connecticut Technical High School System,9000016,A. I. Prince Technical High School,9001516,801,2013-14
,,,,,,805,,,,Connecticut Technical High School System,9000016,Bullard-Havens Technical High School,9001116,805,2013-14
,,,,,,646,,,,Connecticut Technical High School System,9000016,E. C. Goodwin Technical High School,9001916,646,2013-14
,,,,,,542,,,,Connecticut Technical High School System,9000016,Eli Whitney Technical High School,9001416,542,2013-14
,,,,,,535,,,,Connecticut Technical High School System,9000016,Ella T. Grasso Southeastern Technical High School,9002716,535,2013-14
,,,,,,567,,,,Connecticut Technical High School System,9000016,Emmett O'Brien Technical High School,9002516,567,2013-14
,,,,,,801,,,,Connecticut Technical High School System,9000016,H. C. Wilcox Technical High School,9001716,801,2013-14
,,,,,,585,,,,Connecticut Technical High School System,9000016,H. H. Ellis Technical High School,9001316,585,2013-14
,,,,,,637,,,,Connecticut Technical High School System,9000016,Henry Abbott Technical High School,9001216,637,2013-14
,,,,,,667,,,,Connecticut Technical High School System,9000016,Howell Cheney Technical High School,9001616,667,2013-14
,,,,,,680,,,,Connecticut Technical High School System,9000016,Norwich Technical High School,9002016,680,2013-14
,,,,,,647,,,,Connecticut Technical High School System,9000016,Oliver Wolcott Technical High School,9002216,647,2013-14
,,,,,,836,,,,Connecticut Technical High School System,9000016,Platt Technical High School,9002616,836,2013-14
,,,,,,656,,,,Connecticut Technical High School System,9000016,Vinal Technical High School,9001816,656,2013-14
,,,,,,743,,,,Connecticut Technical High School System,9000016,W. F. Kaynor Technical High School,9002316,743,2013-14
,,,,,,550,,,,Connecticut Technical High School System,9000016,Windham Technical High School,9002416,550,2013-14
,,,,,,94,,,,Cooperative Educational Services,2430014,Developmental Learning Center (DLC),2439214,94,2013-14
,,,,,,51,,,,Cooperative Educational Services,2430014,Preschool-Primary Learning Center (PLC),2439114,51,2013-14
,,,,,,12,,,,Cooperative Educational Services,2430014,RISE Transitional Program,2439314,12,2013-14
,,,,,,54,,,,Cooperative Educational Services,2430014,School Readiness,2438014,54,2013-14
,,,,,,471,,,,Cooperative Educational Services,2430014,Six-Six Magnet School,2430114,471,2013-14
,,,,,,140,,,,Cooperative Educational Services,2430014,Therapeutic Day Program,2439414,140,2013-14
,,,,,,105,,,,Cornwall School District,0310011,Cornwall Consolidated School,0310111,105,2013-14
,,,,,,393,,,,Coventry School District,0320011,Capt. Nathan Hale School,0325111,393,2013-14
,,,,,,20,,,,Coventry School District,0320011,Coventry Early Intervention Services,0328011,20,2013-14
,,,,,,377,,,,Coventry School District,0320011,Coventry Grammar School,0320211,377,2013-14
,,,,,,518,,,,Coventry School District,0320011,Coventry High School,0326111,518,2013-14
,,,,,,377,,,,Coventry School District,0320011,George Hersey Robertson School,0320411,377,2013-14
,,,,,,549,,,,Cromwell School District,0330011,Cromwell High School,0336111,549,2013-14
,,,,,,454,,,,Cromwell School District,0330011,Cromwell Middle School,0335111,454,2013-14
,,,,,,468,,,,Cromwell School District,0330011,Edna C. Stevens School,0330211,468,2013-14
,,,,,,477,,,,Cromwell School District,0330011,Woodside Intermediate School,0330311,477,2013-14
,,,,,,83,,,,Danbury School District,0340011,Alternative Center For Excellence,0346211,83,2013-14
