district,school,gender,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Derby School District,Derby High School,Female,80.9,65.0,84.9,86.8,84.8,0376111,Derby High School,Derby School District
Derby School District,Derby High School,Male,74.5,71.7,77.6,79.2,77.8,0376111,Derby High School,Derby School District
East Granby School District,East Granby High School,Female,*,*,100.0,100.0,100.0,0406111,East Granby High School,East Granby School District
East Granby School District,East Granby High School,Male,*,*,89.7,100.0,100.0,0406111,East Granby High School,East Granby School District
East Haddam School District,Nathan Hale-Ray High School,Female,*,*,*,*,*,0416111,Nathan Hale-Ray High School,East Haddam School District
East Haddam School District,Nathan Hale-Ray High School,Male,*,*,*,*,*,0416111,Nathan Hale-Ray High School,East Haddam School District
East Hampton School District,East Hampton High School,Female,97.4,*,*,*,*,0426111,East Hampton High School,East Hampton School District
East Hampton School District,East Hampton High School,Male,94.0,*,*,*,*,0426111,East Hampton High School,East Hampton School District
East Hartford School District,Connecticut IB Academy,Female,92.6,96.0,100.0,100.0,96.4,0436311,Connecticut IB Academy,East Hartford School District
East Hartford School District,Connecticut IB Academy,Male,*,*,*,*,*,0436311,Connecticut IB Academy,East Hartford School District
East Hartford School District,East Hartford High School,Female,88.8,89.3,87.1,95.8,95.2,0436211,East Hartford High School,East Hartford School District
East Hartford School District,East Hartford High School,Male,85.1,82.5,85.5,93.3,92.6,0436211,East Hartford High School,East Hartford School District
East Hartford School District,Stevens Alternate High school,Female,,60.4,38.7,,60.6,0436411,Stevens Alternate High School,East Hartford School District
East Hartford School District,Stevens Alternate High school,Male,,44.8,42.3,,53.7,0436411,Stevens Alternate High School,East Hartford School District
East Haven School District,East Haven High School,Female,81.9,83.9,88.4,80.5,82.3,0446111,East Haven High School,East Haven School District
East Haven School District,East Haven High School,Male,67.3,68.0,78.3,76.5,67.9,0446111,East Haven High School,East Haven School District
East Lyme School District,East Lyme High School,Female,96.2,96.2,97.7,*,*,0456111,East Lyme High School,East Lyme School District
East Lyme School District,East Lyme High School,Male,95.0,93.3,96.9,*,*,0456111,East Lyme High School,East Lyme School District
East Windsor School District,East Windsor High School,Female,93.0,84.0,88.9,88.6,*,0476111,East Windsor High School,East Windsor School District
East Windsor School District,East Windsor High School,Male,83.7,82.2,90.6,88.5,*,0476111,East Windsor High School,East Windsor School District
Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),Female,85.2,*,90.0,95.0,86.2,2536014,Arts at the Capitol Theater Magnet School (ACT),Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),Male,*,*,*,*,*,2536014,Arts at the Capitol Theater Magnet School (ACT),Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Quinebaug Middle College,Female,75.0,71.4,*,80.0,85.2,2536114,Quinebaug Middle College,Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Quinebaug Middle College,Male,65.2,68.2,*,45.8,*,2536114,Quinebaug Middle College,Eastern Connecticut Regional Educational Service Center (EASTCONN)
Ellington School District,Ellington High School,Female,89.9,92.4,*,*,*,0486111,Ellington High School,Ellington School District
Ellington School District,Ellington High School,Male,92.2,91.3,*,*,*,0486111,Ellington High School,Ellington School District
Elm City College Preparatory School District,Elm City College Preparatory School,Female,*,*,*,*,*,2890113,Elm City College Preparatory School,Elm City College Preparatory School District
Elm City College Preparatory School District,Elm City College Preparatory School,Male,*,*,*,*,*,2890113,Elm City College Preparatory School,Elm City College Preparatory School District
Enfield School District,Enfield High School,Female,90.6,82.7,86.6,89.9,86.6,0496111,Enfield High School,Enfield School District
Enfield School District,Enfield High School,Male,85.4,81.5,79.6,81.7,84.7,0496111,Enfield High School,Enfield School District
Enfield School District,Enrico Fermi High School,Female,92.7,94.4,90.0,93.0,,0496211,Enrico Fermi High School,Enfield School District
Enfield School District,Enrico Fermi High School,Male,83.0,91.2,90.2,84.1,,0496211,Enrico Fermi High School,Enfield School District
Explorations District,Explorations,Female,*,*,*,*,*,2726113,Explorations,Explorations District
Explorations District,Explorations,Male,*,*,*,*,*,2726113,Explorations,Explorations District
Fairfield School District,Fairfield Ludlowe High School,Female,97.5,96.8,98.0,97.2,97.9,0516011,Fairfield Ludlowe High School,Fairfield School District
Fairfield School District,Fairfield Ludlowe High School,Male,94.7,93.8,89.9,96.3,98.2,0516011,Fairfield Ludlowe High School,Fairfield School District
Fairfield School District,Fairfield Warde High School,Female,92.3,91.4,97.6,99.3,99.5,0516211,Fairfield Warde High School,Fairfield School District
Fairfield School District,Fairfield Warde High School,Male,92.9,91.4,91.4,96.1,94.4,0516211,Fairfield Warde High School,Fairfield School District
Farmington School District,Farmington High School,Female,98.0,*,*,98.7,98.1,0526111,Farmington High School,Farmington School District
Farmington School District,Farmington High School,Male,93.9,*,*,98.1,95.2,0526111,Farmington High School,Farmington School District
Glastonbury School District,Glastonbury High School,Female,98.0,97.4,99.0,*,*,0546111,Glastonbury High School,Glastonbury School District
Glastonbury School District,Glastonbury High School,Male,94.7,97.1,98.5,*,*,0546111,Glastonbury High School,Glastonbury School District
Granby School District,Granby Memorial High School,Female,*,*,*,*,100.0,0566111,Granby Memorial High School,Granby School District
Granby School District,Granby Memorial High School,Male,*,*,*,*,98.1,0566111,Granby Memorial High School,Granby School District
Greenwich School District,Greenwich High School,Female,94.9,95.4,97.0,98.7,97.1,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Male,90.3,94.8,97.0,95.9,97.3,0576111,Greenwich High School,Greenwich School District
Griswold School District,Griswold High School,Female,88.4,90.2,90.6,92.2,93.7,0586211,Griswold High School,Griswold School District
Griswold School District,Griswold High School,Male,86.6,85.3,79.3,89.4,89.7,0586211,Griswold High School,Griswold School District
Groton School District,Robert E. Fitch High School,Female,81.0,86.1,90.2,87.9,93.4,0596111,Robert E. Fitch High School,Groton School District
Groton School District,Robert E. Fitch High School,Male,85.2,80.5,80.9,90.3,85.7,0596111,Robert E. Fitch High School,Groton School District
Guilford School District,Guilford High School,Female,98.6,*,*,97.9,96.0,0606111,Guilford High School,Guilford School District
Guilford School District,Guilford High School,Male,97.8,*,*,95.3,96.5,0606111,Guilford High School,Guilford School District
Hamden School District,Hamden High School,Female,89.3,91.2,95.6,94.0,93.5,0626111,Hamden High School,Hamden School District
Hamden School District,Hamden High School,Male,82.2,82.9,88.6,89.0,92.0,0626111,Hamden High School,Hamden School District
Hartford School District,Bulkeley High School Upper School,Female,74.5,78.4,78.7,82.6,76.3,,,
Hartford School District,Bulkeley High School Upper School,Male,54.3,64.8,69.0,61.8,67.9,,,
Hartford School District,Capital Community College Magnet Academy,Female,,,,*,*,0643911,Capital Community College Magnet Academy,Hartford School District
Hartford School District,Capital Community College Magnet Academy,Male,,,,*,*,0643911,Capital Community College Magnet Academy,Hartford School District
Hartford School District,Capital Preparatory Magnet School,Female,*,100.0,96.6,92.3,*,0646911,Capital Preparatory Magnet School,Hartford School District
Hartford School District,Capital Preparatory Magnet School,Male,*,*,96.0,*,*,0646911,Capital Preparatory Magnet School,Hartford School District
Hartford School District,Classical Magnet School,Female,100.0,96.3,98.0,93.9,97.4,0646411,Classical Magnet School,Hartford School District
Hartford School District,Classical Magnet School,Male,96.8,91.4,91.4,85.7,95.0,0646411,Classical Magnet School,Hartford School District
Hartford School District,Culinary Arts Academy,Female,52.4,64.3,70.2,64.9,61.4,,,
Hartford School District,Culinary Arts Academy,Male,76.0,45.2,50.0,73.2,41.7,,,
Hartford School District,Global Communications Academy,Female,,,,,*,0643611,Global Communications Academy,Hartford School District
Hartford School District,Global Communications Academy,Male,,,,,88.0,0643611,Global Communications Academy,Hartford School District
Hartford School District,Great Path Academy High School at MCC,Female,,93.3,94.7,,,,,
Hartford School District,Great Path Academy High School at MCC,Male,,95.7,*,,,,,
Hartford School District,Great Path Academy at MCC,Female,,,,89.7,97.2,0647911,Great Path Academy at MCC,Hartford School District
Hartford School District,Great Path Academy at MCC,Male,,,,91.3,85.2,0647911,Great Path Academy at MCC,Hartford School District
Hartford School District,HPHS Academy of Engineering and Green Technology,Female,69.0,68.4,80.8,74.3,76.7,,,
Hartford School District,HPHS Academy of Engineering and Green Technology,Male,56.8,60.8,53.3,69.9,45.8,,,
Hartford School District,HPHS Academy of Nursing and Health Science,Female,73.6,72.4,71.2,74.2,70.4,,,
Hartford School District,HPHS Academy of Nursing and Health Science,Male,55.3,58.5,50.0,71.1,50.0,,,
Hartford School District,HPHS Law and Government Academy,Female,58.1,77.8,73.4,73.1,68.6,0647411,HPHS Law and Government Academy,Hartford School District
Hartford School District,HPHS Law and Government Academy,Male,34.4,62.5,70.2,50.0,63.2,0647411,HPHS Law and Government Academy,Hartford School District
Hartford School District,Hartford Magnet Trinity College Academy,Female,,,,95.2,90.6,0645411,Hartford Magnet Trinity College Academy,Hartford School District
Hartford School District,Hartford Magnet Trinity College Academy,Male,,,,97.1,93.1,0645411,Hartford Magnet Trinity College Academy,Hartford School District
Hartford School District,High School Inc.,Female,,80.8,68.6,86.8,,,,
Hartford School District,High School Inc.,Male,,61.1,58.5,65.2,,,,
Hartford School District,"High School, Inc.",Female,,,,,88.0,0647611,"High School, Inc.",Hartford School District
Hartford School District,"High School, Inc.",Male,,,,,61.8,0647611,"High School, Inc.",Hartford School District
Hartford School District,Journalism and Media Academy Magnet School,Female,,66.7,72.7,66.7,*,0647711,Journalism and Media Academy Magnet School,Hartford School District
Hartford School District,Journalism and Media Academy Magnet School,Male,,66.7,77.5,75.9,*,0647711,Journalism and Media Academy Magnet School,Hartford School District
Hartford School District,Kinsella Magnet School of Performing Arts,Female,,,,,96.0,0641111,Kinsella Magnet School of Performing Arts,Hartford School District
Hartford School District,Kinsella Magnet School of Performing Arts,Male,,,,,*,0641111,Kinsella Magnet School of Performing Arts,Hartford School District
Hartford School District,OPPortunity High School,Female,50.0,50.0,26.7,,,0647811,OPPortunity High School,Hartford School District
Hartford School District,OPPortunity High School,Male,43.5,65.9,38.9,,,0647811,OPPortunity High School,Hartford School District
Hartford School District,Pathways Academy of Technology and Design,Female,90.6,89.7,*,88.9,100.0,0646611,Pathways Academy of Technology and Design,Hartford School District
Hartford School District,Pathways Academy of Technology and Design,Male,94.4,95.1,87.0,90.2,95.2,0646611,Pathways Academy of Technology and Design,Hartford School District
Hartford School District,Sports and Medical Sciences Academy,Female,94.0,95.8,96.4,89.8,98.0,0646511,Sports and Medical Sciences Academy,Hartford School District
Hartford School District,Sports and Medical Sciences Academy,Male,87.5,90.0,85.4,93.8,97.5,0646511,Sports and Medical Sciences Academy,Hartford School District
Hartford School District,University High School of Science and Engineering,Female,,,,100.0,92.9,0646711,University High School of Science and Engineering,Hartford School District
Hartford School District,University High School of Science and Engineering,Male,,,,94.5,94.0,0646711,University High School of Science and Engineering,Hartford School District
Hartford School District,University High of Science and Engineering,Female,84.6,94.1,90.5,,,,,
Hartford School District,University High of Science and Engineering,Male,93.6,98.3,93.2,,,,,
Jumoke Academy District,Jumoke Academy,Female,,,,,*,2610113,Jumoke Academy,Jumoke Academy District
Jumoke Academy District,Jumoke Academy,Male,,,,,*,2610113,Jumoke Academy,Jumoke Academy District
Killingly School District,Killingly High School,Female,82.4,83.3,89.7,87.2,87.8,0696111,Killingly High School,Killingly School District
Killingly School District,Killingly High School,Male,74.2,69.8,77.3,78.9,82.4,0696111,Killingly High School,Killingly School District
Learn,Connecticut River Academy,Female,,*,92.3,94.1,89.1,2456014,Connecticut River Academy,Learn
Learn,Connecticut River Academy,Male,,*,93.3,91.2,92.7,2456014,Connecticut River Academy,Learn
Learn,Marine Science Magnet High School of Southeastern Connecticut,Female,,,*,96.0,100.0,2456114,Marine Science Magnet High School of Southeastern Connecticut,Learn
Learn,Marine Science Magnet High School of Southeastern Connecticut,Male,,*,*,80.0,97.1,2456114,Marine Science Magnet High School of Southeastern Connecticut,Learn
Learn,Three Rivers Middle College Magnet School,Female,,*,88.0,*,95.5,2456214,Three Rivers Middle College Magnet School,Learn
Learn,Three Rivers Middle College Magnet School,Male,,*,*,*,*,2456214,Three Rivers Middle College Magnet School,Learn
