drg,district_code,district,type,amount,year,pct,state_pct,school_code
C,2040012,Regional School District 04,Plant Operation and Maintenance,1844124.0,2011-12,0.119851360511,0.0943892616512,2040012
B,2050012,Regional School District 05,Plant Operation and Maintenance,3953593.0,2011-12,0.102781212114,0.0943892616512,2050012
E,2060012,Regional School District 06,Plant Operation and Maintenance,1965371.0,2011-12,0.117703660761,0.0943892616512,2060012
C,2070012,Regional School District 07,Plant Operation and Maintenance,2128025.0,2011-12,0.119589186747,0.0943892616512,2070012
C,2080012,Regional School District 08,Plant Operation and Maintenance,2047674.0,2011-12,0.0879362302427,0.0943892616512,2080012
A,2090012,Regional School District 09,Plant Operation and Maintenance,2060073.0,2011-12,0.103350235013,0.0943892616512,2090012
C,2100012,Regional School District 10,Plant Operation and Maintenance,3470543.0,2011-12,0.0993083611024,0.0943892616512,2100012
F,2110012,Regional School District 11,Plant Operation and Maintenance,794206.0,2011-12,0.123384877435,0.0943892616512,2110012
C,2120012,Regional School District 12,Plant Operation and Maintenance,2330206.0,2011-12,0.113458891197,0.0943892616512,2120012
C,2130012,Regional School District 13,Plant Operation and Maintenance,3112111.0,2011-12,0.0972782686286,0.0943892616512,2130012
C,2140012,Regional School District 14,Plant Operation and Maintenance,2792270.0,2011-12,0.092571497605,0.0943892616512,2140012
B,2150012,Regional School District 15,Plant Operation and Maintenance,6745286.0,2011-12,0.111297543321,0.0943892616512,2150012
E,2160012,Regional School District 16,Plant Operation and Maintenance,3138790.0,2011-12,0.0918187447506,0.0943892616512,2160012
C,2170012,Regional School District 17,Plant Operation and Maintenance,4680842.0,2011-12,0.127378723525,0.0943892616512,2170012
C,2180012,Regional School District 18,Plant Operation and Maintenance,3970651.0,2011-12,0.14701557332,0.0943892616512,2180012
C,2190012,Regional School District 19,Plant Operation and Maintenance,1541963.0,2011-12,0.0770740759124,0.0943892616512,2190012
A,1180011,Ridgefield School District,Plant Operation and Maintenance,7918881.0,2011-12,0.0967990272377,0.0943892616512,1180011
D,1190011,Rocky Hill School District,Plant Operation and Maintenance,3805641.0,2011-12,0.109403930651,0.0943892616512,1190011
C,1210011,Salem School District,Plant Operation and Maintenance,824995.0,2011-12,0.106507781054,0.0943892616512,1210011
E,1220011,Salisbury School District,Plant Operation and Maintenance,908623.0,2011-12,0.147377051706,0.0943892616512,1220011
E,1230011,Scotland School District,Plant Operation and Maintenance,200419.0,2011-12,0.0796829048265,0.0943892616512,1230011
F,1240011,Seymour School District,Plant Operation and Maintenance,3906018.0,2011-12,0.12314771292,0.0943892616512,1240011
E,1250011,Sharon School District,Plant Operation and Maintenance,475631.0,2011-12,0.106428955023,0.0943892616512,1250011
D,1260011,Shelton School District,Plant Operation and Maintenance,7338548.0,2011-12,0.108677254449,0.0943892616512,1260011
C,1270011,Sherman School District,Plant Operation and Maintenance,544405.0,2011-12,0.0828665662657,0.0943892616512,1270011
,2700013,Side By Side Charter School District,Plant Operation and Maintenance,267099.0,2011-12,0.0982126047948,0.0943892616512,2700013
B,1280011,Simsbury School District,Plant Operation and Maintenance,6956176.0,2011-12,0.105225670148,0.0943892616512,1280011
C,1290011,Somers School District,Plant Operation and Maintenance,1978490.0,2011-12,0.0949722898883,0.0943892616512,1290011
B,1320011,South Windsor School District,Plant Operation and Maintenance,6342693.0,2011-12,0.0927388257319,0.0943892616512,1320011
D,1310011,Southington School District,Plant Operation and Maintenance,7308193.0,2011-12,0.085412356766,0.0943892616512,1310011
F,1330011,Sprague School District,Plant Operation and Maintenance,441760.0,2011-12,0.0784096834965,0.0943892616512,1330011
F,1340011,Stafford School District,Plant Operation and Maintenance,2796530.0,2011-12,0.103618643612,0.0943892616512,1340011
,2820013,Stamford Academy District,Plant Operation and Maintenance,32744.0,2011-12,0.010734991535,0.0943892616512,2820013
H,1350011,Stamford School District,Plant Operation and Maintenance,21604459.0,2011-12,0.0839734762638,0.0943892616512,1350011
F,1360011,Sterling School District,Plant Operation and Maintenance,506124.0,2011-12,0.0681515669606,0.0943892616512,1360011
D,1370011,Stonington School District,Plant Operation and Maintenance,3702499.0,2011-12,0.109080374271,0.0943892616512,1370011
G,1380011,Stratford School District,Plant Operation and Maintenance,9110858.0,2011-12,0.0904013817428,0.0943892616512,1380011
C,1390011,Suffield School District,Plant Operation and Maintenance,2646746.0,2011-12,0.0805322196609,0.0943892616512,1390011
,2690013,The Bridge Academy District,Plant Operation and Maintenance,241187.0,2011-12,0.081574720485,0.0943892616512,2690013
E,1400011,Thomaston School District,Plant Operation and Maintenance,1557140.0,2011-12,0.100427905664,0.0943892616512,1400011
F,1410011,Thompson School District,Plant Operation and Maintenance,1938107.0,2011-12,0.112976453929,0.0943892616512,1410011
C,1420011,Tolland School District,Plant Operation and Maintenance,3245755.0,2011-12,0.0871983718733,0.0943892616512,1420011
G,1430011,Torrington School District,Plant Operation and Maintenance,6032800.0,2011-12,0.089475366569,0.0943892616512,1430011
,2780013,Trailblazers Academy District,Plant Operation and Maintenance,181150.0,2011-12,0.0420497043057,0.0943892616512,2780013
B,1440011,Trumbull School District,Plant Operation and Maintenance,8977413.0,2011-12,0.0963169738159,0.0943892616512,1440011
E,1450011,Union School District,Plant Operation and Maintenance,148128.0,2011-12,0.109922141451,0.0943892616512,1450011
G,1460011,Vernon School District,Plant Operation and Maintenance,4573913.0,2011-12,0.091188741218,0.0943892616512,1460011
F,1470011,Voluntown School District,Plant Operation and Maintenance,408279.0,2011-12,0.0804893166277,0.0943892616512,1470011
D,1480011,Wallingford School District,Plant Operation and Maintenance,13051692.0,2011-12,0.131043564429,0.0943892616512,1480011
I,1510011,Waterbury School District,Plant Operation and Maintenance,20884674.0,2011-12,0.0790410491081,0.0943892616512,1510011
D,1520011,Waterford School District,Plant Operation and Maintenance,4578686.0,2011-12,0.101097875903,0.0943892616512,1520011
D,1530011,Watertown School District,Plant Operation and Maintenance,4212279.0,2011-12,0.109505993262,0.0943892616512,1530011
B,1550011,West Hartford School District,Plant Operation and Maintenance,12791447.0,2011-12,0.0909997576507,0.0943892616512,1550011
H,1560011,West Haven School District,Plant Operation and Maintenance,14060883.0,2011-12,0.158778261518,0.0943892616512,1560011
E,1540011,Westbrook School District,Plant Operation and Maintenance,1497146.0,2011-12,0.100394093889,0.0943892616512,1540011
