"school_code","district_code","district","school","2011_12","2012_13","2013_14","2014_15","2015_16"
"0643311","0640011","Hartford School District","Breakthrough Magnet School","4.4","4.7","4.6","7.7","6.8"
"0646111","0640011","Hartford School District","Bulkeley High School Lower School","47.6","44.2","41.3","52.1","44.7"
"0647111","0640011","Hartford School District","Bulkeley High School Upper School","47.9","50.7","52.2","52.9","49.4"
"0640611","0640011","Hartford School District","Burns Latino Studies Academy","49.3","44.9","32.1","34.6","34.1"
"0642311","0640011","Hartford School District","Burr School","25.8","18.6","27.4","25.2","23.0"
"0643911","0640011","Hartford School District","Capital Community College Magnet Academy","","","","31.0","34.0"
"0646911","0640011","Hartford School District","Capital Preparatory Magnet School","*","3.5","11.9","4.5","4.9"
"0642411","0640011","Hartford School District","Clark School","40.0","46.1","37.7","38.5","29.4"
"0646411","0640011","Hartford School District","Classical Magnet School","3.2","3.1","4.6","7.7","7.9"
"0646011","0640011","Hartford School District","Culinary Arts Academy","56.0","68.9","58.2","56.2","64.5"
"0641411","0640011","Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","18.3","16.1","22.5","21.9","19.6"
"0645311","0640011","Hartford School District","Dr. Joseph Bellizzi Middle School","19.0","*","","",""
"0642811","0640011","Hartford School District","Dr. Ramon E. Betances Early Reading Lab","42.1","38.3","36.1","",""
"0645811","0640011","Hartford School District","EDP - Betances Early Reading Lab","","","","*","*"
"0648311","0640011","Hartford School District","EDP - Bulkeley High School","","","","*","*"
"0648211","0640011","Hartford School District","EDP - HPHS Academy of Engineering and Green Technology","","","","95.8","92.9"
"0645911","0640011","Hartford School District","EDP - M.D. Fox","","","","41.9","*"
"0648111","0640011","Hartford School District","EDP - McDonough Expeditionary Learning School","","","","*","*"
"0640911","0640011","Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","11.8","9.5","9.6","5.7","6.9"
"0643211","0640011","Hartford School District","Expeditionary Learning Academy at Moylan School","28.6","21.3","1.6","26.2","20.1"
"0642211","0640011","Hartford School District","Fred D. Wish Museum School","25.5","27.5","26.4","26.9","25.7"
"0643611","0640011","Hartford School District","Global Communications Academy","14.4","20.3","17.6","8.4","12.1"
"0647911","0640011","Hartford School District","Great Path Academy High School at MCC","","16.5","12.3","",""
"0647211","0640011","Hartford School District","HPHS Academy of Engineering and Green Technology","64.4","61.6","61.1","64.5","42.0"
"0647511","0640011","Hartford School District","HPHS Academy of Nursing and Health Science","58.7","62.6","67.2","64.7","57.1"
"0647311","0640011","Hartford School District","HPHS Freshmen Academy","62.2","","","",""
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","45.7","51.7","50.3","63.7","46.4"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","5.1","4.4","7.3","7.8","8.9"
"0649011","0640011","Hartford School District","Hartford Transitional Learning Academy (Elementary)","40.6","58.3","65.1","",""
"0647611","0640011","Hartford School District","High School Inc.","55.4","46.8","53.2","50.2",""
"0647611","0640011","Hartford School District","High School, Inc.","","","","","53.2"
"0648411","0640011","Hartford School District","High Step Transition","","","","*","*"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","59.7","64.5","49.1","39.8","21.1"
"0641011","0640011","Hartford School District","Kennelly School","17.7","21.3","22.2","25.6","23.6"
"0641111","0640011","Hartford School District","Kinsella Magnet School of Performing Arts","","","","","4.1"
"0649511","0640011","Hartford School District","LC - Breakthrough II","","","","","*"
"0649611","0640011","Hartford School District","LC - Burns","","","","","*"
"0649811","0640011","Hartford School District","LC - Moylan","","","","","*"
"0640811","0640011","Hartford School District","M. D. Fox Elementary School","21.6","23.5","35.4","30.6","19.8"
"0641611","0640011","Hartford School District","M. L. King School","33.7","21.6","25.9","26.3","24.6"
"0644811","0640011","Hartford School District","MDP - Batchelder School","","","","*","*"
"0645011","0640011","Hartford School District","MDP - Bulkeley High School","","","","*","*"
"0644911","0640011","Hartford School District","MDP - HPHS Law and Government Academy","","","","42.9","19.4"
"0648511","0640011","Hartford School District","MDP - Moylan School","","","","*","*"
"0641211","0640011","Hartford School District","McDonough Expeditionary Learning School","44.4","44.1","38.2","23.2","21.4"
"0641911","0640011","Hartford School District","Milner Elementary School","37.4","34.6","40.9","38.7","26.4"
"0643711","0640011","Hartford School District","Montessori Magnet School at Annie Fisher","10.1","9.8","6.5","10.7",""
"0643711","0640011","Hartford School District","Montessori Magnet at Fisher School","","","","","7.1"
"0640511","0640011","Hartford School District","Montessori Magnet at Moylan School","","","9.3","12.8","*"
"0642711","0640011","Hartford School District","New Visions Program","","","","87.1",""
"0642011","0640011","Hartford School District","Noah Webster Micro Society School","8.2","7.7","6.4","9.7","3.5"
"0647811","0640011","Hartford School District","OPPortunity High School","75.0","60.2","69.7","75.5",""
"0641511","0640011","Hartford School District","Parkville Community School","23.6","18.9","26.2","20.0","24.2"
"0646611","0640011","Hartford School District","Pathways Academy of Technology and Design","23.7","15.7","16.2","19.2","21.3"
"0641111","0640011","Hartford School District","R.J. Kinsella Magnet School of Performing Arts","5.5","9.4","14.1","13.4",""
"0644011","0640011","Hartford School District","Renzulli Academy","23.4","15.5","12.1","10.9","11.6"
"0640111","0640011","Hartford School District","SAND School","38.9","39.6","47.5","40.0","26.4"
"0642511","0640011","Hartford School District","STEM Magnet School at Annie Fisher","3.9","5.5","2.8","7.9","6.1"
"0643811","0640011","Hartford School District","STEM Magnet School at Dwight","","24.7","14.1","6.7","4.4"
"0643011","0640011","Hartford School District","Sanchez School","33.5","27.4","27.1","22.5","16.9"
"0645611","0640011","Hartford School District","Sarah J Rawson Middle Grades Academy","13.8","","","",""
