district,district_code,year,educators_total,educators_bilingual,educators_bilingual_pct,educators_tesol,educators_tesol_pct,check_dist,school_code,drg,yes,no,st_ratio,drg_ratio,state_ratio
Naugatuck School District,0880011,2010-11,3.0,0.0,0.0,3.0,100.0,Naugatuck School District,0880011,G,178.0,4482.0,59.3333333333,61.7111111111,39.2652236133
New Canaan School District,0900011,2010-11,1.0,0.0,0.0,1.0,100.0,New Canaan School District,0900011,A,23.0,2272.0,23.0,16.2,39.2652236133
New Milford School District,0960011,2010-11,2.0,0.0,0.0,2.0,100.0,New Milford School District,0960011,D,128.0,4625.0,64.0,52.5833333333,39.2652236133
Newington School District,0940011,2010-11,4.0,0.0,0.0,4.0,100.0,Newington School District,0940011,D,144.0,4281.0,36.0,52.5833333333,39.2652236133
North Branford School District,0990011,2010-11,1.0,0.0,0.0,1.0,100.0,North Branford School District,0990011,E,15.0,1069.0,15.0,10.75,39.2652236133
North Haven School District,1010011,2010-11,2.0,0.0,0.0,2.0,100.0,North Haven School District,1010011,D,39.0,1171.0,19.5,52.5833333333,39.2652236133
Orange School District,1070011,2010-11,2.0,0.0,0.0,2.0,100.0,Orange School District,1070011,B,16.0,870.0,8.0,19.117632465,39.2652236133
Plymouth School District,1110011,2010-11,1.0,0.0,0.0,1.0,100.0,Plymouth School District,1110011,F,0.0,0.0,0.0,26.1,39.2652236133
Putnam School District,1160011,2010-11,1.0,0.0,0.0,1.0,100.0,Putnam School District,1160011,G,32.0,981.0,32.0,61.7111111111,39.2652236133
Regional School District 05,2050012,2010-11,1.0,0.0,0.0,1.0,100.0,Regional School District 05,2050012,B,0.0,414.0,0.0,19.117632465,39.2652236133
Regional School District 10,2100012,2010-11,1.0,0.0,0.0,1.0,100.0,Regional School District 10,2100012,C,15.0,559.0,15.0,15.6666666667,39.2652236133
Regional School District 15,2150012,2010-11,3.0,0.0,0.0,3.0,100.0,Regional School District 15,2150012,B,7.0,1004.0,2.33333333333,19.117632465,39.2652236133
Regional School District 19,2190012,2010-11,1.0,0.0,0.0,1.0,100.0,Regional School District 19,2190012,C,10.0,1175.0,10.0,15.6666666667,39.2652236133
Southington School District,1310011,2010-11,1.0,0.0,0.0,1.0,100.0,Southington School District,1310011,D,109.0,6164.0,109.0,52.5833333333,39.2652236133
Stafford School District,1340011,2010-11,1.0,0.0,0.0,1.0,100.0,Stafford School District,1340011,F,8.0,494.0,8.0,26.1,39.2652236133
Stratford School District,1380011,2010-11,5.0,0.0,0.0,5.0,100.0,Stratford School District,1380011,G,316.0,6404.0,63.2,61.7111111111,39.2652236133
The Gilbert School District,9020022,2010-11,1.0,0.0,0.0,1.0,100.0,The Gilbert School District,9020022,G,6.0,319.0,6.0,61.7111111111,39.2652236133
Trumbull School District,1440011,2010-11,5.0,0.0,0.0,5.0,100.0,Trumbull School District,1440011,B,97.0,4849.0,19.4,19.117632465,39.2652236133
Vernon School District,1460011,2010-11,4.0,0.0,0.0,4.0,100.0,Vernon School District,1460011,G,81.0,3216.0,20.25,61.7111111111,39.2652236133
Waterford School District,1520011,2010-11,1.0,0.0,0.0,1.0,100.0,Waterford School District,1520011,D,30.0,2406.0,30.0,52.5833333333,39.2652236133
Watertown School District,1530011,2010-11,1.0,0.0,0.0,1.0,100.0,Watertown School District,1530011,D,59.0,2115.0,59.0,52.5833333333,39.2652236133
West Hartford School District,1550011,2010-11,19.0,0.0,0.0,19.0,100.0,West Hartford School District,1550011,B,571.0,9646.0,30.0526315789,19.117632465,39.2652236133
Westport School District,1580011,2010-11,5.0,0.0,0.0,5.0,100.0,Westport School District,1580011,A,53.0,3413.0,10.6,16.2,39.2652236133
Wethersfield School District,1590011,2010-11,2.0,0.0,0.0,2.0,100.0,Wethersfield School District,1590011,D,184.0,3612.0,92.0,52.5833333333,39.2652236133
Wilton School District,1610011,2010-11,1.0,0.0,0.0,1.0,100.0,Wilton School District,1610011,A,15.0,973.0,15.0,16.2,39.2652236133
Windsor Locks School District,1650011,2010-11,1.0,0.0,0.0,1.0,100.0,Windsor Locks School District,1650011,F,58.0,1727.0,58.0,26.1,39.2652236133
Woodstock Academy District,9030022,2010-11,1.0,0.0,0.0,1.0,100.0,Woodstock Academy District,9030022,E,0.0,0.0,0.0,10.75,39.2652236133
Ansonia School District,0020011,2015-16,1.0,0.0,0.0,1.0,100.0,Ansonia School District,0020011,H,60.0,1820.0,60.0,49.9817185376,38.4636915997
Area Cooperative Educational Services,2440014,2015-16,1.0,0.0,0.0,1.0,100.0,Area Cooperative Educational Services,2440014,,48.0,1226.0,48.0,,38.4636915997
Ashford School District,0030011,2015-16,1.0,0.0,0.0,1.0,100.0,Ashford School District,0030011,E,0.0,0.0,0.0,4.25,38.4636915997
Berlin School District,0070011,2015-16,1.0,0.0,0.0,1.0,100.0,Berlin School District,0070011,D,59.0,1851.0,59.0,54.29,38.4636915997
Branford School District,0140011,2015-16,1.0,0.0,0.0,1.0,100.0,Branford School District,0140011,D,114.0,2931.0,114.0,54.29,38.4636915997
Bristol School District,0170011,2015-16,6.0,0.0,0.0,6.0,100.0,Bristol School District,0170011,G,339.0,7701.0,56.5,44.8491175491,38.4636915997
Canton School District,0230011,2015-16,1.0,0.0,0.0,1.0,100.0,Canton School District,0230011,C,9.0,726.0,9.0,19.8,38.4636915997
Clinton School District,0270011,2015-16,3.0,0.0,0.0,3.0,100.0,Clinton School District,0270011,D,67.0,1300.0,22.3333333333,54.29,38.4636915997
Derby School District,0370011,2015-16,2.0,0.0,0.0,2.0,100.0,Derby School District,0370011,H,60.0,1324.0,30.0,49.9817185376,38.4636915997
East Granby School District,0400011,2015-16,1.0,0.0,0.0,1.0,100.0,East Granby School District,0400011,D,7.0,659.0,7.0,54.29,38.4636915997
East Haven School District,0440011,2015-16,7.0,0.0,0.0,7.0,100.0,East Haven School District,0440011,G,236.0,2734.0,33.7142857143,44.8491175491,38.4636915997
East Windsor School District,0470011,2015-16,2.0,0.0,0.0,2.0,100.0,East Windsor School District,0470011,F,32.0,737.0,16.0,45.0,38.4636915997
Ellington School District,0480011,2015-16,1.0,0.0,0.0,1.0,100.0,Ellington School District,0480011,C,30.0,400.0,30.0,19.8,38.4636915997
Fairfield School District,0510011,2015-16,11.0,0.0,0.0,11.0,100.0,Fairfield School District,0510011,B,190.0,6623.0,17.2727272727,21.7633673693,38.4636915997
Glastonbury School District,0540011,2015-16,2.0,0.0,0.0,2.0,100.0,Glastonbury School District,0540011,B,75.0,5496.0,37.5,21.7633673693,38.4636915997
Groton School District,0590011,2015-16,2.0,0.0,0.0,2.0,100.0,Groton School District,0590011,G,102.0,2822.0,51.0,44.8491175491,38.4636915997
Hamden School District,0620011,2015-16,3.0,0.0,0.0,3.0,100.0,Hamden School District,0620011,G,274.0,5216.0,91.3333333333,44.8491175491,38.4636915997
Interdistrict School for Arts and Comm District,2650013,2015-16,1.0,0.0,0.0,1.0,100.0,Interdistrict School for Arts and Comm District,2650013,,28.0,243.0,28.0,,38.4636915997
Manchester School District,0770011,2015-16,4.0,0.0,0.0,4.0,100.0,Manchester School District,0770011,G,361.0,5692.0,90.25,44.8491175491,38.4636915997
Middletown School District,0830011,2015-16,5.0,0.0,0.0,5.0,100.0,Middletown School District,0830011,G,163.0,4145.0,32.6,44.8491175491,38.4636915997
Milford School District,0840011,2015-16,4.0,0.0,0.0,4.0,100.0,Milford School District,0840011,D,137.0,3254.0,34.25,54.29,38.4636915997
Monroe School District,0850011,2015-16,1.0,0.0,0.0,1.0,100.0,Monroe School District,0850011,B,0.0,13.0,0.0,21.7633673693,38.4636915997
Montville School District,0860011,2015-16,2.0,0.0,0.0,2.0,100.0,Montville School District,0860011,F,74.0,1829.0,37.0,45.0,38.4636915997
Naugatuck School District,0880011,2015-16,3.0,0.0,0.0,3.0,100.0,Naugatuck School District,0880011,G,169.0,4055.0,56.3333333333,44.8491175491,38.4636915997
New Milford School District,0960011,2015-16,3.0,0.0,0.0,3.0,100.0,New Milford School District,0960011,D,124.0,4103.0,41.3333333333,54.29,38.4636915997
Newington School District,0940011,2015-16,4.0,0.0,0.0,4.0,100.0,Newington School District,0940011,D,174.0,3868.0,43.5,54.29,38.4636915997
Newtown School District,0970011,2015-16,1.0,0.0,0.0,1.0,100.0,Newtown School District,0970011,B,0.0,1727.0,0.0,21.7633673693,38.4636915997
North Branford School District,0990011,2015-16,1.0,0.0,0.0,1.0,100.0,North Branford School District,0990011,E,17.0,790.0,17.0,4.25,38.4636915997
North Haven School District,1010011,2015-16,1.0,0.0,0.0,1.0,100.0,North Haven School District,1010011,D,64.0,3096.0,64.0,54.29,38.4636915997
North Stonington School District,1020011,2015-16,2.0,0.0,0.0,2.0,100.0,North Stonington School District,1020011,E,0.0,366.0,0.0,4.25,38.4636915997
Orange School District,1070011,2015-16,2.0,0.0,0.0,2.0,100.0,Orange School District,1070011,B,55.0,1121.0,27.5,21.7633673693,38.4636915997
Putnam School District,1160011,2015-16,1.0,0.0,0.0,1.0,100.0,Putnam School District,1160011,G,16.0,610.0,16.0,44.8491175491,38.4636915997
Regional School District 10,2100012,2015-16,1.0,0.0,0.0,1.0,100.0,Regional School District 10,2100012,C,28.0,1200.0,28.0,19.8,38.4636915997
Regional School District 12,2120012,2015-16,1.0,0.0,0.0,1.0,100.0,Regional School District 12,2120012,C,13.0,638.0,13.0,19.8,38.4636915997
Regional School District 15,2150012,2015-16,2.0,0.0,0.0,2.0,100.0,Regional School District 15,2150012,B,26.0,1231.0,13.0,21.7633673693,38.4636915997
Regional School District 19,2190012,2015-16,1.0,0.0,0.0,1.0,100.0,Regional School District 19,2190012,C,19.0,1187.0,19.0,19.8,38.4636915997
Ridgefield School District,1180011,2015-16,1.0,0.0,0.0,1.0,100.0,Ridgefield School District,1180011,A,41.0,1701.0,41.0,18.3125,38.4636915997
Shelton School District,1260011,2015-16,2.0,0.0,0.0,2.0,100.0,Shelton School District,1260011,D,209.0,4633.0,104.5,54.29,38.4636915997
South Windsor School District,1320011,2015-16,3.0,0.0,0.0,3.0,100.0,South Windsor School District,1320011,B,152.0,3976.0,50.6666666667,21.7633673693,38.4636915997
Southington School District,1310011,2015-16,2.0,0.0,0.0,2.0,100.0,Southington School District,1310011,D,80.0,5042.0,40.0,54.29,38.4636915997
Stratford School District,1380011,2015-16,5.0,0.0,0.0,5.0,100.0,Stratford School District,1380011,G,289.0,6515.0,57.8,44.8491175491,38.4636915997
The Gilbert School District,9020022,2015-16,3.0,0.0,0.0,3.0,100.0,The Gilbert School District,9020022,G,14.0,539.0,4.66666666667,44.8491175491,38.4636915997
Trumbull School District,1440011,2015-16,6.0,0.0,0.0,6.0,100.0,Trumbull School District,1440011,B,130.0,5744.0,21.6666666667,21.7633673693,38.4636915997
Vernon School District,1460011,2015-16,4.0,0.0,0.0,4.0,100.0,Vernon School District,1460011,G,103.0,2534.0,25.75,44.8491175491,38.4636915997
Waterford School District,1520011,2015-16,2.0,0.0,0.0,2.0,100.0,Waterford School District,1520011,D,39.0,2152.0,19.5,54.29,38.4636915997
Watertown School District,1530011,2015-16,1.0,0.0,0.0,1.0,100.0,Watertown School District,1530011,D,76.0,2735.0,76.0,54.29,38.4636915997
West Hartford School District,1550011,2015-16,16.0,0.0,0.0,16.0,100.0,West Hartford School District,1550011,B,484.0,9138.0,30.25,21.7633673693,38.4636915997
Westport School District,1580011,2015-16,4.0,0.0,0.0,4.0,100.0,Westport School District,1580011,A,29.0,3480.0,7.25,18.3125,38.4636915997
Wethersfield School District,1590011,2015-16,2.0,0.0,0.0,2.0,100.0,Wethersfield School District,1590011,D,254.0,3366.0,127.0,54.29,38.4636915997
Wilton School District,1610011,2015-16,1.0,0.0,0.0,1.0,100.0,Wilton School District,1610011,A,11.0,802.0,11.0,18.3125,38.4636915997
Winchester School District,1620011,2015-16,1.0,0.0,0.0,1.0,100.0,Winchester School District,1620011,G,34.0,523.0,34.0,44.8491175491,38.4636915997
Windsor Locks School District,1650011,2015-16,1.0,0.0,0.0,1.0,100.0,Windsor Locks School District,1650011,F,82.0,1548.0,82.0,45.0,38.4636915997
Windsor School District,1640011,2015-16,3.0,0.0,0.0,3.0,100.0,Windsor School District,1640011,D,120.0,3057.0,40.0,54.29,38.4636915997
Woodbridge School District,1670011,2015-16,1.0,0.0,0.0,1.0,100.0,Woodbridge School District,1670011,B,10.0,761.0,10.0,21.7633673693,38.4636915997
Woodstock Academy District,9030022,2015-16,1.0,0.0,0.0,1.0,100.0,Woodstock Academy District,9030022,E,0.0,0.0,0.0,4.25,38.4636915997
Ansonia School District,0020011,2016-17,1.0,0.0,0.0,1.0,100.0,Ansonia School District,0020011,H,80.0,2253.0,80.0,61.4247294739,42.8458017784
Area Cooperative Educational Services,2440014,2016-17,1.0,0.0,0.0,1.0,100.0,Area Cooperative Educational Services,2440014,,41.0,1234.0,41.0,,42.8458017784
Ashford School District,0030011,2016-17,1.0,0.0,0.0,1.0,100.0,Ashford School District,0030011,E,0.0,0.0,0.0,2.33333333333,42.8458017784
Avon School District,0040011,2016-17,2.0,0.0,0.0,2.0,100.0,Avon School District,0040011,B,90.0,2627.0,45.0,31.3010010823,42.8458017784
Berlin School District,0070011,2016-17,1.0,0.0,0.0,1.0,100.0,Berlin School District,0070011,D,71.0,1829.0,71.0,58.0794117647,42.8458017784
Branford School District,0140011,2016-17,3.0,0.0,0.0,3.0,100.0,Branford School District,0140011,D,118.0,2846.0,39.3333333333,58.0794117647,42.8458017784
Bristol School District,0170011,2016-17,6.0,0.0,0.0,6.0,100.0,Bristol School District,0170011,G,347.0,7581.0,57.8333333333,47.9808025308,42.8458017784
Brookfield School District,0180011,2016-17,1.0,0.0,0.0,1.0,100.0,Brookfield School District,0180011,B,83.0,2582.0,83.0,31.3010010823,42.8458017784
Canton School District,0230011,2016-17,1.0,0.0,0.0,1.0,100.0,Canton School District,0230011,C,8.0,730.0,8.0,18.6,42.8458017784
