district,school,english_learner_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Glastonbury School District,Glastonbury High School,Non-ELL,*,*,*,98.8,99.4,0546111,Glastonbury High School,Glastonbury School District
Granby School District,Granby Memorial High School,ELL,,,*,*,,0566111,Granby Memorial High School,Granby School District
Granby School District,Granby Memorial High School,Non-ELL,98.4,98.4,*,*,98.9,0566111,Granby Memorial High School,Granby School District
Greenwich School District,Greenwich High School,ELL,76.7,79.2,76.9,82.1,83.3,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Non-ELL,93.3,95.6,97.8,98.0,97.9,0576111,Greenwich High School,Greenwich School District
Griswold School District,Griswold High School,ELL,*,,,,*,0586211,Griswold High School,Griswold School District
Griswold School District,Griswold High School,Non-ELL,*,88.0,85.0,90.9,*,0586211,Griswold High School,Griswold School District
Groton School District,Robert E. Fitch High School,ELL,*,*,*,*,*,0596111,Robert E. Fitch High School,Groton School District
Groton School District,Robert E. Fitch High School,Non-ELL,*,83.6,85.9,*,89.8,0596111,Robert E. Fitch High School,Groton School District
Guilford School District,Guilford High School,ELL,,*,*,,*,0606111,Guilford High School,Guilford School District
Guilford School District,Guilford High School,Non-ELL,98.2,*,*,96.7,*,0606111,Guilford High School,Guilford School District
Hamden School District,Hamden High School,ELL,*,*,*,*,*,0626111,Hamden High School,Hamden School District
Hamden School District,Hamden High School,Non-ELL,85.8,87.3,*,92.1,93.0,0626111,Hamden High School,Hamden School District
Hartford School District,Bulkeley High School Upper School,ELL,68.2,71.8,73.5,69.5,67.9,,,
Hartford School District,Bulkeley High School Upper School,Non-ELL,62.3,71.5,73.2,73.8,72.7,,,
Hartford School District,Capital Community College Magnet Academy,ELL,,,,*,,0643911,Capital Community College Magnet Academy,Hartford School District
Hartford School District,Capital Community College Magnet Academy,Non-ELL,,,,*,96.3,0643911,Capital Community College Magnet Academy,Hartford School District
Hartford School District,Capital Preparatory Magnet School,ELL,,,,*,*,0646911,Capital Preparatory Magnet School,Hartford School District
Hartford School District,Capital Preparatory Magnet School,Non-ELL,97.0,100.0,96.3,94.9,84.6,0646911,Capital Preparatory Magnet School,Hartford School District
Hartford School District,Classical Magnet School,ELL,*,*,*,*,*,0646411,Classical Magnet School,Hartford School District
Hartford School District,Classical Magnet School,Non-ELL,98.8,94.3,95.2,90.2,96.0,0646411,Classical Magnet School,Hartford School District
Hartford School District,Culinary Arts Academy,ELL,*,*,*,*,*,,,
Hartford School District,Culinary Arts Academy,Non-ELL,64.3,58.7,63.0,68.2,56.1,,,
