district,district_code,year,educators_total,educators_bilingual,educators_bilingual_pct,educators_tesol,educators_tesol_pct,check_dist,school_code
Newtown School District,0970011,2015-16,1.0,0.0,0.0,1.0,100.0,Newtown School District,0970011
North Branford School District,0990011,2015-16,1.0,0.0,0.0,1.0,100.0,North Branford School District,0990011
North Haven School District,1010011,2015-16,1.0,0.0,0.0,1.0,100.0,North Haven School District,1010011
North Stonington School District,1020011,2015-16,2.0,0.0,0.0,2.0,100.0,North Stonington School District,1020011
Orange School District,1070011,2015-16,2.0,0.0,0.0,2.0,100.0,Orange School District,1070011
Putnam School District,1160011,2015-16,1.0,0.0,0.0,1.0,100.0,Putnam School District,1160011
Regional School District 10,2100012,2015-16,1.0,0.0,0.0,1.0,100.0,Regional School District 10,2100012
Regional School District 12,2120012,2015-16,1.0,0.0,0.0,1.0,100.0,Regional School District 12,2120012
Regional School District 15,2150012,2015-16,2.0,0.0,0.0,2.0,100.0,Regional School District 15,2150012
Regional School District 19,2190012,2015-16,1.0,0.0,0.0,1.0,100.0,Regional School District 19,2190012
Ridgefield School District,1180011,2015-16,1.0,0.0,0.0,1.0,100.0,Ridgefield School District,1180011
Shelton School District,1260011,2015-16,2.0,0.0,0.0,2.0,100.0,Shelton School District,1260011
South Windsor School District,1320011,2015-16,3.0,0.0,0.0,3.0,100.0,South Windsor School District,1320011
Southington School District,1310011,2015-16,2.0,0.0,0.0,2.0,100.0,Southington School District,1310011
Stratford School District,1380011,2015-16,5.0,0.0,0.0,5.0,100.0,Stratford School District,1380011
The Gilbert School District,9020022,2015-16,3.0,0.0,0.0,3.0,100.0,The Gilbert School District,9020022
Trumbull School District,1440011,2015-16,6.0,0.0,0.0,6.0,100.0,Trumbull School District,1440011
Vernon School District,1460011,2015-16,4.0,0.0,0.0,4.0,100.0,Vernon School District,1460011
Waterford School District,1520011,2015-16,2.0,0.0,0.0,2.0,100.0,Waterford School District,1520011
Watertown School District,1530011,2015-16,1.0,0.0,0.0,1.0,100.0,Watertown School District,1530011
West Hartford School District,1550011,2015-16,16.0,0.0,0.0,16.0,100.0,West Hartford School District,1550011
Westport School District,1580011,2015-16,4.0,0.0,0.0,4.0,100.0,Westport School District,1580011
Wethersfield School District,1590011,2015-16,2.0,0.0,0.0,2.0,100.0,Wethersfield School District,1590011
Wilton School District,1610011,2015-16,1.0,0.0,0.0,1.0,100.0,Wilton School District,1610011
Winchester School District,1620011,2015-16,1.0,0.0,0.0,1.0,100.0,Winchester School District,1620011
Windsor Locks School District,1650011,2015-16,1.0,0.0,0.0,1.0,100.0,Windsor Locks School District,1650011
Windsor School District,1640011,2015-16,3.0,0.0,0.0,3.0,100.0,Windsor School District,1640011
Woodbridge School District,1670011,2015-16,1.0,0.0,0.0,1.0,100.0,Woodbridge School District,1670011
Woodstock Academy District,9030022,2015-16,1.0,0.0,0.0,1.0,100.0,Woodstock Academy District,9030022
Ansonia School District,0020011,2016-17,1.0,0.0,0.0,1.0,100.0,Ansonia School District,0020011
Area Cooperative Educational Services,2440014,2016-17,1.0,0.0,0.0,1.0,100.0,Area Cooperative Educational Services,2440014
Ashford School District,0030011,2016-17,1.0,0.0,0.0,1.0,100.0,Ashford School District,0030011
Avon School District,0040011,2016-17,2.0,0.0,0.0,2.0,100.0,Avon School District,0040011
Berlin School District,0070011,2016-17,1.0,0.0,0.0,1.0,100.0,Berlin School District,0070011
Branford School District,0140011,2016-17,3.0,0.0,0.0,3.0,100.0,Branford School District,0140011
Bristol School District,0170011,2016-17,6.0,0.0,0.0,6.0,100.0,Bristol School District,0170011
Brookfield School District,0180011,2016-17,1.0,0.0,0.0,1.0,100.0,Brookfield School District,0180011
Canton School District,0230011,2016-17,1.0,0.0,0.0,1.0,100.0,Canton School District,0230011
Clinton School District,0270011,2016-17,3.0,0.0,0.0,3.0,100.0,Clinton School District,0270011
Connecticut Technical High School System,9000016,2016-17,26.0,0.0,0.0,26.0,100.0,Connecticut Technical High School System,9000016
Cromwell School District,0330011,2016-17,1.0,0.0,0.0,1.0,100.0,Cromwell School District,0330011
Derby School District,0370011,2016-17,2.0,0.0,0.0,2.0,100.0,Derby School District,0370011
East Granby School District,0400011,2016-17,1.0,0.0,0.0,1.0,100.0,East Granby School District,0400011
East Haven School District,0440011,2016-17,7.0,0.0,0.0,7.0,100.0,East Haven School District,0440011
East Windsor School District,0470011,2016-17,2.0,0.0,0.0,2.0,100.0,East Windsor School District,0470011
Ellington School District,0480011,2016-17,1.0,0.0,0.0,1.0,100.0,Ellington School District,0480011
Fairfield School District,0510011,2016-17,11.0,0.0,0.0,11.0,100.0,Fairfield School District,0510011
Farmington School District,0520011,2016-17,2.0,0.0,0.0,2.0,100.0,Farmington School District,0520011
Glastonbury School District,0540011,2016-17,2.0,0.0,0.0,2.0,100.0,Glastonbury School District,0540011
Groton School District,0590011,2016-17,2.0,0.0,0.0,2.0,100.0,Groton School District,0590011
Hamden School District,0620011,2016-17,4.0,0.0,0.0,4.0,100.0,Hamden School District,0620011
Interdistrict School for Arts and Comm District,2650013,2016-17,1.0,0.0,0.0,1.0,100.0,Interdistrict School for Arts and Comm District,2650013
Madison School District,0760011,2016-17,1.0,0.0,0.0,1.0,100.0,Madison School District,0760011
Manchester School District,0770011,2016-17,4.0,0.0,0.0,4.0,100.0,Manchester School District,0770011
Middletown School District,0830011,2016-17,5.0,0.0,0.0,5.0,100.0,Middletown School District,0830011
Milford School District,0840011,2016-17,4.0,0.0,0.0,4.0,100.0,Milford School District,0840011
Monroe School District,0850011,2016-17,2.0,0.0,0.0,2.0,100.0,Monroe School District,0850011
Montville School District,0860011,2016-17,2.0,0.0,0.0,2.0,100.0,Montville School District,0860011
Naugatuck School District,0880011,2016-17,3.0,0.0,0.0,3.0,100.0,Naugatuck School District,0880011
New Milford School District,0960011,2016-17,3.0,0.0,0.0,3.0,100.0,New Milford School District,0960011
Newington School District,0940011,2016-17,4.0,0.0,0.0,4.0,100.0,Newington School District,0940011
Newtown School District,0970011,2016-17,1.0,0.0,0.0,1.0,100.0,Newtown School District,0970011
North Branford School District,0990011,2016-17,1.0,0.0,0.0,1.0,100.0,North Branford School District,0990011
North Haven School District,1010011,2016-17,2.0,0.0,0.0,2.0,100.0,North Haven School District,1010011
Norwich School District,1040011,2016-17,5.0,0.0,0.0,5.0,100.0,Norwich School District,1040011
Orange School District,1070011,2016-17,2.0,0.0,0.0,2.0,100.0,Orange School District,1070011
Putnam School District,1160011,2016-17,1.0,0.0,0.0,1.0,100.0,Putnam School District,1160011
Regional School District 10,2100012,2016-17,1.0,0.0,0.0,1.0,100.0,Regional School District 10,2100012
Regional School District 12,2120012,2016-17,1.0,0.0,0.0,1.0,100.0,Regional School District 12,2120012
Regional School District 15,2150012,2016-17,2.0,0.0,0.0,2.0,100.0,Regional School District 15,2150012
Regional School District 19,2190012,2016-17,1.0,0.0,0.0,1.0,100.0,Regional School District 19,2190012
Ridgefield School District,1180011,2016-17,1.0,0.0,0.0,1.0,100.0,Ridgefield School District,1180011
Rocky Hill School District,1190011,2016-17,1.0,0.0,0.0,1.0,100.0,Rocky Hill School District,1190011
Shelton School District,1260011,2016-17,4.0,0.0,0.0,4.0,100.0,Shelton School District,1260011
South Windsor School District,1320011,2016-17,3.0,0.0,0.0,3.0,100.0,South Windsor School District,1320011
Southington School District,1310011,2016-17,2.0,0.0,0.0,2.0,100.0,Southington School District,1310011
Stratford School District,1380011,2016-17,6.0,0.0,0.0,6.0,100.0,Stratford School District,1380011
The Gilbert School District,9020022,2016-17,4.0,0.0,0.0,4.0,100.0,The Gilbert School District,9020022
Trumbull School District,1440011,2016-17,6.0,0.0,0.0,6.0,100.0,Trumbull School District,1440011
Vernon School District,1460011,2016-17,3.0,0.0,0.0,3.0,100.0,Vernon School District,1460011
Waterford School District,1520011,2016-17,2.0,0.0,0.0,2.0,100.0,Waterford School District,1520011
Watertown School District,1530011,2016-17,1.0,0.0,0.0,1.0,100.0,Watertown School District,1530011
West Hartford School District,1550011,2016-17,16.0,0.0,0.0,16.0,100.0,West Hartford School District,1550011
Westport School District,1580011,2016-17,4.0,0.0,0.0,4.0,100.0,Westport School District,1580011
Wethersfield School District,1590011,2016-17,2.0,0.0,0.0,2.0,100.0,Wethersfield School District,1590011
Wilton School District,1610011,2016-17,2.0,0.0,0.0,2.0,100.0,Wilton School District,1610011
Winchester School District,1620011,2016-17,1.0,0.0,0.0,1.0,100.0,Winchester School District,1620011
Windsor Locks School District,1650011,2016-17,1.0,0.0,0.0,1.0,100.0,Windsor Locks School District,1650011
Windsor School District,1640011,2016-17,3.0,0.0,0.0,3.0,100.0,Windsor School District,1640011
Woodstock Academy District,9030022,2016-17,1.0,0.0,0.0,1.0,100.0,Woodstock Academy District,9030022
