school_code,district_code,district,school,no,yes,total,year
0841911,0840011,Milford School District,J. F. Kennedy School,372,28,400,2012-13
0846211,0840011,Milford School District,Jonathan Law High School,*,*,1001,2012-13
0846311,0840011,Milford School District,Joseph A. Foran High School,*,*,1000,2012-13
0841611,0840011,Milford School District,Live Oaks School,294,13,307,2012-13
0841711,0840011,Milford School District,Mathewson School,371,35,406,2012-13
0840711,0840011,Milford School District,Meadowside School,*,*,447,2012-13
0840811,0840011,Milford School District,Orange Avenue School,*,*,395,2012-13
0841811,0840011,Milford School District,Orchard Hills School,*,*,356,2012-13
0841011,0840011,Milford School District,Pumpkin Delight School,385,7,392,2012-13
0845311,0840011,Milford School District,West Shore Middle School,553,11,564,2012-13
0850511,0850011,Monroe School District,Fawn Hollow Elementary School,517,6,523,2012-13
0855211,0850011,Monroe School District,Jockey Hollow School,*,*,853,2012-13
0856111,0850011,Monroe School District,Masuk High School,1227,0,1227,2012-13
0850111,0850011,Monroe School District,Monroe Elementary School,370,0,370,2012-13
0850311,0850011,Monroe School District,Stepney Elementary School,494,9,503,2012-13
0860711,0860011,Montville School District,Dr. Charles E. Murphy School,358,6,364,2012-13
0865111,0860011,Montville School District,Leonard J. Tyl Middle School,591,6,597,2012-13
0860111,0860011,Montville School District,Mohegan School,321,47,368,2012-13
0866111,0860011,Montville School District,Montville High School,699,22,721,2012-13
0860511,0860011,Montville School District,Oakdale School,*,*,373,2012-13
0869011,0860011,Montville School District,Palmer Academy,23,0,23,2012-13
0880811,0880011,Naugatuck School District,Andrew Avenue School,231,16,247,2012-13
0888211,0880011,Naugatuck School District,Central Avenue Preschool,20,0,20,2012-13
0885111,0880011,Naugatuck School District,City Hill Middle School,679,24,703,2012-13
0880211,0880011,Naugatuck School District,Cross Street Intermediate School,244,8,252,2012-13
0888111,0880011,Naugatuck School District,Head Start,119,0,119,2012-13
0880411,0880011,Naugatuck School District,Hillside Intermediate School,399,15,414,2012-13
0880511,0880011,Naugatuck School District,Hop Brook Elementary School,325,28,353,2012-13
0880311,0880011,Naugatuck School District,Maple Hill School,496,25,521,2012-13
0886111,0880011,Naugatuck School District,Naugatuck High School,1263,36,1299,2012-13
0880611,0880011,Naugatuck School District,Salem School,248,23,271,2012-13
0880711,0880011,Naugatuck School District,Western School,270,10,280,2012-13
2800113,2800013,New Beginnings Inc Family Academy District,New Beginnings Inc Family Academy,*,*,399,2012-13
0899111,0890011,New Britain School District,Brook Side School,38,10,48,2012-13
0899411,0890011,New Britain School District,CLIMB,*,*,13,2012-13
0890311,0890011,New Britain School District,Chamberlain  Elementary School,507,57,564,2012-13
0891111,0890011,New Britain School District,Frank J. DiLoreto School,471,430,901,2012-13
0890511,0890011,New Britain School District,Gaffney School,525,54,579,2012-13
0890611,0890011,New Britain School District,Holmes School,361,47,408,2012-13
0895411,0890011,New Britain School District,House of Arts Letters and Science (HALS)  Academy,169,0,169,2012-13
0890711,0890011,New Britain School District,Jefferson School,369,113,482,2012-13
0890811,0890011,New Britain School District,Lincoln School,640,114,754,2012-13
0896111,0890011,New Britain School District,New Britain High School,2101,429,2530,2012-13
0899011,0890011,New Britain School District,New Britain Transition Center,38,9,47,2012-13
0890911,0890011,New Britain School District,Northend School,149,6,155,2012-13
0895311,0890011,New Britain School District,Pulaski Middle School,398,119,517,2012-13
0895111,0890011,New Britain School District,Roosevelt Middle School,387,40,427,2012-13
0895211,0890011,New Britain School District,Slade Middle School,659,67,726,2012-13
0891211,0890011,New Britain School District,Smalley Academy,484,72,556,2012-13
0891311,0890011,New Britain School District,Smith School,651,81,732,2012-13
0891511,0890011,New Britain School District,Vance School,566,57,623,2012-13
0900411,0900011,New Canaan School District,East School,559,6,565,2012-13
0906111,0900011,New Canaan School District,New Canaan High School,1268,7,1275,2012-13
0905111,0900011,New Canaan School District,Saxe Middle School,1274,14,1288,2012-13
0900211,0900011,New Canaan School District,South School,*,*,554,2012-13
0900311,0900011,New Canaan School District,West School,*,*,531,2012-13
0910111,0910011,New Fairfield School District,Consolidated School,518,17,535,2012-13
0910211,0910011,New Fairfield School District,Meeting House Hill School,591,8,599,2012-13
0916111,0910011,New Fairfield School District,New Fairfield High School,1010,0,1010,2012-13
0915211,0910011,New Fairfield School District,New Fairfield Middle School,*,*,654,2012-13
0920311,0920011,New Hartford School District,Ann Antolini School,*,*,343,2012-13
0920111,0920011,New Hartford School District,Bakerville Consolidated School,110,0,110,2012-13
0920211,0920011,New Hartford School District,New Hartford Elementary School,*,*,112,2012-13
0931211,0930011,New Haven School District,Edgewood School,442,7,449,2012-13
0931411,0930011,New Haven School District,Nathan Hale School,520,37,557,2012-13
0931511,0930011,New Haven School District,Augusta Lewis Troup School,458,55,513,2012-13
0930211,0930011,New Haven School District,Barnard Environmental Magnet School,516,38,554,2012-13
0930311,0930011,New Haven School District,Beecher School,475,11,486,2012-13
0931811,0930011,New Haven School District,Benjamin Jepson Magnet School,516,45,561,2012-13
0935511,0930011,New Haven School District,Betsy Ross Arts Magnet School,466,22,488,2012-13
0934311,0930011,New Haven School District,Bishop Woods Architecture and Design Magnet School,482,34,516,2012-13
0932111,0930011,New Haven School District,Brennan Rogers School,379,26,405,2012-13
0934811,0930011,New Haven School District,"Celentano BioTech, Health and Medical Magnet School",436,17,453,2012-13
0930611,0930011,New Haven School District,Clinton Avenue School,403,164,567,2012-13
0934111,0930011,New Haven School District,Columbus Family Academy,269,198,467,2012-13
0933111,0930011,New Haven School District,Conte/West Hills Magnet School,567,58,625,2012-13
0936411,0930011,New Haven School District,Cooperative High School,624,14,638,2012-13
0936811,0930011,New Haven School District,Cortlandt V.R. Creed Health and Sport Sciences High School,190,7,197,2012-13
0930911,0930011,New Haven School District,Davis 21st Century Magnet Elementary School,502,9,511,2012-13
0935611,0930011,New Haven School District,Domus Academy,*,*,41,2012-13
0938211,0930011,New Haven School District,Dwight Early Childhood Program,46,0,46,2012-13
0938111,0930011,New Haven School District,Early Learning Center,117,0,117,2012-13
0934611,0930011,New Haven School District,East Rock Community Magnet School,371,63,434,2012-13
0931711,0930011,New Haven School District,Engineering - Science University Magnet School,*,*,387,2012-13
0931611,0930011,New Haven School District,Fair Haven School,343,362,705,2012-13
0938011,0930011,New Haven School District,Headstart,334,0,334,2012-13
0938311,0930011,New Haven School District,Helene Grant HeadStart,281,0,281,2012-13
0936611,0930011,New Haven School District,High School In The Community,223,18,241,2012-13
0930711,0930011,New Haven School District,Hill Central Music Academy,297,166,463,2012-13
0936311,0930011,New Haven School District,Hill Regional Career High School,654,44,698,2012-13
0936211,0930011,New Haven School District,James Hillhouse High School,892,84,976,2012-13
0931311,0930011,New Haven School District,John C. Daniels,402,106,508,2012-13
0930811,0930011,New Haven School District,John S. Martinez Sea and Sky STEM School,351,186,537,2012-13
0933011,0930011,New Haven School District,King/Robinson Magnet School,567,13,580,2012-13
0932011,0930011,New Haven School District,Lincoln-Bassett School,364,20,384,2012-13
0931911,0930011,New Haven School District,Mauro-Sheridan Magnet School,502,44,546,2012-13
0936011,0930011,New Haven School District,Metropolitan Business Academy,367,17,384,2012-13
0937011,0930011,New Haven School District,New Haven Academy,280,7,287,2012-13
0939211,0930011,New Haven School District,Polly T. McCabe Center,*,*,25,2012-13
0933511,0930011,New Haven School District,Quinnipiac Real World Math STEM School,208,57,265,2012-13
0939111,0930011,New Haven School District,Riverside Education Academy,104,9,113,2012-13
0934211,0930011,New Haven School District,Roberto Clemente Leadership Academy for Global Awareness,438,87,525,2012-13
0931011,0930011,New Haven School District,Ross/Woodward School,543,53,596,2012-13
0936711,0930011,New Haven School District,Sound School,*,*,334,2012-13
0932811,0930011,New Haven School District,Strong 21st Century Communications Magnet and SCSU Lab School,358,119,477,2012-13
0932911,0930011,New Haven School District,Truman School,315,181,496,2012-13
0934911,0930011,New Haven School District,West Rock Authors Academy,215,11,226,2012-13
0933211,0930011,New Haven School District,Wexler/Grant Community School,403,7,410,2012-13
0936111,0930011,New Haven School District,Wilbur Cross High School,1127,231,1358,2012-13
0933811,0930011,New Haven School District,Worthington Hooker School,369,44,413,2012-13
0950311,0950011,New London School District,Jennings School,319,211,530,2012-13
0955111,0950011,New London School District,Bennie Dover Jackson Middle School,470,123,593,2012-13
0950911,0950011,New London School District,Nathan Hale Arts Magnet School,393,73,466,2012-13
0959111,0950011,New London School District,New London Clinical Day Program,12,6,18,2012-13
0956111,0950011,New London School District,New London High School,775,158,933,2012-13
0950811,0950011,New London School District,Winthrop STEM Elementary Magnet School,470,58,528,2012-13
0960511,0960011,New Milford School District,Hill And Plain School,421,43,464,2012-13
0960711,0960011,New Milford School District,John Pettibone School,409,10,419,2012-13
0969011,0960011,New Milford School District,Litchfield Hills Transition Center,11,0,11,2012-13
0966111,0960011,New Milford School District,New Milford High School,1461,19,1480,2012-13
0960811,0960011,New Milford School District,Northville Elementary School,*,*,481,2012-13
0960911,0960011,New Milford School District,Sarah Noble Intermediate School,999,32,1031,2012-13
0965211,0960011,New Milford School District,Schaghticoke Middle School,702,12,714,2012-13
0940611,0940011,Newington School District,Anna Reynolds School,444,27,471,2012-13
0940211,0940011,Newington School District,Elizabeth Green School,294,10,304,2012-13
0940811,0940011,Newington School District,John Paterson School,423,26,449,2012-13
0945311,0940011,Newington School District,John Wallace Middle School,689,16,705,2012-13
0945111,0940011,Newington School District,Martin Kellogg Middle School,570,7,577,2012-13
0946111,0940011,Newington School District,Newington High School,1391,31,1422,2012-13
0940711,0940011,Newington School District,Ruth Chaffee School,364,30,394,2012-13
0970111,0970011,Newtown School District,Hawley Elementary School,*,*,361,2012-13
0970411,0970011,Newtown School District,Head O'Meadow Elementary School,*,*,339,2012-13
0970311,0970011,Newtown School District,Middle Gate Elementary School,*,*,451,2012-13
0976111,0970011,Newtown School District,Newtown High School,*,*,1760,2012-13
0975111,0970011,Newtown School District,Newtown Middle School,*,*,892,2012-13
0978011,0970011,Newtown School District,Newtown Preschool,56,0,56,2012-13
0970511,0970011,Newtown School District,Reed Intermediate School,*,*,819,2012-13
0979011,0970011,Newtown School District,STARR,*,0,*,2012-13
0970211,0970011,Newtown School District,Sandy Hook Elementary School,454,0,454,2012-13
0980111,0980011,Norfolk School District,Botelle Elementary School,116,0,116,2012-13
0989211,0980011,Norfolk School District,Bridges II,*,0,*,2012-13
0990411,0990011,North Branford School District,Jerome Harrison School,*,*,441,2012-13
0996111,0990011,North Branford School District,North Branford High School,630,6,636,2012-13
0995111,0990011,North Branford School District,North Branford Intermediate School,*,*,536,2012-13
0999011,0990011,North Branford School District,School to Work Program,*,0,*,2012-13
0990611,0990011,North Branford School District,Totoket Valley Elementary School,*,*,468,2012-13
1000111,1000011,North Canaan School District,North Canaan Elementary School,*,*,315,2012-13
1010811,1010011,North Haven School District,Clintonville Elementary School,369,8,377,2012-13
1010711,1010011,North Haven School District,Green Acres Elementary School,379,15,394,2012-13
1010211,1010011,North Haven School District,Montowese Elementary School,358,7,365,2012-13
1016111,1010011,North Haven School District,North Haven High School,1179,8,1187,2012-13
1015211,1010011,North Haven School District,North Haven Middle School,763,10,773,2012-13
1010311,1010011,North Haven School District,Ridge Road Elementary School,398,6,404,2012-13
1020111,1020011,North Stonington School District,North Stonington Elementary School,385,0,385,2012-13
1026111,1020011,North Stonington School District,Wheeler High School,203,0,203,2012-13
1025111,1020011,North Stonington School District,Wheeler Middle School,176,0,176,2012-13
1036211,1030011,Norwalk School District,Brien McMahon High School,1534,124,1658,2012-13
1030211,1030011,Norwalk School District,Brookside Elementary School,414,106,520,2012-13
1030311,1030011,Norwalk School District,Columbus Magnet School,315,13,328,2012-13
1030411,1030011,Norwalk School District,Cranbury Elementary School,455,48,503,2012-13
1032011,1030011,Norwalk School District,Fox Run Elementary School,413,43,456,2012-13
1030711,1030011,Norwalk School District,Jefferson Magnet School,458,121,579,2012-13
1030811,1030011,Norwalk School District,Kendall Elementary School,418,130,548,2012-13
1032211,1030011,Norwalk School District,Marvin Elementary School,388,96,484,2012-13
1032111,1030011,Norwalk School District,Naramake Elementary School,408,54,462,2012-13
1035211,1030011,Norwalk School District,Nathan Hale Middle School,574,36,610,2012-13
1036111,1030011,Norwalk School District,Norwalk High School,1441,98,1539,2012-13
1036311,1030011,Norwalk School District,Norwalk Pathways Academy at Briggs,46,6,52,2012-13
1035311,1030011,Norwalk School District,Ponus Ridge Middle School,558,53,611,2012-13
1035511,1030011,Norwalk School District,Roton Middle School,412,33,445,2012-13
1031311,1030011,Norwalk School District,Rowayton School,417,44,461,2012-13
1032311,1030011,Norwalk School District,Silvermine Elementary School,349,121,470,2012-13
1031411,1030011,Norwalk School District,Tracey School,299,95,394,2012-13
1035411,1030011,Norwalk School District,West Rocks Middle School,602,48,650,2012-13
1032411,1030011,Norwalk School District,Wolfpit School,268,34,302,2012-13
9016122,9010022,Norwich Free Academy District,Norwich Free Academy,2134,130,2264,2012-13
1040111,1040011,Norwich School District,Bishop School Early Learning Center,16,0,16,2012-13
1049111,1040011,Norwich School District,Deborah-Tennant Zinewicz  School,*,*,36,2012-13
1049011,1040011,Norwich School District,Hickory Street School,*,*,16,2012-13
1041411,1040011,Norwich School District,John B. Stanton Network School,318,94,412,2012-13
1045111,1040011,Norwich School District,Kelly Middle School,634,65,699,2012-13
1042011,1040011,Norwich School District,Moriarty Magnet School,354,92,446,2012-13
1040811,1040011,Norwich School District,Samuel Huntington School,435,28,463,2012-13
1045211,1040011,Norwich School District,Teachers' Memorial Middle School,396,55,451,2012-13
1041711,1040011,Norwich School District,Thomas W. Mahan School,316,23,339,2012-13
1041911,1040011,Norwich School District,Uncas Network School,242,35,277,2012-13
1041811,1040011,Norwich School District,Veterans' Memorial School,312,32,344,2012-13
1049211,1040011,Norwich School District,Virtual Learning Academy,14,0,14,2012-13
1041511,1040011,Norwich School District,Wequonnoc Magnet School,262,16,278,2012-13
2635113,2630013,Odyssey Community School District,Odyssey Community School,324,0,324,2012-13
1060211,1060011,Old Saybrook School District,Kathleen E. Goodwin School,404,11,415,2012-13
1065211,1060011,Old Saybrook School District,Old Saybrook Middle School,546,7,553,2012-13
1066111,1060011,Old Saybrook School District,Old Saybrook Senior High School,*,*,527,2012-13
1070211,1070011,Orange School District,Mary L. Tracy School,*,*,175,2012-13
1070511,1070011,Orange School District,Peck Place School,*,*,380,2012-13
1070311,1070011,Orange School District,Race Brook School,368,8,376,2012-13
1070411,1070011,Orange School District,Turkey Hill School,310,6,316,2012-13
1085111,1080011,Oxford School District,Great Oak School,*,*,529,2012-13
1080111,1080011,Oxford School District,Oxford Center School,500,7,507,2012-13
1086011,1080011,Oxford School District,Oxford High School,582,7,589,2012-13
1080311,1080011,Oxford School District,Quaker Farms School,460,10,470,2012-13
2835113,2830013,Park City Prep Charter School District,Park City Prep Charter School,*,*,251,2012-13
1098011,1090011,Plainfield School District,Early Childhood Center,18,0,18,2012-13
1090111,1090011,Plainfield School District,Moosup Elementary School,*,*,358,2012-13
1095111,1090011,Plainfield School District,Plainfield Central School,*,*,587,2012-13
1096111,1090011,Plainfield School District,Plainfield High School,733,7,740,2012-13
1090311,1090011,Plainfield School District,Plainfield Memorial School,*,*,386,2012-13
1090411,1090011,Plainfield School District,Shepard Hill Elementary School,*,*,403,2012-13
1100411,1100011,Plainville School District,Frank T. Wheeler School,237,30,267,2012-13
1100211,1100011,Plainville School District,Linden Street School,365,45,410,2012-13
1100511,1100011,Plainville School District,Louis Toffolon School,341,12,353,2012-13
1105211,1100011,Plainville School District,Middle School of Plainville,532,6,538,2012-13
1106111,1100011,Plainville School District,Plainville High School,*,*,741,2012-13
1108011,1100011,Plainville School District,Prekindergarten Program,*,*,48,2012-13
1115111,1110011,Plymouth School District,Eli Terry Jr. Middle School,*,*,422,2012-13
1110411,1110011,Plymouth School District,Harry S. Fisher Elementary School,*,*,334,2012-13
1110211,1110011,Plymouth School District,Plymouth Center School,*,*,360,2012-13
1116111,1110011,Plymouth School District,Terryville High School,*,*,490,2012-13
1120111,1120011,Pomfret School District,Pomfret Community School,*,*,472,2012-13
1130511,1130011,Portland School District,Brownstone Intermediate School,*,*,244,2012-13
1130411,1130011,Portland School District,Gildersleeve School,211,0,211,2012-13
1136111,1130011,Portland School District,Portland High School,*,*,374,2012-13
1135111,1130011,Portland School District,Portland Middle School,*,*,230,2012-13
1130211,1130011,Portland School District,Valley View School,304,12,316,2012-13
1145111,1140011,Preston School District,Preston Plains School,*,*,135,2012-13
1140411,1140011,Preston School District,Preston Veterans' Memorial School,263,8,271,2012-13
1169011,1160011,Putnam School District,Helping Hands,*,0,*,2012-13
1160311,1160011,Putnam School District,Putnam Elementary School,645,20,665,2012-13
1166111,1160011,Putnam School District,Putnam High School,*,*,294,2012-13
1165111,1160011,Putnam School District,Putnam Middle School,292,7,299,2012-13
1175111,1170011,Redding School District,John Read Middle School,*,*,553,2012-13
1170111,1170011,Redding School District,Redding Elementary School,572,7,579,2012-13
2016112,2010012,Regional School District 01,Housatonic Valley Regional High School,*,*,421,2012-13
2045112,2040012,Regional School District 04,John Winthrop Middle School,*,*,366,2012-13
2046112,2040012,Regional School District 04,Valley Regional High School,*,*,624,2012-13
2055112,2050012,Regional School District 05,Amity Middle School: Bethany,*,*,355,2012-13
2055212,2050012,Regional School District 05,Amity Middle School: Orange,*,*,372,2012-13
2056112,2050012,Regional School District 05,Amity Regional High School,1612,9,1621,2012-13
2068112,2060012,Regional School District 06,Early Childhood Learning Center,41,0,41,2012-13
2060112,2060012,Regional School District 06,Goshen Center School,*,*,191,2012-13
2060212,2060012,Regional School District 06,James Morris School,*,*,158,2012-13
2066112,2060012,Regional School District 06,Wamogo Regional High School,*,*,561,2012-13
2060312,2060012,Regional School District 06,Warren Elementary School,78,0,78,2012-13
2079112,2070012,Regional School District 07,AIM,15,0,15,2012-13
2079012,2070012,Regional School District 07,FLEX,6,0,6,2012-13
2079412,2070012,Regional School District 07,Intensive Learning Program,*,0,*,2012-13
2079212,2070012,Regional School District 07,Links,13,0,13,2012-13
2076112,2070012,Regional School District 07,Northwestern Regional High School,714,0,714,2012-13
2075112,2070012,Regional School District 07,Northwestern Regional Middle School,360,0,360,2012-13
2079312,2070012,Regional School District 07,STEP,17,0,17,2012-13
2086112,2080012,Regional School District 08,RHAM High School,*,*,1133,2012-13
2085112,2080012,Regional School District 08,RHAM Middle School,627,0,627,2012-13
2086212,2080012,Regional School District 08,Region Alternative High School,7,0,7,2012-13
2096112,2090012,Regional School District 09,Joel Barlow High School,*,*,1012,2012-13
2105112,2100012,Regional School District 10,Har-Bur Middle School,*,*,850,2012-13
2100312,2100012,Regional School District 10,Harwinton Consolidated School,*,*,464,2012-13
2100212,2100012,Regional School District 10,Lake Garda Elementary School,493,15,508,2012-13
2106112,2100012,Regional School District 10,Lewis S. Mills High School,*,*,802,2012-13
2116112,2110012,Regional School District 11,Parish Hill High School,280,0,280,2012-13
2120212,2120012,Regional School District 12,Booth Free School,94,0,94,2012-13
2128012,2120012,Regional School District 12,Early Childhood Education Center,21,0,21,2012-13
2126112,2120012,Regional School District 12,Shepaug Valley High School,320,0,320,2012-13
2125112,2120012,Regional School District 12,Shepaug Valley Middle School,*,*,199,2012-13
2120112,2120012,Regional School District 12,The Burnham School,69,0,69,2012-13
2120412,2120012,Regional School District 12,Washington Primary School,*,*,138,2012-13
2136112,2130012,Regional School District 13,Coginchaug Regional High School,*,*,577,2012-13
2130212,2130012,Regional School District 13,Francis E. Korn School,*,*,174,2012-13
2135112,2130012,Regional School District 13,Frank Ward Strong School,*,*,334,2012-13
2130112,2130012,Regional School District 13,Frederick Brewster School,*,*,242,2012-13
2130512,2130012,Regional School District 13,John Lyman School,*,*,283,2012-13
2130412,2130012,Regional School District 13,Middlefield Memorial School,*,*,343,2012-13
2140112,2140012,Regional School District 14,Bethlehem Elementary School,*,*,281,2012-13
2148012,2140012,Regional School District 14,Integrated Star Preschool Program,46,0,46,2012-13
2140212,2140012,Regional School District 14,Mitchell Elementary School,372,7,379,2012-13
2146112,2140012,Regional School District 14,Nonnewaug High School,*,*,806,2012-13
2145112,2140012,Regional School District 14,Woodbury Middle School,411,0,411,2012-13
2150412,2150012,Regional School District 15,Gainfield Elementary School,*,*,374,2012-13
2150712,2150012,Regional School District 15,Long Meadow Elementary School,556,6,562,2012-13
2155212,2150012,Regional School District 15,Memorial Middle School,*,*,486,2012-13
2150612,2150012,Regional School District 15,Middlebury Elementary School,411,10,421,2012-13
2156212,2150012,Regional School District 15,Pomperaug Regional High School,*,*,1259,2012-13
2150512,2150012,Regional School District 15,Pomperaug School,*,*,447,2012-13
2155112,2150012,Regional School District 15,Rochambeau Middle School,*,*,526,2012-13
2160312,2160012,Regional School District 16,Algonquin School,453,10,463,2012-13
2160212,2160012,Regional School District 16,Community School,*,*,214,2012-13
2160112,2160012,Regional School District 16,Laurel Ledge School,454,7,461,2012-13
2165112,2160012,Regional School District 16,Long River Middle School,550,7,557,2012-13
2166012,2160012,Regional School District 16,Woodland Regional High School,*,*,720,2012-13
2170212,2170012,Regional School District 17,Burr District Elementary School,319,0,319,2012-13
2170112,2170012,Regional School District 17,Haddam Elementary School,*,*,252,2012-13
2176112,2170012,Regional School District 17,Haddam-Killingworth High School,*,*,634,2012-13
2175112,2170012,Regional School District 17,Haddam-Killingworth Middle School,*,*,768,2012-13
2170312,2170012,Regional School District 17,Killingworth Elementary School,339,0,339,2012-13
2180312,2180012,Regional School District 18,Center School,*,*,261,2012-13
2180112,2180012,Regional School District 18,Lyme Consolidated School,188,0,188,2012-13
2186112,2180012,Regional School District 18,Lyme-Old Lyme High School,421,0,421,2012-13
2185112,2180012,Regional School District 18,Lyme-Old Lyme Middle School,360,0,360,2012-13
2180212,2180012,Regional School District 18,Mile Creek School,203,13,216,2012-13
2196112,2190012,Regional School District 19,E. O. Smith High School,1203,20,1223,2012-13
1180811,1180011,Ridgefield School District,Barlow Mountain Elementary School,*,*,362,2012-13
1180611,1180011,Ridgefield School District,Branchville Elementary School,397,8,405,2012-13
1185111,1180011,Ridgefield School District,East Ridge Middle School,771,6,777,2012-13
1180411,1180011,Ridgefield School District,Farmingville Elementary School,354,7,361,2012-13
1180311,1180011,Ridgefield School District,Ridgebury Elementary School,*,*,393,2012-13
1189011,1180011,Ridgefield School District,Ridgefield 18-21 Transition Program,*,0,*,2012-13
1186111,1180011,Ridgefield School District,Ridgefield High School,1750,9,1759,2012-13
1180511,1180011,Ridgefield School District,Scotland Elementary School,377,8,385,2012-13
1185211,1180011,Ridgefield School District,Scotts Ridge Middle School,*,*,495,2012-13
1180211,1180011,Ridgefield School District,Veterans Park Elementary School,*,*,337,2012-13
1195111,1190011,Rocky Hill School District,Albert D. Griswold Middle School,553,10,563,2012-13
1190411,1190011,Rocky Hill School District,Myrtle H. Stevens School,503,33,536,2012-13
1196111,1190011,Rocky Hill School District,Rocky Hill High School,721,11,732,2012-13
1190511,1190011,Rocky Hill School District,West Hill School,595,36,631,2012-13
1210111,1210011,Salem School District,Salem Elementary School,*,*,422,2012-13
1220111,1220011,Salisbury School District,Salisbury Central School,309,0,309,2012-13
1230111,1230011,Scotland School District,Scotland Elementary School,127,0,127,2012-13
1240111,1240011,Seymour School District,Bungay School,480,27,507,2012-13
1240211,1240011,Seymour School District,Chatfield-LoPresti School,552,18,570,2012-13
1246111,1240011,Seymour School District,Seymour High School,603,7,610,2012-13
1245111,1240011,Seymour School District,Seymour Middle School,589,10,599,2012-13
1250111,1250011,Sharon School District,Sharon Center School,188,0,188,2012-13
1260911,1260011,Shelton School District,Mohegan School,307,19,326,2012-13
1261011,1260011,Shelton School District,Booth Hill School,304,19,323,2012-13
1260511,1260011,Shelton School District,Elizabeth Shelton School,435,25,460,2012-13
1265111,1260011,Shelton School District,Intermediate School,865,10,875,2012-13
1260811,1260011,Shelton School District,Long Hill School,393,58,451,2012-13
1261111,1260011,Shelton School District,Perry Hill Elementary School,845,17,862,2012-13
1266111,1260011,Shelton School District,Shelton High School,1554,24,1578,2012-13
1260611,1260011,Shelton School District,Sunnyside School,211,26,237,2012-13
1270111,1270011,Sherman School District,Sherman School,*,*,383,2012-13
2700113,2700013,Side By Side Charter School District,Side By Side Charter School,220,13,233,2012-13
1280111,1280011,Simsbury School District,Central School,391,6,397,2012-13
1285111,1280011,Simsbury School District,Henry James Memorial School,*,*,748,2012-13
1280611,1280011,Simsbury School District,Latimer Lane School,435,9,444,2012-13
1286111,1280011,Simsbury School District,Simsbury High School,1550,9,1559,2012-13
1280711,1280011,Simsbury School District,Squadron Line School,649,10,659,2012-13
1280311,1280011,Simsbury School District,Tariffville School,279,7,286,2012-13
1280411,1280011,Simsbury School District,Tootin' Hills School,429,6,435,2012-13
1295111,1290011,Somers School District,Mabelle B. Avery Middle School,363,0,363,2012-13
1290411,1290011,Somers School District,Somers Elementary School,*,*,674,2012-13
1296111,1290011,Somers School District,Somers High School,*,*,540,2012-13
1320211,1320011,South Windsor School District,Pleasant Valley School,348,12,360,2012-13
1320711,1320011,South Windsor School District,Eli Terry School,402,21,423,2012-13
1320611,1320011,South Windsor School District,Orchard Hill School,345,21,366,2012-13
1320111,1320011,South Windsor School District,Philip R. Smith School,331,12,343,2012-13
1329011,1320011,South Windsor School District,Project Worth Young Adult Academy,*,0,*,2012-13
1326211,1320011,South Windsor School District,South Windsor High School,1399,10,1409,2012-13
1325111,1320011,South Windsor School District,Timothy Edwards School,*,*,1065,2012-13
1320411,1320011,South Windsor School District,Wapping Elementary School,290,16,306,2012-13
1315311,1310011,Southington School District,John F. Kennedy Middle School,838,7,845,2012-13
1311511,1310011,Southington School District,Derynoski Elementary School,645,21,666,2012-13
1311311,1310011,Southington School District,Flanders Elementary School,267,13,280,2012-13
1310211,1310011,Southington School District,Hatton Elementary School,445,13,458,2012-13
1315111,1310011,Southington School District,Joseph A. Depaolo Middle School,727,8,735,2012-13
1310611,1310011,Southington School District,Plantsville Elementary School,277,6,283,2012-13
1310711,1310011,Southington School District,South End Elementary School,226,9,235,2012-13
1316211,1310011,Southington School District,Southington High School,2024,13,2037,2012-13
1310811,1310011,Southington School District,Strong Elementary School,346,10,356,2012-13
1310911,1310011,Southington School District,Thalberg Elementary School,412,16,428,2012-13
1311411,1310011,Southington School District,Urbin T. Kelley School,367,7,374,2012-13
1330111,1330011,Sprague School District,Sayles School,*,*,370,2012-13
1340611,1340011,Stafford School District,Stafford Elementary School,*,*,477,2012-13
1346111,1340011,Stafford School District,Stafford High School,*,*,480,2012-13
1345211,1340011,Stafford School District,Stafford Middle School,*,*,383,2012-13
1340311,1340011,Stafford School District,Staffordville School,*,*,178,2012-13
1340411,1340011,Stafford School District,West Stafford School,*,*,198,2012-13
2826013,2820013,Stamford Academy District,Stamford Academy,138,0,138,2012-13
1355611,1350011,Stamford School District,Cloonan School,546,51,597,2012-13
1352011,1350011,Stamford School District,Davenport Ridge School,446,96,542,2012-13
1355311,1350011,Stamford School District,Dolan School,471,60,531,2012-13
1352211,1350011,Stamford School District,Hart School,502,85,587,2012-13
1351211,1350011,Stamford School District,Julia A. Stark School,514,98,612,2012-13
1350511,1350011,Stamford School District,K. T. Murphy School,450,106,556,2012-13
1350611,1350011,Stamford School District,Newfield School,570,120,690,2012-13
1351811,1350011,Stamford School District,Northeast School,552,134,686,2012-13
1358011,1350011,Stamford School District,Preschool Team,48,0,48,2012-13
1355811,1350011,Stamford School District,Rippowam Middle School,585,69,654,2012-13
1350811,1350011,Stamford School District,Rogers International School,732,91,823,2012-13
1350911,1350011,Stamford School District,Roxbury School,549,98,647,2012-13
1355711,1350011,Stamford School District,Scofield Middle School,572,52,624,2012-13
1351111,1350011,Stamford School District,Springdale School,533,121,654,2012-13
1356111,1350011,Stamford School District,Stamford High School,1757,195,1952,2012-13
1352111,1350011,Stamford School District,Stillmeadow School,661,106,767,2012-13
