"school_code","district_code","district","school","grade","2011_12","2012_13","2013_14","2014_15","2015_16"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Grade   1","9.1","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Grade   2","*","15.3","9.7","*","8.6"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Grade   3","8.2","8.5","16.2","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Grade   4","8.2","8.3","10.8","10.8","8.5"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Grade   5","*","*","9.5","*","11.0"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Grade   6","*","9.7","10.7","11.1","9.7"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Grade   7","*","*","14.7","14.3","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Grade   8","16.4","*","12.5","12.5","10.4"
"0030111","0030011","Ashford School District","Ashford School","Kindergarten","10.9","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","Grade   1","*","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","Grade   2","*","*","0.0","*","14.0"
"0030111","0030011","Ashford School District","Ashford School","Grade   3","*","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","Grade   4","*","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","Grade   5","*","*","*","*","0.0"
"0030111","0030011","Ashford School District","Ashford School","Grade   6","12.0","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","Grade   7","*","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","Grade   8","13.7","13.2","16.7","12.2","0.0"
"0046111","0040011","Avon School District","Avon High School","Grade   9","*","6.9","3.4","4.5","5.5"
"0046111","0040011","Avon School District","Avon High School","Grade 10","3.9","*","4.0","3.5","5.7"
"0046111","0040011","Avon School District","Avon High School","Grade 11","3.8","4.0","5.2","4.9","5.2"
"0046111","0040011","Avon School District","Avon High School","Grade 12","*","*","2.5","6.1","4.5"
"0045111","0040011","Avon School District","Avon Middle School","Grade   7","4.1","3.5","6.2","0.0","2.2"
"0045111","0040011","Avon School District","Avon Middle School","Grade   8","7.6","6.5","4.2","*","4.3"
"0040411","0040011","Avon School District","Pine Grove School","Kindergarten","8.9","9.1","*","0.0","8.0"
"0040411","0040011","Avon School District","Pine Grove School","Grade   1","*","6.0","*","0.0","6.0"
"0040411","0040011","Avon School District","Pine Grove School","Grade   2","*","7.5","5.7","0.0","*"
"0040411","0040011","Avon School District","Pine Grove School","Grade   3","5.4","*","5.3","0.0","*"
"0040411","0040011","Avon School District","Pine Grove School","Grade   4","5.5","*","5.3","0.0","*"
"0040311","0040011","Avon School District","Roaring Brook School","Kindergarten","7.3","7.6","10.2","7.5","18.4"
"0040311","0040011","Avon School District","Roaring Brook School","Grade   1","*","6.0","6.4","5.6","7.2"
"0040311","0040011","Avon School District","Roaring Brook School","Grade   2","*","*","*","5.6","*"
"0040311","0040011","Avon School District","Roaring Brook School","Grade   3","*","5.3","6.8","*","*"
"0040311","0040011","Avon School District","Roaring Brook School","Grade   4","*","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","Grade   5","6.4","6.0","4.4","5.0","3.3"
"0040511","0040011","Avon School District","Thompson Brook School","Grade   6","3.9","6.3","5.3","4.0","2.9"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Kindergarten","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Grade   1","*","*","*","0.0","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Grade   2","0.0","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Grade   3","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Grade   4","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Grade   5","*","*","0.0","0.0","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Grade   6","*","*","*","0.0","0.0"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","Grade   4","","","","","*"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","Grade   5","","","","","*"
