"school_id","year","start_time","end_time"
"0350711","201314","09:00 AM","03:30 PM"
"0350711","201415","09:00 AM","03:30 PM"
"0350711","201516","09:00 AM","03:30 PM"
"0351311","201314","09:00 AM","03:30 PM"
"0351311","201415","09:00 AM","03:30 PM"
"0351311","201516","09:00 AM","03:30 PM"
"0355111","201314","07:55 AM","02:22 PM"
"0355111","201415","07:55 AM","02:22 PM"
"0355111","201516","07:55 AM","02:22 PM"
"0356111","201314","07:40 AM","02:17 PM"
"0356111","201415","07:40 AM","02:17 PM"
"0356111","201516","07:40 AM","02:20 PM"
"0360111","201314","08:25 AM","03:00 PM"
"0360111","201415","08:25 AM","03:00 PM"
"0360111","201516","08:25 AM","03:00 PM"
"0370111","201516","09:00 AM","03:00 PM"
"0370411","201314","09:00 AM","03:25 PM"
"0370411","201415","09:00 AM","03:25 PM"
"0370411","201516","09:00 AM","03:25 PM"
"0370611","201314","08:00 AM","02:25 PM"
"0370611","201415","08:00 AM","02:30 PM"
"0370611","201516","08:00 AM","02:30 PM"
"0375011","201314","08:30 AM","02:55 PM"
"0375011","201415","08:30 AM","02:55 PM"
"0375011","201516","08:30 AM","02:55 PM"
"0376111","201314","07:30 AM","01:55 PM"
"0376111","201415","07:30 AM","01:55 PM"
"0376111","201516","07:30 AM","01:55 PM"
"0390111","201314","08:15 AM","03:15 PM"
"0390111","201415","08:15 AM","03:15 PM"
"0390111","201516","08:15 AM","03:15 PM"
"0400111","201314","08:35 AM","03:05 PM"
"0400111","201415","08:35 AM","03:05 PM"
"0400111","201516","08:35 AM","03:05 PM"
"0400211","201314","08:30 AM","03:00 PM"
"0400211","201415","08:30 AM","03:00 PM"
"0400211","201516","08:30 AM","03:00 PM"
"0405111","201314","07:40 AM","02:10 PM"
"0405111","201415","07:40 AM","02:10 PM"
"0405111","201516","07:40 AM","02:10 PM"
"0406111","201314","07:40 AM","02:10 PM"
"0406111","201415","07:40 AM","02:10 PM"
"0406111","201516","07:40 AM","02:10 PM"
"0410111","201314","08:45 AM","03:25 PM"
"0410111","201415","08:45 AM","03:25 PM"
"0410111","201516","08:45 AM","03:25 PM"
"0415111","201314","07:40 AM","02:10 PM"
"0415111","201415","07:40 AM","02:10 PM"
"0415111","201516","07:40 AM","02:10 PM"
"0416111","201314","07:30 AM","02:00 PM"
"0416111","201415","07:30 AM","02:00 PM"
"0416111","201516","07:30 AM","02:00 PM"
"0420111","201314","08:40 AM","03:10 PM"
"0420111","201415","08:40 AM","03:10 PM"
"0420111","201516","08:40 AM","03:10 PM"
"0420311","201314","08:40 AM","03:10 PM"
"0420311","201415","08:40 AM","03:10 PM"
"0420311","201516","08:40 AM","03:10 PM"
"0425111","201314","07:45 AM","02:35 PM"
"0425111","201415","07:45 AM","02:35 PM"
"0425111","201516","07:45 AM","02:35 PM"
"0426111","201314","07:35 AM","02:15 PM"
"0426111","201415","07:35 AM","02:15 PM"
"0426111","201516","07:35 AM","02:15 PM"
"0430411","201314","07:55 AM","02:45 PM"
"0430411","201415","07:55 AM","02:45 PM"
"0430411","201516","08:10 AM","02:45 PM"
"0430511","201314","08:45 AM","03:20 PM"
"0430511","201415","08:45 AM","03:20 PM"
"0430511","201516","08:45 AM","03:20 PM"
"0430611","201314","08:45 AM","03:20 PM"
"0430611","201415","08:45 AM","03:20 PM"
"0430611","201516","08:45 AM","03:20 PM"
"0430911","201314","08:45 AM","03:20 PM"
"0430911","201415","08:45 AM","03:20 PM"
"0430911","201516","08:45 AM","03:20 PM"
"0431011","201314","08:00 AM","04:25 PM"
"0431011","201415","08:00 AM","04:25 PM"
"0431011","201516","08:00 AM","04:25 PM"
"0431211","201314","08:45 AM","03:20 PM"
"0431211","201415","08:45 AM","03:20 PM"
