"school_id","year","attendance"
"0511411","201314",497
"0511411","201415",460
"0511411","201516",440
"0511611","201314",444
"0511611","201415",441
"0511611","201516",415
"0511711","201314",327
"0511711","201415",324
"0511711","201516",320
"0511811","201314",526
"0511811","201415",503
"0511811","201516",489
"0515111","201314",698
"0515111","201415",720
"0515111","201516",685
"0515211","201314",926
"0515211","201415",915
"0515211","201516",886
"0515311","201314",860
"0515311","201415",805
"0515311","201516",802
"0516011","201314",1509
"0516011","201415",1541
"0516011","201516",1508
"0516211","201314",1459
"0516211","201415",1442
"0516211","201516",1518
"0520111","201314",316
"0520111","201415",305
"0520111","201516",322
"0520211","201314",338
"0520211","201415",334
"0520211","201516",363
"0520311","201314",341
"0520311","201415",315
"0520311","201516",300
"0520411","201314",433
"0520411","201415",445
"0520411","201516",443
"0520511","201314",620
"0520511","201415",673
"0520511","201516",663
"0525111","201314",571
"0525111","201415",570
"0525111","201516",623
"0526111","201314",1314
"0526111","201415",1264
"0526111","201516",1220
"0530111","201314",181
"0530111","201415",167
"0530111","201516",167
"0540211","201314",479
"0540211","201415",450
"0540211","201516",459
"0540311","201314",294
"0540311","201415",260
"0540311","201516",256
"0540411","201314",441
"0540411","201415",397
"0540411","201516",400
"0540611","201314",438
"0540611","201415",411
"0540611","201516",386
"0540711","201314",413
"0540711","201415",387
"0540711","201516",361
"0540811","201314",509
"0540811","201415",519
"0540811","201516",479
"0540911","201314",609
"0540911","201415",550
"0540911","201516",553
"0545211","201314",1034
"0545211","201415",1031
"0545211","201516",1036
"0546111","201314",2140
"0546111","201415",2038
"0546111","201516",2037
"0560111","201314",390
"0560111","201415",378
"0560111","201516",408
"0560311","201314",288
"0560311","201415",283
"0560311","201516",261
"0560411","201314",316
"0560411","201415",280
"0560411","201516",271
"0565111","201314",332
"0565111","201415",330
"0565111","201516",312
"0566111","201314",724
"0566111","201415",683
"0566111","201516",694
"0570211","201314",444
"0570211","201415",438
"0570211","201516",437
"0570311","201314",344
"0570311","201415",369
"0570311","201516",361
"0570411","201314",405
"0570411","201415",424
"0570411","201516",451
"0570511","201314",386
"0570511","201415",391
"0570511","201516",364
"0570611","201314",264
"0570611","201415",264
"0570611","201516",265
"0570711","201314",447
"0570711","201415",487
"0570711","201516",482
"0570811","201314",394
"0570811","201415",384
"0570811","201516",392
"0570911","201314",428
"0570911","201415",432
"0570911","201516",449
"0571011","201314",496
"0571011","201415",497
"0571011","201516",483
"0571111","201314",265
"0571111","201415",258
"0571111","201516",261
"0571311","201314",378
"0571311","201415",370
"0571311","201516",368
"0575111","201314",595
"0575111","201415",578
"0575111","201516",567
"0575211","201314",779
"0575211","201415",811
"0575211","201516",822
"0575311","201314",504
"0575311","201415",532
"0575311","201516",535
"0576111","201314",2636
"0576111","201415",2501
"0576111","201516",2534
"0580111","201415",15
"0580111","201516",14
"0580311","201314",786
"0580311","201415",756
"0580311","201516",757
"0585111","201314",577
"0585111","201415",547
"0585111","201516",545
"0586211","201314",602
"0586211","201415",571
"0586211","201516",565
"0590111","201314",333
"0590111","201415",309
"0590111","201516",282
"0590311","201314",362
"0590311","201415",356
"0590311","201516",331
"0591211","201314",294
"0591211","201415",287
"0591211","201516",296
"0591711","201314",422
"0591711","201415",396
"0591711","201516",376
"0591811","201314",385
"0591811","201415",358
"0591811","201516",383
"0591911","201314",410
"0591911","201415",399
"0591911","201516",379
"0592011","201314",411
"0592011","201415",400
"0592011","201516",396
"0595211","201314",480
"0595211","201415",473
"0595211","201516",455
"0595311","201314",449
"0595311","201415",461
"0595311","201516",495
"0596111","201314",1123
"0596111","201415",1089
"0596111","201516",1070
"0600211","201314",343
"0600211","201415",329
"0600211","201516",322
"0600311","201314",337
"0600311","201415",318
"0600311","201516",321
"0600411","201314",287
"0600411","201415",262
"0600411","201516",254
"0600611","201314",313
"0600611","201415",322
"0600611","201516",302
"0600711","201314",580
"0600711","201415",534
"0600711","201516",559
"0605111","201314",583
"0605111","201415",559
"0605111","201516",552
"0606111","201314",1067
"0606111","201415",1076
"0606111","201516",1083
"0620111","201314",328
"0620111","201415",320
"0620111","201516",304
"0620211","201314",352
"0620211","201415",327
"0620211","201516",333
"0620311","201314",309
"0620311","201415",296
"0620311","201516",274
"0620411","201314",330
"0620411","201415",331
"0620411","201516",316
"0621011","201314",435
"0621011","201415",434
"0621011","201516",445
"0621111","201314",299
"0621111","201415",322
"0621111","201516",317
"0621211","201314",449
"0621211","201415",448
"0621211","201516",456
"0621411","201314",450
"0621411","201415",430
"0621411","201516",408
"0625211","201314",865
"0625211","201415",803
"0625211","201516",816
