"category","fte","school_id","year"
"Instructional Specialists Who Support Teachers ",2,"0643611","201314"
"Counselors, Social Workers and School Psychologists ",3.1,"0643611","201314"
"School Nurses ",0.5,"0643611","201314"
"Other Staff Providing Non-Instructional Services/Support ",12.5,"0643611","201314"
"General Education: Teachers and Instructors ",31.6,"0643611","201415"
"General Education: Paraprofessional Instructional Assistants ",1,"0643611","201415"
"Special Education: Teachers and Instructors ",3,"0643611","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8,"0643611","201415"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0643611","201415"
"Library/Media: Specialists (Certified) ",0.5,"0643611","201415"
"Support Staff ",0,"0643611","201415"
"Instructional Specialists Who Support Teachers ",2,"0643611","201415"
"Counselors, Social Workers and School Psychologists ",3,"0643611","201415"
"School Nurses ",0.5,"0643611","201415"
"Other Staff Providing Non-Instructional Services/Support ",13,"0643611","201415"
"General Education: Teachers and Instructors ",43.1,"0643611","201516"
"General Education: Paraprofessional Instructional Assistants ",2,"0643611","201516"
"Special Education: Teachers and Instructors ",4,"0643611","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",9,"0643611","201516"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0643611","201516"
"Library/Media: Specialists (Certified) ",0.5,"0643611","201516"
"Support Staff ",0,"0643611","201516"
"Instructional Specialists Who Support Teachers ",2,"0643611","201516"
"Counselors, Social Workers and School Psychologists ",3,"0643611","201516"
"School Nurses ",1.5,"0643611","201516"
"Other Staff Providing Non-Instructional Services/Support ",16,"0643611","201516"
"General Education: Teachers and Instructors ",14.2,"0643711","201314"
"General Education: Paraprofessional Instructional Assistants ",14,"0643711","201314"
"Special Education: Teachers and Instructors ",0.5,"0643711","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",1,"0643711","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0643711","201314"
"Library/Media: Specialists (Certified) ",0.5,"0643711","201314"
"Support Staff ",0,"0643711","201314"
"Instructional Specialists Who Support Teachers ",2.2,"0643711","201314"
"Counselors, Social Workers and School Psychologists ",0.1,"0643711","201314"
"School Nurses ",0.5,"0643711","201314"
"Other Staff Providing Non-Instructional Services/Support ",7.5,"0643711","201314"
"General Education: Teachers and Instructors ",11.7,"0643711","201415"
"General Education: Paraprofessional Instructional Assistants ",13,"0643711","201415"
"Special Education: Teachers and Instructors ",1,"0643711","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",0,"0643711","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643711","201415"
"Library/Media: Specialists (Certified) ",0.5,"0643711","201415"
"Support Staff ",0,"0643711","201415"
"Instructional Specialists Who Support Teachers ",5,"0643711","201415"
"Counselors, Social Workers and School Psychologists ",0.6,"0643711","201415"
"School Nurses ",0.5,"0643711","201415"
"Other Staff Providing Non-Instructional Services/Support ",8.5,"0643711","201415"
"General Education: Teachers and Instructors ",13.8,"0643711","201516"
"General Education: Paraprofessional Instructional Assistants ",12,"0643711","201516"
"Special Education: Teachers and Instructors ",2,"0643711","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",0,"0643711","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643711","201516"
"Library/Media: Specialists (Certified) ",0.5,"0643711","201516"
"Support Staff ",0,"0643711","201516"
"Instructional Specialists Who Support Teachers ",2.5,"0643711","201516"
"Counselors, Social Workers and School Psychologists ",0.6,"0643711","201516"
"School Nurses ",0.5,"0643711","201516"
"Other Staff Providing Non-Instructional Services/Support ",8.5,"0643711","201516"
"General Education: Teachers and Instructors ",11.2,"0643811","201314"
"General Education: Paraprofessional Instructional Assistants ",1,"0643811","201314"
"Special Education: Teachers and Instructors ",1,"0643811","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",1,"0643811","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0643811","201314"
"Library/Media: Specialists (Certified) ",0,"0643811","201314"
"Support Staff ",0,"0643811","201314"
"Instructional Specialists Who Support Teachers ",2.2,"0643811","201314"
"Counselors, Social Workers and School Psychologists ",1.2,"0643811","201314"
"School Nurses ",1,"0643811","201314"
"Other Staff Providing Non-Instructional Services/Support ",5,"0643811","201314"
"General Education: Teachers and Instructors ",13.3,"0643811","201415"
"General Education: Paraprofessional Instructional Assistants ",2,"0643811","201415"
"Special Education: Teachers and Instructors ",1,"0643811","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",2,"0643811","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0643811","201415"
"Library/Media: Specialists (Certified) ",0,"0643811","201415"
"Support Staff ",0,"0643811","201415"
"Instructional Specialists Who Support Teachers ",2,"0643811","201415"
"Counselors, Social Workers and School Psychologists ",1.2,"0643811","201415"
"School Nurses ",1,"0643811","201415"
"Other Staff Providing Non-Instructional Services/Support ",9,"0643811","201415"
"General Education: Teachers and Instructors ",18,"0643811","201516"
"General Education: Paraprofessional Instructional Assistants ",3,"0643811","201516"
"Special Education: Teachers and Instructors ",2,"0643811","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",3,"0643811","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643811","201516"
"Library/Media: Specialists (Certified) ",0,"0643811","201516"
"Support Staff ",0,"0643811","201516"
"Instructional Specialists Who Support Teachers ",4,"0643811","201516"
"Counselors, Social Workers and School Psychologists ",1.2,"0643811","201516"
"School Nurses ",1,"0643811","201516"
"Other Staff Providing Non-Instructional Services/Support ",11,"0643811","201516"
"General Education: Teachers and Instructors ",3,"0643911","201415"
"General Education: Paraprofessional Instructional Assistants ",0,"0643911","201415"
"Special Education: Teachers and Instructors ",0.3,"0643911","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",0,"0643911","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0643911","201415"
"Library/Media: Specialists (Certified) ",0,"0643911","201415"
"Support Staff ",0,"0643911","201415"
"Instructional Specialists Who Support Teachers ",0,"0643911","201415"
"Counselors, Social Workers and School Psychologists ",0,"0643911","201415"
"School Nurses ",0.5,"0643911","201415"
"Other Staff Providing Non-Instructional Services/Support ",1,"0643911","201415"
"General Education: Teachers and Instructors ",4,"0643911","201516"
"General Education: Paraprofessional Instructional Assistants ",0,"0643911","201516"
"Special Education: Teachers and Instructors ",0,"0643911","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",0,"0643911","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0643911","201516"
"Library/Media: Specialists (Certified) ",0,"0643911","201516"
"Support Staff ",0,"0643911","201516"
"Instructional Specialists Who Support Teachers ",0,"0643911","201516"
"Counselors, Social Workers and School Psychologists ",0,"0643911","201516"
"School Nurses ",0.5,"0643911","201516"
"Other Staff Providing Non-Instructional Services/Support ",2,"0643911","201516"
"General Education: Teachers and Instructors ",9.8,"0644011","201314"
"General Education: Paraprofessional Instructional Assistants ",0,"0644011","201314"
"Special Education: Teachers and Instructors ",0,"0644011","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",1,"0644011","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0644011","201314"
"Library/Media: Specialists (Certified) ",0,"0644011","201314"
"Support Staff ",0,"0644011","201314"
"Instructional Specialists Who Support Teachers ",0,"0644011","201314"
"Counselors, Social Workers and School Psychologists ",1,"0644011","201314"
"School Nurses ",0.5,"0644011","201314"
"Other Staff Providing Non-Instructional Services/Support ",4,"0644011","201314"
"General Education: Teachers and Instructors ",9.5,"0644011","201415"
"General Education: Paraprofessional Instructional Assistants ",0,"0644011","201415"
"Special Education: Teachers and Instructors ",0.3,"0644011","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",1,"0644011","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0644011","201415"
"Library/Media: Specialists (Certified) ",0,"0644011","201415"
"Support Staff ",0,"0644011","201415"
"Instructional Specialists Who Support Teachers ",0.1,"0644011","201415"
"Counselors, Social Workers and School Psychologists ",0.5,"0644011","201415"
"School Nurses ",0.5,"0644011","201415"
"Other Staff Providing Non-Instructional Services/Support ",4,"0644011","201415"
"General Education: Teachers and Instructors ",8,"0644011","201516"
"General Education: Paraprofessional Instructional Assistants ",0,"0644011","201516"
"Special Education: Teachers and Instructors ",0,"0644011","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",1,"0644011","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0644011","201516"
"Library/Media: Specialists (Certified) ",0,"0644011","201516"
"Support Staff ",0,"0644011","201516"
"Instructional Specialists Who Support Teachers ",0,"0644011","201516"
"Counselors, Social Workers and School Psychologists ",0.2,"0644011","201516"
"School Nurses ",1,"0644011","201516"
"Other Staff Providing Non-Instructional Services/Support ",4,"0644011","201516"
"General Education: Teachers and Instructors ",76.4,"0645411","201314"
"General Education: Paraprofessional Instructional Assistants ",0,"0645411","201314"
"Special Education: Teachers and Instructors ",6,"0645411","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11,"0645411","201314"
"Administrators, Coordinators and Department Chairs: School Level ",4,"0645411","201314"
"Library/Media: Specialists (Certified) ",0,"0645411","201314"
"Support Staff ",0,"0645411","201314"
"Instructional Specialists Who Support Teachers ",5,"0645411","201314"
"Counselors, Social Workers and School Psychologists ",4,"0645411","201314"
"School Nurses ",1,"0645411","201314"
"Other Staff Providing Non-Instructional Services/Support ",20.5,"0645411","201314"
"General Education: Teachers and Instructors ",73,"0645411","201415"
"General Education: Paraprofessional Instructional Assistants ",1,"0645411","201415"
"Special Education: Teachers and Instructors ",7,"0645411","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",9,"0645411","201415"
"Administrators, Coordinators and Department Chairs: School Level ",5,"0645411","201415"
"Library/Media: Specialists (Certified) ",0,"0645411","201415"
"Support Staff ",0,"0645411","201415"
"Instructional Specialists Who Support Teachers ",5.5,"0645411","201415"
"Counselors, Social Workers and School Psychologists ",4.5,"0645411","201415"
"School Nurses ",1.5,"0645411","201415"
