"school_id","year","grades_served"
"0510211","201516","PK-5"
"0510411","201314","K-5"
"0510411","201415","K-5"
"0510411","201516","K-5"
"0510611","201314","K-5"
"0510611","201415","K-5"
"0510611","201516","K-5"
"0510711","201314","K-5"
"0510711","201415","K-5"
"0510711","201516","K-5"
"0511211","201314","K-5"
"0511211","201415","K-5"
"0511211","201516","K-5"
"0511311","201314","K-5"
"0511311","201415","K-5"
"0511311","201516","K-5"
"0511411","201314","K-5"
"0511411","201415","K-5"
"0511411","201516","K-5"
"0511611","201314","K-5"
"0511611","201415","K-5"
"0511611","201516","K-5"
"0511711","201314","K-5"
"0511711","201415","K-5"
"0511711","201516","K-5"
"0511811","201314","K-5"
"0511811","201415","K-5"
"0511811","201516","K-5"
"0515111","201314","6-8"
"0515111","201415","6-8"
"0515111","201516","6-8"
"0515211","201314","6-8"
"0515211","201415","6-8"
"0515211","201516","6-8"
"0515311","201314","6-8"
"0515311","201415","6-8"
"0515311","201516","6-8"
"0516011","201314","9-12"
"0516011","201415","9-12"
"0516011","201516","9-12"
"0516211","201314","9-12"
"0516211","201415","9-12"
"0516211","201516","9-12"
"0520111","201314","K-4"
"0520111","201415","K-4"
"0520111","201516","K-4"
"0520211","201314","K-4"
"0520211","201415","K-4"
"0520211","201516","K-4"
"0520311","201314","K-4"
"0520311","201415","K-4"
"0520311","201516","K-4"
"0520411","201314","K-4"
"0520411","201415","K-4"
"0520411","201516","K-4"
"0520511","201314","5-6"
"0520511","201415","5-6"
"0520511","201516","5-6"
"0525111","201314","7-8"
"0525111","201415","7-8"
"0525111","201516","7-8"
"0526111","201314","9-12"
"0526111","201415","9-12"
"0526111","201516","9-12"
"0530111","201314","PK-8"
"0530111","201415","PK-8"
"0530111","201516","PK-8"
"0540211","201314","K-5"
"0540211","201415","K-5"
"0540211","201516","K-5"
"0540311","201314","PK-5"
"0540311","201415","PK-5"
"0540311","201516","PK-5"
"0540411","201314","K-5"
"0540411","201415","K-5"
"0540411","201516","K-5"
"0540611","201314","K-5"
"0540611","201415","K-5"
"0540611","201516","K-5"
"0540711","201314","K-5"
"0540711","201415","K-5"
"0540711","201516","K-5"
"0540811","201314","6-6"
"0540811","201415","6-6"
"0540811","201516","6-6"
"0540911","201314","PK-5"
"0540911","201415","PK-5"
"0540911","201516","PK-5"
