"category","count","school_id","year"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0150211","201516"
"Days of Instruction","182","0150211","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1060","0150311","201314"
"Days of Instruction","182","0150311","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0150311","201415"
"Days of Instruction","182","0150311","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0150311","201516"
"Days of Instruction","182","0150311","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","982","0150411","201314"
"Days of Instruction","182","0150411","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0150411","201415"
"Days of Instruction","182","0150411","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0150411","201516"
"Days of Instruction","182","0150411","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1189","0150511","201314"
"Days of Instruction","182","0150511","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0150511","201415"
"Days of Instruction","182","0150511","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0150511","201516"
"Days of Instruction","182","0150511","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","941","0150611","201314"
"Days of Instruction","182","0150611","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1183","0150611","201415"
"Days of Instruction","182","0150611","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1030","0150611","201516"
"Days of Instruction","182","0150611","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","920","0150711","201314"
"Days of Instruction","182","0150711","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0150711","201415"
"Days of Instruction","182","0150711","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0150711","201516"
"Days of Instruction","182","0150711","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","941","0150811","201314"
"Days of Instruction","182","0150811","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1183","0150811","201415"
"Days of Instruction","182","0150811","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1030","0150811","201516"
"Days of Instruction","182","0150811","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","900","0151011","201314"
"Days of Instruction","182","0151011","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0151011","201415"
"Days of Instruction","182","0151011","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0151011","201516"
"Days of Instruction","182","0151011","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","900","0151111","201314"
"Days of Instruction","182","0151111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0151111","201415"
"Days of Instruction","182","0151111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0151111","201516"
"Days of Instruction","182","0151111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1006","0151211","201314"
"Days of Instruction","182","0151211","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0151211","201415"
"Days of Instruction","182","0151211","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0151211","201516"
"Days of Instruction","182","0151211","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1170","0151311","201314"
"Days of Instruction","182","0151311","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0151311","201415"
"Days of Instruction","182","0151311","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0151311","201516"
"Days of Instruction","182","0151311","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1152","0151411","201314"
"Days of Instruction","182","0151411","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0151411","201415"
"Days of Instruction","182","0151411","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0151411","201516"
"Days of Instruction","182","0151411","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","941","0151511","201314"
"Days of Instruction","182","0151511","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1183","0151511","201415"
"Days of Instruction","182","0151511","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1030","0151511","201516"
"Days of Instruction","182","0151511","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","900","0151611","201314"
"Days of Instruction","182","0151611","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1183","0151611","201415"
"Days of Instruction","182","0151611","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1045","0151611","201516"
"Days of Instruction","182","0151611","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","925","0151711","201314"
"Days of Instruction","183","0151711","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0151711","201415"
"Days of Instruction","182","0151711","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1059","0151711","201516"
"Days of Instruction","182","0151711","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1000","0152011","201314"
"Days of Instruction","182","0152011","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0152011","201415"
"Days of Instruction","182","0152011","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0152011","201516"
"Days of Instruction","182","0152011","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","990","0152111","201314"
"Days of Instruction","182","0152111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0152111","201415"
"Days of Instruction","182","0152111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1323","0152111","201516"
"Days of Instruction","182","0152111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1150","0152211","201314"
"Days of Instruction","182","0152211","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0152211","201415"
"Days of Instruction","182","0152211","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0152211","201516"
"Days of Instruction","182","0152211","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1008","0152511","201314"
"Days of Instruction","182","0152511","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0152511","201415"
"Days of Instruction","182","0152511","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1058","0152511","201516"
"Days of Instruction","182","0152511","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","900","0152611","201314"
"Days of Instruction","182","0152611","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0152611","201415"
"Days of Instruction","182","0152611","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0152611","201516"
"Days of Instruction","182","0152611","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","900","0153011","201314"
"Days of Instruction","182","0153011","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0153011","201415"
"Days of Instruction","182","0153011","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0153011","201516"
"Days of Instruction","182","0153011","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","900","0153211","201314"
"Days of Instruction","182","0153211","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0153211","201415"
"Days of Instruction","182","0153211","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0153211","201516"
"Days of Instruction","182","0153211","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","990","0153611","201314"
"Days of Instruction","182","0153611","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0153611","201415"
"Days of Instruction","182","0153611","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0153611","201516"
"Days of Instruction","182","0153611","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1059","0153711","201314"
"Days of Instruction","182","0153711","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0153711","201415"
"Days of Instruction","182","0153711","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1042","0153711","201516"
"Days of Instruction","182","0153711","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","959","0153911","201314"
"Days of Instruction","182","0153911","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0153911","201415"
"Days of Instruction","182","0153911","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0153911","201516"
"Days of Instruction","182","0153911","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","900","0154011","201314"
"Days of Instruction","182","0154011","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0154011","201415"
"Days of Instruction","182","0154011","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1032","0154011","201516"
"Days of Instruction","182","0154011","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1274","0154111","201314"
"Days of Instruction","182","0154111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0154111","201415"
"Days of Instruction","182","0154111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1142","0154111","201516"
"Days of Instruction","182","0154111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1249","0154211","201314"
"Days of Instruction","182","0154211","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0154211","201415"
"Days of Instruction","182","0154211","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1027","0154211","201516"
"Days of Instruction","182","0154211","201516"
"Days of Instruction","0","0154411","201314"
"Days of Instruction","182","0154411","201415"
"Days of Instruction","182","0154411","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","989","0154511","201314"
"Days of Instruction","182","0154511","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0154511","201415"
"Days of Instruction","182","0154511","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1059","0154511","201516"
"Days of Instruction","182","0154511","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","900","0154611","201314"
"Days of Instruction","182","0154611","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0154611","201415"
"Days of Instruction","182","0154611","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1028","0154611","201516"
"Days of Instruction","182","0154611","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1050","0156111","201314"
"Days of Instruction","182","0156111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1183","0156111","201415"
"Days of Instruction","182","0156111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1097","0156111","201516"
"Days of Instruction","182","0156111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1103","0156211","201314"
"Days of Instruction","182","0156211","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1183","0156211","201415"
"Days of Instruction","182","0156211","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1095","0156211","201516"
"Days of Instruction","182","0156211","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","900","0156311","201314"
"Days of Instruction","182","0156311","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1183","0156311","201415"
"Days of Instruction","182","0156311","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0156311","201516"
"Days of Instruction","182","0156311","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","972","0170311","201314"
"Half/Extended Day Kindergarten ","485","0170311","201314"
"Days of Instruction","181","0170311","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","974","0170311","201415"
"Days of Instruction","181","0170311","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","974","0170311","201516"
"Days of Instruction","181","0170311","201516"
"Days of Instruction","0","0170411","201415"
"Days of Instruction","181","0170411","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1011","0170511","201314"
"Half/Extended Day Kindergarten ","501","0170511","201314"
"Days of Instruction","181","0170511","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1028","0170511","201415"
"Days of Instruction","181","0170511","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1039","0170511","201516"
"Days of Instruction","181","0170511","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","972","0171111","201314"
"Half/Extended Day Kindergarten ","485","0171111","201314"
"Days of Instruction","181","0171111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","974","0171111","201415"
"Days of Instruction","181","0171111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","974","0171111","201516"
"Days of Instruction","181","0171111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","972","0171211","201314"
"Half/Extended Day Kindergarten ","485","0171211","201314"
"Days of Instruction","181","0171211","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","974","0171211","201415"
"Days of Instruction","181","0171211","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","974","0171211","201516"
"Days of Instruction","181","0171211","201516"
