"Classes Taught by High Quality Teachers, Trend"
"All Districts, All Schools"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,,"Percent of Classes Taught by Highly Qualified Teachers",,
"Stonington School District",="1370011","Mystic Middle School",="1375211",100.0,94.1,100.0
"Stonington School District",="1370011","Pawcatuck Middle School",="1375111",100.0,95.6,100.0
"Stonington School District",="1370011","Stonington High School",="1376111",100.0,98.1,99.2
"Stonington School District",="1370011","West Broad Street School",="1370411",100.0,89.8,100.0
"Stonington School District",="1370011","West Vine Street School",="1370611",100.0,94.0,100.0
"Stratford School District",="1380011","Other",="1389911",100.0,N/A,N/A
"Stratford School District",="1380011","Center School",="1380211",N/A,N/A,100.0
"Stratford School District",="1380011","Eli Whitney School",="1381311",100.0,100.0,100.0
"Stratford School District",="1380011","ALPHA",="1380511",N/A,N/A,100.0
"Stratford School District",="1380011","Bunnell High School",="1386211",100.0,100.0,99.1
"Stratford School District",="1380011","Chapel School",="1380311",100.0,100.0,100.0
"Stratford School District",="1380011","David Wooster Middle School",="1385211",96.8,100.0,100.0
"Stratford School District",="1380011","Franklin School",="1380411",100.0,100.0,100.0
"Stratford School District",="1380011","Harry B. Flood Middle School",="1385311",100.0,100.0,100.0
"Stratford School District",="1380011","Honeyspot School",="1381611",100.0,100.0,N/A
"Stratford School District",="1380011","IPP Classroom - Johnson",="1381111",N/A,N/A,100.0
"Stratford School District",="1380011","Lordship School",="1380811",100.0,100.0,100.0
"Stratford School District",="1380011","Nichols School",="1380911",100.0,100.0,100.0
"Stratford School District",="1380011","Second Hill Lane School",="1381011",100.0,100.0,100.0
"Stratford School District",="1380011","Stratford Academy - Johnson House",="1381511",100.0,100.0,100.0
"Stratford School District",="1380011","Stratford Academy - Victoria Soto School",="1382211",N/A,N/A,100.0
"Stratford School District",="1380011","Stratford High School",="1386111",100.0,100.0,99.3
"Stratford School District",="1380011","Strive-Stratford",="1389011",100.0,N/A,100.0
"Stratford School District",="1380011","Wilcoxson School",="1381411",100.0,100.0,100.0
"Suffield School District",="1390011","A. Ward Spaulding School",="1390411",98.1,100.0,100.0
"Suffield School District",="1390011","McAlister Intermediate School",="1390311",100.0,100.0,93.2
"Suffield School District",="1390011","Suffield High School",="1396111",100.0,99.0,98.2
"Suffield School District",="1390011","Suffield Middle School",="1395111",97.7,98.0,100.0
"The Bridge Academy District",="2690013","The Bridge Academy",="2696113",92.8,100.0,94.1
"The Gilbert School District",="9020022","The Gilbert School",="9026122",99.4,99.0,100.0
"Thomaston School District",="1400011","Black Rock School",="1400111",100.0,100.0,100.0
"Thomaston School District",="1400011","Thomaston Center School",="1400211",100.0,100.0,100.0
"Thomaston School District",="1400011","Thomaston High School",="1406211",100.0,100.0,100.0
"Thompson School District",="1410011","Mary R. Fisher Elementary School",="1410111",91.7,92.1,100.0
"Thompson School District",="1410011","Thompson Middle School",="1415111",100.0,100.0,100.0
"Thompson School District",="1410011","Tourtellotte Memorial High School",="1416111",100.0,95.4,100.0
"Tolland School District",="1420011","Birch Grove Primary School",="1420111",100.0,100.0,100.0
"Tolland School District",="1420011","Tolland High School",="1426111",100.0,100.0,100.0
"Tolland School District",="1420011","Tolland Intermediate School",="1420211",97.6,100.0,100.0
"Tolland School District",="1420011","Tolland Middle School",="1425111",100.0,100.0,100.0
"Torrington School District",="1430011","Other",="1439911",100.0,N/A,N/A
"Torrington School District",="1430011","East School",="1430111",91.9,100.0,100.0
"Torrington School District",="1430011","Even Start Young Parent",="1431011",N/A,100.0,N/A
"Torrington School District",="1430011","Forbes School",="1430211",100.0,100.0,100.0
"Torrington School District",="1430011","Southwest School",="1430811",98.5,100.0,100.0
"Torrington School District",="1430011","Torringford School",="1430911",100.0,100.0,100.0
"Torrington School District",="1430011","Torrington High School",="1436111",100.0,100.0,100.0
"Torrington School District",="1430011","Torrington Middle School",="1435111",98.6,99.7,100.0
"Torrington School District",="1430011","Vogel-Wetmore / Reach",="1431711",N/A,100.0,N/A
"Torrington School District",="1430011","Vogel-Wetmore School",="1431311",100.0,100.0,94.9
"Torrington School District",="1430011","Voices / Vogel-Wetmore",="1432011",N/A,100.0,100.0
"Trailblazers Academy District",="2780013","Trailblazers Academy",="2785113",76.5,92.3,100.0
"Trumbull School District",="1440011","Booth Hill School",="1440111",100.0,100.0,100.0
"Trumbull School District",="1440011","Daniels Farm School",="1440811",100.0,100.0,100.0
"Trumbull School District",="1440011","Frenchtown Elementary School",="1441011",100.0,100.0,100.0
"Trumbull School District",="1440011","Hillcrest Middle School",="1445211",100.0,100.0,100.0
"Trumbull School District",="1440011","Jane Ryan School",="1440411",100.0,100.0,100.0
"Trumbull School District",="1440011","Madison Middle School",="1445111",100.0,99.1,100.0
"Trumbull School District",="1440011","Middlebrook School",="1440311",100.0,100.0,100.0
"Trumbull School District",="1440011","Tashua School",="1440911",100.0,100.0,100.0
"Trumbull School District",="1440011","Trumbull Alternative School",="1440211",N/A,100.0,100.0
"Trumbull School District",="1440011","Trumbull Early Childhood Education Center",="1448011",100.0,100.0,100.0
"Trumbull School District",="1440011","Trumbull High School",="1446111",99.7,100.0,100.0
"Unified School District #2",="3470015","Children's Place School",="3470115",100.0,100.0,100.0
"Unified School District #2",="3470015","Riverview School",="3470315",100.0,100.0,100.0
"Unified School District #2",="3470015","Virtual Academy",="3470215",N/A,N/A,100.0
"Unified School District #2",="3470015","Walter G. Cady School",="3476715",100.0,96.6,100.0
"Union School District",="1450011","Union Elementary School",="1450111",100.0,100.0,100.0
"Vernon School District",="1460011","Northeast School",="1460311",100.0,100.0,100.0
"Vernon School District",="1460011","Center Road School",="1461411",98.5,100.0,100.0
"Vernon School District",="1460011","Lake Street School",="1460111",100.0,100.0,100.0
"Vernon School District",="1460011","Loveland Hill School",="1460511",100.0,100.0,100.0
"Vernon School District",="1460011","Maple Street School",="1460211",100.0,100.0,100.0
"Vernon School District",="1460011","Rockville High School",="1466111",100.0,100.0,100.0
"Vernon School District",="1460011","Skinner Road School",="1461011",100.0,90.8,100.0
"Vernon School District",="1460011","Vernon Center Middle School",="1465111",96.6,100.0,100.0
"Voluntown School District",="1470011","Voluntown Elementary School",="1470111",98.4,100.0,100.0
"Wallingford School District",="1480011","Highland School",="1480211",100.0,100.0,100.0
"Wallingford School District",="1480011","A.R.T.S. Academy",="1489011",100.0,100.0,100.0
"Wallingford School District",="1480011","Cook Hill School",="1481011",100.0,100.0,100.0
"Wallingford School District",="1480011","Dag Hammarskjold Middle School",="1485211",100.0,100.0,100.0
"Wallingford School District",="1480011","Education Enhancement Program",="1480511",N/A,100.0,100.0
"Wallingford School District",="1480011","Evarts C. Stevens School",="1480911",100.0,100.0,100.0
"Wallingford School District",="1480011","Harvest Park",="1489211",100.0,100.0,100.0
"Wallingford School District",="1480011","James H. Moran Middle School",="1485311",100.0,100.0,100.0
"Wallingford School District",="1480011","Lyman Hall High School",="1486111",100.0,98.5,100.0
"Wallingford School District",="1480011","Mark T. Sheehan High School",="1486211",100.0,100.0,100.0
"Wallingford School District",="1480011","Moses Y. Beach School",="1480111",100.0,100.0,100.0
"Wallingford School District",="1480011","Multi-Vocational Life Skills Program",="1489111",100.0,N/A,N/A
"Wallingford School District",="1480011","Parker Farms School",="1480311",98.0,100.0,100.0
"Wallingford School District",="1480011","Pond Hill School",="1481211",98.3,100.0,100.0
"Wallingford School District",="1480011","Rock Hill School",="1480411",100.0,100.0,100.0
"Wallingford School District",="1480011","Yalesville School",="1480811",100.0,100.0,100.0
"Waterbury School District",="1510011","Other",="1519911",100.0,N/A,100.0
"Waterbury School District",="1510011","West Side Middle School",="1515211",98.7,100.0,97.5
"Waterbury School District",="1510011","Washington School",="1512311",100.0,97.8,100.0
"Waterbury School District",="1510011","B. W. Tinker School",="1512111",98.4,100.0,100.0
"Waterbury School District",="1510011","B.W. Tinker BDLC",="1510411",N/A,N/A,100.0
"Waterbury School District",="1510011","Bucks Hill School",="1510511",100.0,100.0,97.9
"Waterbury School District",="1510011","Bunker Hill School",="1510611",100.0,98.5,100.0
"Waterbury School District",="1510011","Carrington School",="1512711",100.0,100.0,98.9
"Waterbury School District",="1510011","Crosby High School",="1516211",100.0,100.0,100.0
"Waterbury School District",="1510011","Driggs School",="1510911",100.0,100.0,92.6
"Waterbury School District",="1510011","Duggan School",="1511611",100.0,100.0,100.0
"Waterbury School District",="1510011","Enlightenment School",="1519111",94.3,100.0,100.0
"Waterbury School District",="1510011","F. J. Kingsbury School",="1511411",100.0,100.0,100.0
"Waterbury School District",="1510011","Gilmartin School",="1512611",94.3,94.0,98.6
"Waterbury School District",="1510011","H. S. Chase School",="1510711",100.0,100.0,99.2
"Waterbury School District",="1510011","Hopeville School",="1511311",98.6,98.6,98.6
"Waterbury School District",="1510011","John F. Kennedy High School",="1516411",100.0,100.0,100.0
"Waterbury School District",="1510011","Maloney Interdistrict Magnet School",="1513111",100.0,92.3,100.0
"Waterbury School District",="1510011","Margaret M. Generali Elementary School",="1511111",100.0,100.0,98.8
"Waterbury School District",="1510011","Michael F. Wallace Autism",="1512911",N/A,N/A,100.0
"Waterbury School District",="1510011","Michael F. Wallace Middle School",="1515111",100.0,97.4,97.3
"Waterbury School District",="1510011","North End Middle School",="1515311",100.0,100.0,100.0
"Waterbury School District",="1510011","Reed School",="1513411",100.0,93.9,100.0
"Waterbury School District",="1510011","Regan School",="1512811",100.0,100.0,100.0
"Waterbury School District",="1510011","Rotella Interdistrict Magnet School",="1513311",100.0,100.0,100.0
"Waterbury School District",="1510011","Special Education Preschool",="1518011",100.0,N/A,100.0
"Waterbury School District",="1510011","Sprague School",="1512011",100.0,92.6,100.0
"Waterbury School District",="1510011","State Street School",="1519011",100.0,100.0,100.0
"Waterbury School District",="1510011","Walsh School",="1512211",98.7,98.8,98.6
"Waterbury School District",="1510011","Waterbury Arts Magnet School (High)",="1516011",100.0,100.0,96.7
"Waterbury School District",="1510011","Waterbury Arts Magnet School (Middle)",="1515011",95.8,100.0,100.0
"Waterbury School District",="1510011","Waterbury Career Academy",="1516711",100.0,100.0,96.9
"Waterbury School District",="1510011","Wendell L. Cross School",="1510811",100.0,100.0,100.0
"Waterbury School District",="1510011","Wilby High School",="1516311",98.6,92.2,93.2
"Waterbury School District",="1510011","Woodrow Wilson School",="1513211",100.0,100.0,100.0
"Waterford School District",="1520011","Other",="1529911",100.0,N/A,N/A
"Waterford School District",="1520011","Avery Point Transition Program",="1520311",N/A,N/A,100.0
"Waterford School District",="1520011","Clark Lane Middle School",="1525111",100.0,100.0,100.0
"Waterford School District",="1520011","Great Neck Elementary School",="1520211",100.0,100.0,100.0
"Waterford School District",="1520011","Oswegatchie Elementary School",="1520611",100.0,100.0,100.0
"Waterford School District",="1520011","Quaker Hill Elementary School",="1520711",100.0,100.0,100.0
"Waterford School District",="1520011","Waterford High School",="1526111",100.0,100.0,100.0
"Watertown School District",="1530011","Other",="1539911",100.0,N/A,N/A
"Watertown School District",="1530011","Fletcher W. Judson School",="1530311",100.0,100.0,100.0
"Watertown School District",="1530011","John Trumbull Primary School",="1530211",98.6,100.0,100.0
"Watertown School District",="1530011","Polk School",="1530411",100.0,100.0,100.0
"Watertown School District",="1530011","Swift Middle School",="1535111",100.0,100.0,100.0
"Watertown School District",="1530011","Watertown High School",="1536111",98.3,98.2,100.0
"West Hartford School District",="1550011","Smith School",="1551711",100.0,100.0,100.0
"West Hartford School District",="1550011","Achieve",="1559111",100.0,N/A,N/A
"West Hartford School District",="1550011","Aiken School",="1551611",100.0,100.0,100.0
"West Hartford School District",="1550011","Braeburn School",="1550211",100.0,100.0,100.0
"West Hartford School District",="1550011","Bristow Middle School",="1555311",100.0,100.0,96.6
"West Hartford School District",="1550011","Bugbee School",="1550411",100.0,100.0,100.0
"West Hartford School District",="1550011","Charter Oak International Academy",="1550511",95.7,100.0,100.0
"West Hartford School District",="1550011","Conard High School",="1556111",99.8,100.0,100.0
"West Hartford School District",="1550011","Duffy School",="1550611",100.0,100.0,100.0
"West Hartford School District",="1550011","Hall High School",="1556211",99.5,100.0,100.0
"West Hartford School District",="1550011","King Philip Middle School",="1555111",98.2,100.0,100.0
"West Hartford School District",="1550011","Morley School",="1550911",100.0,100.0,100.0
"West Hartford School District",="1550011","Norfeldt School",="1551011",100.0,100.0,100.0
"West Hartford School District",="1550011","Sedgwick Middle School",="1555211",99.7,100.0,100.0
"West Hartford School District",="1550011","Strive-West Hartford",="1559211",N/A,100.0,100.0
"West Hartford School District",="1550011","WAAVE (W Hartford Applied Academic/Voc'l Experience)",="1559011",100.0,N/A,N/A
"West Hartford School District",="1550011","Webster Hill School",="1551211",100.0,100.0,100.0
"West Hartford School District",="1550011","Whiting Lane School",="1551311",98.7,98.8,100.0
"West Hartford School District",="1550011","Wolcott School",="1551511",100.0,100.0,98.9
"West Haven School District",="1560011","Other",="1569911",100.0,N/A,100.0
"West Haven School District",="1560011","Washington School",="1561211",100.0,97.0,100.0
"West Haven School District",="1560011","Alma E. Pagels School",="1560811",98.6,100.0,100.0
"West Haven School District",="1560011","Carrigan 5/6 Intermediate School",="1565311",100.0,100.0,100.0
"West Haven School District",="1560011","Edith E. Mackrille School",="1560611",100.0,100.0,100.0
"West Haven School District",="1560011","Forest School",="1560311",100.0,100.0,100.0
"West Haven School District",="1560011","Harry M. Bailey Middle School",="1565111",98.5,100.0,100.0
"West Haven School District",="1560011","Life Skills",="1560111",100.0,100.0,100.0
"West Haven School District",="1560011","Savin Rock Community School",="1561411",100.0,100.0,98.8
"West Haven School District",="1560011","Seth G. Haley School",="1560411",100.0,100.0,100.0
"West Haven School District",="1560011","West Haven High School",="1566111",100.0,100.0,100.0
"Westbrook School District",="1540011","Daisy Ingraham School",="1540211",100.0,100.0,100.0
"Westbrook School District",="1540011","Westbrook High School",="1546111",100.0,97.9,100.0
"Westbrook School District",="1540011","Westbrook Middle School",="1545111",100.0,100.0,100.0
"Weston School District",="1570011","Other",="1579911",100.0,N/A,100.0
"Weston School District",="1570011","Hurlbutt Elementary School",="1570111",100.0,100.0,98.5
"Weston School District",="1570011","Weston High School",="1576111",100.0,100.0,100.0
"Weston School District",="1570011","Weston Intermediate School",="1570211",100.0,100.0,100.0
"Weston School District",="1570011","Weston Middle School",="1575111",100.0,100.0,100.0
"Westport School District",="1580011","Bedford Middle School",="1585111",97.9,97.5,100.0
"Westport School District",="1580011","Coleytown Elementary School",="1580311",100.0,98.8,100.0
"Westport School District",="1580011","Coleytown Middle School",="1585311",97.8,99.1,100.0
"Westport School District",="1580011","Green's Farms School",="1580411",100.0,100.0,100.0
"Westport School District",="1580011","King's Highway Elementary School",="1580511",100.0,100.0,100.0
"Westport School District",="1580011","Long Lots School",="1580711",100.0,100.0,100.0
"Westport School District",="1580011","Saugatuck Elementary School",="1580811",100.0,100.0,100.0
"Westport School District",="1580011","Staples High School",="1586111",99.4,99.8,99.3
"Westport School District",="1580011","Stepping Stones Preschool",="1588011",100.0,N/A,N/A
"Wethersfield School District",="1590011","Alfred W. Hanmer School",="1590811",100.0,100.0,100.0
"Wethersfield School District",="1590011","Charles Wright School",="1591011",100.0,100.0,100.0
"Wethersfield School District",="1590011","Emerson-Williams School",="1590211",97.9,90.4,100.0
"Wethersfield School District",="1590011","Highcrest School",="1591111",100.0,100.0,100.0
"Wethersfield School District",="1590011","Samuel B. Webb Elementary School",="1591211",100.0,100.0,100.0
"Wethersfield School District",="1590011","Silas Deane Middle School",="1595211",99.7,100.0,100.0
"Wethersfield School District",="1590011","Wethersfield High School",="1596111",98.5,98.6,100.0
"Willington School District",="1600011","Center School",="1600111",100.0,100.0,100.0
"Willington School District",="1600011","Hall Memorial School",="1605111",100.0,100.0,90.2
"Wilton School District",="1610011","Middlebrook School",="1615211",100.0,100.0,100.0
"Wilton School District",="1610011","Cider Mill School",="1610711",100.0,100.0,100.0
"Wilton School District",="1610011","Miller-Driscoll School",="1610511",100.0,100.0,100.0
"Wilton School District",="1610011","Wilton High School",="1616111",97.4,100.0,100.0
"Winchester School District",="1620011","Other",="1629911",100.0,N/A,100.0
"Winchester School District",="1620011","Batcheller Early Education Center",="1620411",100.0,100.0,100.0
"Winchester School District",="1620011","Mary P. Hinsdale School",="1620211",100.0,100.0,97.3
"Winchester School District",="1620011","Pearson Middle School",="1625111",100.0,100.0,100.0
"Winchester School District",="1620011","WISE Academy",="1620111",100.0,100.0,N/A
"Windham School District",="1630011","Charles H. Barrows STEM Academy",="1630411",98.5,98.8,98.3
"Windham School District",="1630011","Natchaug School",="1630111",86.1,100.0,98.7
"Windham School District",="1630011","North Windham School",="1630311",93.4,90.0,100.0
"Windham School District",="1630011","W. B. Sweeney School",="1630611",98.4,96.6,98.4
"Windham School District",="1630011","Windham Center School",="1630511",89.7,89.4,100.0
"Windham School District",="1630011","Windham Early Childhood Prospect Street",="1638311",100.0,100.0,100.0
"Windham School District",="1630011","Windham High School",="1636111",97.8,97.6,97.9
"Windham School District",="1630011","Windham Middle School",="1635111",96.5,97.9,100.0
"Windsor Locks School District",="1650011","North Street School",="1650111",100.0,100.0,100.0
"Windsor Locks School District",="1650011","Pine Meadow Academy",="1650611",N/A,100.0,100.0
"Windsor Locks School District",="1650011","RISE Transition Academy",="1650211",N/A,0.0,N/A
"Windsor Locks School District",="1650011","South Elementary School",="1650411",98.7,100.0,98.6
"Windsor Locks School District",="1650011","Windsor Locks High School",="1656111",100.0,100.0,99.5
"Windsor Locks School District",="1650011","Windsor Locks Middle School",="1655111",99.4,96.9,100.0
"Windsor School District",="1640011","Clover Street School",="1640111",100.0,100.0,100.0
"Windsor School District",="1640011","Community Based Transition Academy",="1640211",N/A,N/A,100.0
"Windsor School District",="1640011","John F. Kennedy School",="1640811",100.0,100.0,100.0
"Windsor School District",="1640011","Oliver Ellsworth School",="1640911",90.3,90.7,90.2
"Windsor School District",="1640011","Poquonock Elementary School",="1640511",100.0,100.0,100.0
"Windsor School District",="1640011","Sage Park Middle School",="1645311",99.3,97.1,100.0
"Windsor School District",="1640011","Spark",="1640311",N/A,N/A,100.0
"Windsor School District",="1640011","Windsor High School",="1646111",99.6,100.0,98.5
"Wolcott School District",="1660011","Alcott School",="1660611",100.0,100.0,100.0
"Wolcott School District",="1660011","Frisbie School",="1660211",100.0,100.0,100.0
"Wolcott School District",="1660011","Phoenix Program",="1660411",N/A,N/A,100.0
"Wolcott School District",="1660011","Tyrrell Middle School",="1665111",97.7,100.0,100.0
"Wolcott School District",="1660011","Wakelee School",="1660511",100.0,100.0,100.0
"Wolcott School District",="1660011","Wolcott High School",="1666111",100.0,100.0,98.2
"Woodbridge School District",="1670011","Beecher Road School",="1670311",100.0,98.6,100.0
"Woodstock Academy District",="9030022","Woodstock Academy",="9036122",100.0,100.0,100.0
"Woodstock School District",="1690011","Woodstock Elementary School",="1690211",100.0,100.0,100.0
"Woodstock School District",="1690011","Woodstock Middle School",="1695111",100.0,100.0,100.0

