"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2015-16"

"",,,,"Special Education Status",,
"District","District Code","School","School Code","No","Yes","Total"
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",152,14,166
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",10,9,19
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",936,109,1045
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",740,108,848
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",301,42,343
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",24,34,58
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",248,42,290
"East Lyme School District","=""0450011""","Medically Fragile Program (WAVES)","=""0450711""",0,"*","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",154,14,168
"East Lyme School District","=""0450011""","Post High School Transition Program","=""0450511""",0,16,16
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",317,64,381
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",264,60,324
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",323,65,388
"East Windsor School District","=""0470011""","East Windsor Transition Program","=""0470411""",0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ACT Magnet School (Arts at the Capitol Theater) - Full Time","=""2536014""",108,21,129
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",108,21,129
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",0,117,117
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",162,17,179
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",111,23,134
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",277,32,309
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",554,58,612
"Education Connection","=""2420014""","Education Connection Headstart","=""2428014""",197,16,213
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""",0,14,14
"Ellington School District","=""0480011""","Center School","=""0480111""",311,50,361
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",184,17,201
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",685,86,771
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",371,49,420
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",397,49,446
"Ellington School District","=""0480011""","Windermere School","=""0480611""",379,51,430
"Ellington School District","=""0480011""","Windermere School Program for Alternative Learning K-4","=""0480311""",0,"*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",655,48,703
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""","*","*",113
