"CT School Day SAT, 2015-16"
"All Districts, All Subjects, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","ELA",39,16,41.0,"*","*",12,30.8,"*","*","*","*",462
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Math",39,18,46.2,17,43.6,"*","*","*","*","*","*",427
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","ELA",169,76,45.0,58,34.3,"*","*","*","*",35,20.7,429
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Math",169,106,62.7,"*","*","*","*",0,0.0,"*","*",393
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","ELA",174,"*","*",63,36.2,56,32.2,"*","*","*","*",449
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Math",174,58,33.3,95,54.6,"*","*","*","*",21,12.1,440
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","ELA",141,"*","*",46,32.6,53,37.6,"*","*","*","*",453
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Math",141,58,41.1,68,48.2,15,10.6,0,0.0,15,10.6,435
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","ELA",140,74,52.9,41,29.3,25,17.9,0,0.0,25,17.9,417
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Math",140,78,55.7,"*","*","*","*",0,0.0,"*","*",407
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","ELA",125,"*","*",37,29.6,52,41.6,"*","*","*","*",473
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Math",125,41,32.8,62,49.6,22,17.6,0,0.0,22,17.6,449
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","ELA",131,"*","*",46,35.1,44,33.6,"*","*","*","*",456
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Math",131,58,44.3,62,47.3,11,8.4,0,0.0,11,8.4,427
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","ELA",188,30,16.0,57,30.3,94,50.0,7,3.7,101,53.7,482
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Math",188,49,26.1,109,58.0,"*","*","*","*",30,16.0,460
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","ELA",154,40,26.0,50,32.5,55,35.7,9,5.8,64,41.6,469
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Math",154,57,37.0,78,50.6,"*","*","*","*",19,12.3,443
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","ELA",145,23,15.9,39,26.9,76,52.4,7,4.8,83,57.2,491
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Math",145,35,24.1,83,57.2,27,18.6,0,0.0,27,18.6,464
