"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, All Schools, Sit and Reach"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)",,,,
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","All Grades","Sit and Reach",85.6,77.2,68.5,85.0,81.8
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","All Grades","Sit and Reach",80.6,77.5,79.7,86.4,86.1
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","All Grades","Sit and Reach",81.5,83.5,78.4,84.0,69.9
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","All Grades","Sit and Reach",97.4,93.0,86.0,80.2,93.3
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","All Grades","Sit and Reach",76.1,77.7,72.7,78.0,80.4
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","All Grades","Sit and Reach","N/A","*","*",0.0,"*"
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","All Grades","Sit and Reach",58.1,58.4,62.8,60.5,56.4
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","All Grades","Sit and Reach",63.9,88.5,92.0,91.2,93.4
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","All Grades","Sit and Reach",89.2,80.0,84.1,81.0,94.1
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","All Grades","Sit and Reach",88.6,73.8,72.9,87.2,87.5
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","All Grades","Sit and Reach",66.7,70.7,58.0,66.1,59.3
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","All Grades","Sit and Reach",93.6,96.8,80.6,88.6,88.6
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","All Grades","Sit and Reach",83.0,81.3,84.4,94.2,96.2
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","All Grades","Sit and Reach",85.2,81.3,86.8,82.1,87.5
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","All Grades","Sit and Reach",89.8,77.6,90.0,85.2,93.6
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","All Grades","Sit and Reach",79.3,64.0,55.9,68.4,64.6
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","All Grades","Sit and Reach",82.6,98.6,83.1,91.6,88.5
"Danbury School District","=""0340011""","South Street School","=""0341011""","All Grades","Sit and Reach",70.8,81.0,68.3,74.0,83.3
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","All Grades","Sit and Reach",60.0,98.6,94.1,87.7,91.2
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magne","=""0341911""","All Grades","Sit and Reach",89.3,92.2,92.6,95.2,87.7
