"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Free/Reduced Price Meal Eligibility ("

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",05,"F",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",05,"N",53,50,94.3,50,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",291
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",05,"F",33,33,100.0,33,"*","*","*","*","*","*","*","*","*","*","*","*",260
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",05,"N",162,161,99.4,161,"*","*","*","*",18,11.2,70,43.5,66,41.0,136,84.5,289
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",05,"R",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",08,"F",32,32,100.0,32,"*","*",0,0.0,7,21.9,16,50.0,"*","*","*","*",251
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",08,"N",159,159,100.0,159,"*","*","*","*",27,17.0,87,54.7,34,21.4,121,76.1,270
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",08,"R",23,23,100.0,23,"*","*",0,0.0,7,30.4,13,56.5,"*","*","*","*",259
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",10,"F",22,21,95.5,21,"*","*","*","*","*","*","*","*","*","*","*","*",254
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",10,"N",158,157,99.4,157,"*","*","*","*",40,25.5,37,23.6,67,42.7,104,66.2,283
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",10,"R",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",05,"F",51,51,100.0,51,7,13.7,14,27.5,"*","*","*","*",0,0.0,"*","*",220
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",05,"N",59,59,100.0,59,"*","*","*","*",21,35.6,20,33.9,"*","*","*","*",237
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",05,"R",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",08,"F",39,39,100.0,39,13,33.3,"*","*","*","*","*","*","*","*","*","*",232
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",08,"N",48,48,100.0,48,"*","*",6,12.5,13,27.1,20,41.7,"*","*","*","*",249
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",08,"R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",10,"F",44,43,97.7,43,12,27.9,"*","*","*","*","*","*","*","*","*","*",224
