"Student Counts by School and Grade"
"All Districts, All Schools"
"2010-11"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",0,0,0,0,0,0,0,0,"*",7,"*",14,10,9,46
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",0,0,0,0,0,0,0,0,0,0,109,101,107,55,372
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",0,0,0,0,0,0,0,0,0,0,0,90,87,107,284
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,0,0,0,0,0,0,0,0,0,"*","*","*",9
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",33,20,19,20,21,19,24,31,0,0,0,0,0,0,187
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""",92,45,41,47,0,0,0,0,0,0,0,0,0,0,225
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",85,258,0,0,0,0,0,0,0,0,0,0,0,0,343
"Cheshire School District","=""0250011""","Highland School","=""0250411""",0,0,122,136,126,143,148,152,0,0,0,0,0,0,827
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",0,0,54,47,45,53,40,61,0,0,0,0,0,0,300
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",0,0,92,92,106,70,72,85,0,0,0,0,0,0,517
"Cheshire School District","=""0250011""","Norton School","=""0250511""",0,0,82,71,74,88,81,91,0,0,0,0,0,0,487
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",0,0,0,0,0,0,0,0,381,405,0,0,0,0,786
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",0,0,0,0,0,0,0,0,0,0,375,367,408,366,1516
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",0,0,0,0,0,0,0,0,0,0,"*",7,"*",9,22
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",41,185,142,149,166,0,0,0,0,0,0,0,0,0,683
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",0,0,0,0,0,152,152,0,0,0,0,0,0,0,304
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",0,0,0,0,0,0,0,148,166,178,0,0,0,0,492
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",0,0,0,0,0,0,0,0,0,0,148,138,127,144,557
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",61,202,228,207,0,0,0,0,0,0,0,0,0,0,698
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",0,0,0,0,214,233,241,0,0,0,0,0,0,0,688
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",0,0,0,0,0,0,0,220,241,244,0,0,0,0,705
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",0,0,0,0,0,0,0,0,0,0,245,250,239,253,987
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",28,61,42,54,60,58,67,63,57,49,0,0,0,0,539
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",53,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",80,45,49,39,47,46,35,37,39,35,0,0,0,0,452
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",0,"*","*",6,8,8,7,6,8,"*",0,0,0,0,53
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,0,"*","*",8,12,12,16,11,13,20,17,7,8,135
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,0,0,0,0,0,0,0,9,12,8,10,12,31,82
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",13,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",0,125,130,136,0,0,0,0,0,0,0,0,0,0,391
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",0,0,0,0,147,118,146,0,0,0,0,0,0,0,411
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",0,0,0,0,0,0,0,162,147,153,0,0,0,0,462
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",0,0,0,0,0,0,0,0,0,0,123,136,137,162,558
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",32,159,149,149,0,0,0,0,0,0,0,0,0,0,489
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",0,0,0,0,140,166,159,0,0,0,0,0,0,0,465
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",0,0,0,0,0,0,0,165,168,142,0,0,0,0,475
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",0,0,0,0,0,0,0,0,0,0,136,143,145,164,588
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","*",106,102,111,"*",0,0,0,0,0,0,0,0,0,415
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",134,0,0,0,0,0,0,0,0,0,0,0,0,0,134
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","*",62,55,55,63,"*",55,0,0,0,0,0,0,0,343
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","*",70,"*",80,87,79,70,0,0,0,0,0,0,0,452
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",0,59,65,63,77,60,72,0,0,0,0,0,0,0,396
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",0,50,61,57,42,42,47,0,0,0,0,0,0,0,299
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",0,71,62,68,66,58,63,0,0,0,0,0,0,0,388
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",0,109,95,104,94,0,0,0,0,0,0,0,0,0,402
