"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades, All Students"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"ELA",33,32,97.0,32,6,18.8,6,18.8,8,25.0,12,37.5,20,62.5,2613
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"Math",33,32,97.0,32,10,31.3,14,43.8,"*","*","*","*",8,25.0,2581
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"ELA",35,35,100.0,35,"*","*","*","*","*","*",23,65.7,"*","*",2498
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"Math",35,35,100.0,35,0,0.0,6,17.1,20,57.1,9,25.7,29,82.9,2474
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"ELA",43,42,97.7,42,"*","*",7,16.7,"*","*",24,57.1,"*","*",2543
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"Math",43,42,97.7,42,0,0.0,10,23.8,14,33.3,18,42.9,32,76.2,2533
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"ELA",48,46,95.8,46,"*","*","*","*",14,30.4,24,52.2,38,82.6,2578
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"Math",48,48,100.0,48,"*","*",16,33.3,"*","*",20,41.7,"*","*",2546
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"ELA",41,40,97.6,40,"*","*","*","*",14,35.0,16,40.0,30,75.0,2589
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"Math",41,40,97.6,40,"*","*",9,22.5,"*","*",20,50.0,"*","*",2600
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"ELA",112,104,92.9,104,10,9.6,27,26.0,41,39.4,26,25.0,67,64.4,2614
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"Math",112,103,92.0,103,48,46.6,25,24.3,18,17.5,12,11.7,30,29.1,2561
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"ELA",185,181,97.8,181,55,30.4,63,34.8,53,29.3,10,5.5,63,34.8,2521
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"Math",185,181,97.8,181,76,42.0,71,39.2,22,12.2,12,6.6,34,18.8,2496
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"ELA",209,205,98.1,205,78,38.0,58,28.3,49,23.9,20,9.8,69,33.7,2527
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"Math",209,205,98.1,205,122,59.5,58,28.3,19,9.3,6,2.9,25,12.2,2479
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"ELA",88,88,100.0,88,27,30.7,28,31.8,13,14.8,20,22.7,33,37.5,2413
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"Math",88,88,100.0,88,24,27.3,30,34.1,25,28.4,9,10.2,34,38.6,2420
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"ELA",95,95,100.0,95,39,41.1,24,25.3,24,25.3,8,8.4,32,33.7,2438
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"Math",96,96,100.0,96,34,35.4,53,55.2,9,9.4,0,0.0,9,9.4,2424
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"ELA",89,89,100.0,89,33,37.1,24,27.0,24,27.0,8,9.0,32,36.0,2469
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"Math",89,89,100.0,89,48,53.9,31,34.8,"*","*","*","*",10,11.2,2445
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"ELA",88,88,100.0,88,34,38.6,29,33.0,"*","*","*","*",25,28.4,2476
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"Math",88,88,100.0,88,41,46.6,32,36.4,"*","*","*","*",15,17.0,2462
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"ELA",87,87,100.0,87,23,26.4,24,27.6,23,26.4,17,19.5,40,46.0,2420
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"Math",87,87,100.0,87,32,36.8,"*","*",28,32.2,"*","*","*","*",2405
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"ELA",93,91,97.8,91,38,41.8,19,20.9,15,16.5,19,20.9,34,37.4,2446
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"Math",93,92,98.9,92,20,21.7,51,55.4,12,13.0,9,9.8,21,22.8,2449
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"ELA",85,84,98.8,84,26,31.0,27,32.1,24,28.6,7,8.3,31,36.9,2475
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"Math",85,85,100.0,85,42,49.4,37,43.5,"*","*","*","*",6,7.1,2449
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"ELA",84,84,100.0,84,27,32.1,36,42.9,"*","*","*","*",21,25.0,2485
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"Math",84,84,100.0,84,38,45.2,27,32.1,13,15.5,6,7.1,19,22.6,2485
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",07,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",07,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"ELA",24,24,100.0,23,"*","*","*","*",0,0.0,0,0.0,0,0.0,2303
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"Math",24,24,100.0,24,20,83.3,"*","*","*","*",0,0.0,"*","*",2293
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"ELA",22,19,86.4,19,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"Math",23,20,87.0,20,"*","*",0,0.0,"*","*",0,0.0,"*","*",2310
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"ELA",21,21,100.0,20,14,70.0,6,30.0,0,0.0,0,0.0,0,0.0,2387
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"Math",21,20,95.2,20,"*","*","*","*",0,0.0,0,0.0,0,0.0,2345
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,"ELA",24,21,87.5,20,13,65.0,"*","*","*","*",0,0.0,"*","*",2403
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,"Math",24,22,91.7,20,"*","*","*","*",0,0.0,0,0.0,0,0.0,2318
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,"ELA",29,27,93.1,26,18,69.2,"*","*","*","*",0,0.0,"*","*",2443
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,"Math",29,26,89.7,26,"*","*","*","*",0,0.0,0,0.0,0,0.0,2375
