"Student Counts by School and Gender"
"All Districts, All Schools"
"2007-08"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",176,176,352
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",167,187,354
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",159,161,320
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",235,229,464
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",149,174,323
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",61,90,151
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",206,246,452
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",119,169,288
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",25,155,180
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",119,102,221
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",117,122,239
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",159,176,335
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",89,97,186
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",551,546,1097
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",103,109,212
"East Haven School District","=""0440011""","Hays School","=""0441911""",76,102,178
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",236,246,482
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",81,128,209
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",71,94,165
"East Haven School District","=""0440011""","Pathways","=""0449011""",12,23,35
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""",164,155,319
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",676,628,1304
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",448,465,913
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",197,202,399
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",23,30,53
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",172,168,340
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",125,116,241
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",302,318,620
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",224,232,456
