"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Math","N",107,107,100.0,107,13,12.1,45,42.1,30,28.0,19,17.8,49,45.8
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","ELA","N",223,217,97.3,217,24,11.1,41,18.9,67,30.9,85,39.2,152,70.0
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Math","N",223,217,97.3,217,25,11.5,59,27.2,70,32.3,63,29.0,133,61.3
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","ELA","F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","ELA","N",76,76,100.0,76,7,9.2,18,23.7,26,34.2,25,32.9,51,67.1
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","ELA","R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Math","F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Math","N",76,76,100.0,76,15,19.7,36,47.4,19,25.0,6,7.9,25,32.9
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Math","R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELA","F",28,26,92.9,26,"*","*","*","*","*","*",0,0.0,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELA","N",206,203,98.5,202,"*","*",49,24.3,79,39.1,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELA","R",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Math","F",28,26,92.9,26,"*","*","*","*","*","*",0,0.0,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Math","N",206,202,98.1,202,62,30.7,"*","*",58,28.7,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Math","R",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","ELA","F",104,100,96.2,100,12,12.0,39,39.0,"*","*","*","*",49,49.0
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","ELA","N",561,558,99.5,558,46,8.2,99,17.7,247,44.3,166,29.7,413,74.0
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","ELA","R",28,27,96.4,27,6,22.2,11,40.7,"*","*","*","*",10,37.0
