"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","ELA","N",132,132,100.0,131,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","ELA","Y",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Math","N",132,132,100.0,132,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Math","Y",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","ELA","N",134,134,100.0,134,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","ELA","Y",16,16,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Math","N",134,134,100.0,134,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Math","Y",16,16,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","ELA","N",149,149,100.0,149,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","ELA","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Math","N",149,149,100.0,149,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Math","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","ELA","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","ELA","N",494,494,100.0,494,109,22.1,139,28.1,"*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","ELA","Y",47,46,97.9,46,32,69.6,"*","*","*","*",0,0.0,"*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Math","N",494,494,100.0,494,136,27.5,136,27.5,"*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Math","Y",47,46,97.9,46,31,67.4,10,21.7,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","ELA","N",242,242,100.0,242,124,51.2,74,30.6,38,15.7,6,2.5,44,18.2
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","ELA","Y",70,69,98.6,69,63,91.3,6,8.7,0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Math","N",242,242,100.0,242,165,68.2,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Math","Y",70,69,98.6,69,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","ELA","N",149,149,100.0,149,75,50.3,"*","*","*","*",8,5.4,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","ELA","Y",25,25,100.0,25,23,92.0,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Math","N",149,149,100.0,149,92,61.7,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Math","Y",25,25,100.0,25,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","ELA","N",217,217,100.0,217,61,28.1,68,31.3,"*","*",25,11.5,"*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","ELA","Y",36,36,100.0,36,28,77.8,7,19.4,"*","*",0,0.0,"*","*"
