"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, All Schools, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)",,,,
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","All Grades","Push Up",92.1,95.2,94.9,90.5,96.2
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","All Grades","Push Up",63.3,47.6,47.2,62.7,38.8
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","All Grades","Push Up",89.0,88.8,90.4,79.1,84.8
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","All Grades","Push Up",65.6,73.6,75.4,58.2,67.2
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","All Grades","Push Up",62.8,60.0,53.3,48.4,66.0
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","All Grades","Push Up",61.5,59.4,45.5,60.8,55.7
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","All Grades","Push Up",81.8,79.5,79.4,76.1,89.8
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","All Grades","Push Up",59.5,62.0,58.9,66.9,68.8
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","All Grades","Push Up",68.8,79.2,74.5,72.0,68.6
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","All Grades","Push Up",65.5,53.6,63.2,65.4,61.1
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","All Grades","Push Up",61.1,49.7,61.7,58.8,57.4
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","All Grades","Push Up",60.4,62.0,56.5,52.5,44.0
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""","All Grades","Push Up","N/A","N/A","N/A","N/A",68.4
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","All Grades","Push Up",67.5,64.5,69.5,72.0,74.2
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","All Grades","Push Up",75.7,78.1,68.9,77.0,74.7
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","All Grades","Push Up",83.2,74.9,85.7,87.5,85.4
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","All Grades","Push Up",63.9,70.9,59.5,71.1,64.3
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","All Grades","Push Up",74.2,77.8,73.4,69.4,66.3
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","All Grades","Push Up",59.6,52.8,58.1,57.1,65.0
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","All Grades","Push Up","N/A","N/A","N/A","N/A",0.0
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","All Grades","Push Up",88.6,85.5,78.5,78.4,75.8
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","All Grades","Push Up","N/A","N/A","N/A","N/A",25.0
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","All Grades","Push Up",78.6,71.4,80.6,94.4,85.2
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","All Grades","Push Up",69.6,79.8,77.2,69.4,84.5
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","All Grades","Push Up","N/A","N/A","N/A","N/A",0.0
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","All Grades","Push Up",94.8,91.1,72.6,88.3,82.8
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","All Grades","Push Up",60.4,55.1,60.2,69.5,59.8
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","All Grades","Push Up",83.9,87.4,98.2,88.0,66.2
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","All Grades","Push Up",90.7,83.3,88.8,80.2,88.8
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","All Grades","Push Up",78.8,70.9,79.9,81.5,81.1
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","All Grades","Push Up","N/A","*","N/A","*",0.0
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","All Grades","Push Up",50.7,44.9,46.8,48.7,34.4
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","All Grades","Push Up",75.7,84.2,74.0,81.7,84.4
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","All Grades","Push Up",55.4,63.1,55.1,66.7,54.9
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","All Grades","Push Up",80.0,41.0,66.7,71.8,45.8
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","All Grades","Push Up",37.5,18.7,27.5,22.6,42.4
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","All Grades","Push Up",38.6,53.2,34.5,31.9,31.9
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","All Grades","Push Up",51.1,49.3,68.8,65.4,73.1
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","All Grades","Push Up",41.0,37.5,38.2,40.5,40.9
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","All Grades","Push Up",51.0,63.3,46.0,66.7,59.6
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","All Grades","Push Up",79.2,86.6,76.6,62.6,68.4
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","All Grades","Push Up",31.9,60.9,66.2,61.4,69.2
"Danbury School District","=""0340011""","South Street School","=""0341011""","All Grades","Push Up",76.9,83.3,52.4,58.0,48.3
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","All Grades","Push Up",64.0,53.5,41.2,55.6,64.7
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magne","=""0341911""","All Grades","Push Up",85.7,80.4,88.2,82.5,78.9
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""","All Grades","Push Up","N/A","N/A","N/A",82.9,81.0
"Darien School District","=""0350011""","Darien High School","=""0356111""","All Grades","Push Up",76.2,81.5,91.6,89.0,92.8
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","All Grades","Push Up",85.3,76.3,69.4,100.0,95.1
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","All Grades","Push Up",95.5,96.2,98.7,94.0,98.6
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""","All Grades","Push Up",91.2,85.8,91.5,88.8,89.8
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","All Grades","Push Up",96.3,92.3,96.5,91.5,87.0
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","All Grades","Push Up",98.8,95.4,93.9,93.9,97.1
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","All Grades","Push Up",87.3,86.1,89.5,89.5,98.7
