"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, All Students"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",05,73,73,100.0,73,"*","*",17,23.3,26,35.6,23,31.5,"*","*","*","*",235
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",08,72,72,100.0,72,13,18.1,"*","*",20,27.8,22,30.6,"*","*","*","*",238
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",05,45,45,100.0,45,6,13.3,6,13.3,11,24.4,15,33.3,7,15.6,22,48.9,242
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",08,45,45,100.0,45,"*","*",6,13.3,7,15.6,22,48.9,"*","*","*","*",248
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",05,40,40,100.0,40,13,32.5,12,30.0,"*","*","*","*",0,0.0,"*","*",198
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",08,44,44,100.0,44,30,68.2,7,15.9,"*","*","*","*",0,0.0,"*","*",187
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",05,107,107,100.0,107,24,22.4,36,33.6,24,22.4,23,21.5,0,0.0,23,21.5,212
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",08,157,154,98.1,154,63,40.9,27,17.5,31,20.1,33,21.4,0,0.0,33,21.4,214
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",05,34,33,97.1,33,16,48.5,"*","*",9,27.3,"*","*",0,0.0,"*","*",194
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",08,44,42,95.5,42,15,35.7,9,21.4,11,26.2,"*","*","*","*",7,16.7,213
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",05,66,65,98.5,65,22,33.8,18,27.7,17,26.2,"*","*","*","*",8,12.3,202
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",08,101,101,100.0,101,50,49.5,22,21.8,17,16.8,"*","*","*","*",12,11.9,204
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",05,42,42,100.0,42,"*","*",11,26.2,13,31.0,10,23.8,"*","*","*","*",232
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",08,50,50,100.0,50,7,14.0,"*","*",8,16.0,25,50.0,"*","*","*","*",248
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",05,48,48,100.0,48,"*","*","*","*",15,31.3,24,50.0,"*","*","*","*",249
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",08,48,48,100.0,48,"*","*","*","*",13,27.1,24,50.0,"*","*","*","*",247
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",10,248,225,90.7,217,134,61.8,52,24.0,26,12.0,"*","*","*","*","*","*",186
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",10,427,382,89.5,376,121,32.2,81,21.5,102,27.1,46,12.2,26,6.9,72,19.1,219
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",10,260,169,65.0,141,78,55.3,30,21.3,26,18.4,"*","*","*","*",7,5.0,192
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",05,11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",08,7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",05,67,67,100.0,67,"*","*",6,9.0,15,22.4,33,49.3,9,13.4,42,62.7,259
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",05,114,113,99.1,113,10,8.8,20,17.7,18,15.9,46,40.7,19,16.8,65,57.5,255
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",08,93,92,98.9,92,13,14.1,"*","*",18,19.6,51,55.4,"*","*","*","*",245
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""",05,73,73,100.0,73,"*","*",12,16.4,17,23.3,36,49.3,"*","*","*","*",247
"Bristol School District","=""0170011""","Stafford School","=""0171211""",05,72,72,100.0,72,"*","*","*","*",15,20.8,40,55.6,8,11.1,48,66.7,260
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",05,65,65,100.0,65,"*","*","*","*",10,15.4,36,55.4,12,18.5,48,73.8,264
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",05,59,59,100.0,59,"*","*","*","*",20,33.9,30,50.8,0,0.0,30,50.8,245
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",05,70,70,100.0,70,"*","*","*","*",14,20.0,31,44.3,14,20.0,45,64.3,261
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",05,114,113,99.1,113,7,6.2,14,12.4,21,18.6,46,40.7,25,22.1,71,62.8,259
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",08,105,103,98.1,103,12,11.7,6,5.8,22,21.4,50,48.5,13,12.6,63,61.2,256
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",05,6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",10,16,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chms Goal","=""0173411""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",08,221,217,98.2,217,18,8.3,18,8.3,41,18.9,96,44.2,44,20.3,140,64.5,262
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",08,129,129,100.0,129,8,6.2,8,6.2,22,17.1,66,51.2,25,19.4,91,70.5,263
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",10,253,249,98.4,249,27,10.8,29,11.6,107,43.0,49,19.7,37,14.9,86,34.5,247
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",10,287,277,96.5,277,23,8.3,28,10.1,87,31.4,66,23.8,73,26.4,139,50.2,264
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",05,191,188,98.4,188,7,3.7,8,4.3,20,10.6,81,43.1,72,38.3,153,81.4,284
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",08,201,199,99.0,199,13,6.5,8,4.0,16,8.0,93,46.7,69,34.7,162,81.4,277
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",10,221,218,98.6,218,0,0.0,6,2.8,65,29.8,62,28.4,85,39.0,147,67.4,285
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",05,102,102,100.0,102,"*","*","*","*",17,16.7,47,46.1,30,29.4,77,75.5,277
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",08,107,105,98.1,105,"*","*","*","*",10,9.5,63,60.0,24,22.9,87,82.9,274
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",05,9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",08,11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",05,"*","*","*","*","*","*","*","*","*","*","*","*",9,17.3,"*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",08,63,63,100.0,63,"*","*","*","*",11,17.5,44,69.8,"*","*","*","*",255
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",05,137,137,100.0,137,"*","*","*","*",12,8.8,56,40.9,55,40.1,111,81.0,284
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",08,140,140,100.0,140,"*","*","*","*",17,12.1,82,58.6,32,22.9,114,81.4,273
"Canton School District","=""0230011""","Canton High School","=""0236111""",10,126,122,96.8,122,"*","*","*","*",14,11.5,39,32.0,64,52.5,103,84.4,298
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",08,38,38,100.0,38,12,31.6,"*","*",8,21.1,"*","*",0,0.0,"*","*",223
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",10,38,37,97.4,37,11,29.7,16,43.2,"*","*","*","*",0,0.0,"*","*",200
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",05,63,63,100.0,63,"*","*","*","*",16,25.4,23,36.5,13,20.6,36,57.1,256
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",05,57,56,98.2,56,"*","*",7,12.5,12,21.4,27,48.2,"*","*","*","*",253
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",05,53,52,98.1,52,"*","*",13,25.0,12,23.1,15,28.8,"*","*","*","*",225
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",05,59,59,100.0,59,"*","*","*","*",13,22.0,22,37.3,10,16.9,32,54.2,248
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",05,38,38,100.0,38,"*","*",7,18.4,9,23.7,13,34.2,"*","*","*","*",230
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",05,43,41,95.3,41,0,0.0,"*","*",13,31.7,17,41.5,"*","*","*","*",258
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",08,198,197,99.5,197,24,12.2,19,9.6,22,11.2,86,43.7,46,23.4,132,67.0,262
