"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, All Students"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",08,109,109,100.0,109,"*","*","*","*",18,16.5,41,37.6,32,29.4,73,67.0,265
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",10,109,105,96.3,103,"*","*","*","*",24,23.3,16,15.5,49,47.6,65,63.1,288
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",08,53,53,100.0,53,12,22.6,"*","*",10,18.9,22,41.5,"*","*","*","*",236
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",10,79,78,98.7,78,24,30.8,29,37.2,19,24.4,"*","*","*","*",6,7.7,209
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",08,105,104,99.0,104,20,19.2,15,14.4,19,18.3,40,38.5,10,9.6,50,48.1,242
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",08,106,105,99.1,105,12,11.4,18,17.1,21,20.0,41,39.0,13,12.4,54,51.4,249
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",10,106,103,97.2,103,8,7.8,24,23.3,40,38.8,21,20.4,10,9.7,31,30.1,243
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",10,112,104,92.9,103,20,19.4,25,24.3,32,31.1,14,13.6,12,11.7,26,25.2,230
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",08,63,63,100.0,63,7,11.1,"*","*",21,33.3,29,46.0,"*","*","*","*",241
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",10,100,100,100.0,100,21,21.0,21,21.0,41,41.0,"*","*","*","*",17,17.0,225
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",10,103,100,97.1,99,20,20.2,19,19.2,33,33.3,16,16.2,11,11.1,27,27.3,232
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",08,9,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",10,11,8,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",10,6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",05,22,22,100.0,22,"*","*","*","*",7,31.8,12,54.5,"*","*","*","*",254
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",05,52,52,100.0,52,"*","*",0,0.0,"*","*",32,61.5,16,30.8,48,92.3,285
"Cheshire School District","=""0250011""","Highland School","=""0250411""",05,130,130,100.0,130,"*","*","*","*",17,13.1,59,45.4,48,36.9,107,82.3,286
"Cheshire School District","=""0250011""","Norton School","=""0250511""",05,72,71,98.6,71,0,0.0,"*","*","*","*",25,35.2,40,56.3,65,91.5,304
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",05,93,93,100.0,93,"*","*","*","*",18,19.4,44,47.3,24,25.8,68,73.1,272
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",08,354,352,99.4,352,11,3.1,17,4.8,37,10.5,188,53.4,99,28.1,287,81.5,277
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",10,340,336,98.8,333,"*","*","*","*",87,26.1,107,32.1,123,36.9,230,69.1,284
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",05,35,35,100.0,35,0,0.0,0,0.0,8,22.9,15,42.9,12,34.3,27,77.1,283
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",05,176,176,100.0,176,"*","*","*","*",35,19.9,82,46.6,46,26.1,128,72.7,271
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",08,160,159,99.4,159,"*","*","*","*",23,14.5,78,49.1,40,25.2,118,74.2,271
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",10,132,128,97.0,128,13,10.2,10,7.8,25,19.5,34,26.6,46,35.9,80,62.5,268
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",05,201,201,100.0,201,"*","*","*","*",33,16.4,105,52.2,52,25.9,157,78.1,279
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",08,189,189,100.0,189,"*","*","*","*",24,12.7,101,53.4,51,27.0,152,80.4,276
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",10,219,217,99.1,216,7,3.2,15,6.9,57,26.4,50,23.1,87,40.3,137,63.4,277
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",05,10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",05,"*","*","*","*","*","*","*","*","*","*","*","*",15,26.3,"*","*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",08,59,59,100.0,59,"*","*","*","*",10,16.9,34,57.6,"*","*","*","*",260
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",10,50,46,92.0,46,8,17.4,10,21.7,13,28.3,8,17.4,7,15.2,15,32.6,242
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",10,204,204,100.0,203,34,16.7,50,24.6,95,46.8,"*","*","*","*",24,11.8,223
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",10,170,168,98.8,168,"*","*","*","*",90,53.6,33,19.6,22,13.1,55,32.7,252
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",10,156,156,100.0,155,"*","*","*","*",60,38.7,33,21.3,40,25.8,73,47.1,265
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",10,133,131,98.5,131,37,28.2,"*","*",57,43.5,"*","*",0,0.0,"*","*",210
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",10,195,195,100.0,195,35,17.9,70,35.9,80,41.0,"*","*","*","*","*","*",214
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",10,153,153,100.0,153,10,6.5,39,25.5,71,46.4,23,15.0,10,6.5,33,21.6,237
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",10,170,170,100.0,170,"*","*","*","*",79,46.5,30,17.6,32,18.8,62,36.5,254
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",10,121,120,99.2,120,10,8.3,23,19.2,44,36.7,25,20.8,18,15.0,43,35.8,245
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",10,157,157,100.0,157,10,6.4,24,15.3,62,39.5,32,20.4,29,18.5,61,38.9,252
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",10,164,163,99.4,163,"*","*","*","*",70,42.9,46,28.2,33,20.2,79,48.5,265
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",10,115,115,100.0,115,9,7.8,19,16.5,61,53.0,15,13.0,11,9.6,26,22.6,239
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",10,169,169,100.0,168,"*","*","*","*",91,54.2,36,21.4,27,16.1,63,37.5,257
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",10,192,192,100.0,192,6,3.1,12,6.3,103,53.6,47,24.5,24,12.5,71,37.0,255
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",10,137,137,100.0,137,12,8.8,20,14.6,54,39.4,31,22.6,20,14.6,51,37.2,248
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",10,142,142,100.0,142,8,5.6,20,14.1,71,50.0,30,21.1,13,9.2,43,30.3,245
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",10,202,202,100.0,202,10,5.0,40,19.8,99,49.0,30,14.9,23,11.4,53,26.2,244
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",10,106,106,100.0,106,6,5.7,18,17.0,45,42.5,17,16.0,20,18.9,37,34.9,252
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",05,41,41,100.0,41,"*","*","*","*",8,19.5,17,41.5,9,22.0,26,63.4,260
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",08,28,28,100.0,28,"*","*","*","*","*","*",15,53.6,"*","*","*","*",253
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",05,11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",08,25,25,100.0,25,10,40.0,"*","*",7,28.0,"*","*",0,0.0,"*","*",216
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",10,16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",05,11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",08,19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",05,115,114,99.1,114,0,0.0,6,5.3,17,14.9,52,45.6,39,34.2,91,79.8,282
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",08,138,136,98.6,136,"*","*",10,7.4,"*","*",86,63.2,30,22.1,116,85.3,275
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",10,111,110,99.1,109,"*","*","*","*",30,27.5,17,15.6,51,46.8,68,62.4,287
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",05,175,175,100.0,175,6,3.4,17,9.7,42,24.0,73,41.7,37,21.1,110,62.9,262
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",08,142,142,100.0,142,6,4.2,10,7.0,29,20.4,71,50.0,26,18.3,97,68.3,265
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",10,147,146,99.3,146,6,4.1,10,6.8,58,39.7,39,26.7,33,22.6,72,49.3,265
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",05,65,64,98.5,64,6,9.4,14,21.9,16,25.0,20,31.3,8,12.5,28,43.8,241
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",08,100,100,100.0,100,6,6.0,6,6.0,18,18.0,53,53.0,17,17.0,70,70.0,263
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",05,52,52,100.0,52,"*","*",17,32.7,18,34.6,10,19.2,"*","*","*","*",223
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",05,87,87,100.0,87,16,18.4,13,14.9,21,24.1,29,33.3,8,9.2,37,42.5,234
"Danbury School District","=""0340011""","South Street School","=""0341011""",05,58,57,98.3,57,"*","*",15,26.3,17,29.8,17,29.8,"*","*","*","*",226
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",05,55,54,98.2,54,15,27.8,"*","*","*","*",19,35.2,8,14.8,27,50.0,231
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",05,87,86,98.9,86,8,9.3,18,20.9,20,23.3,33,38.4,7,8.1,40,46.5,240
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",05,64,64,100.0,64,12,18.8,16,25.0,22,34.4,14,21.9,0,0.0,14,21.9,215
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",05,59,58,98.3,58,"*","*",7,12.1,19,32.8,23,39.7,"*","*","*","*",249
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",05,90,90,100.0,90,12,13.3,16,17.8,24,26.7,31,34.4,7,7.8,38,42.2,239
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",05,190,188,98.9,188,16,8.5,28,14.9,48,25.5,71,37.8,25,13.3,96,51.1,248
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",05,60,59,98.3,59,0,0.0,7,11.9,12,20.3,28,47.5,12,20.3,40,67.8,266
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",08,352,350,99.4,350,59,16.9,37,10.6,92,26.3,148,42.3,14,4.0,162,46.3,239
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",08,352,349,99.1,349,94,26.9,55,15.8,73,20.9,112,32.1,15,4.3,127,36.4,228
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",10,704,690,98.0,689,145,21.0,124,18.0,233,33.8,121,17.6,66,9.6,187,27.1,232
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",10,23,23,100.0,23,9,39.1,8,34.8,6,26.1,0,0.0,0,0.0,0,0.0,198
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",05,94,93,98.9,93,0,0.0,"*","*","*","*",35,37.6,47,50.5,82,88.2,295
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",05,63,63,100.0,63,0,0.0,"*","*","*","*",30,47.6,19,30.2,49,77.8,276
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",05,60,60,100.0,60,0,0.0,"*","*","*","*",27,45.0,27,45.0,54,90.0,291
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",05,67,67,100.0,67,"*","*","*","*",12,17.9,24,35.8,28,41.8,52,77.6,287
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",05,69,69,100.0,69,"*","*","*","*",8,11.6,37,53.6,21,30.4,58,84.1,281
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",08,373,369,98.9,369,"*","*","*","*",20,5.4,161,43.6,176,47.7,337,91.3,294
"Darien School District","=""0350011""","Darien High School","=""0356111""",10,349,337,96.6,336,"*","*","*","*",64,19.0,90,26.8,172,51.2,262,78.0,296
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",05,"*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Irving School","=""0370411""",05,52,52,100.0,52,"*","*",11,21.2,11,21.2,21,40.4,"*","*","*","*",241
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",05,55,55,100.0,55,"*","*",10,18.2,19,34.5,18,32.7,"*","*","*","*",244
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",08,96,95,99.0,95,23,24.2,22,23.2,16,16.8,27,28.4,7,7.4,34,35.8,230
"Derby School District","=""0370011""","Derby High School","=""0376111""",10,80,78,97.5,78,14,17.9,15,19.2,24,30.8,14,17.9,11,14.1,25,32.1,237
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",05,73,73,100.0,73,"*","*","*","*",11,15.1,28,38.4,30,41.1,58,79.5,286
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",08,62,62,100.0,62,"*","*","*","*",10,16.1,32,51.6,"*","*","*","*",265
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",10,"*","*","*","*","*","*","*","*","*","*","*","*",28,49.1,"*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",05,68,68,100.0,68,"*","*","*","*","*","*",33,48.5,27,39.7,60,88.2,287
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",08,102,99,97.1,99,"*","*","*","*",19,19.2,62,62.6,10,10.1,72,72.7,261
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",10,85,84,98.8,84,"*","*","*","*",38,45.2,12,14.3,24,28.6,36,42.9,264
"East Hampton School District","=""0420011""","Center School","=""0420311""",05,134,130,97.0,130,"*","*","*","*",20,15.4,63,48.5,32,24.6,95,73.1,269
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",08,148,146,98.6,146,"*","*","*","*",23,15.8,72,49.3,37,25.3,109,74.7,271
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",10,107,106,99.1,106,"*","*","*","*",30,28.3,24,22.6,43,40.6,67,63.2,279
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",05,50,50,100.0,50,"*","*",11,22.0,15,30.0,16,32.0,"*","*","*","*",235
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",05,37,37,100.0,37,"*","*","*","*",16,43.2,12,32.4,0,0.0,12,32.4,230
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",05,58,58,100.0,58,12,20.7,"*","*",18,31.0,15,25.9,"*","*","*","*",225
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",05,43,43,100.0,43,12,27.9,9,20.9,16,37.2,6,14.0,0,0.0,6,14.0,212
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",05,92,92,100.0,92,12,13.0,"*","*",35,38.0,35,38.0,"*","*","*","*",234
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",05,36,36,100.0,36,9,25.0,12,33.3,9,25.0,"*","*","*","*",6,16.7,211
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",05,75,75,100.0,75,"*","*",20,26.7,22,29.3,18,24.0,"*","*","*","*",219
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",05,63,63,100.0,63,"*","*","*","*",8,12.7,31,49.2,14,22.2,45,71.4,265
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",05,50,50,100.0,50,13,26.0,10,20.0,20,40.0,"*","*","*","*",7,14.0,214
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",08,476,471,98.9,471,160,34.0,73,15.5,84,17.8,123,26.1,31,6.6,154,32.7,227
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",10,372,354,95.2,353,63,17.8,85,24.1,127,36.0,46,13.0,32,9.1,78,22.1,230
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",10,51,51,100.0,51,0,0.0,"*","*",18,35.3,21,41.2,"*","*","*","*",273
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",10,29,13,44.8,13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",05,11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
