"Primary Disability (K-12), Trend"
"All Districts, Other Disabilities"

"",,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,,"2016-17",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Plainfield School District","=""1090011""",28,1.2,9.6,25,1.1,9.1,26,1.2,8.4,22,1.0,7.3,27,1.3,9.0
"Plainville School District","=""1100011""",39,1.6,12.5,39,1.6,12.0,45,1.9,14.3,38,1.6,12.5,31,1.3,10.6
"Plymouth School District","=""1110011""",13,0.7,5.3,14,0.8,6.0,"*","*","*",15,0.9,6.4,"*","*","*"
"Pomfret School District","=""1120011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","*","*","*","*","*","*",11,0.8,8.0,10,0.7,7.1,6,0.4,4.5
"Preston School District","=""1140011""",9,1.5,11.0,8,1.3,8.8,10,1.7,9.7,7,1.1,7.1,7,1.2,6.8
"Putnam School District","=""1160011""",10,0.8,5.7,15,1.3,7.9,12,1.0,6.7,13,1.1,6.8,15,1.3,7.6
"Redding School District","=""1170011""",6,0.6,4.5,"*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""",6,1.4,10.3,8,1.9,13.1,"*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 05","=""2050012""",15,0.6,5.4,14,0.6,5.2,15,0.6,5.6,16,0.7,5.8,13,0.6,4.7
"Regional School District 06","=""2060012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""",6,0.6,5.3,6,0.6,5.0,"*","*","*",7,0.7,5.8,"*","*","*"
"Regional School District 08","=""2080012""",7,0.4,3.1,6,0.3,2.7,7,0.4,3.2,7,0.4,3.5,9,0.5,4.5
"Regional School District 09","=""2090012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","=""2100012""",16,0.6,6.1,12,0.5,4.8,20,0.8,7.9,21,0.9,8.5,26,1.1,10.3
"Regional School District 11","=""2110012""",7,2.1,10.1,6,1.9,9.5,8,2.6,11.3,8,2.8,13.1,8,2.8,14.0
"Regional School District 12","=""2120012""",7,0.9,5.6,8,1.1,6.3,"*","*","*","*","*","*","*","*","*"
"Regional School District 13","=""2130012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 14","=""2140012""",10,0.6,5.0,8,0.5,4.3,"*","*","*","*","*","*","*","*","*"
"Regional School District 15","=""2150012""",37,0.9,7.5,32,0.8,6.8,43,1.1,9.1,38,1.0,7.6,47,1.3,8.5
"Regional School District 16","=""2160012""",21,0.9,7.9,22,0.9,7.7,19,0.8,6.0,24,1.1,7.6,19,0.9,6.5
"Regional School District 17","=""2170012""",22,1.0,7.1,21,0.9,6.6,27,1.2,8.2,30,1.4,8.7,26,1.2,7.4
"Regional School District 18","=""2180012""",6,0.4,3.8,10,0.7,6.2,9,0.7,5.5,7,0.5,4.4,6,0.5,3.8
"Regional School District 19","=""2190012""",7,0.6,4.0,8,0.8,4.8,8,0.8,4.8,"*","*","*",10,1.1,6.4
"Ridgefield School District","=""1180011""",14,0.3,3.1,10,0.2,2.2,19,0.4,4.1,18,0.4,4.0,22,0.4,4.7
"Rocky Hill School District","=""1190011""",20,0.8,9.2,22,0.9,9.7,18,0.7,7.5,23,0.8,8.8,21,0.8,7.9
"Salem School District","=""1210011""","*","*","*","*","*","*",6,0.9,7.8,"*","*","*","*","*","*"
"Salisbury School District","=""1220011""",7,2.4,20.0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Scotland School District","=""1230011""","*","*","*","*","*","*","*","*","*","*","*","*",0,0,0
"Seymour School District","=""1240011""",11,0.5,4.5,15,0.6,5.9,12,0.5,4.5,14,0.6,5.2,19,0.9,6.5
"Sharon School District","=""1250011""","*","*","*","*","*","*","*","*","*",0,0,0,"*","*","*"
"Shelton School District","=""1260011""",23,0.4,4.0,22,0.4,3.6,28,0.6,4.5,28,0.6,4.3,34,0.7,5.1
"Sherman School District","=""1270011""",8,1.5,11.6,7,1.3,10.6,8,1.6,11.1,"*","*","*","*","*","*"
"Simsbury School District","=""1280011""",17,0.4,3.2,20,0.5,3.7,23,0.5,4.1,22,0.5,4.0,19,0.5,3.4
"Somers School District","=""1290011""",15,1.0,9.1,20,1.3,11.7,15,1.0,9.4,"*","*","*",10,0.7,5.4
