"District","District Code","School","School Code","Gender","Count","%"
"Middletown School District","=""0830011""","MacDonough School","=""0830911""","Male",9,8.4
"Middletown School District","=""0830011""","Middletown High School","=""0836211""","Female",112,17.5
"Middletown School District","=""0830011""","Middletown High School","=""0836211""","Male",188,28.5
"Middletown School District","=""0830011""","Moody School","=""0831211""","Female","*","*"
"Middletown School District","=""0830011""","Moody School","=""0831211""","Male","*","*"
"Middletown School District","=""0830011""","Snow School","=""0831111""","Female","*","*"
"Middletown School District","=""0830011""","Snow School","=""0831111""","Male","*","*"
"Middletown School District","=""0830011""","Spencer School","=""0830111""","Female","*","*"
"Middletown School District","=""0830011""","Spencer School","=""0830111""","Male","N/A","N/A"
"Middletown School District","=""0830011""","Wesley School","=""0831411""","Female","N/A","N/A"
"Middletown School District","=""0830011""","Wesley School","=""0831411""","Male","N/A","N/A"
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""","Female",48,13.4
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""","Male",84,21.5
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","Female",9,3.7
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","Male",48,16.0
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","Female",24,9.9
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","Male",21,8.1
"New Haven School District","=""0930011""","Beecher School","=""0930311""","Female",20,9.3
"New Haven School District","=""0930011""","Beecher School","=""0930311""","Male",38,15.4
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Female",21,9.3
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Male",40,14.9
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","Female",28,9.3
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","Male",41,23.4
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","Female",9,3.8
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","Male",30,12.6
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Female",20,8.8
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Male",54,20.5
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""","Female","*","*"
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""","Male","*","*"
"New Haven School District","=""0930011""","Clarence Rogers School","=""0930511""","Female","*","*"
"New Haven School District","=""0930011""","Clarence Rogers School","=""0930511""","Male","*","*"
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","Female",7,3.4
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","Male",30,14.4
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""","Female",18,8.1
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""","Male",23,9.4
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""","Female",20,6.2
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""","Male",51,16.4
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","Female",41,11.2
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","Male",20,12.6
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""","Female","N/A","N/A"
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""","Male","N/A","N/A"
"New Haven School District","=""0930011""","Dwight Early Childhood Program","=""0938211""","Female","N/A","*"
"New Haven School District","=""0930011""","Dwight Early Childhood Program","=""0938211""","Male","N/A","N/A"
"New Haven School District","=""0930011""","Early Learning Center","=""0938111""","Female","N/A","N/A"
"New Haven School District","=""0930011""","Early Learning Center","=""0938111""","Male","N/A","N/A"
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""","Female",13,5.4
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""","Male",45,16.0
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","Female",17,7.7
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","Male",20,8.7
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""","Female","N/A","N/A"
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""","Male",9,9.5
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""","Female",20,6.9
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""","Male",61,18.6
"New Haven School District","=""0930011""","Headstart","=""0938011""","Female","N/A","N/A"
"New Haven School District","=""0930011""","Headstart","=""0938011""","Male","N/A","N/A"
"New Haven School District","=""0930011""","Helene Grant HeadStart","=""0938311""","Female","N/A","N/A"
"New Haven School District","=""0930011""","Helene Grant HeadStart","=""0938311""","Male","N/A","N/A"
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","Female",24,13.6
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","Male",27,20.5
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""","Female",12,6.7
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""","Male",28,14.7
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","Female",39,9.0
