"Four-Year Graduation Rates, Trend"
"All Districts, All Schools, All Students"

"",,"Graduates",,,,
"",,"Four-Year Graduation Rate by Year",,,,
"District","School","2010-11","2011-12","2012-13","2013-14","2014-15"
"Somers School District","Somers High School",95.1,97.1,96.6,96.9,95.3
"South Windsor School District","South Windsor High School",91.8,95.2,95.5,97.0,95.6
"Southington School District","Southington High School",91.5,92.5,91.2,94.3,95.9
"Stafford School District","Stafford High School",75.6,87.9,87.4,95.0,94.4
"Stamford Academy District","Stamford Academy",36.4,44.4,27.0,24.6,33.3
"Stamford School District","Stamford High School",85.5,84.2,89.0,91.1,88.7
"Stamford School District","The Academy of Information Technology",93.7,98.2,99.4,98.8,98.8
"Stamford School District","Westhill High School",84.5,83.0,85.9,88.2,88.3
"Stonington School District","Stonington High School",93.8,94.4,95.9,94.8,92.3
"Stratford School District","Bunnell High School",88.4,87.3,94.1,97.9,96.0
"Stratford School District","Stratford High School",89.3,90.3,90.9,93.0,92.4
"Suffield School District","Suffield High School",95.3,92.1,93.6,95.3,96.2
"The Bridge Academy District","The Bridge Academy",85.7,76.2,88.6,88.2,87.5
"The Gilbert School District","The Gilbert School",82.9,91.2,82.1,91.6,90.0
"Thomaston School District","Thomaston High School",92.2,93.3,93.6,93.0,98.4
"Thompson School District","Tourtellotte Memorial High School",88.3,85.9,90.6,91.7,93.9
"Tolland School District","Tolland High School",92.8,97.4,94.2,92.0,97.5
"Torrington School District","Torrington High School",78.1,79.9,86.6,87.5,87.6
"Trumbull School District","Trumbull High School",98.0,98.1,98.4,97.3,98.7
"Vernon School District","Rockville High School",82.9,82.5,83.0,83.6,87.1
"Wallingford School District","Lyman Hall High School",88.0,93.6,91.6,90.9,93.7
"Wallingford School District","Mark T. Sheehan High School",87.1,94.6,93.6,96.0,95.3
"Waterbury School District","Crosby High School",60.9,60.2,65.2,72.0,69.7
"Waterbury School District","John F. Kennedy High School",72.7,64.9,69.4,67.7,70.6
"Waterbury School District","Waterbury Arts Magnet School (High)",96.6,95.3,86.8,96.7,93.3
"Waterbury School District","Wilby High School",62.4,63.1,72.2,65.8,71.1
"Waterford School District","Waterford High School",91.9,92.1,93.3,94.9,94.8
"Watertown School District","Watertown High School",87.8,91.7,87.1,91.7,90.5
"West Hartford School District","Conard High School",88.5,92.9,94.8,96.2,95.0
"West Hartford School District","Hall High School",95.1,95.2,95.1,97.6,97.2
"West Hartford School District","REACH","N/A","N/A","N/A","N/A",90.9
"West Haven School District","West Haven High School",69.4,73.6,70.8,76.3,79.2
"Westbrook School District","Westbrook High School",94.7,91.5,96.1,98.6,97.4
"Weston School District","Weston High School",99.5,100.0,99.5,98.9,96.4
"Westport School District","Staples High School",98.3,98.4,99.4,98.7,99.3
"Wethersfield School District","Wethersfield High School",92.0,91.3,91.7,92.5,91.8
"Wilton School District","Wilton High School",98.7,98.7,97.8,98.6,98.4
"Windham School District","Windham High School",62.5,73.0,76.2,74.0,81.1
"Windsor Locks School District","Windsor Locks High School",85.8,92.4,93.4,97.7,94.8
"Windsor School District","Windsor High School",84.2,85.6,81.9,90.8,92.5
"Wolcott School District","Wolcott High School",93.3,93.6,94.1,95.9,97.7
"Woodstock Academy District","Woodstock Academy",94.3,95.4,96.4,96.7,98.6

