"District","District Code","School","School Code","English Learner Status","Count","%"
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""","English Learner Status","*","*"
"Plainville School District","=""1100011""","Linden Street School","=""1100211""","English Learner Status","N/A","N/A"
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""","English Learner Status","N/A","*"
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""","English Learner Status","*","*"
"Plainville School District","=""1100011""","Plainville High School","=""1106111""","English Learner Status","N/A","*"
"Plainville School District","=""1100011""","Prekindergarten Program","=""1108011""","English Learner Status","N/A","*"
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""","English Learner Status","*","*"
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""","English Learner Status","N/A","*"
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""","English Learner Status","N/A","*"
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""","English Learner Status","N/A","*"
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""","English Learner Status","N/A","*"
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""","English Learner Status","N/A","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""","English Learner Status","N/A","*"
"Portland School District","=""1130011""","Valley View School","=""1130211""","English Learner Status","N/A","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","English Learner Status",11,9.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","English Learner Status",55,28.5
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","English Learner Status","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","English Learner Status","N/A","N/A"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","English Learner Status",23,18.4
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","English Learner Status","N/A","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","English Learner Status","N/A","N/A"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","English Learner Status",34,19.7
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","English Learner Status",12,3.1
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","English Learner Status","N/A","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","English Learner Status","*","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","English Learner Status","*","*"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","English Learner Status",13,15.7
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","English Learner Status","*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","English Learner Status","N/A","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","English Learner Status",6,5.6
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","English Learner Status","N/A","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","English Learner Status","N/A","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","English Learner Status",56,19.4
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","English Learner Status","N/A","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","English Learner Status","N/A","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","English Learner Status","*","*"
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""","English Learner Status",8,12.5
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","English Learner Status",44,16.1
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","English Learner Status","*","*"
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","English Learner Status","*","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","English Learner Status","N/A","N/A"
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""","English Learner Status","N/A","*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","English Learner Status","*","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","English Learner Status","N/A","*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","English Learner Status",10,16.1
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","English Learner Status",46,35.7
"Bridgeport School District","=""0150011""","The University School","=""0159111""","English Learner Status","N/A","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","English Learner Status",10,18.5
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","English Learner Status","N/A","N/A"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","English Learner Status","*","*"
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","English Learner Status","N/A","N/A"
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","English Learner Status","*","*"
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","English Learner Status","N/A","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","English Learner Status",34,33.0
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","English Learner Status",28,34.6
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","English Learner Status","*","*"
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","English Learner Status","*","*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","English Learner Status","N/A","N/A"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","English Learner Status","*","*"
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","English Learner Status","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","English Learner Status","N/A","*"
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","English Learner Status",11,32.4
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","English Learner Status","N/A","*"
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","English Learner Status","N/A","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","English Learner Status","N/A","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","English Learner Status","N/A","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","English Learner Status","N/A","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","English Learner Status","N/A","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","English Learner Status","N/A","*"
"Manchester School District","=""0770011""","Bowers School","=""0770111""","English Learner Status","N/A","N/A"
"Manchester School District","=""0770011""","Buckley School","=""0770311""","English Learner Status","*","*"
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""","English Learner Status","*","*"
"Manchester School District","=""0770011""","Highland Park School","=""0770411""","English Learner Status","N/A","*"
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""","English Learner Status",7,24.1
"Manchester School District","=""0770011""","Keeney School","=""0770611""","English Learner Status","N/A","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""","English Learner Status",14,19.2
"Manchester School District","=""0770011""","Manchester Preschool Center","=""0778011""","English Learner Status","N/A","N/A"
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""","English Learner Status","*","*"
"Manchester School District","=""0770011""","Martin School","=""0771611""","English Learner Status","N/A","*"
"Manchester School District","=""0770011""","Nathan Hale School","=""0770911""","English Learner Status","*","*"
"Manchester School District","=""0770011""","Robertson School","=""0771011""","English Learner Status","N/A","N/A"
"Manchester School District","=""0770011""","Verplanck School","=""0771211""","English Learner Status",6,13.3
"Manchester School District","=""0770011""","Waddell School","=""0771311""","English Learner Status","*","*"
"Manchester School District","=""0770011""","Washington School","=""0771411""","English Learner Status","N/A","N/A"
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""","English Learner Status","N/A","*"
"Mansfield School District","=""0780011""","Annie E. Vinton School","=""0780411""","English Learner Status","N/A","*"
"Mansfield School District","=""0780011""","Dorothy C. Goodwin School","=""0780211""","English Learner Status","N/A","*"
"Mansfield School District","=""0780011""","Mansfield Middle School School","=""0785111""","English Learner Status","N/A","*"
"Mansfield School District","=""0780011""","Southeast Elementary School","=""0780511""","English Learner Status","N/A","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""","English Learner Status","N/A","N/A"
"Derby School District","=""0370011""","Derby High School","=""0376111""","English Learner Status","*","*"
"Derby School District","=""0370011""","Derby Middle School","=""0375011""","English Learner Status","N/A","*"
"Derby School District","=""0370011""","Irving School","=""0370411""","English Learner Status","*","*"
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","English Learner Status","N/A","*"
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","English Learner Status","N/A","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","English Learner Status","N/A","*"
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","English Learner Status","N/A","*"
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","English Learner Status","N/A","*"
"East Hampton School District","=""0420011""","Center School","=""0420311""","English Learner Status","N/A","*"
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","English Learner Status","N/A","*"
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","English Learner Status","N/A","*"
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","English Learner Status","N/A","N/A"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","English Learner Status","N/A","*"
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","English Learner Status","N/A","*"
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0590311""","English Learner Status","N/A","*"
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","English Learner Status","*","*"
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","English Learner Status","N/A","*"
"Groton School District","=""0590011""","Fitch Middle School","=""0595111""","English Learner Status","N/A","*"
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","English Learner Status","N/A","*"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","English Learner Status","N/A","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","English Learner Status","*","*"
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","English Learner Status","N/A","*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""","English Learner Status","*","*"
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""","English Learner Status","N/A","*"
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""","English Learner Status","N/A","*"
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""","English Learner Status","N/A","*"
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""","English Learner Status","N/A","*"
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""","English Learner Status","N/A","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","English Learner Status","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","English Learner Status","*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","English Learner Status","N/A","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","English Learner Status","N/A","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","English Learner Status","N/A","N/A"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","English Learner Status","N/A","*"
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","English Learner Status",6,6.3
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","English Learner Status",163,35.7
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","English Learner Status","N/A","N/A"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","English Learner Status","N/A","N/A"
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","English Learner Status","*","*"
"Danbury School District","=""0340011""","Head Start","=""0348641""","English Learner Status","N/A","*"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","English Learner Status","N/A","N/A"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","English Learner Status","N/A","N/A"
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""","English Learner Status","N/A","N/A"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","English Learner Status","*","*"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","English Learner Status","*","*"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","English Learner Status","*","*"
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","English Learner Status","*","*"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","English Learner Status",58,31.7
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","English Learner Status","*","*"
"Danbury School District","=""0340011""","South Street School","=""0341011""","English Learner Status","*","*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","English Learner Status","*","*"
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","English Learner Status","N/A","*"
