"Student Counts by School and Year"
"All Districts, All Schools"
"2016-17"

"District","District Code","School","School Code","Count"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",667
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",624
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",319
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",643
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",639
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",783
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",522
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",767
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",474
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",87
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",51
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",14
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",84
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",466
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",140
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",72
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",374
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""",10
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",335
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",465
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",386
"Coventry School District","=""0320011""","Hale Early Education Center","=""0320311""",46
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",563
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",479
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",509
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",438
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",83
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",1011
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",134
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",3041
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",449
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",345
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",467
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",356
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",419
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",349
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",373
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",592
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",348
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",950
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",545
"Danbury School District","=""0340011""","South Street School","=""0341011""",403
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",495
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",393
"Danbury School District","=""0340011""","Western Connection","=""0340711""","*"
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",595
"Darien School District","=""0350011""","Darien High School","=""0356111""",1354
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",491
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",471
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",1133
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",452
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",414
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",486
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",283
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",326
"Derby School District","=""0370011""","Derby High School","=""0376111""",345
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",321
"Derby School District","=""0370011""","Irving School","=""0370411""",329
"Derby School District","=""0370011""","Little Raiders University","=""0370111""",45
"Derby School District","=""0370011""","RAISE Academy","=""0370511""",15
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",191
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",247
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",220
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",198
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",294
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",334
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",398
"East Hampton School District","=""0420011""","Center School","=""0420311""",324
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",488
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",423
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",633
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*"
"East Hartford School District","=""3480015""","Hartford Detention Center","=""3480315""",9
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",319
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",197
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",361
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",329
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",544
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1629
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",1039
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",355
"East Hartford School District","=""0430011""","Hockanum Pre-K","=""0430211""",307
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",363
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",430
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",276
