"CT School Day SAT, 2015-16"
"All Districts, All Subjects, Gender"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Gender","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Math","Female",51,"*","*","*","*","*","*","*","*","*","*",468
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Math","Male",8,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","ELA","Female",49,"*","*",18,36.7,15,30.6,"*","*","*","*",491
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","ELA","Male",38,"*","*",13,34.2,14,36.8,"*","*","*","*",510
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Math","Female",49,24,49.0,18,36.7,"*","*","*","*",7,14.3,431
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Math","Male",38,12,31.6,18,47.4,"*","*","*","*",8,21.1,472
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","ELA","Female",21,"*","*",9,42.9,"*","*",0,0.0,"*","*",453
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","ELA","Male",52,"*","*",14,26.9,12,23.1,"*","*","*","*",423
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Math","Female",21,"*","*",11,52.4,"*","*",0,0.0,"*","*",424
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Math","Male",52,29,55.8,"*","*","*","*",0,0.0,"*","*",407
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
