"District","reportingsdistrictcode","School","School Code","Count","%"
"Avon School District",".","Roaring Brook School","=""0040311""","*","*"
"Avon School District",".","Thompson Brook School","=""0040511""","*","*"
"Ashford School District",".","Ashford School","=""0030111""",14,3.5
"Cheshire School District",".","Chapman School","=""0250111""","*","*"
"Cheshire School District",".","Cheshire High School","=""0256111""",93,6.3
"Cheshire School District",".","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","N/A","*"
"Cheshire School District",".","Darcey School","=""0250211""","N/A","N/A"
"Cheshire School District",".","Dodd Middle School","=""0255111""",26,3.6
"Cheshire School District",".","Doolittle School","=""0250611""",6,1.3
"Cheshire School District",".","Highland School","=""0250411""","*","*"
"Cheshire School District",".","Humiston Alternative School","=""0250911""",8,30.8
"Cheshire School District",".","Norton School","=""0250511""","*","*"
"Chester School District",".","Chester Elementary School","=""0260111""","N/A","N/A"
"Clinton School District",".","Abraham Pierson School","=""0270111""","*","*"
"Clinton School District",".","Jared Eliot School","=""0275111""",11,2.4
"Clinton School District",".","Lewin G. Joel Jr. School","=""0270311""","*","*"
"Clinton School District",".","The Morgan School","=""0276111""",40,7.5
"Colchester School District",".","Bacon Academy","=""0286111""",67,8.0
"Colchester School District",".","Bacon Academy Alternative Education","=""0280511""","N/A","*"
"Colchester School District",".","Colchester Elementary School","=""0280411""","*","*"
"Colchester School District",".","Jack Jackter Intermediate School","=""0280211""",12,2.3
"Colchester School District",".","William J. Johnston Middle School","=""0285111""",22,3.6
"Colebrook School District",".","Colebrook Consolidated School","=""0290111""","*","*"
"Cornwall School District",".","Cornwall Consolidated School","=""0310111""","*","*"
"Essex School District",".","Essex Elementary School","=""0500111""","N/A","N/A"
"Fairfield School District",".","Burr Elementary School","=""0510211""","N/A","N/A"
"Fairfield School District",".","Dwight Elementary School","=""0510111""","N/A","N/A"
"Fairfield School District",".","Early Childhood Center","=""0518011""","N/A","N/A"
"Fairfield School District",".","Fairfield Ludlowe High School","=""0516011""",48,3.2
"Fairfield School District",".","Fairfield School/Community Partnership","=""0510511""","N/A","*"
"Fairfield School District",".","Fairfield Warde High School","=""0516211""",76,5.0
"Fairfield School District",".","Fairfield Woods Middle School","=""0515211""",17,1.9
"Fairfield School District",".","Holland Hill School","=""0510411""","N/A","N/A"
"Fairfield School District",".","Jennings School","=""0511711""","N/A","N/A"
"Fairfield School District",".","McKinley School","=""0510611""","N/A","N/A"
"Fairfield School District",".","Mill Hill School","=""0510711""","N/A","N/A"
"Fairfield School District",".","North Stratfield School","=""0511611""","N/A","N/A"
"Fairfield School District",".","Osborn Hill School","=""0511811""","N/A","N/A"
"Fairfield School District",".","Riverfield School","=""0511211""","N/A","N/A"
"Fairfield School District",".","Roger Ludlowe Middle School","=""0515311""",20,2.5
"Fairfield School District",".","Sherman School","=""0511311""","N/A","N/A"
"Fairfield School District",".","Stratfield School","=""0511411""","N/A","N/A"
"Fairfield School District",".","Tomlinson Middle School","=""0515111""",37,5.4
"Fairfield School District",".","Walter Fitzgerald Campus","=""0510311""",11,35.5
"Canterbury School District",".","Canterbury Elementary School","=""0220211""","N/A","N/A"
"Canterbury School District",".","Dr. Helen Baldwin Middle School","=""0225111""",11,4.7
"Brooklyn School District",".","Brooklyn Elementary School","=""0190111""",15,2.9
"Brooklyn School District",".","Brooklyn Middle School","=""0195111""",44,11.7
"Canaan School District",".","Lee H. Kellogg School","=""0210111""","*","*"
"Canton School District",".","Canton Academy","=""0230411""","*","*"
"Canton School District",".","Canton High School","=""0236111""",16,3.4
"Canton School District",".","Canton Intermediate School","=""0230311""",8,2.0
"Canton School District",".","Canton Middle School","=""0235111""",17,6.0
"Canton School District",".","Cherry Brook Primary School","=""0230211""","N/A","N/A"
"Chaplin School District",".","Chaplin Elementary School","=""0240211""","*","*"
"Ellington School District",".","Center School","=""0480111""",8,2.2
"Ellington School District",".","Crystal Lake School","=""0480211""","*","*"
"Ellington School District",".","Ellington High School","=""0486111""",74,9.6
"Ellington School District",".","Ellington Middle School","=""0485111""",22,5.2
"Ellington School District",".","Windermere Intermediate School","=""0480711""",14,3.1
"Ellington School District",".","Windermere School","=""0480611""",19,4.3
"Ellington School District",".","Windermere School Program for Alternative Learning K-4","=""0480311""","N/A","*"
"Enfield School District",".","EPS PK STEAM Academy","=""0491011""","N/A","N/A"
"Enfield School District",".","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","N/A","*"
"Enfield School District",".","Edgar H. Parkman School","=""0491311""",9,2.7
"Enfield School District",".","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","N/A","*"
"Enfield School District",".","Eli Whitney School","=""0491611""",20,4.8
"Enfield School District",".","Enfield High School","=""0496111""",119,16.3
"Enfield School District",".","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","N/A","*"
"Enfield School District",".","Enfield Street School","=""0490211""","*","*"
"Enfield School District",".","Enfield Transitional Learning Academy","=""0499011""","N/A","*"
"Enfield School District",".","Enrico Fermi High School","=""0496211""",138,16.1
"Enfield School District",".","Hazardville Memorial School","=""0490411""","N/A","N/A"
"Enfield School District",".","Head Start Program","=""0498011""","N/A","N/A"
"Enfield School District",".","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","N/A","*"
"Enfield School District",".","Henry Barnard School","=""0491811""","N/A","N/A"
"Enfield School District",".","John F. Kennedy Middle School","=""0495211""",122,11.1
"Enfield School District",".","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","N/A","*"
"Enfield School District",".","Nathan Hale School","=""0491111""","*","*"
"Enfield School District",".","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","*","*"
"Enfield School District",".","Prudence Crandall School","=""0491511""",9,2.1
"Bristol School District",".","Alternative Special Education Program (ASEP)","=""0179011""","*","*"
"Bristol School District",".","Bristol Central High School","=""0176111""",119,10.3
"Bristol School District",".","Bristol Early Childhood Center-BECC","=""0170411""","N/A","N/A"
"Bristol School District",".","Bristol Eastern High School","=""0176211""",160,13.2
"Bristol School District",".","Bristol Preparatory Academy","=""0173311""",10,19.6
"Bristol School District",".","Chippens Hill Middle School","=""0175111""",101,14.3
"Bristol School District",".","Chippens Hill Middle School Functional Program","=""0171011""","N/A","*"
"Bristol School District",".","Chms Goal","=""0173411""",7,"*"
"Bristol School District",".","Community/Vocational Program","=""0179211""","N/A","*"
"Bristol School District",".","Edgewood School","=""0170311""",20,5.8
"Bristol School District",".","Ellen P. Hubbell School","=""0171411""",15,3.2
"Bristol School District",".","Extended Resource Self-Contained","=""0173611""","*","*"
"Bristol School District",".","Greene-Hills GOAL","=""0170911""","N/A","*"
"Bristol School District",".","Greene-Hills School","=""0170511""",41,4.5
"Bristol School District",".","Hubbell/Extended Resource","=""0172111""","N/A","*"
"Bristol School District",".","Ivy Drive GOAL","=""0172611""","*","*"
"Bristol School District",".","Ivy Drive Medically Fragile","=""0172311""","N/A","*"
"Bristol School District",".","Ivy Drive School","=""0171911""",22,5.5
"Bristol School District",".","Mountain View School","=""0171711""",6,1.6
"Bristol School District",".","Mt. View GOAL","=""0172511""","*","*"
"Bristol School District",".","Northeast MS/Extended Resource","=""0172711""","N/A","*"
"Bristol School District",".","Northeast MS/GOAL","=""0172811""",6,"*"
"Bristol School District",".","Northeast Middle School","=""0175211""",32,7.6
"Bristol School District",".","PreK Autism","=""0172911""","N/A","*"
"Bristol School District",".","South Side Extended Resource","=""0173011""","*","*"
"Bristol School District",".","South Side GOAL","=""0173111""","*","*"
"Bristol School District",".","South Side School","=""0171111""",31,6.4
"Bristol School District",".","Stafford Autism","=""0173211""","N/A","N/A"
"Bristol School District",".","Stafford School","=""0171211""",17,3.8
"Bristol School District",".","West Bristol School","=""0172011""",93,9.8
"Brookfield School District",".","Brookfield High School","=""0186111""",46,5.2
"Brookfield School District",".","Center Elementary School","=""0180311""","*","*"
"Brookfield School District",".","Huckleberry Hill Elementary School","=""0180411""","N/A","N/A"
"Brookfield School District",".","Whisconier Middle School","=""0185311""",37,4.3
"East Lyme School District",".","Coastal Connections","=""0450611""",6,23.1
"East Lyme School District",".","East Lyme High School","=""0456111""",39,3.8
"East Lyme School District",".","East Lyme Middle School","=""0455111""",40,4.7
"East Lyme School District",".","Flanders School","=""0450111""","N/A","N/A"
"East Lyme School District",".","Integrated Preschool","=""0458011""","N/A","N/A"
"East Lyme School District",".","Lillie B. Haynes School","=""0450411""","*","*"
"East Lyme School District",".","Medically Fragile Program (WAVES)","=""0450711""","N/A","*"
"East Lyme School District",".","Niantic Center School","=""0450211""","N/A","N/A"
"East Lyme School District",".","Post High School Transition Program","=""0450511""","N/A","*"
"Easton School District",".","Helen Keller Middle School","=""0465111""",10,3.3
"Easton School District",".","Samuel Staples Elementary School","=""0460111""","*","*"
"East Windsor School District",".","Broad Brook Elementary School","=""0470111""",6,1.6
"East Windsor School District",".","East Windsor High School","=""0476111""",30,9.4
"East Windsor School District",".","East Windsor Middle School","=""0475411""",48,12.4
"East Windsor School District",".","East Windsor Transition Program","=""0470411""","N/A","*"
"East Haven School District",".","Carbone School/East Haven Academy","=""0441711""",25,9.7
"East Haven School District",".","D. C. Moore School","=""0441411""","N/A","N/A"
"East Haven School District",".","Deer Run School","=""0440111""","*","*"
"East Haven School District",".","Dominick H. Ferrara School","=""0441311""","N/A","N/A"
"East Haven School District",".","East Haven High School","=""0446111""",126,14.2
"East Haven School District",".","Grove J. Tuttle School","=""0441011""","N/A","N/A"
"East Haven School District",".","Joseph Melillo Middle School","=""0445111""",93,15.6
"East Haven School District",".","Momauguin School","=""0440711""","N/A","N/A"
"East Haven School District",".","Overbrook Elementary School","=""0441811""","N/A","N/A"
"New Britain School District",".","Alternative Center School","=""0899111""",43,55.1
"New Britain School District",".","Behavior Support","=""0891011""","*","*"
"New Britain School District",".","CLIMB","=""0899411""","N/A","*"
"New Britain School District",".","Chamberlain  Elementary School","=""0890311""",47,9.7
