district_code,district,grand_total,drg,drg_grand_total,state_grand_total,school_code
1040011,Norwich School District,64139.12737,H,70578.3952,68786.73711,1040011
2630013,Odyssey Community School District,49296.0,,,68786.73711,2630013
1060011,Old Saybrook School District,61910.82353,D,67826.620525,68786.73711,1060011
1070011,Orange School District,65695.25556,B,71772.56028,68786.73711,1070011
1080011,Oxford School District,64280.00813,C,64867.747545,68786.73711,1080011
,Park City Prep Charter School,52400.0,,,68786.73711,
1090011,Plainfield School District,62002.58108,G,64659.69474,68786.73711,1090011
1100011,Plainville School District,63686.00568,F,63686.00568,68786.73711,1100011
1110011,Plymouth School District,63188.13043,F,63686.00568,68786.73711,1110011
1120011,Pomfret School District,57928.78378,C,64867.747545,68786.73711,1120011
1130011,Portland School District,62425.67742,E,63440.823205,68786.73711,1130011
1140011,Preston School District,67288.06452,E,63440.823205,68786.73711,1140011
,Project Oceanology,50882.16667,,,68786.73711,
1160011,Putnam School District,62525.10714,G,64659.69474,68786.73711,1160011
1170011,Redding School District,84491.21951,A,79662.70323,68786.73711,1170011
2010012,Regional School District 01,68831.57143,E,63440.823205,68786.73711,2010012
2040012,Regional School District 04,64309.08333,C,64867.747545,68786.73711,2040012
2050012,Regional School District 05,69116.89326,B,71772.56028,68786.73711,2050012
2060012,Regional School District 06,61773.91139,E,63440.823205,68786.73711,2060012
2070012,Regional School District 07,64801.43038,C,64867.747545,68786.73711,2070012
2080012,Regional School District 08,60830.32308,C,64867.747545,68786.73711,2080012
2090012,Regional School District 09,79759.33333,A,79662.70323,68786.73711,2090012
2100012,Regional School District 10,58687.34066,C,64867.747545,68786.73711,2100012
2110012,Regional School District 11,54806.5,F,63686.00568,68786.73711,2110012
2120012,Regional School District 12,69843.93421,C,64867.747545,68786.73711,2120012
2130012,Regional School District 13,69073.12752,C,64867.747545,68786.73711,2130012
2140012,Regional School District 14,66751.52899,C,64867.747545,68786.73711,2140012
2150012,Regional School District 15,58555.50929,B,71772.56028,68786.73711,2150012
2160012,Regional School District 16,64238.51497,E,63440.823205,68786.73711,2160012
2170012,Regional School District 17,64934.06471,C,64867.747545,68786.73711,2170012
2180012,Regional School District 18,72322.20183,C,64867.747545,68786.73711,2180012
2190012,Regional School District 19,67892.45263,C,64867.747545,68786.73711,2190012
1180011,Ridgefield School District,77510.11429,A,79662.70323,68786.73711,1180011
1190011,Rocky Hill School District,72742.14706,D,67826.620525,68786.73711,1190011
1210011,Salem School District,63500.48485,C,64867.747545,68786.73711,1210011
1220011,Salisbury School District,67013.0,E,63440.823205,68786.73711,1220011
1230011,Scotland School District,55306.0,E,63440.823205,68786.73711,1230011
1240011,Seymour School District,66213.95035,F,63686.00568,68786.73711,1240011
1250011,Sharon School District,63389.26087,E,63440.823205,68786.73711,1250011
1260011,Shelton School District,72747.67327,D,67826.620525,68786.73711,1260011
1270011,Sherman School District,69835.6,C,64867.747545,68786.73711,1270011
2700013,Side By Side Charter School District,65121.3125,,,68786.73711,2700013
1280011,Simsbury School District,73349.74426,B,71772.56028,68786.73711,1280011
1290011,Somers School District,63006.20561,C,64867.747545,68786.73711,1290011
1320011,South Windsor School District,73244.37716,B,71772.56028,68786.73711,1320011
1310011,Southington School District,65570.81163,D,67826.620525,68786.73711,1310011
1330011,Sprague School District,52759.48,F,63686.00568,68786.73711,1330011
1340011,Stafford School District,62696.62602,F,63686.00568,68786.73711,1340011
,Stamford Academy,53302.33333,,,68786.73711,
1350011,Stamford School District,79046.31554,H,70578.3952,68786.73711,1350011
1360011,Sterling School District,52440.87879,F,63686.00568,68786.73711,1360011
1370011,Stonington School District,63537.27389,D,67826.620525,68786.73711,1370011
1380011,Stratford School District,73331.08257,G,64659.69474,68786.73711,1380011
1390011,Suffield School District,67390.95758,C,64867.747545,68786.73711,1390011
2690013,The Bridge Academy District,63253.76471,,,68786.73711,2690013
,The Gilbert School,68198.09756,,,68786.73711,
1400011,Thomaston School District,59718.94521,E,63440.823205,68786.73711,1400011
1410011,Thompson School District,58901.23171,F,63686.00568,68786.73711,1410011
1420011,Tolland School District,65187.61326,C,64867.747545,68786.73711,1420011
1430011,Torrington School District,64659.69474,G,64659.69474,68786.73711,1430011
2780013,Trailblazers Academy District,60056.0,,,68786.73711,2780013
1440011,Trumbull School District,75175.23721,B,71772.56028,68786.73711,1440011
,Unified School District #1,79165.64356,,,68786.73711,
,Unified School District #2,20321.70833,,,68786.73711,
