district,district_code,school,school_code,subject,total_numberof_students,total_numbertested,smarter_balancedparticipationrate,total_number_with_scored_tests,level_1not_met_level_1_not_met_count,level_1not_met_pct,level_2approaching_level_2_approaching_count,level_2approaching_pct,level_3met_level_3_met_count,level_3met_pct,level_4exceeded_level_4_exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_level_3_4_met_or_exceeded_count,level_3_4met_or_exceeded_pct,year,drg
West Haven School District,1560011,Harry M. Bailey Middle School,1565111,Math,873,864,99.0,863,404,46.8,262,30.4,142,16.5,55,6.4,197,22.8,2014-15,H
West Haven School District,1560011,PACE,1560211,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,H
West Haven School District,1560011,PACE,1560211,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,H
West Haven School District,1560011,Savin Rock Community School,1561411,ELA,183,179,97.8,179,64,35.8,52,29.1,46,25.7,17,9.5,63,35.2,2014-15,H
West Haven School District,1560011,Savin Rock Community School,1561411,Math,183,182,99.5,182,78,42.9,66,36.3,30,16.5,8,4.4,38,20.9,2014-15,H
West Haven School District,1560011,Seth G. Haley School,1560411,ELA,184,181,98.4,181,46,25.4,45,24.9,47,26.0,43,23.8,90,49.7,2014-15,H
West Haven School District,1560011,Seth G. Haley School,1560411,Math,184,181,98.4,181,33,18.2,71,39.2,60,33.1,17,9.4,77,42.5,2014-15,H
West Haven School District,1560011,West Haven High School,1566111,ELA,370,349,94.3,349,139,39.8,101,28.9,94,26.9,15,4.3,109,31.2,2014-15,H
West Haven School District,1560011,West Haven High School,1566111,Math,371,335,90.3,335,267,79.7,48,14.3,*,*,*,*,20,6.0,2014-15,H
Westbrook School District,1540011,Daisy Ingraham School,1540211,ELA,108,*,*,*,10,9.3,21,19.4,32,29.6,45,41.7,77,71.3,2014-15,E
Westbrook School District,1540011,Daisy Ingraham School,1540211,Math,108,*,*,*,13,12.0,42,38.9,39,36.1,14,13.0,53,49.1,2014-15,E
Westbrook School District,1540011,Westbrook High School,1546111,ELA,*,0,*,0,*,*,*,*,*,*,*,*,*,*,2014-15,E
Westbrook School District,1540011,Westbrook High School,1546111,Math,*,0,*,0,*,*,*,*,*,*,*,*,*,*,2014-15,E
Westbrook School District,1540011,Westbrook Middle School,1545111,ELA,229,227,99.1,227,7,3.1,26,11.5,92,40.5,102,44.9,194,85.5,2014-15,E
Westbrook School District,1540011,Westbrook Middle School,1545111,Math,229,228,99.6,228,21,9.2,55,24.1,73,32.0,79,34.6,152,66.7,2014-15,E
Weston School District,1570011,Weston High School,1576111,ELA,203,117,57.6,115,9,7.8,18,15.7,40,34.8,48,41.7,88,76.5,2014-15,A
Weston School District,1570011,Weston High School,1576111,Math,203,116,57.1,115,12,10.4,25,21.7,32,27.8,46,40.0,78,67.8,2014-15,A
Weston School District,1570011,Weston Intermediate School,1570211,ELA,542,534,98.5,532,31,5.8,68,12.8,188,35.3,245,46.1,433,81.4,2014-15,A
Weston School District,1570011,Weston Intermediate School,1570211,Math,542,532,98.2,532,25,4.7,111,20.9,191,35.9,205,38.5,396,74.4,2014-15,A
Weston School District,1570011,Weston Middle School,1575111,ELA,602,587,97.5,587,37,6.3,104,17.7,268,45.7,178,30.3,446,76.0,2014-15,A
Weston School District,1570011,Weston Middle School,1575111,Math,603,588,97.5,587,66,11.2,131,22.3,175,29.8,215,36.6,390,66.4,2014-15,A
Westport School District,1580011,Bedford Middle School,1585111,ELA,851,832,97.8,832,25,3.0,93,11.2,381,45.8,333,40.0,714,85.8,2014-15,A
Westport School District,1580011,Bedford Middle School,1585111,Math,851,831,97.6,831,90,10.8,162,19.5,220,26.5,359,43.2,579,69.7,2014-15,A
Westport School District,1580011,Coleytown Elementary School,1580311,ELA,241,235,97.5,235,*,*,*,*,50,21.3,155,66.0,205,87.2,2014-15,A
Westport School District,1580011,Coleytown Elementary School,1580311,Math,241,236,97.9,236,14,5.9,37,15.7,72,30.5,113,47.9,185,78.4,2014-15,A
Westport School District,1580011,Coleytown Middle School,1585311,ELA,548,541,98.7,541,20,3.7,54,10.0,261,48.2,206,38.1,467,86.3,2014-15,A
Westport School District,1580011,Coleytown Middle School,1585311,Math,548,541,98.7,541,53,9.8,123,22.7,140,25.9,225,41.6,365,67.5,2014-15,A
Westport School District,1580011,Green's Farms School,1580411,ELA,246,236,95.9,236,10,4.2,16,6.8,43,18.2,167,70.8,210,89.0,2014-15,A
Westport School District,1580011,Green's Farms School,1580411,Math,246,238,96.7,238,15,6.3,34,14.3,67,28.2,122,51.3,189,79.4,2014-15,A
Westport School District,1580011,King's Highway Elementary School,1580511,ELA,253,251,99.2,251,10,4.0,32,12.7,62,24.7,147,58.6,209,83.3,2014-15,A
Westport School District,1580011,King's Highway Elementary School,1580511,Math,253,251,99.2,251,18,7.2,45,17.9,85,33.9,103,41.0,188,74.9,2014-15,A
Westport School District,1580011,Long Lots School,1580711,ELA,306,297,97.1,297,8,2.7,29,9.8,89,30.0,171,57.6,260,87.5,2014-15,A
Westport School District,1580011,Long Lots School,1580711,Math,306,300,98.0,300,15,5.0,48,16.0,89,29.7,148,49.3,237,79.0,2014-15,A
Westport School District,1580011,Saugatuck Elementary School,1580811,ELA,260,255,98.1,255,12,4.7,30,11.8,77,30.2,136,53.3,213,83.5,2014-15,A
Westport School District,1580011,Saugatuck Elementary School,1580811,Math,261,256,98.1,256,13,5.1,39,15.2,95,37.1,109,42.6,204,79.7,2014-15,A
Westport School District,1580011,Staples High School,1586111,ELA,468,130,27.8,130,22,16.9,20,15.4,43,33.1,45,34.6,88,67.7,2014-15,A
Westport School District,1580011,Staples High School,1586111,Math,468,127,27.1,127,29,22.8,18,14.2,31,24.4,49,38.6,80,63.0,2014-15,A
Wethersfield School District,1590011,Alfred W. Hanmer School,1590811,ELA,214,214,100.0,213,30,14.1,49,23.0,77,36.2,57,26.8,134,62.9,2014-15,D
Wethersfield School District,1590011,Alfred W. Hanmer School,1590811,Math,214,213,99.5,212,43,20.3,72,34.0,61,28.8,36,17.0,97,45.8,2014-15,D
Wethersfield School District,1590011,Charles Wright School,1591011,ELA,179,177,98.9,177,27,15.3,42,23.7,66,37.3,42,23.7,108,61.0,2014-15,D
Wethersfield School District,1590011,Charles Wright School,1591011,Math,179,178,99.4,178,33,18.5,64,36.0,57,32.0,24,13.5,81,45.5,2014-15,D
Wethersfield School District,1590011,Emerson-Williams School,1590211,ELA,245,235,95.9,235,43,18.3,53,22.6,76,32.3,63,26.8,139,59.1,2014-15,D
Wethersfield School District,1590011,Emerson-Williams School,1590211,Math,245,235,95.9,235,47,20.0,76,32.3,66,28.1,46,19.6,112,47.7,2014-15,D
Wethersfield School District,1590011,Highcrest School,1591111,ELA,248,248,100.0,248,26,10.5,44,17.7,88,35.5,90,36.3,178,71.8,2014-15,D
Wethersfield School District,1590011,Highcrest School,1591111,Math,248,248,100.0,248,41,16.5,76,30.6,70,28.2,61,24.6,131,52.8,2014-15,D
Wethersfield School District,1590011,Samuel B. Webb Elementary School,1591211,ELA,182,181,99.5,181,28,15.5,40,22.1,44,24.3,69,38.1,113,62.4,2014-15,D
Wethersfield School District,1590011,Samuel B. Webb Elementary School,1591211,Math,182,181,99.5,181,37,20.4,47,26.0,57,31.5,40,22.1,97,53.6,2014-15,D
Wethersfield School District,1590011,Silas Deane Middle School,1595211,ELA,554,545,98.4,545,110,20.2,157,28.8,213,39.1,65,11.9,278,51.0,2014-15,D
Wethersfield School District,1590011,Silas Deane Middle School,1595211,Math,554,545,98.4,545,141,25.9,194,35.6,141,25.9,69,12.7,210,38.5,2014-15,D
Wethersfield School District,1590011,Wethersfield High School,1596111,ELA,304,188,61.8,183,60,32.8,57,31.1,51,27.9,15,8.2,66,36.1,2014-15,D
Wethersfield School District,1590011,Wethersfield High School,1596111,Math,304,199,65.5,199,119,59.8,38,19.1,31,15.6,11,5.5,42,21.1,2014-15,D
Willington School District,1600011,Center School,1600111,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,E
Willington School District,1600011,Center School,1600111,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,E
Willington School District,1600011,Hall Memorial School,1605111,ELA,198,192,97.0,192,29,15.1,51,26.6,80,41.7,32,16.7,112,58.3,2014-15,E
Willington School District,1600011,Hall Memorial School,1605111,Math,198,192,97.0,191,31,16.2,79,41.4,51,26.7,30,15.7,81,42.4,2014-15,E
Wilton School District,1610011,Middlebrook School,1615211,ELA,1047,1030,98.4,1029,45,4.4,160,15.5,513,49.9,311,30.2,824,80.1,2014-15,A
Wilton School District,1610011,Middlebrook School,1615211,Math,1047,1021,97.5,1021,132,12.9,316,31.0,280,27.4,293,28.7,573,56.1,2014-15,A
Wilton School District,1610011,Cider Mill School,1610711,ELA,977,968,99.1,967,101,10.4,163,16.9,340,35.2,363,37.5,703,72.7,2014-15,A
Wilton School District,1610011,Cider Mill School,1610711,Math,977,970,99.3,970,111,11.4,306,31.5,327,33.7,226,23.3,553,57.0,2014-15,A
Wilton School District,1610011,Wilton High School,1616111,ELA,335,314,93.7,314,70,22.3,66,21.0,112,35.7,66,21.0,178,56.7,2014-15,A
Wilton School District,1610011,Wilton High School,1616111,Math,335,317,94.6,317,65,20.5,52,16.4,118,37.2,82,25.9,200,63.1,2014-15,A
Wilton School District,1610011,Wilton-Westport Evening School,1610111,ELA,6,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,A
Wilton School District,1610011,Wilton-Westport Evening School,1610111,Math,6,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,A
Winchester School District,1620011,Mary P. Hinsdale School,1620211,ELA,155,153,98.7,152,54,35.5,41,27.0,26,17.1,31,20.4,57,37.5,2014-15,G
Winchester School District,1620011,Mary P. Hinsdale School,1620211,Math,154,154,100.0,153,55,35.9,42,27.5,37,24.2,19,12.4,56,36.6,2014-15,G
Winchester School District,1620011,Pearson Middle School,1625111,ELA,157,154,98.1,152,31,20.4,43,28.3,49,32.2,29,19.1,78,51.3,2014-15,G
Winchester School District,1620011,Pearson Middle School,1625111,Math,157,157,100.0,155,72,46.5,47,30.3,24,15.5,12,7.7,36,23.2,2014-15,G
Winchester School District,1620011,WISE Academy,1620111,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,G
Winchester School District,1620011,WISE Academy,1620111,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,G
Windham School District,1630011,Charles H. Barrows STEM Academy,1630411,ELA,238,237,99.6,237,51,21.5,56,23.6,90,38.0,40,16.9,130,54.9,2014-15,I
Windham School District,1630011,Charles H. Barrows STEM Academy,1630411,Math,238,237,99.6,237,72,30.4,71,30.0,61,25.7,33,13.9,94,39.7,2014-15,I
Windham School District,1630011,Natchaug School,1630111,ELA,165,158,95.8,157,89,56.7,43,27.4,17,10.8,8,5.1,25,15.9,2014-15,I
Windham School District,1630011,Natchaug School,1630111,Math,164,159,97.0,159,100,62.9,43,27.0,*,*,*,*,16,10.1,2014-15,I
Windham School District,1630011,North Windham School,1630311,ELA,212,209,98.6,209,90,43.1,61,29.2,40,19.1,18,8.6,58,27.8,2014-15,I
Windham School District,1630011,North Windham School,1630311,Math,212,212,100.0,211,93,44.1,82,38.9,28,13.3,8,3.8,36,17.1,2014-15,I
Windham School District,1630011,W. B. Sweeney School,1630611,ELA,133,129,97.0,127,62,48.8,37,29.1,*,*,*,*,28,22.0,2014-15,I
Windham School District,1630011,W. B. Sweeney School,1630611,Math,136,134,98.5,134,62,46.3,48,35.8,*,*,*,*,24,17.9,2014-15,I
Windham School District,1630011,Windham Center School,1630511,ELA,132,130,98.5,130,52,40.0,36,27.7,27,20.8,15,11.5,42,32.3,2014-15,I
Windham School District,1630011,Windham Center School,1630511,Math,132,128,97.0,128,46,35.9,55,43.0,20,15.6,7,5.5,27,21.1,2014-15,I
Windham School District,1630011,Windham High School,1636111,ELA,117,113,96.6,113,67,59.3,26,23.0,*,*,*,*,20,17.7,2014-15,I
Windham School District,1630011,Windham High School,1636111,Math,117,114,97.4,113,88,77.9,14,12.4,*,*,*,*,11,9.7,2014-15,I
Windham School District,1630011,Windham Middle School,1635111,ELA,573,555,96.9,553,268,48.5,166,30.0,102,18.4,17,3.1,119,21.5,2014-15,I
Windham School District,1630011,Windham Middle School,1635111,Math,572,554,96.9,551,369,67.0,115,20.9,43,7.8,24,4.4,67,12.2,2014-15,I
Windsor Locks School District,1650011,Pine Meadow Academy,1650611,ELA,12,11,*,11,*,*,*,*,*,*,*,*,*,*,2014-15,F
Windsor Locks School District,1650011,Pine Meadow Academy,1650611,Math,12,7,*,7,*,*,*,*,*,*,*,*,*,*,2014-15,F
Windsor Locks School District,1650011,South Elementary School,1650411,ELA,378,375,99.2,375,92,24.5,98,26.1,115,30.7,70,18.7,185,49.3,2014-15,F
Windsor Locks School District,1650011,South Elementary School,1650411,Math,379,374,98.7,373,111,29.8,144,38.6,91,24.4,27,7.2,118,31.6,2014-15,F
Windsor Locks School District,1650011,Windsor Locks High School,1656111,ELA,122,119,97.5,119,44,37.0,36,30.3,*,*,*,*,39,32.8,2014-15,F
Windsor Locks School District,1650011,Windsor Locks High School,1656111,Math,122,121,99.2,121,52,43.0,40,33.1,*,*,*,*,29,24.0,2014-15,F
Windsor Locks School District,1650011,Windsor Locks Middle School,1655111,ELA,361,352,97.5,352,93,26.4,100,28.4,122,34.7,37,10.5,159,45.2,2014-15,F
Windsor Locks School District,1650011,Windsor Locks Middle School,1655111,Math,362,361,99.7,359,135,37.6,128,35.7,70,19.5,26,7.2,96,26.7,2014-15,F
Windsor School District,1640011,Clover Street School,1640111,ELA,251,248,98.8,248,57,23.0,65,26.2,70,28.2,56,22.6,126,50.8,2014-15,D
Windsor School District,1640011,Clover Street School,1640111,Math,251,248,98.8,248,61,24.6,81,32.7,62,25.0,44,17.7,106,42.7,2014-15,D
Windsor School District,1640011,Expulsion,1640411,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,D
Windsor School District,1640011,Expulsion,1640411,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,D
Windsor School District,1640011,John F. Kennedy School,1640811,ELA,410,404,98.5,403,129,32.0,92,22.8,101,25.1,81,20.1,182,45.2,2014-15,D
Windsor School District,1640011,John F. Kennedy School,1640811,Math,409,406,99.3,405,130,32.1,116,28.6,104,25.7,55,13.6,159,39.3,2014-15,D
Windsor School District,1640011,Sage Park Middle School,1645311,ELA,667,657,98.5,656,171,26.1,176,26.8,225,34.3,84,12.8,309,47.1,2014-15,D
Windsor School District,1640011,Sage Park Middle School,1645311,Math,667,661,99.1,660,265,40.2,202,30.6,111,16.8,82,12.4,193,29.2,2014-15,D
Windsor School District,1640011,Spark,1640311,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,D
Windsor School District,1640011,Spark,1640311,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,D
Windsor School District,1640011,Windsor High School,1646111,ELA,260,112,43.1,112,47,42.0,29,25.9,27,24.1,9,8.0,36,32.1,2014-15,D
Windsor School District,1640011,Windsor High School,1646111,Math,261,113,43.3,112,72,64.3,24,21.4,*,*,*,*,16,14.3,2014-15,D
Wolcott School District,1660011,ABC Classroom,1660311,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,F
Wolcott School District,1660011,ABC Classroom,1660311,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,F
Wolcott School District,1660011,Alcott School,1660611,ELA,135,135,100.0,135,20,14.8,39,28.9,40,29.6,36,26.7,76,56.3,2014-15,F
Wolcott School District,1660011,Alcott School,1660611,Math,136,136,100.0,136,15,11.0,55,40.4,49,36.0,17,12.5,66,48.5,2014-15,F
Wolcott School District,1660011,Frisbie School,1660211,ELA,175,174,99.4,174,12,6.9,29,16.7,59,33.9,74,42.5,133,76.4,2014-15,F
Wolcott School District,1660011,Frisbie School,1660211,Math,175,175,100.0,175,13,7.4,38,21.7,66,37.7,58,33.1,124,70.9,2014-15,F
Wolcott School District,1660011,Phoenix Program,1660411,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,F
Wolcott School District,1660011,Phoenix Program,1660411,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,F
Wolcott School District,1660011,Tyrrell Middle School,1665111,ELA,635,634,99.8,634,84,13.2,164,25.9,271,42.7,115,18.1,386,60.9,2014-15,F
Wolcott School District,1660011,Tyrrell Middle School,1665111,Math,635,634,99.8,634,134,21.1,234,36.9,179,28.2,87,13.7,266,42.0,2014-15,F
Wolcott School District,1660011,Wakelee School,1660511,ELA,166,165,99.4,165,24,14.5,32,19.4,52,31.5,57,34.5,109,66.1,2014-15,F
Wolcott School District,1660011,Wakelee School,1660511,Math,166,165,99.4,165,17,10.3,61,37.0,57,34.5,30,18.2,87,52.7,2014-15,F
Wolcott School District,1660011,Wolcott High School,1666111,ELA,218,216,99.1,216,49,22.7,60,27.8,80,37.0,27,12.5,107,49.5,2014-15,F
Wolcott School District,1660011,Wolcott High School,1666111,Math,218,217,99.5,216,88,40.7,58,26.9,35,16.2,35,16.2,70,32.4,2014-15,F
Woodbridge School District,1670011,Beecher Road School,1670311,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,B
Woodbridge School District,1670011,Beecher Road School,1670311,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,B
Woodstock Academy District,9030022,Woodstock Academy,9036122,ELA,242,54,22.3,53,*,*,*,*,17,32.1,24,45.3,41,77.4,2014-15,E
Woodstock Academy District,9030022,Woodstock Academy,9036122,Math,242,54,22.3,53,9,17.0,13,24.5,14,26.4,17,32.1,31,58.5,2014-15,E
Woodstock School District,1690011,Woodstock Elementary School,1690211,ELA,187,183,97.9,183,22,12.0,26,14.2,49,26.8,86,47.0,135,73.8,2014-15,E
Woodstock School District,1690011,Woodstock Elementary School,1690211,Math,187,183,97.9,183,15,8.2,66,36.1,71,38.8,31,16.9,102,55.7,2014-15,E
Woodstock School District,1690011,Woodstock Middle School,1695111,ELA,407,397,97.5,395,45,11.4,75,19.0,170,43.0,105,26.6,275,69.6,2014-15,E
Woodstock School District,1690011,Woodstock Middle School,1695111,Math,407,396,97.3,395,90,22.8,131,33.2,94,23.8,80,20.3,174,44.1,2014-15,E
Achievement First Hartford Academy Inc. District,2880013,Achievement First Hartford Academy Inc.,2880113,ELA,592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8,2015-16,
Achievement First Hartford Academy Inc. District,2880013,Achievement First Hartford Academy Inc.,2880113,Math,592,586,99.0,585,222,37.9,189,32.3,97,16.6,77,13.2,174,29.7,2015-16,
Amistad Academy District,2790013,Amistad Academy,2795113,ELA,538,534,99.3,534,109,20.4,134,25.1,199,37.3,92,17.2,291,54.5,2015-16,
Amistad Academy District,2790013,Amistad Academy,2795113,Math,538,533,99.1,533,119,22.3,161,30.2,139,26.1,114,21.4,253,47.5,2015-16,
Andover School District,0010011,Andover Elementary School,0010111,ELA,159,156,98.1,156,12,7.7,27,17.3,45,28.8,72,46.2,117,75.0,2015-16,C
Andover School District,0010011,Andover Elementary School,0010111,Math,159,156,98.1,156,8,5.1,35,22.4,54,34.6,59,37.8,113,72.4,2015-16,C
Ansonia School District,0020011,Ansonia Middle School,0025111,ELA,353,343,97.2,343,145,42.3,105,30.6,76,22.2,17,5.0,93,27.1,2015-16,H
Ansonia School District,0020011,Ansonia Middle School,0025111,Math,353,343,97.2,342,160,46.8,121,35.4,37,10.8,24,7.0,61,17.8,2015-16,H
Ansonia School District,0020011,Mead School,0020311,ELA,346,346,100.0,346,136,39.3,95,27.5,77,22.3,38,11.0,115,33.2,2015-16,H
Ansonia School District,0020011,Mead School,0020311,Math,346,346,100.0,346,141,40.8,123,35.5,58,16.8,24,6.9,82,23.7,2015-16,H
Ansonia School District,0020011,Prendergast School,0020811,ELA,351,344,98.0,344,105,30.5,93,27.0,96,27.9,50,14.5,146,42.4,2015-16,H
Ansonia School District,0020011,Prendergast School,0020811,Math,351,343,97.7,343,114,33.2,122,35.6,80,23.3,27,7.9,107,31.2,2015-16,H
Area Cooperative Educational Services,2440014,Center for Autism Spectrum and Development Disorders,2449614,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16,
Area Cooperative Educational Services,2440014,Center for Autism Spectrum and Development Disorders,2449614,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16,
Area Cooperative Educational Services,2440014,Mill Road School,2449414,ELA,145,140,96.6,139,110,79.1,18,12.9,*,*,*,*,11,7.9,2015-16,
Area Cooperative Educational Services,2440014,Mill Road School,2449414,Math,145,133,91.7,133,125,94.0,*,*,*,*,0,0.0,*,*,2015-16,
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,ELA,724,724,100.0,724,244,33.7,199,27.5,203,28.0,78,10.8,281,38.8,2015-16,
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,Math,724,724,100.0,724,321,44.3,219,30.2,123,17.0,61,8.4,184,25.4,2015-16,
Area Cooperative Educational Services,2440014,Village School,2449514,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16,
Area Cooperative Educational Services,2440014,Village School,2449514,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16,
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,ELA,413,411,99.5,411,126,30.7,102,24.8,118,28.7,65,15.8,183,44.5,2015-16,
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,Math,413,411,99.5,411,192,46.7,136,33.1,62,15.1,21,5.1,83,20.2,2015-16,
Ashford School District,0030011,Ashford School,0030111,ELA,231,231,100.0,231,35,15.2,51,22.1,82,35.5,63,27.3,145,62.8,2015-16,E
Ashford School District,0030011,Ashford School,0030111,Math,231,231,100.0,231,48,20.8,70,30.3,73,31.6,40,17.3,113,48.9,2015-16,E
Avon School District,0040011,Avon Middle School,0045111,ELA,540,538,99.6,538,22,4.1,75,13.9,212,39.4,229,42.6,441,82.0,2015-16,B
Avon School District,0040011,Avon Middle School,0045111,Math,542,539,99.4,539,35,6.5,73,13.5,128,23.7,303,56.2,431,80.0,2015-16,B
Avon School District,0040011,Pine Grove School,0040411,ELA,242,242,100.0,242,13,5.4,40,16.5,59,24.4,130,53.7,189,78.1,2015-16,B
Avon School District,0040011,Pine Grove School,0040411,Math,243,243,100.0,243,14,5.8,55,22.6,76,31.3,98,40.3,174,71.6,2015-16,B
Avon School District,0040011,Roaring Brook School,0040311,ELA,213,212,99.5,212,15,7.1,23,10.8,46,21.7,128,60.4,174,82.1,2015-16,B
Avon School District,0040011,Roaring Brook School,0040311,Math,213,211,99.1,211,12,5.7,25,11.8,76,36.0,98,46.4,174,82.5,2015-16,B
Avon School District,0040011,Thompson Brook School,0040511,ELA,550,549,99.8,549,35,6.4,69,12.6,184,33.5,261,47.5,445,81.1,2015-16,B
Avon School District,0040011,Thompson Brook School,0040511,Math,550,548,99.6,548,54,9.9,113,20.6,160,29.2,221,40.3,381,69.5,2015-16,B
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16,C
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16,C
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16,C
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2015-16,C
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,ELA,675,674,99.9,674,68,10.1,146,21.7,299,44.4,161,23.9,460,68.2,2015-16,D
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,Math,675,674,99.9,673,148,22.0,213,31.6,166,24.7,146,21.7,312,46.4,2015-16,D
Berlin School District,0070011,Emma Hart Willard School,0070411,ELA,227,226,99.6,226,24,10.6,52,23.0,67,29.6,83,36.7,150,66.4,2015-16,D
Berlin School District,0070011,Emma Hart Willard School,0070411,Math,227,226,99.6,226,21,9.3,66,29.2,67,29.6,72,31.9,139,61.5,2015-16,D
Berlin School District,0070011,Mary E. Griswold School,0070511,ELA,284,283,99.6,282,26,9.2,59,20.9,99,35.1,98,34.8,197,69.9,2015-16,D
Berlin School District,0070011,Mary E. Griswold School,0070511,Math,284,281,98.9,280,40,14.3,76,27.1,94,33.6,70,25.0,164,58.6,2015-16,D
Berlin School District,0070011,Richard D. Hubbard School,0070111,ELA,130,129,99.2,129,16,12.4,19,14.7,42,32.6,52,40.3,94,72.9,2015-16,D
Berlin School District,0070011,Richard D. Hubbard School,0070111,Math,130,128,98.5,128,15,11.7,30,23.4,50,39.1,33,25.8,83,64.8,2015-16,D
Bethany School District,0080011,Bethany Community School,0080111,ELA,232,224,96.6,224,29,12.9,49,21.9,70,31.3,76,33.9,146,65.2,2015-16,C
Bethany School District,0080011,Bethany Community School,0080111,Math,232,224,96.6,224,24,10.7,58,25.9,67,29.9,75,33.5,142,63.4,2015-16,C
Bethel School District,0090011,Anna H. Rockwell School,0090411,ELA,126,125,99.2,125,24,19.2,23,18.4,36,28.8,42,33.6,78,62.4,2015-16,D
Bethel School District,0090011,Anna H. Rockwell School,0090411,Math,126,125,99.2,125,11,8.8,30,24.0,47,37.6,37,29.6,84,67.2,2015-16,D
Bethel School District,0090011,Bethel Middle School,0095111,ELA,650,648,99.7,648,53,8.2,104,16.0,276,42.6,215,33.2,491,75.8,2015-16,D
Bethel School District,0090011,Bethel Middle School,0095111,Math,650,647,99.5,647,119,18.4,200,30.9,180,27.8,148,22.9,328,50.7,2015-16,D
Bethel School District,0090011,Frank A. Berry School,0090111,ELA,127,126,99.2,126,8,6.3,30,23.8,30,23.8,58,46.0,88,69.8,2015-16,D
Bethel School District,0090011,Frank A. Berry School,0090111,Math,127,126,99.2,126,11,8.7,25,19.8,45,35.7,45,35.7,90,71.4,2015-16,D
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,ELA,423,420,99.3,420,63,15.0,68,16.2,146,34.8,143,34.0,289,68.8,2015-16,D
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,Math,423,419,99.1,419,43,10.3,147,35.1,119,28.4,110,26.3,229,54.7,2015-16,D
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,ELA,222,222,100.0,222,48,21.6,53,23.9,88,39.6,33,14.9,121,54.5,2015-16,G
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,Math,222,222,100.0,222,76,34.2,82,36.9,42,18.9,22,9.9,64,28.8,2015-16,G
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,ELA,201,201,100.0,201,55,27.4,69,34.3,63,31.3,14,7.0,77,38.3,2015-16,G
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,Math,201,201,100.0,201,85,42.3,71,35.3,35,17.4,10,5.0,45,22.4,2015-16,G
Bloomfield School District,0110011,Global Experience Magnet School,0116311,ELA,87,84,96.6,84,15,17.9,16,19.0,40,47.6,13,15.5,53,63.1,2015-16,G
Bloomfield School District,0110011,Global Experience Magnet School,0116311,Math,87,84,96.6,84,41,48.8,28,33.3,*,*,*,*,15,17.9,2015-16,G
Bloomfield School District,0110011,Metacomet School,0110511,ELA,254,254,100.0,254,77,30.3,56,22.0,69,27.2,52,20.5,121,47.6,2015-16,G
Bloomfield School District,0110011,Metacomet School,0110511,Math,254,253,99.6,253,84,33.2,97,38.3,53,20.9,19,7.5,72,28.5,2015-16,G
