2009_10_entrance_pct,2009_10_persistence_pct,2010_11_entrance_pct,2010_11_persistence_pct,2011_12_entrance_pct,2011_12_persistence_pct,2012_13_entrance_pct,2012_13_persistence_pct,2013_14_entrance_pct,2013_14_persistence_pct,district,district_code,drg,four_y_percent,group,race_ethnicity,school,school_code
68.3,92.9,66.9,84.3,63.6,88.8,60.0,86.2,64.1,89.3,West Haven School District,1560011,H,64.1,race,White,West Haven High School,1566111
88.9,97.6,86.9,96.7,85.5,94.6,90.2,97.1,90.6,96.6,Weston School District,1570011,A,88.9,race,White,Weston High School,1576111
,*,,*,100.0,95.0,,*,,*,Westport School District,1580011,A,100.0,race,Asian,Staples High School,1586111
84.2,97.4,79.0,96.2,84.5,96.5,88.4,97.1,91.9,97.0,Westport School District,1580011,A,84.5,race,White,Staples High School,1586111
74.2,78.3,69.7,91.3,81.3,80.8,72.7,70.8,79.5,83.9,Wethersfield School District,1590011,D,74.2,race,Hispanic or Latino,Wethersfield High School,1596111
85.6,93.2,80.7,90.8,86.7,94.5,89.2,93.6,82.6,94.6,Wethersfield School District,1590011,D,85.6,race,White,Wethersfield High School,1596111
85.4,96.7,88.0,96.4,88.8,97.2,85.3,96.6,87.6,96.6,Wilton School District,1610011,A,87.6,race,White,Wilton High School,1616111
47.8,69.8,49.4,68.4,46.5,67.5,49.5,64.4,44.0,60.6,Windham School District,1630011,I,47.8,race,Hispanic or Latino,Windham High School,1636111
73.1,80.9,74.4,90.2,68.8,90.9,74.0,82.5,66.0,85.7,Windham School District,1630011,I,73.1,race,White,Windham High School,1636111
68.1,82.3,70.4,81.3,64.7,80.0,77.2,88.5,80.3,81.0,Windsor School District,1640011,D,70.4,race,Black or African American,Windsor High School,1646111
75.0,*,67.6,82.6,68.6,75.0,60.5,91.3,60.0,79.2,Windsor School District,1640011,D,67.6,race,Hispanic or Latino,Windsor High School,1646111
75.0,92.0,75.0,88.0,75.0,90.3,76.1,91.4,79.1,89.7,Windsor School District,1640011,D,75.0,race,White,Windsor High School,1646111
70.5,86.5,60.7,92.6,65.7,83.6,64.8,92.6,69.1,84.6,Windsor Locks School District,1650011,F,65.7,race,White,Windsor Locks High School,1656111
75.9,93.7,72.9,89.9,82.1,89.7,78.8,91.7,76.0,90.5,Wolcott School District,1660011,F,76.0,race,White,Wolcott High School,1666111
,*,60.9,91.4,63.4,89.7,55.4,94.1,65.3,89.4,Regional School District 01,2010012,E,62.15,race,White,Housatonic Valley Regional High School,2016112
74.0,87.6,67.7,91.1,75.0,90.7,75.5,89.2,77.2,93.7,Regional School District 04,2040012,C,75.0,race,White,Valley Regional High School,2046112
79.5,93.5,85.4,97.1,76.6,100.0,90.2,94.6,83.7,100.0,Regional School District 05,2050012,B,83.7,race,Asian,Amity Regional High School,2056112
88.2,97.3,82.9,94.3,85.0,92.4,88.6,94.0,87.4,95.4,Regional School District 05,2050012,B,87.4,race,White,Amity Regional High School,2056112
64.9,93.8,,*,76.5,88.7,71.9,89.1,,*,Regional School District 06,2060012,E,71.9,race,White,Wamogo Regional High School,2066112
81.8,88.2,74.9,92.4,72.7,86.4,,*,77.5,89.1,Regional School District 07,2070012,C,76.2,race,White,Northwestern Regional High School,2076112
83.2,96.4,84.9,93.0,86.1,94.3,79.1,95.6,83.9,95.4,Regional School District 08,2080012,C,83.9,race,White,RHAM High School,2086112
85.7,93.0,81.1,93.7,83.1,94.5,86.7,95.6,86.9,96.0,Regional School District 09,2090012,A,85.7,race,White,Joel Barlow High School,2096112
82.8,89.0,82.0,93.9,80.7,86.8,82.5,93.6,81.0,92.4,Regional School District 10,2100012,C,82.0,race,White,Lewis S. Mills High School,2106112
80.0,85.7,71.4,100.0,,*,69.7,*,73.3,*,Regional School District 11,2110012,F,72.35,race,White,Parish Hill High School,2116112
,*,68.8,85.5,73.7,92.9,83.6,91.8,,,Regional School District 12,2120012,C,73.7,race,White,Shepaug Valley High School,2126112
89.4,95.2,87.8,94.4,77.3,89.2,85.4,88.0,83.3,95.0,Regional School District 13,2130012,C,85.4,race,White,Coginchaug Regional High School,2136112
78.9,94.7,79.6,89.0,71.7,93.2,85.7,88.7,81.1,91.4,Regional School District 14,2140012,C,79.6,race,White,Nonnewaug High School,2146112
86.8,93.3,83.3,94.3,83.6,95.4,80.3,92.7,82.7,90.4,Regional School District 15,2150012,B,83.3,race,White,Pomperaug Regional High School,2156212
78.1,88.8,76.9,87.8,72.7,89.6,79.9,95.9,77.2,88.8,Regional School District 16,2160012,E,77.2,race,White,Woodland Regional High School,2166012
87.2,89.9,75.5,*,80.2,93.5,84.8,93.0,84.2,92.3,Regional School District 17,2170012,C,84.2,race,White,Haddam-Killingworth High School,2176112
76.3,94.6,76.9,86.0,76.3,93.0,80.4,94.9,90.9,92.2,Regional School District 18,2180012,C,76.9,race,White,Lyme-Old Lyme High School,2186112
68.2,*,,*,,*,84.0,95.2,,*,Regional School District 19,2190012,C,76.1,race,Asian,E. O. Smith High School,2196112
,*,,*,,*,85.0,*,,*,Regional School District 19,2190012,C,85.0,race,Hispanic or Latino,E. O. Smith High School,2196112
69.6,91.3,73.5,93.9,75.3,90.2,73.6,94.0,69.7,87.9,Regional School District 19,2190012,C,73.5,race,White,E. O. Smith High School,2196112
76.7,82.6,70.4,73.7,75.0,81.0,,,,,Capitol Region Education Council,2410014,,75.0,race,Black or African American,Great Path Academy at MCC,2416314
84.4,66.7,72.4,81.0,,*,,,,,Capitol Region Education Council,2410014,,78.4,race,White,Great Path Academy at MCC,2416314
,,,*,66.7,75.0,76.0,*,,*,Capitol Region Education Council,2410014,,71.35,race,Black or African American,Greater Hartford Academy of  the Arts High School - Full Time,2416414
,,,*,85.2,65.2,,*,80.0,75.0,Capitol Region Education Council,2410014,,82.6,race,Hispanic or Latino,Greater Hartford Academy of  the Arts High School - Full Time,2416414
,,79.2,*,72.0,*,95.8,91.3,85.7,86.7,Capitol Region Education Council,2410014,,82.45,race,White,Greater Hartford Academy of  the Arts High School - Full Time,2416414
,,,,,,,,81.8,*,Capitol Region Education Council,2410014,,81.8,race,Black or African American,Medical Professions and Teacher Preparation Academy,2416514
74.0,86.5,84.0,88.1,88.6,84.6,84.7,84.0,93.0,92.5,Capitol Region Education Council,2410014,,84.7,race,Black or African American,Metropolitan Learning Center for Global and International Studies,2416114
85.7,83.3,74.2,87.0,,*,,*,80.0,*,Capitol Region Education Council,2410014,,80.0,race,White,Metropolitan Learning Center for Global and International Studies,2416114
,,,*,78.1,76.0,,*,66.7,*,Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,,72.4,race,White,Arts at the Capitol Theater Magnet School (ACT),2536014
,*,48.0,*,,*,33.3,*,,*,Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,,40.65,race,White,Quinebaug Middle College,2536114
