district_code,district,school_code,school,grade,diff,drg,year
0410011,East Haddam School District,0000000,District,75.7219067249,-7.87234185098,E,2015-16
0290011,Colebrook School District,0000000,District,84.9546980416,-10.0599080094,E,2015-16
0280011,Colchester School District,0000000,District,81.0162684726,-3.05678689779,D,2015-16
0400011,East Granby School District,0000000,District,78.864588863,-6.20414084435,D,2015-16
0310011,Cornwall School District,0000000,District,82.8796526456,-13.4399681544,C,2015-16
0390011,Eastford School District,0000000,District,75.0231378361,-16.0966046438,E,2015-16
0320011,Coventry School District,0000000,District,83.6125116816,0.747861095197,E,2015-16
0370011,Derby School District,0000000,District,63.0100945704,-4.28903444649,H,2015-16
0360011,Deep River School District,0000000,District,79.2189901843,-10.7510838066,E,2015-16
0350011,Darien School District,0000000,District,89.6084158382,-3.5223553771,A,2015-16
0300011,Columbia School District,0000000,District,76.5991460961,-5.68205056721,C,2015-16
0450011,East Lyme School District,0000000,District,83.8293926322,-4.5878687409,D,2015-16
0270011,Clinton School District,0000000,District,79.5204779175,-5.98413633928,D,2015-16
0460011,Easton School District,0000000,District,83.4733402488,-1.26785347164,A,2015-16
1560011,West Haven School District,0000000,District,69.3788312335,1.57075185228,H,2015-16
0530011,Franklin School District,0000000,District,65.2595554715,-19.9011460931,E,2015-16
0230011,Canton School District,0000000,District,83.7339447639,2.95944303387,C,2015-16
0520011,Farmington School District,0000000,District,85.4320153664,-3.80169147129,B,2015-16
0510011,Fairfield School District,0000000,District,83.9626201871,-3.96089209742,B,2015-16
0500011,Essex School District,0000000,District,81.9498286876,-7.80995691887,C,2015-16
0490011,Enfield School District,0000000,District,74.3536218328,-1.8550328226,F,2015-16
1600011,Willington School District,0000000,District,79.2112429587,-1.78584290015,E,2015-16
0240011,Chaplin School District,0000000,District,70.2652428023,-6.71865032307,E,2015-16
0480011,Ellington School District,0000000,District,80.2573856961,-4.38428984775,C,2015-16
0250011,Cheshire School District,0000000,District,83.5892574136,-3.20862086034,B,2015-16
1570011,Weston School District,0000000,District,85.4388689173,-5.62224132264,A,2015-16
1580011,Westport School District,0000000,District,84.374226431,-7.83176494111,A,2015-16
0470011,East Windsor School District,0000000,District,70.2536351771,-7.23141231754,F,2015-16
0260011,Chester School District,0000000,District,80.3359499238,-12.7233195574,E,2015-16
0120011,Bolton School District,0000000,District,83.3186794724,-2.25688877238,C,2015-16
0730011,Lisbon School District,0000000,District,74.0269495784,-6.82413217896,E,2015-16
0740011,Litchfield School District,0000000,District,81.5757271423,-4.43641984904,E,2015-16
0760011,Madison School District,0000000,District,81.7630196056,-9.44089871539,B,2015-16
0890011,New Britain School District,0000000,District,57.8887758115,-1.8324237215,I,2015-16
2170012,Regional School District 17,0000000,District,84.1212214789,-2.8337540895,C,2015-16
2850013,Bridgeport Achievement First District,0000000,District,72.4953582431,7.56643476452,,2014-15
2160012,Regional School District 16,0000000,District,78.8239334697,-4.12995709995,E,2015-16
1450011,Union School District,0000000,District,79.9201768807,-14.8741048868,E,2015-16
2150012,Regional School District 15,0000000,District,82.7817897811,-4.56109703867,B,2015-16
0900011,New Canaan School District,0000000,District,87.2751189844,-5.87846239265,A,2015-16
2860013,Highville Charter School District,0000000,District,74.9391850491,-3.16684809345,,2014-15
2140012,Regional School District 14,0000000,District,74.8328649259,-8.26872893646,C,2015-16
2890013,Elm City College Preparatory School District,0000000,District,77.0789930031,-2.89913920069,,2014-15
0880011,Naugatuck School District,0000000,District,68.1464855087,-1.88477774801,G,2015-16
2900013,Brass City Charter School District,0000000,District,67.3684210526,30.1142023775,,2014-15
0860011,Montville School District,0000000,District,78.6087499121,-1.86545362356,F,2015-16
2930013,Path Academy District,0000000,District,21.5002949089,-12.0523306607,,2014-15
2880013,Achievement First Hartford Academy Inc. District,0000000,District,70.1644870828,1.43224245563,,2014-15
2830013,Park City Prep Charter School District,0000000,District,66.9449310511,5.93265375428,,2014-15
2820013,Stamford Academy District,0000000,District,28.8459312654,4.85137714008,,2014-15
0910011,New Fairfield School District,0000000,District,84.0780499424,-1.97835160942,B,2015-16
1430011,Torrington School District,0000000,District,69.4384490333,-4.55858974372,G,2015-16
2630013,Odyssey Community School District,0000000,District,80.5625080204,-8.83545906565,,2014-15
2640013,Integrated Day Charter School District,0000000,District,77.997892385,-8.89685377218,,2014-15
2650013,Interdistrict School for Arts and Comm District,0000000,District,64.3498856361,-7.78491584469,,2014-15
2680013,Common Ground High School District,0000000,District,69.761701592,-1.97039752157,,2014-15
0930011,New Haven School District,0000000,District,64.2549347524,2.28686766183,I,2015-16
2690013,The Bridge Academy District,0000000,District,70.1699285869,-3.70237693292,,2014-15
2180012,Regional School District 18,0000000,District,83.4189022429,-6.72943470361,C,2015-16
2700013,Side By Side Charter School District,0000000,District,81.8991692354,-5.97866355853,,2014-15
2720013,Explorations District,0000000,District,42.1101678206,16.0437519568,,2014-15
1440011,Trumbull School District,0000000,District,88.7095054521,0.0698334906295,B,2015-16
2780013,Trailblazers Academy District,0000000,District,46.3670895668,-0.561160937326,,2014-15
2790013,Amistad Academy District,0000000,District,79.7030982018,-1.50922612798,,2014-15
0920011,New Hartford School District,0000000,District,73.7694901421,-15.4376804646,C,2015-16
2800013,"New Beginnings Inc., Family Academy District",0000000,District,68.732941449,-5.4901502197,,2014-15
2940013,Great Oaks Charter School District,0000000,District,50.5375333232,8.34367840284,,2014-15
2190012,Regional School District 19,0000000,District,79.749265221,2.77753219306,C,2015-16
2950013,Booker T. Washington Academy District,0000000,District,0.25974025974,35.1349773822,,2014-15
3470015,Unified School District #2,0000000,District,43.5923257021,-2.49802657129,,2014-15
2060012,Regional School District 06,0000000,District,74.7370691383,-7.7367794353,E,2015-16
0050011,Barkhamsted School District,0000000,District,73.4584242982,-9.49950386865,C,2015-16
2050012,Regional School District 05,0000000,District,83.0611046259,-0.573678646787,B,2015-16
0070011,Berlin School District,0000000,District,81.2875862983,-2.54895898452,D,2015-16
0790011,Marlborough School District,0000000,District,82.2836618553,-4.16627924105,C,2015-16
0780011,Mansfield School District,0000000,District,80.7328698741,-10.6443820199,C,2015-16
0800011,Meriden School District,0000000,District,66.6174027307,1.51251429298,H,2015-16
2040012,Regional School District 04,0000000,District,76.184577054,-10.0466807299,C,2015-16
1470011,Voluntown School District,0000000,District,76.8371545611,-5.01079667488,F,2015-16
0090011,Bethel School District,0000000,District,82.8716253576,-3.98902235028,D,2015-16
2010012,Regional School District 01,0000000,District,76.0173361446,2.18653749725,E,2015-16
1690011,Woodstock School District,0000000,District,69.7305014701,-15.8436702256,E,2015-16
0770011,Manchester School District,0000000,District,65.8306104646,-3.94777408288,G,2015-16
0110011,Bloomfield School District,0000000,District,73.5854924173,-4.17847032204,G,2015-16
0080011,Bethany School District,0000000,District,77.1261818644,-3.00170856504,C,2015-16
2070012,Regional School District 07,0000000,District,80.5627983584,-1.8034840961,C,2015-16
0830011,Middletown School District,0000000,District,71.2284462619,-3.93566364521,G,2015-16
0040011,Avon School District,0000000,District,83.9886496378,-6.35748532865,B,2015-16
0850011,Monroe School District,0000000,District,82.8545119957,-6.37568920432,B,2015-16
9000016,Connecticut Technical High School System,0000000,District,72.3860484488,-1.94885096624,,2014-15
2120012,Regional School District 12,0000000,District,86.1121608542,4.95359443544,C,2015-16
2110012,Regional School District 11,0000000,District,75.1642998704,-3.43289411399,F,2015-16
9020022,The Gilbert School District,0000000,District,64.2778704217,2.22391659929,G,2014-15
9030022,Woodstock Academy District,0000000,District,83.4150924795,-10.6169330521,E,2014-15
9030022,Woodstock Academy District,0000000,District,72.7981594274,-10.6169330521,E,2015-16
0010011,Andover School District,0000000,District,78.96366203,-16.258514353,C,2015-16
2100012,Regional School District 10,0000000,District,80.1161320577,-8.51837040926,C,2015-16
0020011,Ansonia School District,0000000,District,65.6794239699,-3.31095912988,H,2015-16
2090012,Regional School District 09,0000000,District,84.0290856084,-4.00308353108,A,2015-16
0840011,Milford School District,0000000,District,78.1087666365,-2.87344116516,D,2015-16
0030011,Ashford School District,0000000,District,69.9241350422,-9.09156078221,E,2015-16
1460011,Vernon School District,0000000,District,72.4417091009,-2.70709085344,G,2015-16
2080012,Regional School District 08,0000000,District,77.1286116192,-3.22926458624,C,2015-16
2130012,Regional School District 13,0000000,District,80.7644904714,-6.24040719977,C,2015-16
0010011,Andover School District,0000000,District,95.2221763829,-16.258514353,C,2014-15
9010022,Norwich Free Academy District,0000000,District,69.4339874233,2.97519104723,G,2014-15
1020011,North Stonington School District,0000000,District,86.8443208966,-4.82788812578,E,2014-15
0360011,Deep River School District,0000000,District,89.9700739909,-10.7510838066,E,2014-15
0780011,Mansfield School District,0000000,District,91.377251894,-10.6443820199,C,2014-15
0560011,Granby School District,0000000,District,89.2649156938,-4.0954757417,B,2014-15
0790011,Marlborough School District,0000000,District,86.4499410963,-4.16627924105,C,2014-15
0350011,Darien School District,0000000,District,93.1307712153,-3.5223553771,A,2014-15
0670011,Hebron School District,0000000,District,85.7927979205,-6.42019594356,C,2014-15
0800011,Meriden School District,0000000,District,65.1048884377,1.51251429298,H,2014-15
0830011,Middletown School District,0000000,District,75.1641099071,-3.93566364521,G,2014-15
0970011,Newtown School District,0000000,District,84.7834673808,-0.342691364716,B,2014-15
1110011,Plymouth School District,0000000,District,77.2105167566,-1.62797391519,F,2014-15
0340011,Danbury School District,0000000,District,74.1725930755,-1.55352898918,H,2014-15
0330011,Cromwell School District,0000000,District,83.8132634938,-3.39723317925,D,2014-15
0370011,Derby School District,0000000,District,67.2991290169,-4.28903444649,H,2014-15
0570011,Greenwich School District,0000000,District,89.3005951911,-2.70666465965,B,2014-15
0310011,Cornwall School District,0000000,District,96.3196208,-13.4399681544,C,2014-15
1040011,Norwich School District,0000000,District,58.7813014159,3.53831556251,H,2014-15
0300011,Columbia School District,0000000,District,82.2811966633,-5.68205056721,C,2014-15
0290011,Colebrook School District,0000000,District,95.014606051,-10.0599080094,E,2014-15
0280011,Colchester School District,0000000,District,84.0730553704,-3.05678689779,D,2014-15
0270011,Clinton School District,0000000,District,85.5046142568,-5.98413633928,D,2014-15
