american_indian,american_indian_or_alaska_native,asian,black_not_of_hispanic_origin,black_or_african_american,district,district_code,hispanic_latino,hispanic_latino_of_any_race,native_hawaiian_or_other_pacific_islander,not_reported,school,school_code,total,two_or_more_races,white,white_not_of_hispanic_origin,year,tot_check,hispanic,other,black,oth_total,oth_tot_check
0.0,0.0,0.0,734.0,0.0,Bridgeport School District,0150011,915.0,0.0,0.0,0.0,Harding High School,0156311,1722,0.0,47.0,47.0,2007-08,26.0,915.0,0.0,734.0,26.0,0.0
0.0,0.0,0.0,193.0,0.0,Bridgeport School District,0150011,147.0,0.0,0.0,0.0,High Horizons Magnet School,0154511,444,0.0,84.0,84.0,2007-08,20.0,147.0,0.0,193.0,20.0,0.0
0.0,0.0,0.0,179.0,0.0,Bridgeport School District,0150011,213.0,0.0,0.0,0.0,Hooker School,0151311,450,0.0,50.0,50.0,2007-08,8.0,213.0,0.0,179.0,8.0,0.0
0.0,0.0,0.0,218.0,0.0,Bridgeport School District,0150011,103.0,0.0,0.0,0.0,Jettie S. Tisdale School,0152211,329,0.0,0.0,0.0,2007-08,8.0,103.0,0.0,218.0,8.0,0.0
0.0,0.0,0.0,230.0,0.0,Bridgeport School District,0150011,224.0,0.0,0.0,0.0,Longfellow School,0151911,475,0.0,16.0,16.0,2007-08,5.0,224.0,0.0,230.0,5.0,0.0
0.0,0.0,0.0,198.0,0.0,Bridgeport School District,0150011,621.0,0.0,0.0,0.0,Luis Munoz Marin School,0151011,846,0.0,15.0,15.0,2007-08,12.0,621.0,0.0,198.0,12.0,0.0
0.0,0.0,18.0,231.0,0.0,Bridgeport School District,0150011,223.0,0.0,0.0,0.0,Madison School,0152011,562,0.0,90.0,90.0,2007-08,0.0,223.0,0.0,231.0,0.0,0.0
0.0,0.0,0.0,15.0,0.0,Bridgeport School District,0150011,22.0,0.0,0.0,0.0,Make The Grade,0159511,37,0.0,0.0,0.0,2007-08,0.0,22.0,0.0,15.0,0.0,0.0
0.0,0.0,0.0,77.0,0.0,Bridgeport School District,0150011,84.0,0.0,0.0,0.0,Maplewood Annex,0154311,187,0.0,0.0,0.0,2007-08,26.0,84.0,0.0,77.0,26.0,0.0
0.0,0.0,0.0,130.0,0.0,Bridgeport School District,0150011,248.0,0.0,0.0,0.0,Multicultural Magnet School,0154611,475,0.0,80.0,80.0,2007-08,17.0,248.0,0.0,130.0,17.0,0.0
0.0,0.0,0.0,0.0,0.0,Bridgeport School District,0150011,8.0,0.0,0.0,0.0,New Start Program,0159411,14,0.0,0.0,0.0,2007-08,6.0,8.0,0.0,0.0,6.0,0.0
0.0,0.0,0.0,16.0,0.0,Bridgeport School District,0150011,0.0,0.0,0.0,0.0,Park City Academy,0159211,30,0.0,0.0,0.0,2007-08,14.0,0.0,0.0,16.0,14.0,0.0
0.0,0.0,0.0,199.0,0.0,Bridgeport School District,0150011,145.0,0.0,0.0,0.0,Park City Magnet School,0151711,501,0.0,111.0,111.0,2007-08,46.0,145.0,0.0,199.0,46.0,0.0
0.0,0.0,0.0,448.0,0.0,Bridgeport School District,0150011,372.0,0.0,0.0,0.0,Read School,0152511,904,0.0,62.0,62.0,2007-08,22.0,372.0,0.0,448.0,22.0,0.0
0.0,0.0,0.0,290.0,0.0,Bridgeport School District,0150011,411.0,0.0,0.0,0.0,Roosevelt School,0152611,727,0.0,19.0,19.0,2007-08,7.0,411.0,0.0,290.0,7.0,0.0
0.0,0.0,8.0,59.0,0.0,Bridgeport School District,0150011,97.0,0.0,0.0,0.0,Skane Center,0154411,219,0.0,55.0,55.0,2007-08,0.0,97.0,0.0,59.0,0.0,0.0
0.0,0.0,0.0,25.0,0.0,Bridgeport School District,0150011,14.0,0.0,0.0,0.0,The University School,0159111,46,0.0,7.0,7.0,2007-08,0.0,14.0,0.0,25.0,0.0,0.0
0.0,0.0,8.0,133.0,0.0,Bridgeport School District,0150011,300.0,0.0,0.0,0.0,Waltersville School,0153011,456,0.0,15.0,15.0,2007-08,0.0,300.0,0.0,133.0,0.0,0.0
0.0,0.0,35.0,267.0,0.0,Bridgeport School District,0150011,264.0,0.0,0.0,0.0,Winthrop School,0153611,758,0.0,192.0,192.0,2007-08,0.0,264.0,0.0,267.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,Bristol School District,0170011,9.0,0.0,0.0,0.0,Alternative Special Education Program (ASEP),0179011,23,0.0,14.0,14.0,2007-08,0.0,9.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,116.0,0.0,Bristol School District,0170011,166.0,0.0,0.0,0.0,Bristol Central High School,0176111,1465,0.0,1161.0,1161.0,2007-08,22.0,166.0,0.0,116.0,22.0,0.0
0.0,0.0,0.0,102.0,0.0,Bristol School District,0170011,125.0,0.0,0.0,0.0,Bristol Eastern High School,0176211,1333,0.0,1068.0,1068.0,2007-08,38.0,125.0,0.0,102.0,38.0,0.0
0.0,0.0,0.0,77.0,0.0,Bristol School District,0170011,157.0,0.0,0.0,0.0,Chippens Hill Middle School,0175111,929,0.0,664.0,664.0,2007-08,31.0,157.0,0.0,77.0,31.0,0.0
