school_code,district,school,language,ltss,eligible_for_bilingual,total_els,year
0646511,Hartford School District,Sports and Medical Sciences Academy,Spanish,24,23.0,47.0,2016-17
0647111,Hartford School District,Bulkeley High School Upper School,Spanish,44,53.0,97.0,2016-17
0647211,Hartford School District,HPHS Academy of Engineering and Green Technology,Spanish,47,35.0,82.0,2016-17
0647411,Hartford School District,HPHS Law and Government Academy,Spanish,43,48.0,91.0,2016-17
0647511,Hartford School District,HPHS Academy of Nursing and Health Science,Spanish,42,36.0,78.0,2016-17
0647611,Hartford School District,"High School, Inc.",Spanish,14,24.0,38.0,2016-17
District Total,,,,720,2283.0,3003.0,2016-17
0771211,Manchester School District,Verplanck School,Spanish,3,20.0,23.0,2016-17
0776111,Manchester School District,Manchester High School,Spanish,5,28.0,33.0,2016-17
District Total,,,,8,48.0,56.0,2016-17
0800311,Meriden School District,Hanover School,Spanish,5,148.0,153.0,2016-17
0800411,Meriden School District,Israel Putnam School,Spanish,9,34.0,43.0,2016-17
0800511,Meriden School District,John Barry School,Spanish,7,60.0,67.0,2016-17
0800711,Meriden School District,Nathan Hale School,Spanish,13,61.0,74.0,2016-17
0800811,Meriden School District,Roger Sherman School,Spanish,10,67.0,77.0,2016-17
0801011,Meriden School District,Thomas Hooker School,Spanish,0,121.0,121.0,2016-17
0801111,Meriden School District,Casimir Pulaski School,Spanish,17,52.0,69.0,2016-17
0805211,Meriden School District,Lincoln Middle School,Spanish,33,86.0,119.0,2016-17
0805411,Meriden School District,Washington Middle School,Spanish,30,30.0,60.0,2016-17
0806111,Meriden School District,Francis T. Maloney High School,Spanish,72,76.0,148.0,2016-17
0806211,Meriden School District,Orville H. Platt High School,Spanish,38,40.0,78.0,2016-17
District Total,,,,234,775.0,1009.0,2016-17
0860111,Montville School District,Mohegan School,Cantonese,6,20.0,26.0,2016-17
District Total,,,,6,20.0,26.0,2016-17
0890311,New Britain School District,Chamberlain  Elementary School,Spanish,3,36.0,39.0,2016-17
0890511,New Britain School District,Gaffney School,Spanish,5,21.0,26.0,2016-17
0890611,New Britain School District,Holmes School,Arabic,12,23.0,35.0,2016-17
0890711,New Britain School District,Jefferson School,Spanish,11,27.0,38.0,2016-17
0890711,New Britain School District,Jefferson School,Arabic,0,33.0,33.0,2016-17
0890811,New Britain School District,Lincoln School,Spanish,13,83.0,96.0,2016-17
0890811,New Britain School District,Lincoln School,Polish,0,21.0,21.0,2016-17
0890911,New Britain School District,Northend School,Spanish,1,25.0,26.0,2016-17
0891111,New Britain School District,Frank J. DiLoreto School,Spanish,7,163.0,170.0,2016-17
0891211,New Britain School District,Smalley Academy,Spanish,8,117.0,125.0,2016-17
0891311,New Britain School District,Smith School,Spanish,10,48.0,58.0,2016-17
0891511,New Britain School District,Vance School,Spanish,3,45.0,48.0,2016-17
0895211,New Britain School District,Slade Middle School,Spanish,26,57.0,83.0,2016-17
0895311,New Britain School District,Pulaski Middle School,Spanish,27,72.0,99.0,2016-17
0896111,New Britain School District,New Britain High School,Spanish,133,240.0,373.0,2016-17
District Total,,,,259,1011.0,1270.0,2016-17
0930211,New Haven School District,Barnard Environmental Magnet School,Spanish,8,35.0,43.0,2016-17
0930611,New Haven School District,Clinton Avenue School,Spanish,71,128.0,199.0,2016-17
0930711,New Haven School District,Hill Central Music Academy,Spanish,72,113.0,185.0,2016-17
0930811,New Haven School District,John S. Martinez School,Spanish,103,120.0,223.0,2016-17
